lineno,aX,aY,aZ,gX,gY,gZ
0,-0.2200,1.8800,1.0700,0.2422,-1.2937,-0.4047
1,0.0000,1.7700,0.9600,0.2422,-1.2937,-0.4047
2,0.2600,1.0000,0.9400,0.0480,-1.2654,0.0436
3,0.3300,0.5900,1.0500,0.2018,-1.2032,0.1713
4,0.4700,0.8200,1.0100,0.3752,-1.2032,0.1309
5,0.5000,1.1800,0.9200,0.4701,-1.2261,0.0676
6,0.3800,1.2600,0.8500,0.5029,-1.2381,0.0644
7,0.3300,1.7900,0.5700,0.5029,-1.2381,0.0644
8,0.1100,1.6200,0.5200,0.4745,-1.2381,0.1134
9,0.0000,1.8500,0.4700,0.4996,-1.2588,0.1822
10,0.2800,2.2000,0.0600,0.5280,-1.3035,0.2574
11,0.4900,2.4900,-0.2100,0.5280,-1.3035,0.2574
12,0.5100,2.8600,-0.2000,0.5792,-1.2905,0.3327
13,0.5400,4.0500,-0.5500,0.6730,-1.1977,0.4778
14,0.5000,4.6800,-0.7900,0.5869,-1.1759,0.5225
15,0.4700,5.2500,-1.1600,0.4112,-1.1596,0.5487
16,0.4500,5.6500,-1.4600,0.1985,-1.1181,0.5847
17,0.2700,6.4400,-1.9500,0.1985,-1.1181,0.5847
18,0.1300,6.4800,-2.1700,-0.0207,-1.0581,0.6632
19,-0.0500,6.1700,-2.3300,-0.2738,-0.9916,0.8007
20,-0.2900,5.1300,-2.7200,-0.6763,-0.8225,1.1956
21,-0.3300,4.6900,-2.8500,-0.7559,-0.7069,1.3624
22,-0.4600,4.5700,-3.0300,-0.7494,-0.5978,1.5130
23,-0.6700,4.5900,-3.3500,-0.7363,-0.5051,1.6570
24,-0.7500,4.5100,-3.5800,-0.7592,-0.4276,1.8010
25,-0.8000,4.4800,-3.8700,-0.7592,-0.4276,1.8010
26,-0.8700,4.4400,-4.2200,-0.8116,-0.3371,1.9210
27,-1.0100,4.2900,-4.3700,-0.9054,-0.2323,2.0213
28,-1.2200,4.0200,-4.5800,-1.0297,-0.1102,2.1238
29,-1.3700,3.8700,-4.7600,-1.2675,0.1473,2.3595
30,-1.9000,3.2600,-5.0700,-1.3712,0.2738,2.4784
31,-2.1800,3.0100,-5.2400,-1.4781,0.4145,2.5700
32,-2.5100,2.9800,-5.3900,-1.5741,0.5661,2.6376
33,-2.8700,2.1800,-5.6800,-1.5741,0.5661,2.6376
34,-3.1100,1.8700,-5.7300,-1.6886,0.7276,2.7074
35,-3.2600,1.6300,-5.8500,-1.7770,0.9076,2.7653
36,-3.8400,1.3200,-5.6900,-1.8228,1.1868,2.7838
37,-3.9400,1.1300,-5.7600,-1.8828,1.2817,2.7576
38,-3.9600,0.8100,-5.8400,-1.8828,1.2817,2.7576
39,-4.0300,0.6200,-5.8700,-1.9755,1.3744,2.7391
40,-4.4500,0.6100,-6.0400,-1.9973,1.4857,2.7096
41,-4.6300,0.6600,-6.0200,-2.1195,1.6984,2.6322
42,-4.7400,0.8300,-6.0900,-2.1173,1.7322,2.6496
43,-4.5000,0.2000,-6.3100,-2.1173,1.7322,2.6496
44,-4.2200,0.1400,-6.4200,-2.1206,1.7541,2.6933
45,-4.0600,0.0000,-6.5200,-2.0977,1.8021,2.7118
46,-4.1800,-0.5700,-6.4800,-2.1740,2.0737,2.6682
47,-4.4200,-0.8800,-6.2500,-2.2122,2.2558,2.6333
48,-4.5400,-1.5600,-5.9200,-2.2122,2.2558,2.6333
49,-4.5100,-2.2000,-5.6700,-2.1631,2.3976,2.6311
50,-4.6500,-3.6200,-4.9900,-1.8075,2.5918,2.5591
51,-4.4900,-4.0400,-4.6100,-1.8075,2.5918,2.5591
52,-4.3500,-4.2000,-4.3300,-1.5348,2.6300,2.4675
53,-4.1000,-4.5600,-4.0600,-1.2894,2.6136,2.3409
54,-3.7200,-4.6900,-4.1100,-1.0745,2.5602,2.2046
55,-3.6700,-4.9700,-3.8900,-0.6621,2.5395,1.9689
56,-3.7900,-5.4700,-3.3600,-0.4516,2.5645,1.8348
57,-3.9500,-6.0300,-3.0000,-0.4516,2.5645,1.8348
58,-4.1800,-6.4600,-2.4400,-0.3153,2.6125,1.6581
59,-4.4100,-6.9100,-1.8100,-0.1560,2.6387,1.3886
60,-5.0900,-7.5800,-0.6000,0.0654,2.5962,1.0930
61,-5.2700,-7.7400,0.0900,0.3872,2.5155,0.8454
62,-5.6300,-7.8900,0.6700,1.2348,2.1697,0.6589
63,-5.7500,-7.4700,1.4300,1.6461,1.9482,0.5738
64,-5.8100,-7.3100,1.8400,1.9668,1.7628,0.4581
65,-5.7600,-6.9200,2.2000,2.2024,1.5970,0.2498
66,-5.5100,-5.3200,2.6100,2.3398,1.4246,-0.0654
67,-5.1000,-4.3500,2.6600,2.3453,1.2675,-0.4571
68,-4.7200,-3.7500,2.9000,2.3453,1.2675,-0.4571
69,-4.6000,-3.1800,3.7500,2.2078,1.1923,-0.8498
70,-4.4100,-3.0400,4.2000,1.9384,1.1574,-1.4050
71,-4.3700,-3.0400,4.6200,1.9384,1.1574,-1.4050
72,-4.3400,-2.9100,4.9800,1.8359,1.0952,-1.6275
73,-3.7100,-2.0000,5.5300,1.7562,1.0057,-1.8261
74,-4.7400,-2.6700,5.7500,1.7748,0.8508,-1.9842
75,-4.5900,-2.3900,5.8100,1.6984,0.7254,-2.0508
76,-4.2700,-1.9200,5.8700,1.6897,0.5345,-2.0824
77,-4.2700,-1.7300,5.9100,1.6853,0.2476,-2.2482
78,-3.8200,-1.3600,5.8700,1.6930,0.0109,-2.3726
79,-4.5900,-1.3300,6.0900,1.7606,-0.2749,-2.4642
80,-4.3900,-0.5400,6.0300,1.8511,-0.6741,-2.6071
81,-4.3600,0.1100,5.9300,1.9144,-1.0254,-2.7718
82,-4.4100,0.2900,5.6100,1.9297,-1.3592,-2.8143
83,-3.9000,0.6900,4.9200,1.9297,-1.3592,-2.8143
84,-3.9400,0.8400,4.5200,1.9908,-1.6821,-2.7991
85,-4.1800,1.3000,4.1000,2.0595,-1.9068,-2.8351
86,-3.9600,2.5300,3.0000,2.2722,-2.2449,-2.7936
87,-3.8000,3.0300,2.3100,2.2831,-2.4456,-2.6540
88,-3.7200,3.4800,1.5700,2.3300,-2.6224,-2.4969
89,-3.2700,4.5800,0.0300,2.3300,-2.6224,-2.4969
90,-3.1000,5.3900,-0.8600,2.4096,-2.7783,-2.3115
91,-2.8200,6.3400,-1.7700,2.5438,-2.9311,-2.1260
92,-2.2400,7.2400,-2.7100,2.6496,-3.0587,-1.8904
93,-0.2700,8.6400,-4.6300,2.5231,-3.2474,-1.4279
94,0.5200,9.2000,-5.5300,2.5231,-3.2474,-1.4279
95,1.1100,9.6000,-6.2200,2.2689,-3.2049,-1.2108
96,1.8900,9.3500,-6.9200,1.4617,-2.7500,-0.7483
97,2.1800,8.9100,-7.3000,0.9610,-2.4424,-0.5291
98,2.3900,8.2700,-7.6100,0.4451,-2.0911,-0.3207
99,2.7100,6.9700,-7.7700,0.0033,-1.7115,-0.1189
100,2.5600,6.1200,-7.7300,-0.3142,-1.3319,0.1036
101,2.3600,5.3700,-7.6500,-0.3142,-1.3319,0.1036
102,1.9100,4.6800,-7.5600,-0.5181,-0.9621,0.3829
103,1.6800,4.3600,-7.5100,-0.6403,-0.6000,0.6414
104,1.4400,4.1000,-7.4700,-0.7145,-0.2782,0.8803
105,1.1800,4.1700,-7.5300,-0.8759,0.3163,1.2719
106,0.6200,4.1000,-7.2400,-1.0188,0.6043,1.4323
107,0.3700,3.9400,-7.1300,-1.1596,0.8618,1.6002
108,0.3400,3.6700,-7.0800,-1.3515,1.0865,1.7508
109,-0.1100,2.3900,-6.9300,-1.5937,1.3319,1.8511
110,-0.4600,2.0800,-6.6700,-1.5937,1.3319,1.8511
111,-0.9300,1.8100,-6.3200,-1.8119,1.6112,1.8751
112,-1.9000,0.6700,-5.7800,-1.9886,1.8806,1.8479
