lineno,aX,aY,aZ,gX,gY,gZ
0,-1.0500,0.6700,-3.7300,-0.8018,-0.3120,0.0938
1,-1.0400,0.7700,-4.3600,-0.7385,-0.2094,0.1244
2,-1.0300,1.1300,-4.6600,-0.7385,-0.2094,0.1244
3,-1.0000,1.3400,-4.8300,-0.6992,-0.0480,0.2138
4,-1.3800,1.3800,-5.1200,-0.5836,0.1385,0.2902
5,-1.5700,2.0700,-5.2700,-0.4342,0.3600,0.4658
6,-2.0300,2.1800,-5.4700,-0.1473,0.7287,0.9021
7,-2.0700,2.4400,-5.7700,-0.1473,0.7287,0.9021
8,-2.5900,2.2900,-6.2500,-0.1091,0.8836,1.1039
9,-2.5600,2.4400,-6.6800,-0.1734,1.0287,1.2392
10,-2.4400,2.2800,-7.0500,-0.4843,1.3395,1.3766
11,-2.2900,2.4500,-7.5200,-0.5051,1.5523,1.4923
12,-2.2200,2.8900,-7.7500,-0.4516,1.7857,1.6188
13,-2.2400,3.2700,-7.8700,-0.4516,1.7857,1.6188
14,-2.2800,3.7800,-7.9400,-0.2880,2.3027,1.9580
15,-2.4900,4.5500,-7.9600,-0.2411,2.5700,2.1664
16,-2.6400,4.6800,-7.9400,-0.2258,2.8438,2.3813
17,-2.9200,4.7800,-7.7600,-0.1604,3.1154,2.6016
18,-3.8000,4.6800,-7.3300,-0.0993,3.3510,2.8263
19,-3.7500,4.7300,-7.2200,-0.1287,3.5365,3.0281
20,-3.9000,4.1500,-7.0800,-0.1287,3.5365,3.0281
21,-4.8600,2.4700,-6.2700,-0.3185,3.7208,3.1896
22,-5.3400,1.9500,-5.7200,-0.5181,4.1430,3.5245
23,-6.0600,1.7600,-4.8100,-0.3305,4.4048,3.6968
24,-6.6600,1.8400,-3.8300,-0.0720,4.6109,3.8626
25,-7.8900,2.3400,-1.4400,-0.0720,4.6109,3.8626
26,-8.1800,2.6000,-0.5600,0.3698,4.7135,4.1921
27,-8.3500,2.7900,0.4500,0.5607,4.6469,4.3928
28,-8.8900,2.1600,1.8500,0.5607,4.6469,4.3928
29,-8.1400,0.7600,2.2200,0.6436,4.4517,4.7342
30,-8.2200,0.0600,2.8600,0.6436,4.4517,4.7342
31,-8.1400,-1.2000,3.8000,0.5498,4.4124,4.5509
32,-8.3800,-0.9200,4.4100,0.3600,4.3066,4.2106
33,-7.8400,-0.8100,4.7000,0.1811,4.2062,3.8005
34,-7.4800,-0.6300,5.1400,-0.0338,3.9903,3.4307
35,-7.5000,-1.4900,6.2400,-0.2705,3.7306,3.1307
36,-7.2400,-2.1600,6.5600,-0.5443,3.4427,2.9071
37,-6.9100,-2.6500,6.8500,-0.7505,3.0881,2.7522
38,-6.7200,-3.9700,7.3400,-0.7909,2.7293,2.6376
39,-6.5000,-4.5100,7.6000,-0.7985,2.3889,2.5460
