lineno,aX,aY,aZ,gX,gY,gZ
0,0.3100,2.7100,-0.9700,2.0966,0.1713,-0.7767
1,0.3200,3.9300,-1.0300,2.1751,0.1963,-0.7025
2,0.3300,4.7300,-1.0100,2.1751,0.1963,-0.7025
3,0.1100,5.0500,-0.8000,2.0780,0.2389,-0.6207
4,-0.0500,5.1700,-0.7200,1.8053,0.2978,-0.4189
5,-0.1800,5.5500,-0.7600,1.5250,0.3458,-0.1374
6,-0.1300,5.5000,-0.6700,1.2174,0.3698,0.0916
7,-0.1900,5.7700,-1.0500,0.8618,0.4003,0.2596
8,-0.2200,5.4700,-1.1400,0.5814,0.4167,0.4494
9,-0.3100,4.8300,-1.2500,0.2760,0.4494,0.6654
10,-0.8700,4.0900,-1.1500,-0.0316,0.5192,0.8476
11,-0.9900,3.7100,-1.0700,-0.2051,0.5847,1.0177
12,-1.2200,3.6400,-1.0700,-0.3567,0.6349,1.1846
13,-1.6300,3.3400,-0.9700,-0.4516,0.6436,1.3363
14,-1.7500,3.2700,-1.0900,-0.5640,0.6512,1.4508
15,-1.6700,3.1100,-1.2200,-0.6829,0.6130,1.5381
16,-1.5700,3.1000,-1.3400,-0.7625,0.5563,1.6668
17,-1.4600,2.9300,-1.7200,-0.7898,0.5203,1.7999
18,-1.6500,2.9600,-1.9600,-0.8301,0.4952,1.9330
19,-1.5800,2.6000,-2.1900,-0.9108,0.4843,2.0595
20,-1.8800,2.1700,-2.3600,-1.1781,0.5280,2.2449
21,-2.2000,2.0100,-2.3800,-1.2730,0.5934,2.3093
22,-2.5700,1.9800,-2.3400,-1.4279,0.6218,2.3344
23,-2.9900,1.2400,-2.4700,-1.6635,0.5967,2.3147
24,-3.1300,1.0000,-2.5800,-1.8762,0.5247,2.2624
25,-3.1100,0.8900,-2.5300,-1.9897,0.4647,2.2449
26,-2.9500,0.6400,-2.5100,-1.9755,0.4003,2.2907
27,-2.9400,-0.3700,-2.5000,-1.8991,0.3578,2.3835
28,-2.9100,-0.3100,-2.5200,-1.7682,0.3436,2.4446
29,-2.9700,-0.3200,-2.5100,-1.7682,0.3436,2.4446
30,-3.0800,-0.6300,-2.3800,-1.6613,0.3469,2.4729
31,-3.1100,-0.5200,-2.3300,-1.5741,0.3632,2.5155
32,-3.0900,-0.6800,-2.3400,-1.4104,0.3676,2.5951
33,-2.9400,-1.2300,-2.4400,-1.3701,0.3720,2.6562
34,-2.9400,-1.6100,-2.3700,-1.3483,0.3676,2.6911
35,-2.6300,-1.7800,-2.3400,-1.4344,0.3785,2.6049
36,-2.6100,-1.8700,-2.2500,-1.4399,0.3905,2.4784
37,-2.6200,-1.8200,-1.9400,-1.3701,0.4058,2.3966
38,-2.5000,-1.5200,-1.9600,-1.3701,0.4058,2.3966
39,-2.4800,-1.7700,-1.9200,-1.2730,0.4134,2.3649
40,-2.6400,-2.1200,-1.9200,-1.2686,0.4429,2.3627
41,-2.7600,-2.2300,-1.7700,-1.2621,0.4734,2.3453
42,-2.7200,-2.2000,-1.7200,-1.2403,0.5072,2.2798
43,-2.4000,-1.8400,-1.8200,-1.2043,0.5171,2.1751
44,-2.2900,-1.5600,-1.7700,-1.1585,0.4920,2.0508
45,-2.1300,-1.2600,-1.6900,-1.1181,0.4691,1.9428
46,-2.1000,-0.9000,-1.7200,-1.0767,0.4571,1.8708
47,-2.0900,-0.9600,-1.7300,-1.0592,0.4483,1.8380
48,-2.1400,-1.1500,-1.7300,-1.0712,0.4527,1.8326
49,-2.1900,-1.2900,-1.7300,-1.1094,0.4745,1.8293
50,-2.3700,-1.4600,-1.7300,-1.1028,0.5083,1.8206
51,-2.3500,-1.7600,-1.5900,-1.0647,0.5356,1.7824
52,-2.2300,-1.7100,-1.5900,-0.9599,0.6043,1.6679
53,-1.9200,-1.4000,-1.5800,-0.9599,0.6043,1.6679
54,-1.8500,-1.0800,-1.5200,-0.8323,0.6065,1.6177
55,-1.7900,-0.8900,-1.5300,-0.7276,0.6141,1.5741
56,-1.7100,-0.6900,-1.7400,-0.6567,0.6130,1.5588
57,-1.5700,-0.8000,-1.9600,-0.6229,0.6021,1.5643
58,-1.5200,-1.3000,-1.9800,-0.6872,0.6174,1.5435
59,-1.5600,-1.6500,-1.9400,-0.6850,0.6687,1.5512
