lineno,aX,aY,aZ,gX,gY,gZ
0,-1.5800,-0.7800,2.1000,-0.7396,-1.7442,1.0734
1,-1.6600,0.5700,1.2900,-0.2542,-1.8239,1.0145
2,-1.7900,1.4900,0.9800,-0.0273,-1.9068,0.8574
3,-1.9300,1.5200,0.6600,0.0709,-1.8980,0.8247
4,-2.1000,2.3400,-0.2300,0.1680,-1.8500,0.8988
5,-2.3200,2.6400,-0.5000,0.1920,-1.7879,0.9479
6,-2.6800,2.7300,-0.7300,0.2160,-1.7224,1.0647
7,-2.9400,2.8900,-1.0200,0.2116,-1.6461,1.2621
8,-3.5200,3.1800,-1.4600,0.1320,-1.5795,1.3897
9,-3.3900,3.2500,-1.7900,0.1320,-1.5795,1.3897
10,-3.9400,2.9200,-2.0600,-0.0033,-1.5708,1.4890
11,-4.1600,2.4000,-2.5800,-0.1658,-1.5228,1.5763
12,-4.0500,2.2000,-3.0000,-0.2782,-1.5064,1.6799
13,-4.0100,1.8300,-3.3400,-0.3676,-1.5250,1.7661
14,-3.7100,1.3500,-4.2000,-0.4483,-1.4377,1.9962
15,-3.5200,1.1600,-4.5700,-0.4920,-1.3243,2.1195
16,-3.4000,0.9300,-4.9900,-0.5520,-1.1857,2.2286
17,-3.3200,0.7400,-5.2900,-0.6000,-1.0101,2.3257
18,-3.3400,0.5900,-5.6400,-0.6283,-0.7996,2.4031
19,-3.5600,0.4000,-5.6600,-0.6850,-0.5967,2.4675
20,-3.6800,0.0800,-5.6600,-0.6850,-0.5967,2.4675
21,-3.7300,-0.5800,-5.8400,-0.7418,-0.4145,2.5122
22,-3.6800,-0.7100,-5.9700,-0.8203,-0.2258,2.5144
23,-3.7900,-0.8900,-5.9800,-0.9065,-0.0295,2.4740
24,-4.1600,-0.9200,-5.9300,-0.9523,0.1909,2.4533
25,-4.1700,-1.0200,-5.8200,-0.9556,0.4145,2.4555
26,-4.1400,-1.2500,-5.8000,-1.1236,0.7221,2.4336
27,-4.1300,-1.6400,-5.7200,-1.1236,0.7221,2.4336
28,-3.9700,-2.4600,-5.5600,-1.2119,0.8421,2.4184
29,-3.7500,-2.5900,-5.5900,-1.2261,1.0799,2.3006
30,-3.5200,-2.6400,-5.6000,-1.2239,1.2305,2.2002
31,-3.2800,-2.8600,-5.5800,-1.1857,1.4203,2.1413
32,-3.0800,-3.0500,-5.4200,-1.1268,1.6253,2.0966
33,-2.8000,-3.0700,-5.3500,-0.9937,1.8064,2.0649
34,-2.5500,-3.4100,-5.3900,-0.8290,1.9580,1.9951
35,-2.2100,-3.0400,-5.4600,-0.8290,1.9580,1.9951
36,-1.9300,-2.7300,-5.4200,-0.6294,2.1020,1.8904
37,-1.8300,-2.6400,-5.3500,-0.4560,2.2700,1.7748
38,-1.8800,-3.0400,-5.0400,-0.3742,2.4380,1.6733
39,-1.7300,-3.2100,-4.8400,-0.4134,2.5940,1.5326
40,-1.7700,-3.5700,-4.4800,-0.5280,2.9267,1.1214
41,-2.0400,-3.8100,-3.6400,-0.4909,3.1067,0.9370
42,-1.9500,-4.0200,-3.2000,-0.4909,3.1067,0.9370
43,-1.8500,-4.1400,-2.6500,-0.2880,3.4165,0.6840
44,-2.1500,-4.4500,-1.3400,-0.0927,3.5310,0.6480
45,-2.1500,-4.7600,-0.5100,0.0840,3.5932,0.6381
46,-2.1500,-5.1800,0.3100,0.1854,3.5845,0.5618
47,-2.3400,-5.4700,1.0600,0.2498,3.5256,0.3567
48,-3.2000,-4.8200,3.1000,0.3687,3.4994,0.0905
49,-3.6200,-4.5700,4.1300,0.5181,3.3979,-0.1614
50,-3.4000,-4.0700,5.1200,0.5181,3.3979,-0.1614
51,-4.1500,-3.1100,6.8100,0.6261,3.3041,-0.2934
