lineno,aX,aY,aZ,gX,gY,gZ
0,-1.7800,-1.2000,-1.2400,0.2182,0.1702,0.1789
1,-1.6400,-2.9400,-1.0700,0.0676,0.2094,0.1789
2,-1.4800,-3.4900,-0.9600,0.0676,0.2094,0.1789
3,-1.5200,-2.6400,-1.0900,0.0469,0.2334,0.1898
4,-1.5900,-2.0400,-1.2300,0.2803,0.2476,0.0796
5,-1.5000,-2.6300,-1.1000,0.3262,0.2509,-0.1047
6,-1.7000,-2.9100,-0.8900,0.3022,0.2738,-0.1527
7,-1.6800,-2.8800,-0.7400,0.3011,0.3294,-0.1953
8,-1.7900,-2.4300,-0.5500,0.3971,0.3720,-0.2923
9,-1.4500,-2.6800,-0.5700,0.5269,0.3763,-0.3327
10,-1.4000,-2.9400,-0.6400,0.5127,0.3578,-0.3523
11,-1.3600,-2.9500,-0.6400,0.4723,0.3872,-0.3796
12,-1.3300,-3.1000,-0.5600,0.5421,0.4265,-0.4276
13,-1.2300,-3.0700,-0.5800,0.6240,0.4265,-0.5498
14,-1.0800,-2.9900,-0.7200,0.6229,0.3829,-0.6490
15,-0.7900,-2.7700,-1.1700,0.5781,0.3622,-0.7843
16,-0.9700,-2.7600,-1.2300,0.5192,0.4167,-0.9087
17,-1.0500,-2.7200,-1.0500,0.5411,0.4843,-0.9817
18,-1.6700,-2.3800,-0.6800,0.5411,0.4843,-0.9817
19,-1.7200,-1.9800,-0.5600,0.7614,0.5858,-1.0232
20,-1.7600,-1.8400,-0.5100,0.7985,0.5836,-1.0505
21,-1.8600,-1.7400,-0.5200,0.7985,0.5836,-1.0505
22,-2.0300,-1.5800,-0.4300,0.8225,0.5661,-1.0876
23,-2.2400,-1.2300,-0.2700,0.8803,0.5661,-1.1410
24,-2.3100,-1.0400,-0.1100,0.9567,0.5814,-1.2174
25,-2.4100,-0.8000,-0.1700,0.9785,0.5705,-1.3014
26,-2.3700,-0.7800,-0.1000,0.9523,0.5574,-1.3810
27,-2.3300,-0.6800,0.0000,0.9381,0.5432,-1.4541
28,-2.3400,-0.5800,0.3100,0.9643,0.5454,-1.5021
29,-2.3800,-0.5800,0.6200,1.0036,0.5487,-1.5206
30,-2.5200,-0.5200,1.0400,1.0625,0.5672,-1.5359
31,-3.0400,-0.1100,2.0600,1.1421,0.5836,-1.5446
32,-2.9600,-0.1000,2.5500,1.2414,0.5792,-1.5424
33,-3.0500,-0.4900,3.0000,1.2817,0.5116,-1.5228
34,-2.8300,-0.8300,3.7300,1.2730,0.3905,-1.5021
35,-2.7100,-0.7200,3.8300,1.2861,0.2563,-1.5304
36,-2.1500,-0.3900,3.8000,1.3341,0.0916,-1.6122
37,-1.9000,-0.0600,3.8300,1.3908,-0.2083,-1.9122
38,-2.1700,1.0600,4.0200,1.4606,-0.2138,-1.9591
39,-2.4500,1.4600,4.4000,1.5184,-0.2683,-1.9657
40,-2.7800,1.9700,4.6900,1.5850,-0.4025,-1.9515
41,-3.3300,3.3000,4.9600,1.6559,-0.6556,-1.9482
42,-3.3400,4.1900,4.9800,1.6930,-0.9959,-1.9624
43,-3.5000,4.7900,5.0500,1.6286,-1.3265,-1.9242
44,-3.3200,5.9100,4.6400,1.4879,-1.6919,-1.8490
45,-3.1000,6.2000,4.3700,1.3232,-2.0540,-1.7475
46,-2.7700,6.6200,3.7900,1.1377,-2.4129,-1.6013
47,-2.3700,6.8700,3.2700,0.8716,-2.7336,-1.4421
48,-1.0400,6.7500,2.2300,0.5531,-2.9987,-1.2806
49,-0.6800,6.2000,2.0200,0.5531,-2.9987,-1.2806
50,-0.8400,5.7800,2.2300,0.2563,-3.1841,-1.0679
51,-0.9300,4.6900,2.1900,-0.1647,-3.4492,-0.6501
52,-0.7100,4.2000,1.6700,-0.3709,-3.6532,-0.5149
53,-0.3800,3.8600,1.0400,-0.4549,-3.7743,-0.4091
54,-0.4400,3.7900,0.5200,-0.4549,-3.7743,-0.4091
55,-0.4000,4.1800,0.4800,-0.4254,-3.7535,-0.3218
56,-0.8000,3.9700,0.3900,-0.3698,-3.7088,-0.2247
57,-1.2000,3.6600,0.0000,-0.5411,-3.7437,0.0687
58,-0.5200,3.0500,-1.0100,-0.5411,-3.7437,0.0687
59,-0.3700,2.8000,-1.4800,-0.6861,-3.8419,0.2520
60,-0.2200,2.5600,-1.8500,-0.7079,-3.7317,0.2967
61,-0.1700,2.7400,-2.0700,-0.7079,-3.7317,0.2967
62,-0.2900,3.0200,-2.0500,-0.6360,-3.5463,0.3523
63,-0.7400,2.6800,-2.2000,-0.5334,-3.3445,0.4396
64,-0.9500,2.6000,-2.2300,-0.6207,-3.0860,0.6327
65,-0.9800,2.3300,-2.6300,-0.6207,-3.0860,0.6327
66,-1.3500,2.1500,-2.9500,-0.7287,-3.0205,0.7505
67,-1.0200,2.1300,-3.0400,-0.8061,-2.9463,0.8563
68,-1.1500,2.2500,-3.0800,-0.7810,-2.8591,0.9556
69,-1.7300,1.9200,-3.2600,-0.7690,-2.7238,1.0657
70,-1.0600,1.7500,-3.4200,-0.8748,-2.5471,1.2228
71,-0.8900,1.2700,-3.8700,-0.9338,-2.5351,1.3166
72,-1.0600,1.3800,-3.9200,-0.9817,-2.4925,1.3559
73,-1.0300,1.3000,-3.9500,-1.0570,-2.2678,1.4344
74,-0.9400,0.8300,-4.1200,-1.1105,-2.1315,1.4693
75,-0.9400,0.6800,-4.1000,-1.1923,-1.9755,1.5010
76,-1.2200,0.2600,-3.9200,-1.2065,-1.7944,1.5588
77,-1.3000,0.0000,-3.7900,-1.1977,-1.5621,1.6221
78,-1.2400,-0.5400,-3.6100,-1.1486,-1.3210,1.6962
79,-1.1900,-0.6200,-3.5200,-1.0876,-1.1170,1.7290
80,-1.2300,-0.5500,-3.4900,-1.0603,-0.9425,1.7191
81,-1.4200,-0.4400,-3.2300,-1.0156,-0.7701,1.7148
82,-1.5200,-0.4000,-2.9800,-0.9567,-0.5814,1.7366
83,-1.6600,-0.4600,-2.6100,-0.9294,-0.3982,1.7770
84,-2.1700,-1.2800,-1.8300,-0.9272,-0.2422,1.8391
85,-2.2700,-1.2600,-1.7000,-0.9687,-0.1254,1.9046
