lineno,aX,aY,aZ,gX,gY,gZ
0,-2.2100,-0.2300,3.4600,-0.2782,-2.1860,-0.4963
1,-2.0600,0.1500,3.1700,-0.1691,-2.3682,-0.5411
2,-1.8900,0.7800,2.8100,-0.1691,-2.3682,-0.5411
3,-1.8800,0.7400,2.5400,0.1963,-2.5122,-0.5149
4,-2.0600,0.7700,2.4600,0.4636,-2.7598,-0.5007
5,-0.8000,0.8200,1.8800,0.5640,-2.9463,-0.3905
6,-1.3500,1.2700,1.6800,0.6698,-2.8547,-0.3174
7,-1.5400,1.8500,1.5700,0.7767,-2.8143,-0.2040
8,-1.6700,2.2100,1.2100,0.7767,-2.8143,-0.2040
9,-1.6700,2.6200,0.9400,0.7559,-2.8045,-0.0927
10,-2.4100,2.7800,0.6900,0.7134,-2.8187,0.0164
11,-1.4900,2.7600,0.0800,0.5814,-2.8776,0.1538
12,-1.6900,2.7300,-0.0400,0.2629,-2.7969,0.3000
13,-1.9900,2.4200,-0.1800,0.2073,-2.7369,0.3403
14,-1.6100,2.4100,-0.4000,0.1767,-2.6878,0.3698
15,-2.0400,2.3700,-1.0400,0.1407,-2.5722,0.4418
16,-1.7900,2.0100,-1.2500,0.1407,-2.5722,0.4418
17,-2.0500,2.1400,-1.7200,0.1516,-2.5285,0.5312
18,-1.8600,2.8200,-2.7300,0.1560,-2.4086,0.6305
19,-1.8800,3.3000,-3.2700,0.1287,-2.3017,0.6730
20,-1.8100,3.2600,-3.6200,0.0218,-2.1729,0.7341
21,-1.3500,2.5600,-4.2700,-0.1669,-2.0388,0.8105
22,-1.6900,2.1200,-4.3200,-0.5934,-1.7072,0.9370
23,-1.2100,1.3700,-4.4000,-0.7418,-1.5523,0.9774
24,-1.4500,0.9000,-4.6400,-0.7821,-1.3210,1.0483
25,-1.6100,0.7100,-5.0400,-0.7821,-1.3210,1.0483
26,-1.9800,0.6000,-5.1400,-0.7941,-1.0952,1.0843
27,-1.9500,0.6800,-5.2800,-0.8367,-0.8683,1.1159
28,-2.5500,0.7000,-5.3800,-0.8868,-0.6360,1.1508
29,-2.7200,0.9200,-5.4300,-0.9839,-0.3698,1.1857
30,-2.8600,0.9600,-5.4500,-1.1148,-0.1309,1.2075
31,-3.3000,0.3400,-5.3900,-1.2872,0.1069,1.2425
32,-2.9800,0.0900,-5.6900,-1.4508,0.3305,1.2817
33,-3.2200,-0.2300,-5.7000,-1.6177,0.5127,1.2774
34,-3.3500,-0.6200,-5.9200,-1.7671,0.7167,1.2785
35,-3.3800,-1.3700,-6.3400,-1.9253,1.1290,1.2490
36,-3.5400,-1.6200,-6.4400,-1.8937,1.3744,1.2348
37,-3.9600,-1.6700,-6.3800,-1.8162,1.5763,1.1825
38,-4.1000,-1.6900,-6.4600,-1.7606,1.8173,1.1443
39,-3.9900,-1.8600,-6.4400,-1.7159,2.0606,1.1454
40,-3.9500,-1.5100,-6.3800,-1.6526,2.2777,1.1486
41,-3.9200,-1.7700,-6.1100,-1.6526,2.2777,1.1486
42,-3.7400,-1.9700,-6.1100,-1.6406,2.4326,1.1443
43,-3.4900,-2.1700,-6.1900,-1.6101,2.5198,1.1465
44,-3.1900,-2.3700,-6.2400,-1.5904,2.6005,1.1061
45,-3.1000,-2.4100,-5.8900,-1.5763,2.7140,0.9905
46,-3.0100,-2.7700,-5.5900,-1.5130,2.8460,0.8705
