lineno,aX,aY,aZ,gX,gY,gZ
0,-2.0900,8.7800,-5.8000,-0.0185,-1.4083,0.8890
1,-2.0400,8.8500,-6.4300,-0.2454,-1.2795,1.2370
2,-2.1300,9.5400,-7.0200,-0.4603,-1.1181,1.6406
3,-2.4900,8.7800,-7.9200,-0.6894,-0.9392,2.0846
4,-2.6100,8.4400,-8.5500,-0.7701,-0.7625,2.5460
5,-2.8000,7.9100,-9.0300,-0.8683,-0.4800,2.9911
6,-3.5700,7.0400,-9.2200,-0.9228,-0.1647,3.4350
7,-3.7200,6.3800,-9.3600,-1.0428,0.1178,3.8855
8,-3.4600,5.4900,-9.5100,-1.2403,0.3371,4.2292
9,-2.9900,4.8800,-9.6600,-1.4094,0.5323,4.4004
10,-2.9300,3.5800,-9.8800,-1.5370,0.7669,4.4680
11,-2.7900,3.2200,-9.6800,-1.5370,0.7669,4.4680
12,-2.5700,2.6300,-9.4400,-1.6493,1.0777,4.5313
13,-2.0900,0.6500,-9.7700,-2.0006,1.6919,4.6382
14,-1.7900,-0.9200,-9.6600,-2.5002,2.0464,4.4986
15,-2.0100,-2.8800,-9.0800,-2.5002,2.0464,4.4986
16,-2.3700,-6.4400,-7.8300,-3.1634,2.7096,3.9750
17,-2.2800,-8.4400,-7.2500,-3.1318,2.9191,3.6586
18,-2.0900,-10.8500,-6.6600,-3.1318,2.9191,3.6586
19,-2.5700,-16.3100,-4.6500,-3.1274,3.0500,3.2158
20,-2.7400,-16.6700,-2.8800,-2.9060,3.1765,2.7096
21,-2.8600,-20.0400,-1.2200,-1.7682,3.1470,1.6919
22,-3.3300,-21.9600,0.7200,-1.1945,2.8351,1.0407
23,-2.4100,-21.6400,1.9900,-1.1945,2.8351,1.0407
24,-1.6500,-20.8000,1.9300,-0.2138,2.2580,0.4178
25,-0.7700,-18.6700,1.9000,0.7363,1.8130,-0.1244
26,-1.1600,-13.9500,3.4600,1.6384,1.5632,-0.6185
27,-1.5400,-12.0600,4.4200,2.2122,1.5075,-1.1094
28,-1.8900,-10.4200,5.2300,2.4533,1.4748,-1.5152
29,-2.9400,-7.2500,6.8200,2.5089,1.3843,-1.8806
30,-3.3400,-5.4100,7.3000,2.4380,1.2435,-2.2231
31,-3.6000,-3.9100,7.5400,2.3267,1.0625,-2.5765
32,-3.7500,-2.9900,7.4300,2.1097,0.8443,-2.9354
33,-3.4500,-0.5900,6.6600,1.6832,0.2520,-3.4721
34,-3.2900,0.4700,5.9900,1.6341,-0.0142,-3.6183
35,-2.7800,1.5000,5.1700,1.5773,-0.2618,-3.6761
36,-2.2100,4.2200,3.9100,1.5773,-0.2618,-3.6761
37,-1.8500,4.9700,3.1000,1.4628,-0.6480,-3.5856
38,-1.8500,6.3400,2.0400,1.3254,-0.7407,-3.3870
39,-1.4700,6.6700,1.3200,0.9087,-0.7243,-3.0936
40,-1.6200,7.6400,0.7400,0.6829,-0.7450,-2.7587
41,-1.2900,7.7500,0.0500,0.6141,-0.7876,-2.3987
42,-1.0600,7.6500,-0.6000,0.6141,-0.7876,-2.3987
43,-0.4800,8.2900,-1.6700,0.4854,-0.8050,-1.7759
44,-0.7100,8.3900,-2.1200,0.4265,-0.7679,-1.4813
45,-0.3700,8.5600,-2.8300,0.3600,-0.7756,-1.1934
46,-0.0200,8.4700,-4.0400,0.2891,-0.7559,-0.8956
47,0.0900,8.4200,-4.6500,0.2040,-0.6894,-0.6185
48,0.2800,8.6400,-5.2900,0.1505,-0.6043,-0.3676
49,0.6200,8.9000,-6.1800,0.0665,-0.4636,-0.1102
50,0.7900,8.8200,-6.5700,-0.0524,-0.3087,0.1876
51,0.9500,8.6400,-6.9000,-0.1778,-0.1342,0.4996
52,0.9900,8.3500,-7.1000,-0.2956,0.0600,0.7799
53,1.0500,7.6900,-7.4900,-0.4036,0.2607,1.0167
54,1.0500,7.1700,-7.5700,-0.4898,0.4581,1.2370
55,1.0700,6.8800,-7.7100,-0.5400,0.6621,1.4257
56,1.0400,6.0100,-7.7300,-0.5400,0.6621,1.4257
