lineno,aX,aY,aZ,gX,gY,gZ
0,-1.0200,1.0200,-1.1000,-0.5585,-2.1020,-1.8228
1,-0.9900,1.5200,-1.0900,-0.4832,-2.0584,-1.8490
2,-1.1100,1.6700,-0.9300,-0.4832,-2.0584,-1.8490
3,-1.2300,1.6400,-0.9500,-0.5083,-1.9809,-1.9308
4,-0.8700,1.0400,-1.5600,-0.5563,-1.9537,-1.9373
5,-0.7700,0.7000,-1.9600,-0.7003,-1.9886,-1.9515
6,-0.7500,0.6400,-2.2100,-0.7647,-1.9820,-1.9079
7,-0.7400,0.5600,-2.3900,-0.6152,-1.8337,-1.8042
8,-1.0800,0.1700,-2.3500,-0.5192,-1.6461,-1.7093
9,-1.4900,0.3300,-2.2300,-0.4832,-1.4868,-1.6952
10,-1.7800,0.4100,-2.2300,-0.3763,-1.3875,-1.7170
11,-1.7100,0.7900,-2.6500,-0.2258,-1.3439,-1.6930
12,-1.7600,1.3900,-2.7300,0.0000,-1.3101,-1.6548
13,-1.7000,1.1600,-2.7400,0.0796,-1.2545,-1.6395
14,-1.5400,2.4500,-3.2900,0.0796,-1.2545,-1.6395
15,-1.4800,2.6500,-3.5800,0.1724,-1.2065,-1.5446
16,-1.2700,3.1500,-3.9700,0.2771,-0.9916,-1.3363
17,-1.6300,2.6700,-3.7700,0.1440,-0.8159,-1.1999
18,-1.5100,4.1700,-4.3400,0.1560,-0.6229,-1.0079
19,-1.4200,4.7000,-4.6100,0.1560,-0.6229,-1.0079
20,-1.4500,4.5400,-4.6900,0.2662,-0.4265,-0.8039
21,-2.0900,4.8100,-4.5800,0.0720,0.1189,-0.3142
22,-2.4400,5.1100,-4.4600,0.0720,0.1189,-0.3142
23,-2.9700,5.2900,-4.4200,0.2542,0.6567,0.2891
24,-3.7800,5.6900,-4.1500,0.3425,0.8803,0.6141
25,-4.0800,6.0700,-4.1800,0.3425,0.8803,0.6141
26,-4.0800,6.1900,-4.3400,0.5051,1.2261,1.2959
27,-4.0000,6.2200,-4.5500,0.4581,1.3690,1.6101
28,-3.8100,6.6100,-4.8100,0.3916,1.5413,1.9428
29,-3.2400,6.7200,-5.1600,0.3916,1.5413,1.9428
30,-3.5400,6.6200,-5.1500,0.2847,1.7595,2.3017
31,-3.9700,7.0700,-5.4200,0.0785,2.0639,2.6518
32,-4.2600,6.5100,-5.2100,-0.4200,2.7391,3.4274
33,-4.4700,5.7500,-4.9000,-0.8716,3.1045,4.1070
34,-4.8100,5.0100,-4.4800,-0.8716,3.1045,4.1070
35,-4.5700,4.4200,-4.3300,-0.7058,3.1350,4.4320
36,-4.0000,4.0300,-4.3600,-0.5836,3.1252,4.6513
37,-3.6100,4.3300,-3.8800,-0.2945,3.0794,4.7920
38,-3.3400,4.9600,-3.9300,0.0818,3.0816,4.9229
39,-3.3900,5.8200,-3.8200,0.5291,3.3161,5.1978
40,-3.9300,6.1800,-3.1700,0.3600,3.4023,5.3069
41,-5.3500,5.3700,-2.4000,0.0185,3.3794,5.4149
42,-5.4300,4.3500,-2.2800,0.0185,3.3794,5.4149
43,-5.1400,3.4100,-2.2200,-0.3338,3.2867,5.4487
44,-5.4500,2.1100,-1.3400,-0.5465,3.2016,5.4203
45,-4.6100,2.1000,-1.1400,-0.5203,3.0925,5.3298
46,-4.1100,1.5800,-0.8300,-0.5040,2.9812,5.1760
47,-3.9700,1.2900,-0.3500,-0.5061,2.7598,5.0102
48,-3.9800,1.0500,-0.1600,-0.3872,2.6965,5.0364
49,-3.9800,0.9100,0.0700,-0.2738,2.7129,5.0985
50,-4.2400,1.0300,0.4000,-0.3589,2.8351,5.1236
51,-6.1200,1.3200,1.7000,-0.5181,2.9278,5.1302
52,-6.8900,0.9400,2.3500,-0.5181,2.9278,5.1302
53,-6.7700,-0.8200,2.2900,-0.7167,2.8569,5.1596
54,-7.0300,-4.5900,2.3800,-0.4352,2.6540,5.2458
55,-6.6700,-5.0100,3.1500,0.0785,2.7227,5.1400
56,-6.7100,-5.3700,3.9000,0.2345,2.8700,4.8106
57,-11.9500,-7.7200,6.2400,0.2345,2.8700,4.8106
58,-5.9100,-6.0800,5.5400,0.1167,3.1121,4.4430
59,-6.4600,-5.5800,5.5800,0.2923,2.0039,3.8365
60,-7.7500,-7.1300,5.7500,-0.0774,1.7410,3.1230
61,-6.5800,-5.9000,4.6700,-0.3905,1.3788,2.5973
62,-6.4600,-6.4800,4.3900,-0.3120,1.0450,2.2395
63,-6.4100,-6.6800,4.2700,-0.3905,0.9359,1.9973
64,-6.6500,-7.8900,4.3200,-0.4603,0.6621,1.6232
65,-6.9200,-8.8700,4.4600,-0.3251,0.4440,1.4530
66,-6.7600,-9.7700,4.3100,-0.3251,0.4440,1.4530
67,-6.2700,-10.8700,3.6300,-0.1233,0.1102,1.1934
68,-6.0500,-10.5700,3.3500,0.0076,-0.1789,0.7636
69,-5.9700,-10.3200,3.1700,0.1658,-0.6763,-0.4963
70,-5.8600,-9.7600,2.8700,0.1658,-0.9239,-1.1814
71,-5.5400,-9.2400,2.5000,0.0960,-1.1574,-1.8511
72,-5.6400,-9.1500,2.4400,0.0818,-1.4072,-2.4827
73,-5.4900,-8.6600,2.1700,0.1876,-1.6853,-3.0969
74,-4.9000,-7.0300,1.4400,0.4058,-1.9155,-3.6063
75,-5.0200,-5.4000,1.1600,0.5770,-2.0595,-4.0252
76,-5.0800,-3.9100,0.9400,0.5563,-2.1937,-4.4113
77,-4.3800,-2.3000,-0.0800,0.4571,-2.3093,-4.7037
78,-4.2700,-1.4800,-0.6100,0.3840,-2.3573,-4.8586
79,-4.0200,-0.7600,-0.9500,0.3840,-2.3573,-4.8586
80,-3.4500,-0.3800,-1.0200,0.2716,-2.3027,-4.9229
81,-3.8900,-0.2500,-0.7400,0.1320,-2.1184,-4.9044
82,-4.6600,-0.1300,-0.3300,0.0993,-1.9591,-4.7877
83,-3.9000,0.8900,-1.2700,0.2923,-2.0628,-4.6698
84,-3.1500,1.1800,-1.8900,0.6403,-2.3049,-4.7157
85,-3.1000,1.3100,-2.1600,0.9130,-2.2406,-4.7015
86,-3.2400,1.7500,-2.3600,1.3035,-2.1522,-4.6131
87,-2.7800,2.6700,-2.9300,1.6199,-2.1697,-4.4877
88,-2.3300,3.3900,-3.4900,1.7770,-2.1642,-4.4473
89,-2.0900,3.7800,-3.8900,1.7759,-2.0257,-4.4015
90,-1.4300,4.6900,-4.5300,1.7213,-1.8075,-4.3688
