lineno,aX,aY,aZ,gX,gY,gZ
0,4.6100,1.3300,-6.4500,-0.0022,-1.2141,-0.2978
1,4.7200,1.0100,-6.6600,-0.0851,-1.0428,-0.2007
2,4.9100,0.8200,-7.5800,-0.0851,-1.0428,-0.2007
3,4.8400,0.7500,-7.8900,-0.1244,-0.6327,-0.0556
4,5.0800,1.1200,-8.2900,-0.1233,-0.3709,-0.1385
5,5.2700,1.0300,-8.4800,-0.0545,-0.0982,-0.1374
6,5.4100,1.4900,-8.8200,-0.0545,-0.0982,-0.1374
7,5.5800,1.4000,-9.0100,0.1102,0.1811,-0.0185
8,5.6600,1.2900,-9.0900,0.2803,0.7407,0.1953
9,5.2300,1.5600,-8.9700,0.3316,1.0810,0.2727
10,5.0800,1.8500,-8.9300,0.3883,1.4235,0.3305
11,4.8800,2.0500,-8.8400,0.3883,1.4235,0.3305
12,3.9300,1.8000,-8.3600,0.3600,2.1217,0.4396
13,3.4200,1.5500,-8.0300,0.3469,2.4860,0.5160
14,3.1000,1.3900,-7.7500,0.4701,2.8231,0.6403
15,2.5500,1.3500,-7.6000,0.7396,3.1481,0.8007
16,2.4800,1.4200,-7.4400,1.0483,3.5005,0.9545
17,2.4900,1.5500,-7.3000,1.4224,3.8397,1.1279
18,2.5400,1.7600,-7.2800,1.4224,3.8397,1.1279
19,2.5100,2.2800,-7.1800,1.7726,4.1397,1.3112
20,2.7100,2.1200,-7.2600,1.9482,4.4506,1.4366
21,2.7800,1.9700,-7.3800,2.1304,5.0647,1.6548
22,1.8600,2.9400,-7.1600,2.3344,5.4847,1.7541
23,1.4700,3.0900,-6.8300,2.4838,5.9079,1.8675
24,0.7600,3.2000,-6.1600,2.4402,6.3094,1.8959
25,-1.4700,2.8700,-4.3500,2.1511,6.6017,1.8021
26,-2.7600,1.8600,-2.5800,2.1511,6.6017,1.8021
27,-4.1800,1.4500,-0.0900,1.8533,6.7773,1.6864
28,-5.5400,1.7300,2.5200,1.6210,6.8231,1.5850
29,-5.9800,0.7700,4.7900,1.7072,6.6541,1.4704
30,-5.1400,0.0800,5.1800,1.6122,6.1785,1.3068
31,-3.9300,-0.4200,4.9300,0.9981,4.6829,0.9937
32,-2.6400,0.7500,4.2300,1.0036,4.2390,0.8814
33,-2.0000,1.4900,4.2400,0.9283,4.0928,0.7941
34,-2.0200,1.6800,4.4000,0.8192,4.1179,0.7603
35,-2.2700,1.4400,3.7700,0.6720,4.2248,0.7287
36,-2.3500,2.3100,4.5300,0.4854,4.4888,0.8159
37,-2.0400,2.1100,5.0300,0.5247,4.6764,0.6141
38,-2.8300,2.0400,5.4500,0.5247,4.6764,0.6141
39,-3.6100,2.9200,6.3900,0.7538,4.6469,1.1061
40,-3.8200,2.2100,7.0500,0.7178,4.5269,1.3461
41,-4.2100,2.1400,7.4000,0.7178,4.5269,1.3461
42,-6.4200,1.8800,10.0000,0.6229,4.3557,1.5195
43,-7.3200,1.2900,11.0500,0.3643,4.0535,1.5435
44,-7.9700,0.5500,12.2800,0.1647,3.5736,1.5599
45,-8.0600,-2.5400,13.1300,-0.1014,2.9442,1.4813
46,-7.2200,-3.5300,12.6000,-0.1014,2.9442,1.4813
47,-6.1300,-3.9900,11.7700,-0.3163,2.1042,1.3963
48,-5.1600,-3.7100,11.1200,-0.2836,1.3330,1.2195
49,-4.1300,-2.7500,10.4300,-0.1134,0.3512,0.7679
50,-4.1700,-2.7100,10.6700,-0.2367,0.0818,0.5247
51,-4.4800,-3.1400,11.1000,-0.4352,-0.2214,0.2880
52,-4.7500,-4.3500,11.3000,-0.6676,-0.6196,0.0425
53,-4.5200,-4.4200,10.7900,-0.8770,-1.5926,-0.6010
54,-4.4400,-3.6300,10.5100,-0.8770,-1.5926,-0.6010
55,-5.0800,-1.8500,10.8300,-0.7374,-2.2962,-1.2075
56,-5.4800,-1.5800,10.9400,-0.7789,-2.6867,-1.4181
57,-5.5300,-2.0600,10.5600,-0.7701,-3.1678,-1.6133
58,-5.3600,-2.4600,9.6800,-0.7701,-3.1678,-1.6133
59,-3.5300,-0.9100,8.6700,-0.6545,-3.6717,-1.7573
60,-4.4400,-0.7900,8.0400,-0.6960,-4.3764,-1.6842
61,-4.2800,-0.8200,7.4500,-0.6960,-4.3764,-1.6842
62,-2.1400,0.0400,5.4400,-0.6381,-4.7964,-1.6722
63,-1.6100,0.3100,4.5200,-1.0232,-5.2556,-1.6373
64,-1.1800,0.6000,4.1000,-1.2119,-5.2774,-1.5250
65,-0.5300,0.2000,3.5100,-1.2119,-5.2774,-1.5250
66,-0.2200,-0.0200,2.8600,-1.3843,-5.3080,-1.4541
67,-0.1900,-0.0700,2.4800,-1.4901,-5.3243,-1.4912
68,-0.4300,0.4100,2.8400,-1.0701,-5.1945,-1.5304
69,-0.8100,0.7000,2.7300,-0.8465,-5.2142,-1.4955
70,-0.9500,0.6600,2.3000,-0.7876,-5.3538,-1.5370
71,-0.8900,0.7900,1.6600,-0.7876,-5.3538,-1.5370
72,0.2900,1.4800,0.3800,-0.7843,-5.5545,-1.6144
73,0.7600,1.9100,-0.3800,-0.8083,-5.7269,-1.6864
74,1.3100,2.2500,-1.1700,-0.8607,-5.7694,-1.6766
75,2.3800,2.2500,-2.2100,-1.0254,-5.7345,-1.6646
76,2.6600,1.8800,-2.9000,-1.5086,-5.5883,-1.7966
77,3.2800,1.8000,-3.8100,-1.5272,-5.4225,-1.7933
78,3.2700,1.0200,-3.6300,-1.3908,-5.0189,-1.5424
79,2.7400,0.9400,-3.2500,-1.1465,-4.6786,-1.3592
80,2.6800,1.2000,-3.2500,-0.9512,-4.5902,-1.2512
81,2.6900,1.4300,-3.5600,-0.9512,-4.5902,-1.2512
82,4.1400,2.2100,-4.6800,-0.8803,-4.6219,-1.2305
83,4.2800,2.4500,-5.1300,-0.9447,-4.4822,-1.2043
84,4.3400,2.7000,-5.3400,-0.8879,-4.2019,-1.0210
85,4.4700,2.8400,-5.5000,-0.8879,-4.2019,-1.0210
86,4.2800,2.6100,-5.6200,-0.8683,-3.9161,-0.7876
87,4.2100,2.2800,-5.7100,-1.0799,-3.3521,-0.6065
88,3.9700,1.6200,-5.5000,-1.0799,-3.3521,-0.6065
89,3.7400,1.6700,-5.2000,-1.0756,-3.0445,-0.5498
90,3.6500,1.9300,-5.0400,-0.9621,-2.7631,-0.4461
91,3.3800,1.7700,-5.0400,-0.7930,-2.3780,-0.2923
