lineno,aX,aY,aZ,gX,gY,gZ
0,0.9000,-0.0700,8.5400,-0.1974,0.3927,0.6545
1,0.9300,-0.8700,9.0300,-0.2062,0.1953,0.6447
2,1.0400,-1.3700,9.4100,-0.2673,-0.0873,0.6043
3,1.0200,-2.4300,9.9000,-0.3294,-0.3622,0.4549
4,0.7900,-2.6000,10.0900,-0.3240,-0.5836,0.2542
5,0.4000,-2.2000,10.0800,-0.2193,-0.7669,0.0305
6,-0.1500,-1.1700,9.8700,-0.0709,-0.9556,-0.2225
7,-0.1600,-0.5900,9.4100,-0.0142,-1.1552,-0.4494
8,-0.1500,0.2200,8.6900,-0.0044,-1.3864,-0.6381
9,-0.2600,0.8800,7.6200,0.0229,-1.6002,-0.7658
10,-0.3400,1.1400,7.0600,-0.0360,-1.7399,-0.8661
11,-0.3300,1.3500,6.3000,-0.0578,-1.8631,-0.9414
12,0.1500,3.3100,4.1500,0.0458,-2.0322,-1.0341
13,0.1000,3.7700,3.5800,0.1963,-2.1795,-1.1301
14,0.1500,4.1300,2.9800,0.1156,-2.2449,-1.2250
15,0.1900,4.4600,2.1900,-0.0665,-2.2962,-1.2043
16,0.5700,4.2900,0.8500,-0.2094,-2.3540,-1.1454
17,0.5500,3.8400,0.3000,-0.4025,-2.3715,-1.1279
18,0.4700,3.9100,-0.2900,-0.5400,-2.3453,-1.1508
19,0.5100,4.4900,-1.3500,-0.5421,-2.2711,-1.1912
20,0.4900,4.7000,-1.9300,-0.5171,-2.1828,-1.2643
21,0.6600,5.1600,-2.5000,-0.4581,-2.0998,-1.2839
22,1.0900,5.4800,-3.3500,-0.3371,-1.9919,-1.2326
23,1.1400,5.5100,-3.8500,-0.2520,-1.8577,-1.1465
24,1.3700,5.7700,-4.3300,-0.2236,-1.6908,-1.0592
25,1.5200,5.9900,-4.6100,-0.2094,-1.4835,-1.0068
26,1.7100,6.0700,-5.2400,-0.1974,-1.2337,-0.9588
27,1.8700,6.4400,-5.7200,-0.1963,-0.9959,-0.8847
28,2.0400,6.6600,-6.2000,-0.1287,-0.7898,-0.7767
29,2.3500,6.9900,-7.2000,-0.1320,-0.2673,-0.5847
30,2.4300,7.3300,-7.4700,-0.1069,0.0993,-0.4734
31,2.6500,7.6900,-7.7100,-0.0535,0.5465,-0.3327
32,2.4700,8.3300,-8.0900,-0.0338,1.0385,-0.1287
33,2.5000,8.6700,-8.2300,-0.0862,1.5283,0.0949
34,2.3100,8.6300,-8.1700,-0.2094,2.0213,0.3316
35,2.1500,8.7500,-8.1500,-0.3054,2.4664,0.5901
36,1.6000,8.2400,-8.0600,-0.4036,2.8449,0.8410
37,1.5500,8.1900,-8.5100,-0.3403,3.1405,1.1301
38,1.5100,8.3700,-8.5200,-0.3403,3.1405,1.1301
39,1.0300,7.9800,-8.3700,-0.1724,3.4688,1.4148
