lineno,aX,aY,aZ,gX,gY,gZ
0,-1.6300,2.9400,-4.4800,-0.9970,-2.8263,-1.3821
1,-1.7300,2.8700,-4.6400,-0.9665,-2.5864,-1.1672
2,-1.7400,2.5200,-5.3100,-0.9665,-2.5864,-1.1672
3,-1.7800,2.3200,-5.4300,-0.9174,-2.1358,-0.7930
4,-1.7700,2.1200,-5.5800,-0.8334,-1.8926,-0.6665
5,-1.6900,2.2500,-6.3700,-0.8334,-1.8926,-0.6665
6,-1.4800,2.5700,-6.7600,-0.4200,-1.3145,-0.3698
7,-1.0900,2.7200,-7.1400,-0.1604,-0.9632,-0.2323
8,-1.3400,3.0900,-7.1900,0.1058,-0.4734,-0.0109
9,-2.0400,3.9800,-6.7800,0.4385,0.0415,0.2563
10,-2.4100,4.5900,-6.6400,0.7396,0.5018,0.5400
11,-2.6600,4.6700,-6.8100,0.8105,0.8759,0.7887
12,-2.5500,4.2700,-7.1700,0.8105,0.8759,0.7887
13,-2.3500,4.7700,-7.2100,0.6556,1.2414,0.9807
14,-2.3400,4.3100,-7.0300,0.5727,2.9223,1.8446
15,-2.7600,4.4600,-6.6100,0.8618,3.4078,2.2449
16,-2.6300,4.1600,-6.6900,1.0581,3.7874,2.6093
17,-2.5400,4.4100,-6.8800,1.0581,3.7874,2.6093
18,-2.4700,4.3100,-6.8000,1.1606,4.1233,2.8852
19,-3.1700,3.9900,-5.7900,1.1236,4.4560,3.1514
20,-3.1800,4.5600,-5.9600,1.2163,4.6829,3.4045
21,-2.7600,4.3200,-6.2400,1.3101,4.8553,3.6881
22,-2.5100,4.8800,-7.3100,1.4017,5.4214,4.1310
23,-2.3200,4.9600,-7.8200,1.0865,6.0650,4.2150
24,-2.6700,4.7600,-7.4100,1.0865,6.0650,4.2150
25,-4.5700,6.1900,-6.8100,0.9043,6.7217,4.3197
26,-5.5000,6.5000,-5.8400,0.9185,7.1908,4.5379
27,-6.6200,6.7100,-4.8500,0.8847,7.4373,4.8618
28,-8.0700,6.5300,-3.2400,0.8901,7.4886,5.2633
29,-10.4600,4.6900,0.6300,0.8170,7.4744,5.5981
30,-9.9600,2.8900,1.6000,0.6087,7.2169,5.6985
31,-7.4100,1.6900,1.5100,0.4516,6.8526,5.5600
32,-7.9800,0.1700,3.8600,0.1276,6.0181,4.9044
33,-8.5200,0.7200,4.3600,-0.0524,5.5621,4.5062
34,-7.2800,0.6800,4.4500,-0.3752,5.3723,4.2891
35,-8.7000,-0.1100,5.4600,-0.3796,5.1411,4.1768
36,-8.7100,-0.4200,5.9400,-0.0687,4.5204,4.1484
37,-7.4700,-0.8200,6.0900,0.2727,3.8441,4.0546
38,-7.2300,-2.5500,6.1300,0.5443,3.3281,3.8834
39,-6.5600,-2.6400,6.1200,0.5443,3.3281,3.8834
40,-6.3900,-2.5900,6.5200,0.8530,2.8274,3.5605
41,-6.0800,-2.3400,6.8300,1.0003,2.4718,3.1656
42,-5.7900,-1.7000,6.4200,0.9021,2.0988,2.6834
43,-5.6700,-2.0100,6.3400,0.4440,1.8119,2.1478
44,-5.8100,-2.1100,6.3300,-0.6261,1.4464,1.1705
45,-6.5400,-4.4300,7.0100,-0.8105,1.2479,0.8694
46,-6.8700,-5.3200,7.5600,-0.7429,0.9207,0.6240
47,-7.3600,-5.8200,8.0400,-0.7429,0.9207,0.6240
48,-7.0900,-6.5000,8.0000,-0.5781,0.4036,0.3796
49,-7.0200,-6.9100,7.4700,-0.5007,-1.0461,-0.3687
50,-6.8800,-6.6300,6.8400,-0.5072,-1.7093,-0.8738
51,-6.6500,-6.6900,6.2000,-0.5007,-2.2820,-1.4235
