lineno,aX,aY,aZ,gX,gY,gZ
0,-0.5100,1.3500,-1.4600,-0.5683,-0.3600,-0.2138
1,-0.5600,0.9400,-1.3700,-0.6218,-0.2738,-0.1178
2,-0.7100,0.6800,-1.2400,-0.5869,-0.1734,-0.0524
3,-0.9400,0.8100,-0.8800,-0.5869,-0.1734,-0.0524
4,-0.9800,0.6100,-0.8200,-0.4505,-0.0807,0.0262
5,-0.8400,0.1600,-0.7700,-0.3698,-0.0185,0.0796
6,-1.1300,0.8400,-0.6100,-0.4211,-0.0076,0.0098
7,-0.9600,0.9500,-0.9300,-0.3414,-0.0698,-0.2291
8,-0.8000,0.8800,-1.1400,-0.3491,-0.0644,-0.2323
9,-0.7000,0.4900,-1.3100,-0.3011,-0.0109,-0.1865
10,-0.8400,0.9200,-1.3700,-0.1745,0.1014,-0.1745
11,-0.8400,0.9800,-1.3900,-0.1069,0.1974,-0.1636
12,-0.8000,1.1600,-1.3600,-0.1069,0.1974,-0.1636
13,-0.7500,1.5600,-1.4800,-0.0622,0.2738,-0.1069
14,-0.9300,1.3800,-1.4200,0.0011,0.3469,-0.0011
15,-1.1400,1.2500,-1.3200,-0.0109,0.4472,0.1102
16,-1.1700,0.6900,-1.3000,-0.0524,0.5105,0.1756
17,-1.1700,0.5900,-1.3400,-0.1233,0.4745,0.1604
18,-1.0500,0.4100,-1.4600,-0.1233,0.3894,0.1091
19,-0.9300,0.4600,-1.4600,-0.0884,0.4167,0.1145
20,-0.7200,0.5100,-1.5200,-0.0262,0.4516,0.1342
21,-0.8200,0.7200,-1.4700,0.0185,0.5400,0.1494
22,-0.8700,0.5800,-1.4700,0.0185,0.5400,0.1494
23,-0.7300,1.0200,-1.3500,0.0175,0.5956,0.1822
24,-0.7100,1.1800,-1.2900,0.0458,0.6141,0.1429
25,-0.7700,1.2600,-1.2200,0.0862,0.6272,0.1222
26,-0.9500,1.4300,-0.9000,0.1080,0.6741,0.1462
27,-1.1400,1.6300,-0.7300,0.2563,0.7909,0.2727
28,-1.1700,1.6400,-0.6500,0.2520,0.7723,0.3349
29,-1.2800,1.2200,-0.7000,0.2193,0.7352,0.3851
30,-1.3000,0.9600,-0.8000,0.1713,0.7134,0.4222
31,-1.3500,0.7300,-0.8600,0.1113,0.7036,0.3960
32,-1.4200,0.4400,-0.9300,0.0665,0.7025,0.3480
33,-1.4500,0.2500,-1.1200,0.0665,0.7025,0.3480
34,-1.3600,0.4900,-1.2300,0.1047,0.7058,0.3185
35,-1.3100,0.6800,-1.3300,0.1898,0.7374,0.2891
36,-1.4500,1.0900,-1.2600,0.2367,0.7690,0.2618
37,-1.4300,1.2500,-1.2900,0.2705,0.8094,0.2542
38,-1.3800,1.2700,-1.4500,0.2891,0.8421,0.2727
39,-1.5100,1.1800,-1.6200,0.2771,0.8650,0.2956
40,-1.5800,1.2700,-1.6800,0.2618,0.8978,0.3131
41,-1.5000,1.3100,-1.9700,0.2563,0.9468,0.3131
42,-1.4500,1.4500,-2.1900,0.3262,1.0592,0.3414
43,-1.5700,1.7600,-2.3300,0.3752,1.1476,0.3676
44,-1.5900,1.9000,-2.4500,0.4374,1.2381,0.4167
45,-1.5500,2.0500,-2.4700,0.4854,1.3352,0.4560
46,-1.5500,2.6300,-2.2400,0.5094,1.4312,0.5105
47,-1.6000,2.6200,-2.2900,0.5094,1.4312,0.5105
48,-1.6100,2.7700,-2.3600,0.4854,1.5293,0.5694
49,-1.7400,2.6300,-2.5400,0.4461,1.6024,0.6469
50,-1.7800,2.6000,-2.6700,0.4352,1.6155,0.7178
51,-1.7700,2.7000,-2.7000,0.4189,1.6493,0.7614
52,-1.3600,2.6000,-2.8300,0.4352,1.7388,0.8170
53,-1.1300,2.3500,-2.9800,0.4778,1.8315,0.8879
54,-1.0800,2.2900,-2.8500,0.5203,1.9319,0.9687
55,-1.2000,2.3400,-2.5100,0.5301,2.0780,1.0199
56,-1.5400,2.1500,-1.7300,0.5389,2.2351,1.0439
57,-1.5600,1.8800,-1.5200,0.5552,2.3496,1.0952
58,-1.7000,1.7300,-1.2000,0.4778,2.4162,1.1257
59,-2.5800,1.1200,-0.3100,0.3785,2.4838,1.1225
60,-2.6200,1.0100,-0.0300,0.3414,2.5471,1.1279
61,-2.4600,1.0600,0.0900,0.3611,2.5700,1.1476
62,-2.2700,0.8800,0.1900,0.4211,2.5515,1.1465
63,-2.0100,0.8200,0.1800,0.4625,2.5220,1.1345
64,-1.6100,0.5700,0.0900,0.5356,2.4849,1.1443
65,-1.4600,0.1700,0.0600,0.5956,2.4685,1.1596
66,-1.1200,0.2300,0.2400,0.6000,2.4598,1.1421
67,-1.0100,-0.4900,0.2800,0.6261,2.4871,1.0963
68,-0.8800,-0.7600,0.3600,0.5770,2.4816,1.0254
69,-1.1800,-1.3700,0.8800,0.5181,2.4849,0.9839
70,-1.1300,-1.5900,1.1700,0.5400,2.4871,0.9174
71,-1.4000,-1.6600,1.6600,0.7854,2.4642,0.8083
72,-0.7000,-0.5300,2.4400,0.9916,2.4369,0.7810
73,-1.7700,-1.5200,2.2000,1.0996,2.3082,0.7756
74,-1.2300,-0.5900,2.4300,1.1345,2.4587,0.7941
75,-1.5500,-0.2600,2.8800,1.0788,2.5482,0.4516
76,-1.6500,-0.3600,2.9300,0.9927,2.4238,0.5214
77,-1.5500,-0.1200,2.8300,0.8956,2.3169,0.5607
78,-0.8400,-0.2500,2.4400,0.7810,2.0279,0.5705
79,-0.6400,-0.2500,2.1600,0.7810,2.0279,0.5705
80,-0.4900,-0.5000,2.2200,0.6916,1.8970,0.5083
81,-0.7200,-0.8100,2.5000,0.6698,1.8522,0.4571
82,-1.3100,-0.2100,3.1000,0.6960,1.8141,0.4494
83,-1.4000,-0.0300,3.3700,0.7483,1.7999,0.4276
84,-1.4700,0.1500,3.5700,0.7592,1.7421,0.4505
85,-1.5200,0.2600,3.7800,0.6567,1.6199,0.4461
86,-1.7800,-0.0600,3.8600,0.5138,1.4923,0.4069
87,-1.0600,0.1000,3.4600,0.4123,1.3221,0.3796
88,-1.6000,-0.2100,3.4300,0.3076,1.1857,0.3578
89,-1.4200,-0.3900,2.9500,0.2454,1.1072,0.3174
90,-0.5400,-0.2200,2.5500,0.1004,1.2915,0.3349
91,-0.4400,-0.2500,2.4600,0.1004,1.2915,0.3349
92,-0.3800,-0.2300,2.0500,0.0469,1.1148,0.4200
93,-0.3300,-0.3100,1.9500,0.0087,1.1410,0.4232
94,-0.2500,-0.3100,1.9400,0.0087,1.1410,0.4232
95,-0.8300,-0.4000,2.3000,-0.0251,1.1246,0.4014
96,-1.0500,-0.5400,2.4600,-0.0535,1.1116,0.3622
97,-0.9800,-0.5700,2.4100,-0.1014,1.0952,0.3436
98,-0.7000,-0.5300,2.2400,-0.1331,1.0014,0.3262
99,-0.4700,-0.2400,1.9000,-0.1549,0.8705,0.3022
100,-0.5100,-0.2200,2.0000,-0.1680,0.7723,0.2967
101,-0.5600,-0.2000,2.0300,-0.1800,0.7123,0.3065
102,-0.3800,-0.1700,1.9000,-0.2073,0.6720,0.3327
103,-0.1100,-0.0900,1.8100,-0.2389,0.6316,0.3709
104,-0.1200,-0.1400,1.7300,-0.2847,0.6087,0.4363
105,-0.4000,-0.0800,1.8900,-0.3392,0.6436,0.5389
106,-0.1700,0.0100,1.8900,-0.4385,0.7701,0.6240
107,-0.0700,0.0000,1.8200,-0.5247,0.8585,0.6687
