lineno,aX,aY,aZ,gX,gY,gZ
0,-3.0800,1.7500,-4.9400,0.1244,1.7148,1.2981
1,-2.7600,4.1600,-5.8600,0.1244,1.7148,1.2981
2,-2.5900,4.1800,-6.0400,0.5258,1.9090,1.5795
3,-2.4100,3.5900,-5.2700,-0.1789,2.1457,1.3035
4,-2.4600,3.5400,-5.3000,-0.4429,2.3126,1.2839
5,-2.4100,3.0900,-5.2100,-0.4091,2.4696,1.4584
6,-3.1300,3.4400,-4.3900,-0.2836,2.6213,1.5479
7,-3.2500,3.5100,-4.0400,-0.0633,2.7565,1.6744
8,-3.3700,3.4100,-3.8700,0.1985,2.8765,2.0300
9,-3.3100,3.0500,-3.8900,0.3043,2.9409,2.1697
10,-3.1500,2.8000,-3.6500,0.5018,3.1034,2.2624
11,-3.3400,3.4700,-2.9200,0.6720,3.2572,2.3507
12,-3.3500,3.4300,-2.3900,0.6720,3.2572,2.3507
13,-3.3600,2.9700,-1.5500,0.6480,3.2779,2.4816
14,-2.8400,2.6700,-1.5600,0.5912,3.0718,2.7707
15,-2.6900,1.6200,-1.4200,0.4985,3.1394,2.8667
16,-3.4800,0.3700,-0.5200,0.4985,3.1394,2.8667
17,-4.0000,0.0100,0.4500,0.5847,3.2627,2.9452
18,-4.2900,-0.5400,1.4700,0.6807,3.3848,2.9431
19,-4.1600,-0.9200,2.0900,0.7210,3.4045,2.9060
20,-4.0800,-2.0100,3.2600,0.6698,3.3281,2.8416
21,-4.5000,-2.3400,3.9800,0.7014,3.0631,2.6354
22,-4.0400,-2.1900,4.6900,0.8072,2.7860,2.5493
23,-5.3800,-2.3000,6.7700,0.8072,2.7860,2.5493
24,-6.2600,-2.9600,8.0300,0.7494,2.5885,2.5427
25,-5.6700,-3.9600,8.5200,0.5749,2.3889,2.4707
26,-7.1100,-5.1500,9.8000,0.3632,2.0366,2.3267
27,-6.3600,-6.2200,10.2500,0.1287,1.9406,2.0791
28,-6.2300,-5.9800,10.3600,0.0305,1.6068,1.8184
29,-6.0600,-7.4500,10.1500,0.1036,1.0450,1.6352
30,-5.8900,-8.3400,9.9200,-0.0425,0.7418,1.3930
31,-5.5400,-9.1200,9.3600,-0.2367,0.3534,1.0734
32,-5.3200,-9.8000,8.6700,-0.4200,-0.0524,0.6949
33,-4.8700,-10.0900,7.0700,-0.6480,-0.7799,-0.2487
34,-4.4400,-9.5400,6.0600,-0.6480,-0.7799,-0.2487
35,-4.2400,-8.9300,5.1300,-0.6272,-1.0963,-0.7647
36,-3.7700,-7.4900,3.6700,-0.5749,-1.3461,-1.2315
37,-3.6700,-6.4800,2.9300,-0.4756,-1.5577,-1.6122
38,-3.5100,-5.2600,2.1900,-0.2760,-1.9220,-2.2580
39,-3.0300,-3.9900,0.7800,-0.2225,-2.0791,-2.5013
