lineno,aX,aY,aZ,gX,gY,gZ
0,-1.9400,0.1000,0.6800,-1.8675,-2.0562,0.1789
1,-1.8400,0.0300,0.1700,-1.8926,-2.1249,0.0993
2,-1.5100,-0.8100,-0.4700,-1.9024,-2.1762,0.0447
3,-1.7700,-0.4600,-0.9500,-1.7191,-2.1697,0.0862
4,-1.9400,-0.4000,-1.3700,-1.4792,-2.1642,0.1582
5,-1.8200,0.0700,-2.1700,-1.4792,-2.1642,0.1582
6,-0.9200,-0.1300,-3.7200,-1.2894,-2.2013,0.2509
7,-0.7800,0.2700,-4.0900,-1.2021,-2.0857,0.2378
8,-0.4900,0.2600,-4.7300,-1.1312,-1.9602,0.2105
9,-0.0400,0.4200,-5.5900,-1.1312,-1.9602,0.2105
10,0.0900,0.5700,-6.0600,-1.0690,-1.7922,0.1865
11,0.1400,0.5300,-6.3100,-1.0537,-1.6188,0.1440
12,0.1700,0.9000,-6.7300,-1.0516,-1.4410,0.1113
13,0.2700,0.9300,-6.9300,-0.9916,-1.2512,0.1364
14,0.3200,1.0700,-7.2000,-0.9218,-0.9752,0.2662
15,0.4600,1.1500,-7.5000,-0.9425,-0.8508,0.3163
16,0.8500,0.9300,-8.1300,-1.0036,-0.7003,0.3131
17,1.0500,0.7300,-8.4400,-1.0450,-0.5247,0.3000
18,1.2700,0.7200,-8.8600,-1.0559,-0.3153,0.2716
19,1.7100,0.6900,-9.2500,-1.0330,-0.0295,0.2323
20,1.9400,0.7900,-9.3900,-1.0330,-0.0295,0.2323
21,2.0800,0.8200,-9.6100,-1.0177,0.2967,0.2062
22,1.5000,1.2100,-9.1600,-0.9850,0.6796,0.1942
23,1.1200,1.4300,-8.8900,-0.9305,1.1170,0.2225
24,1.0500,1.8500,-8.6600,-0.7898,1.5337,0.3491
25,0.8300,2.4200,-8.5300,-0.6840,2.2209,0.6545
26,-0.4100,2.7600,-7.4300,-0.6840,2.2209,0.6545
27,-0.4900,3.0000,-7.1700,-0.8018,2.5678,0.7778
28,-0.5800,3.2000,-6.8700,-0.5781,3.0609,1.3177
29,-0.7700,3.3600,-6.5600,-0.4320,3.3129,1.6133
30,-0.6800,3.3000,-6.3900,-0.4320,3.3129,1.6133
31,-0.5000,3.4000,-6.2000,-0.2869,3.9750,2.0573
32,-0.8200,3.7300,-6.2300,-0.2182,4.3666,2.2384
33,-1.0100,3.6000,-5.8300,-0.2400,4.8171,2.3616
34,-1.6000,2.9500,-5.1100,-0.2400,4.8171,2.3616
35,-2.6100,2.5400,-4.1700,-0.2902,5.2414,2.4391
36,-3.4900,2.5600,-2.0800,-0.1156,5.7781,2.6256
37,-5.9100,2.6200,-0.7100,-0.1014,5.9516,2.6889
38,-6.9700,2.1300,0.9300,-0.5236,6.0836,2.4467
39,-7.4400,2.9000,3.0900,-0.5236,6.0836,2.4467
40,-7.6800,2.4600,3.7000,-0.4931,5.7050,2.4969
41,-8.1500,1.2800,4.6000,-0.5716,5.2665,2.5809
42,-6.4200,-0.7200,4.7900,-0.9556,4.9513,2.6158
43,-9.1900,-3.5500,5.9200,-1.1072,4.4550,2.6911
44,-7.9800,-3.7300,7.0000,-0.9065,3.9794,2.6954
45,-10.2400,-4.3600,9.2400,-0.9065,3.9794,2.6954
46,-10.4600,-5.2300,10.1600,-0.5531,3.1634,2.1489
47,-10.5400,-6.0500,10.6600,-0.7756,2.4653,1.6275
48,-10.8000,-6.6900,10.7300,-0.7756,2.4653,1.6275
49,-10.7300,-7.1400,10.4200,-1.0843,0.9458,0.6294
50,-11.0600,-7.6300,10.5900,-1.0843,0.9458,0.6294
51,-11.2200,-8.3700,10.8800,-1.0112,-0.2422,-0.1342
52,-11.1700,-8.2600,10.7400,-0.7854,-0.9523,-0.4898
53,-10.8700,-7.2800,9.9500,-0.5258,-1.7486,-0.9043
54,-10.2900,-6.2300,8.9100,-0.5258,-1.7486,-0.9043
55,-8.7200,-4.1100,6.4700,-0.4058,-2.5765,-1.4279
56,-8.0300,-2.7800,5.1900,-0.3185,-4.1375,-2.2362
57,-7.7300,-1.6800,4.1200,-0.3294,-4.6938,-2.5220
58,-7.4400,-0.9400,3.1800,-0.3294,-4.6938,-2.5220
59,-6.3500,-0.2600,1.3900,-0.4058,-5.0789,-2.7096
60,-6.0000,0.3000,0.3300,-0.5192,-5.5501,-2.8972
61,-5.6900,0.8100,-0.6300,-0.4691,-5.6352,-2.9202
