lineno,aX,aY,aZ,gX,gY,gZ
0,0.1600,0.4900,2.2200,0.4429,-1.0210,-0.9752
1,0.2900,0.4700,2.0000,0.4352,-1.0548,-0.9207
2,0.5200,0.6600,1.5700,0.4352,-1.0548,-0.9207
3,0.3900,0.8600,1.4500,0.5105,-1.0723,-0.8759
4,0.4000,1.2100,1.2600,0.5552,-1.0919,-0.8574
5,0.8500,1.9000,0.6600,0.5803,-1.1214,-0.7930
6,1.0700,1.8700,0.4600,0.5061,-1.1410,-0.7232
7,1.2800,2.1900,0.2800,0.3851,-1.1257,-0.6392
8,1.5500,2.5100,0.2200,0.3087,-1.0952,-0.5596
9,1.9500,2.6500,0.2000,0.3087,-1.0952,-0.5596
10,1.9400,2.6800,0.2700,0.1647,-0.9916,-0.3512
11,1.6700,2.8800,0.4000,0.1342,-0.9163,-0.2422
12,1.2000,3.4900,0.3800,0.1342,-0.9163,-0.2422
13,0.8100,3.8100,0.4500,0.1385,-0.8465,-0.1374
14,0.4700,4.2800,0.4000,0.1418,-0.7887,-0.0142
15,0.0500,4.6000,0.4700,0.1462,-0.7429,0.1091
16,-0.1400,4.8200,0.4300,0.1080,-0.7036,0.2716
17,-0.3000,4.9200,0.2700,0.0578,-0.6840,0.4887
18,-0.5400,4.9500,0.1000,0.0316,-0.7003,0.6861
19,-0.7600,5.2700,-0.4800,-0.0818,-0.7516,1.0417
20,-0.8900,5.4900,-0.8500,-0.0818,-0.7516,1.0417
21,-1.0600,5.6600,-1.2100,-0.1560,-0.7581,1.2119
22,-1.4100,5.4700,-2.0200,-0.4494,-0.7287,1.5752
23,-1.6900,5.3500,-2.3600,-0.6425,-0.6883,1.7606
24,-2.0600,5.2600,-2.6900,-0.8410,-0.6316,1.9460
25,-2.6100,4.5800,-3.2600,-1.0494,-0.5585,2.1129
26,-2.9400,4.1500,-3.4900,-1.2545,-0.4952,2.2678
27,-3.1500,3.7300,-3.6900,-1.4475,-0.4418,2.4140
28,-3.3100,3.2700,-3.9200,-1.4475,-0.4418,2.4140
29,-3.5200,2.0300,-4.3200,-1.6362,-0.4156,2.5449
30,-3.6400,1.4600,-4.4200,-1.8162,-0.3752,2.6551
31,-3.8100,0.7700,-4.4500,-1.9689,-0.3218,2.7718
32,-4.0500,-0.7100,-4.5000,-2.0846,-0.2443,2.8972
33,-4.2200,-1.2500,-4.4800,-2.1435,-0.1429,2.9932
34,-4.5000,-1.5600,-4.4000,-2.1664,0.1287,3.0652
35,-5.1200,-2.2200,-4.1700,-2.1664,0.1287,3.0652
36,-5.4400,-2.3600,-4.1000,-2.0704,0.2793,3.0500
37,-5.5000,-2.3800,-4.0900,-1.9362,0.4167,3.0391
38,-5.5400,-2.5000,-4.1300,-1.7497,0.5323,3.0401
39,-5.6200,-3.5900,-4.0700,-1.5915,0.6152,3.0151
40,-5.3400,-3.9100,-4.1000,-1.4923,0.6720,2.9583
41,-5.3100,-3.9800,-3.9600,-1.3799,0.6992,2.8711
42,-4.9600,-3.9400,-3.9600,-1.2305,0.7472,2.7402
43,-4.5800,-3.7400,-4.1000,-1.0777,0.7712,2.5460
44,-4.2700,-3.4500,-4.2900,-0.8639,0.8574,2.1609
45,-3.7000,-2.6600,-4.6400,-0.8639,0.8574,2.1609
46,-3.4200,-2.5200,-4.8700,-0.8061,0.9392,2.0409
47,-3.2300,-2.9400,-4.9800,-0.8683,1.1901,2.0104
