lineno,aX,aY,aZ,gX,gY,gZ
0,-2.4500,1.0600,-1.5300,-0.7625,-1.3570,-1.8719
1,-2.5600,1.2200,-1.5900,-0.8050,-1.2490,-1.8021
2,-2.7000,1.2100,-1.6200,-0.8596,-1.1050,-1.7322
3,-3.5000,-0.0400,-1.4800,-0.8596,-1.1050,-1.7322
4,-3.6900,1.5300,-1.8600,-0.8290,-0.9490,-1.6526
5,-3.5800,2.3100,-2.0800,-0.4723,-0.8650,-1.4344
6,-3.7100,2.0700,-2.4700,-0.2825,-0.8628,-1.3384
7,-3.5000,2.8400,-2.8700,-0.2498,-0.7450,-1.1617
8,-3.5000,3.0700,-3.1100,-0.0894,-0.6130,-0.9327
9,-3.2200,3.4100,-3.3500,0.0120,-0.3142,-0.6327
10,-3.4100,4.0500,-3.8100,0.0665,-0.0840,-0.4069
11,-3.4800,4.6500,-3.9100,0.1527,0.1473,-0.1145
12,-3.6100,4.8900,-3.9900,0.2313,0.3818,0.1985
13,-4.0600,5.5100,-4.3000,0.2858,0.6043,0.5465
14,-4.2200,5.5200,-4.4300,0.2236,0.8149,0.8650
15,-4.2000,5.5200,-4.7900,0.2236,0.8149,0.8650
16,-4.1800,5.8200,-5.4700,0.1156,1.0308,1.1639
17,-4.0700,5.7000,-5.6200,0.0087,1.3068,1.4704
18,-4.3800,5.4200,-5.5600,-0.1353,1.6570,1.8042
19,-4.4400,5.1900,-5.6800,-0.1974,2.0660,2.1860
20,-4.4300,4.8100,-5.7000,0.0240,2.6245,2.9900
21,-4.3500,4.5400,-5.7500,0.1702,2.8089,3.2878
22,-4.1000,4.6000,-5.9200,0.4003,2.9518,3.5016
23,-4.1700,4.9100,-5.7500,0.6523,3.1318,3.6826
24,-3.8800,5.2100,-5.7600,0.6523,3.1318,3.6826
25,-3.8700,5.8300,-5.8500,0.8988,3.3085,3.8997
26,-4.9000,5.6500,-5.0900,1.0047,3.5550,4.1462
27,-5.5400,5.7100,-4.7300,0.9228,3.8092,4.3808
28,-5.6500,6.3100,-4.6300,0.9490,3.9783,4.6338
29,-5.8000,5.2900,-3.8400,0.9817,4.0699,4.9687
30,-6.9500,4.6800,-2.2200,0.7636,4.1768,5.2305
31,-7.0600,5.0100,-1.4100,0.9359,4.2182,5.4258
32,-7.2200,4.8600,-0.7200,0.6807,4.1201,5.3811
33,-7.7800,3.8700,0.2400,0.6807,4.1201,5.3811
34,-7.6300,2.8900,0.7300,0.2400,4.0230,5.2971
35,-6.3500,2.3100,0.5700,-0.0971,3.9652,5.2698
36,-7.8600,0.9200,2.3300,0.0338,3.9357,5.3287
37,-8.2000,0.7000,2.7600,0.4003,3.4285,5.3113
38,-8.2600,-0.1700,2.8700,0.4003,3.4285,5.3113
39,-7.7600,-0.8500,3.2600,0.2596,3.3859,5.2480
40,-8.5800,-2.6800,3.8000,0.0491,3.3019,5.0244
41,-7.5800,-2.8100,3.5900,0.0764,2.8798,4.5651
42,-7.7100,-3.3400,3.8000,0.0764,2.8798,4.5651
43,-9.3600,-4.2600,4.1400,0.0098,2.6496,4.0099
44,-7.4700,-3.8800,4.2300,0.0316,2.4838,3.5048
45,-6.5200,-4.1200,3.8800,-0.0905,2.1108,3.0249
46,-7.9700,-6.2000,4.2600,-0.3109,2.1511,2.6922
47,-7.6700,-6.6200,4.3200,-0.2149,1.9450,2.4664
48,-7.9800,-6.9700,4.8100,-0.2149,1.9450,2.4664
49,-8.5900,-7.7200,5.5100,-0.0371,1.7595,2.2307
50,-9.0000,-9.0900,6.0100,-0.1593,1.3701,1.3723
51,-8.8200,-9.4000,6.0300,-0.1593,1.3701,1.3723
52,-8.8800,-9.1700,5.9500,-0.2138,0.9905,0.7930
