lineno,aX,aY,aZ,gX,gY,gZ
0,2.2900,-0.8400,2.4500,-0.3851,-1.0734,-0.6981
1,2.4100,-0.4600,2.4500,-0.4461,-1.0974,-0.7309
2,2.6200,-0.5200,2.4700,-0.5836,-1.1585,-0.7472
3,2.6900,-0.5300,2.3100,-0.5836,-1.1585,-0.7472
4,2.7500,-0.5700,2.1100,-0.6981,-1.2381,-0.7745
5,2.9300,-0.6500,1.9800,-0.7549,-1.2981,-0.8039
6,3.5400,-0.3600,1.4900,-0.7625,-1.3112,-0.8083
7,3.9500,-0.4800,1.1800,-0.7058,-1.3155,-0.7996
8,3.7300,-0.8500,1.0800,-0.5018,-1.2490,-0.6054
9,3.2800,0.7200,1.0500,-0.5018,-1.2490,-0.6054
10,2.8300,0.3100,0.9200,-0.3153,-1.1246,-0.6960
11,2.2300,0.8200,1.0200,-0.2018,-1.1083,-0.6621
12,1.7400,1.8300,0.8900,-0.1691,-1.1323,-0.6240
13,1.4300,1.8900,0.6600,-0.1724,-1.1923,-0.5607
14,1.4100,2.0600,0.2800,-0.1778,-1.2654,-0.4865
15,1.2400,2.3000,-0.1200,-0.2073,-1.2785,-0.3949
16,0.8700,2.6400,-0.8900,-0.2073,-1.2785,-0.3949
17,0.3600,2.7300,-1.0400,-0.2160,-1.2348,-0.3272
18,-0.2300,3.1000,-1.1500,-0.1756,-1.1596,-0.2193
19,-1.0800,3.7000,-1.5600,-0.1691,-1.0897,-0.1254
20,-1.3900,3.9400,-1.9200,-0.2454,-1.0668,-0.0654
21,-1.7600,4.0700,-2.3000,-0.3632,-1.0472,0.1440
22,-2.5300,4.2300,-2.9000,-0.4036,-0.9970,0.3054
23,-2.8100,4.1500,-3.3300,-0.4538,-0.9403,0.4494
24,-3.0600,4.0700,-3.7000,-0.4865,-0.8661,0.6010
25,-3.5000,4.1500,-4.4600,-0.5280,-0.7843,0.7799
26,-3.7300,4.1600,-4.9300,-0.5280,-0.7843,0.7799
27,-3.6600,3.8600,-5.4100,-0.6512,-0.7232,0.9632
28,-3.6900,3.6700,-6.0000,-0.7909,-0.7167,1.1683
29,-3.3600,3.5300,-7.2800,-0.8399,-0.6992,1.3614
30,-3.1800,3.4900,-7.9700,-0.8661,-0.6752,1.5086
31,-2.9000,3.4200,-8.5200,-0.9141,-0.6065,1.6133
32,-2.6300,2.8700,-9.1300,-0.9948,-0.2782,1.8970
33,-2.6300,2.5100,-9.2000,-1.0516,-0.0524,2.0737
34,-2.6100,1.9000,-9.1500,-1.0603,0.1800,2.2657
35,-2.4700,0.6600,-9.0700,-1.0439,0.4232,2.4140
36,-2.3500,0.3900,-8.8700,-1.0625,0.6796,2.4696
37,-2.2700,0.5900,-8.6700,-1.0886,0.9250,2.4685
38,-2.2200,0.7000,-8.3500,-1.0886,0.9250,2.4685
39,-2.1600,-0.1800,-7.8800,-1.3581,1.3134,2.5209
40,-2.2200,-0.9300,-7.5500,-1.5970,1.4912,2.5329
41,-2.2200,-1.9500,-7.1200,-1.5970,1.4912,2.5329
42,-1.4100,-4.5100,-6.4700,-1.8293,1.6690,2.4566
43,-2.1000,-5.3800,-5.8100,-2.0071,1.7475,2.3671
44,-1.2000,-6.0600,-5.3800,-2.0257,1.9297,2.4064
45,-0.8000,-7.1100,-4.4900,-1.8424,2.0169,2.2198
46,-0.5500,-7.7100,-4.0500,-1.5904,2.1948,1.8642
47,-0.3400,-8.8200,-3.4800,-1.4661,2.2242,1.6984
48,-0.1200,-10.0600,-2.8900,-1.2468,2.2547,1.5152
49,0.2800,-11.7100,-1.4000,-0.8356,2.3082,1.3221
50,0.3800,-12.6200,-0.3400,-0.3283,2.3682,1.1661
51,0.4500,-13.2400,0.8400,0.2531,2.3649,1.0167
52,0.3000,-13.1500,3.5800,0.7625,2.2678,0.8018
53,1.0000,-12.8400,4.6000,1.0712,2.0431,0.4581
54,1.2100,-12.0500,5.4800,1.1792,1.8533,0.0349
55,1.1600,-10.2200,7.0000,1.1039,1.7126,-0.3971
56,0.8000,-9.2800,7.8400,1.1039,1.7126,-0.3971
57,0.3600,-8.5700,8.6000,0.9403,1.6122,-0.7985
58,-0.6800,-7.5500,9.9200,0.6338,1.4824,-1.2010
59,-1.2700,-7.3300,10.3000,0.3065,1.2719,-1.6079
60,-1.3400,-6.7300,10.3700,0.0513,0.9992,-1.9657
61,-1.5900,-5.9200,10.1400,0.1680,0.3011,-2.4555
62,-1.8200,-3.3400,9.3000,0.4680,-0.0502,-2.5482
63,-1.9100,-2.1500,8.5900,0.7494,-0.4418,-2.5744
64,-1.9900,-1.0600,7.7700,0.9905,-0.8367,-2.5536
65,-1.4200,1.3700,5.7200,1.1661,-1.2228,-2.5056
66,-1.1900,2.5800,4.6800,1.1661,-1.2228,-2.5056
67,-1.3100,3.2900,3.8100,1.1999,-1.5381,-2.4653
68,-1.0100,3.9900,2.2000,1.0712,-1.7061,-2.4086
69,-1.0300,3.8300,1.3700,0.8596,-1.8239,-2.3322
70,-1.0300,3.5300,0.5400,0.6010,-1.8937,-2.2417
71,-1.0800,3.3500,-0.3500,0.3840,-1.9559,-2.1631
72,-0.7800,3.0800,-1.8900,0.2673,-2.0049,-2.0529
73,-0.7300,3.0700,-2.6700,0.2574,-2.0268,-1.9177
74,-0.5700,3.0100,-3.4200,0.4461,-1.9940,-1.6035
75,-0.1900,3.1700,-4.7000,0.5672,-1.9264,-1.4115
76,-0.1900,3.2200,-5.2700,0.6829,-1.8162,-1.1923
77,-0.2300,3.3300,-5.6900,0.7832,-1.6810,-0.9948
78,-0.0700,3.7400,-6.5400,0.8519,-1.5173,-0.8432
79,-0.1000,3.9500,-6.8400,0.8759,-1.3330,-0.7341
80,-0.1500,3.9700,-7.1100,0.8585,-1.1301,-0.6294
81,-0.2500,3.8100,-7.2800,0.8378,-0.9108,-0.5029
82,-0.3500,3.5200,-7.5800,0.8661,-0.7014,-0.3578
83,-0.2200,3.6100,-7.8200,0.8661,-0.7014,-0.3578
84,-0.0200,3.7900,-8.0800,1.0603,-0.3011,-0.0873
85,0.3300,4.7300,-8.3600,1.1268,-0.0916,0.0316
86,0.4900,5.0100,-8.4900,1.0952,0.1014,0.1625
87,0.7200,5.2900,-8.5600,1.0952,0.1014,0.1625
88,0.7000,5.0800,-8.4400,0.9937,0.3076,0.3316
89,0.5600,4.8200,-8.1600,0.6087,0.7876,0.7156
90,0.2900,4.3800,-7.7000,0.3982,1.0374,0.8858
91,-0.0300,3.6900,-7.2800,0.1942,1.2381,1.0156
92,-0.9700,2.4200,-6.2200,0.1942,1.2381,1.0156
93,-1.0800,1.7700,-5.7100,0.0578,1.5152,1.1716
94,-1.1800,1.6200,-5.2400,0.0578,1.5152,1.1716
95,-0.8400,0.6600,-4.9600,0.0764,1.5588,1.2065
96,-0.0600,1.1100,-4.8500,0.0949,1.5359,1.3766
97,0.2000,1.1100,-4.8300,0.2203,1.5697,1.4443
98,-0.0900,0.6800,-4.3200,0.2498,1.6482,1.3755
99,-0.4900,0.4500,-3.7600,0.3687,1.8937,1.3646
100,-0.6500,0.4100,-3.2800,0.4887,1.9984,1.3854
101,-0.8400,0.4400,-2.7700,0.5978,2.0671,1.3603
102,-0.7100,0.4800,-1.8700,0.5978,2.0671,1.3603
103,-0.6300,-0.2200,-1.6100,0.7221,2.1249,1.5817
104,-0.5500,-1.0700,-1.2500,0.7221,2.1249,1.5817
105,-1.0100,-2.4300,-0.2300,0.7396,2.2046,1.6613
106,-1.1300,-3.0100,0.1400,1.0505,2.3769,1.5446
107,-1.0700,-3.1700,0.3500,1.2730,2.3813,1.3592
108,-0.8900,-1.8700,0.5200,1.5588,2.3475,1.1323
109,-0.5700,-0.9000,0.4000,1.8446,2.2918,0.9905
110,-0.0900,0.4900,0.4000,2.0693,2.2689,0.9774
111,0.2900,2.8300,0.9400,2.0628,2.3104,0.9752
112,0.1900,2.3300,1.4000,2.0628,2.3104,0.9752
113,-0.3500,1.3200,2.0200,1.7213,2.3726,1.0003
114,-0.9300,0.8800,2.5500,1.2730,2.4544,1.0679
115,-3.3100,-1.6400,3.7200,0.9512,2.4871,1.1432
116,-1.1200,-1.5200,3.9400,0.5989,2.6300,1.1552
117,-1.7700,-2.1400,3.9100,0.5923,2.6365,0.7930
118,-0.3700,-1.0300,3.5600,0.7538,2.3257,0.6589
119,0.0700,-1.1400,3.1300,0.7538,2.3257,0.6589
120,0.5500,-1.3300,3.1600,0.7101,2.1402,0.7221
121,-0.1600,-2.2600,3.7100,0.6523,2.0944,0.8476
122,-0.2900,-2.9400,4.0800,0.6305,2.1282,0.8170
123,-0.2000,-3.2700,4.1400,0.6305,2.1533,0.7865
124,0.0400,-3.6300,3.9800,0.6763,1.8162,0.6076
125,0.7600,-4.1400,3.4200,0.6272,1.6472,0.4821
126,1.0200,-4.3200,3.3800,0.6229,1.5643,0.3872
127,0.9100,-4.4900,3.6400,0.6229,1.5643,0.3872
128,0.3100,-4.1100,4.4300,1.0287,1.5708,0.3676
129,0.2900,-3.4700,4.6600,1.0287,1.5708,0.3676
130,0.5500,-2.5700,4.8400,1.3221,1.5184,0.3545
131,0.7200,-1.5200,5.2200,1.5010,1.4017,0.2782
132,0.6300,-1.6700,5.6400,1.4813,1.2632,0.1734
133,0.3600,-2.1900,6.2500,1.2708,1.1476,0.1036
134,0.1500,-3.1800,6.7200,0.8945,1.0385,0.0218
