lineno,aX,aY,aZ,gX,gY,gZ
0,-2.1700,-4.0100,-2.3000,-1.0821,-1.1956,0.5083
1,-2.0700,-3.7800,-2.9100,-1.0821,-1.1956,0.5083
2,-1.6700,-3.3700,-4.0700,-0.6730,-1.1476,0.1647
3,-1.5100,-3.1200,-4.5800,-0.5367,-1.0287,-0.0589
4,-1.4400,-2.7700,-4.9700,-0.4538,-0.8421,-0.3425
5,-1.3600,-1.0400,-5.5300,-0.3731,-0.6392,-0.5552
6,-1.3900,-0.3500,-5.7900,-0.3752,-0.4156,-0.6796
7,-1.4100,0.1900,-5.9300,-0.3752,-0.4156,-0.6796
8,-1.4000,0.6100,-6.1700,-0.6294,0.0556,-0.6905
9,-1.5800,0.5300,-6.3000,-0.6294,0.0556,-0.6905
10,-1.8200,0.7700,-6.2500,-0.7723,0.6545,-0.5716
11,-1.9600,1.6900,-6.4000,-0.7134,0.9621,-0.4832
12,-2.4000,2.3900,-6.3500,-0.8574,1.3101,-0.3698
13,-2.8200,2.3500,-5.8200,-0.8301,1.6417,-0.1418
14,-2.7700,2.8100,-5.6800,-0.5858,1.9460,0.1876
15,-3.0200,2.8300,-5.6000,-0.3938,2.1838,0.5072
16,-2.6100,2.9700,-5.8000,-0.2280,2.3115,0.7418
17,-2.1900,2.8500,-6.0400,-0.1462,2.5482,0.9458
18,-1.8100,2.9200,-6.1700,-0.0840,2.8722,1.1432
19,-1.2400,3.2900,-6.4300,-0.0905,3.2365,1.3406
20,-0.8900,3.1900,-6.4700,-0.0905,3.2365,1.3406
21,-0.9100,2.9600,-6.3600,-0.2062,3.6728,1.5533
22,-1.0700,3.0700,-6.1800,-0.2509,4.0906,1.7966
23,-1.3000,2.4300,-5.8000,-0.3142,4.4320,2.0388
24,-1.8000,1.7700,-5.2900,-0.3927,4.7549,2.3344
25,-2.7300,1.3400,-4.5300,0.5280,4.9480,3.2092
26,-2.6400,1.0600,-4.4500,1.0472,4.9742,3.5059
27,-2.7300,1.9600,-4.4000,1.4214,5.0745,3.5987
28,-3.0700,2.1000,-3.6300,1.4214,5.0745,3.5987
29,-3.5600,3.3100,-2.5900,1.4006,5.2011,3.5659
30,-3.4100,4.2600,-2.6500,1.2632,5.2022,3.5354
31,-2.9000,3.7300,-2.8300,1.0614,5.1367,3.5365
32,-2.7200,2.2400,-3.1300,0.6316,5.1084,3.5637
33,-1.3900,2.1100,-3.8000,0.4363,5.2098,3.6368
34,-5.1800,1.2900,-2.1100,0.4941,5.5349,3.7623
35,-3.6900,2.5100,-1.5400,0.8312,5.7716,3.7056
36,-3.4300,2.0100,-1.1900,0.6283,6.0225,3.4514
37,-5.1200,1.1500,-0.4200,0.2956,6.1457,3.2725
38,-4.3500,0.0500,-0.2400,0.1833,5.7781,3.1863
39,-4.9400,0.2000,0.4200,0.3883,5.5654,3.1405
40,-5.7800,0.0200,1.0300,0.5280,5.5305,3.1350
41,-5.3200,0.3000,1.0200,0.5454,5.3156,3.1754
42,-7.0700,-0.8900,2.6700,0.4800,5.2262,3.2529
43,-7.9100,-1.5200,4.3600,0.7254,4.9742,3.3303
44,-8.4100,-2.3900,5.7300,0.9807,4.4713,3.2790
45,-8.5600,-2.8800,7.0200,0.9807,4.4713,3.2790
46,-8.1400,-3.0400,6.8700,1.1268,3.7906,3.0881
47,-6.9300,-2.1900,6.0100,1.1356,3.0740,2.8405
48,-5.4800,-1.5000,4.7300,0.5629,2.0857,2.2515
49,-4.5500,-1.3100,4.1800,0.3272,1.8021,2.0322
50,-4.1300,-1.5200,3.7700,0.3272,1.8021,2.0322
51,-3.9700,-2.1000,3.5600,0.1124,1.5752,1.8577
52,-3.6600,-3.2500,3.3600,0.0000,1.3308,1.6821
