lineno,aX,aY,aZ,gX,gY,gZ
0,-7.6500,-0.2400,-3.1200,-2.4380,2.1762,3.0369
1,-8.0400,-0.5200,-3.4600,-2.6976,2.2864,3.0543
2,-8.4000,-0.8500,-3.7200,-2.6976,2.2864,3.0543
3,-9.4600,-1.0100,-3.9700,-3.0063,2.3562,3.0380
4,-9.8100,-0.7500,-4.2300,-3.4438,2.4860,3.0663
5,-10.1500,-1.2100,-4.5200,-3.7579,2.5722,3.1285
6,-10.7800,-3.2000,-4.7100,-4.1026,2.6354,3.2201
7,-10.9300,-4.1900,-4.8300,-4.3295,2.6802,3.2594
8,-10.9100,-5.3700,-4.6900,-4.5204,2.7445,3.1798
9,-11.0100,-7.4900,-4.1900,-4.6033,2.7893,2.9529
10,-10.8600,-7.9400,-4.0300,-4.6033,2.7893,2.9529
11,-10.5200,-8.0800,-3.9500,-4.5531,2.7860,2.6147
12,-10.6000,-8.1700,-3.8100,-4.4037,2.7325,2.2329
13,-10.0100,-8.5800,-3.7200,-4.0939,2.6518,1.9264
14,-11.0500,-8.0900,-2.7400,-3.7034,2.4849,1.7497
15,-9.4500,-8.3200,-2.7700,-3.2223,2.5176,2.1369
16,-9.5600,-7.9200,-2.7400,-1.9613,2.2068,2.1402
17,-9.0100,-8.1200,-2.7800,-1.9613,2.2068,2.1402
18,-8.5600,-8.5400,-2.9200,-0.9687,1.9646,2.1904
19,-8.6300,-8.9500,-2.9900,-0.5367,1.9319,2.1053
20,-8.1700,-8.2100,-2.9500,-0.1451,1.9362,1.8010
21,-8.1200,-7.3500,-2.9600,0.1789,1.8730,1.3897
22,-7.9600,-7.0500,-2.8700,0.1789,1.8730,1.3897
23,-7.7200,-7.9000,-2.7500,0.2280,1.8293,0.7058
24,-7.6700,-8.5500,-2.6800,0.1571,1.8762,0.4483
25,-7.5700,-9.1500,-2.5700,0.1963,1.9133,0.1887
26,-8.1000,-10.0900,-1.9800,0.1963,1.9133,0.1887
27,-8.4200,-10.0400,-1.7300,0.3196,2.0049,-0.1004
28,-8.4400,-9.6300,-1.6300,0.9163,2.0704,-0.7985
29,-8.9400,-8.0400,-1.1200,1.2817,2.0540,-1.1868
30,-9.1400,-7.3000,-0.8400,1.6722,2.0246,-1.4704
31,-9.2200,-6.8400,-0.6100,2.2744,1.9002,-1.8293
32,-8.9900,-5.6800,-0.2700,2.2744,1.9002,-1.8293
33,-9.4100,-5.4200,-0.0700,2.4620,1.8086,-2.0180
34,-9.1200,-4.9800,-0.0500,2.6016,1.7377,-2.2482
35,-9.1200,-4.5400,-0.0300,2.7773,1.5228,-2.4380
36,-8.4500,-3.4500,-0.3400,3.0805,1.0963,-2.7358
37,-8.2800,-3.4200,-0.6400,3.1710,1.0057,-2.8852
38,-7.9900,-3.4300,-0.9400,3.3434,0.9283,-3.0096
39,-7.7900,-1.9600,-1.2600,3.5823,0.8574,-3.1012
40,-7.5800,-1.1800,-1.3500,3.7426,0.7625,-3.1896
41,-7.2300,-0.4900,-1.3900,3.8048,0.6218,-3.2419
42,-6.2800,1.4100,-1.6300,3.8114,0.4952,-3.2365
43,-5.7200,1.9100,-1.7000,3.8114,0.4952,-3.2365
44,-5.2500,2.3700,-1.7300,3.6968,0.4385,-3.1700
45,-4.9900,2.7400,-1.7600,3.5147,0.4712,-3.0554
46,-4.2500,3.4500,-1.8900,3.0849,0.5901,-2.7871
47,-3.7800,3.4500,-1.9000,2.8503,0.7036,-2.6562
48,-3.9900,3.2300,-1.4500,2.8503,0.7036,-2.6562
49,-2.8600,3.5900,-1.3400,2.6660,0.8290,-2.4511
50,-2.9500,3.3100,-1.2000,2.5416,0.9534,-2.5242
51,-2.5000,3.4200,-0.9900,2.3627,1.1170,-2.2526
52,-2.4300,3.8800,-0.4500,2.2438,1.3057,-1.7213
53,-2.2400,4.2100,-0.2100,2.2438,1.3057,-1.7213
54,-2.1300,4.2600,0.0600,2.1108,1.2446,-1.3123
55,-2.0100,4.1000,0.1800,2.0191,1.2032,-1.1432
