lineno,aX,aY,aZ,gX,gY,gZ
0,-0.0800,-1.0700,-3.2500,0.2771,0.1614,0.5356
1,0.0700,-0.9000,-3.3500,0.3251,0.2040,0.4952
2,0.1200,-1.0100,-3.2600,0.3665,0.2760,0.4549
3,0.0600,-1.1300,-3.1200,0.3272,0.3578,0.3807
4,0.0400,-1.1600,-2.9700,0.2694,0.4712,0.2891
5,-0.2000,-2.4100,-2.4800,0.2323,0.6054,0.2203
6,-0.5000,-3.0000,-1.9300,0.1614,0.7679,0.1724
7,-0.6000,-2.8700,-1.5400,0.4756,1.0516,-0.1145
8,-0.4800,-3.7100,-1.0200,0.6545,1.0941,-0.2367
9,-0.6100,-4.3900,-0.7900,0.7483,1.1421,-0.3469
10,-0.3400,-4.7700,-0.5300,0.8552,1.1803,-0.4658
11,0.6100,-5.3300,-0.2200,0.9774,1.2283,-0.6109
12,-1.5800,-5.9500,0.5300,1.1236,1.4366,-0.7614
13,-1.1100,-5.6800,1.2400,1.1236,1.4366,-0.7614
14,-0.9000,-5.0700,2.6400,1.3341,1.5577,-1.1061
15,-1.0100,-4.9900,3.7600,1.4672,1.4203,-1.2905
16,-1.1900,-4.7100,5.0400,1.4006,1.5926,-1.4290
17,-1.2900,-4.6100,6.3700,1.2479,1.5304,-1.5403
18,-2.3500,-3.7500,9.0300,1.0341,1.3210,-1.8130
19,-3.2100,-2.8200,10.1000,1.0341,1.3210,-1.8130
20,-4.1000,-2.2500,11.1200,0.8748,1.0112,-1.8719
21,-5.9300,-0.6100,12.8100,0.6425,0.7210,-2.0082
22,-6.6900,0.5300,13.2800,0.6196,0.0142,-2.1828
23,-7.4300,2.0000,13.6100,0.6512,-0.4069,-2.2340
24,-7.7100,3.5300,12.9500,0.5618,-0.9043,-2.2526
25,-7.6900,4.4100,12.2200,0.4691,-1.4508,-2.2526
26,-7.6900,5.5700,11.3000,0.4396,-2.0049,-2.2111
27,-7.5800,6.4700,10.1700,0.4396,-2.0049,-2.2111
28,-6.3800,7.2400,7.0800,0.3731,-2.5558,-2.1206
29,-5.7900,7.4700,5.1900,-0.0087,-3.4754,-1.9319
30,-5.2200,7.1200,3.3700,-0.2847,-3.7743,-1.8479
31,-3.7700,6.2300,0.0800,-0.4723,-4.0044,-1.7366
32,-3.2000,5.6000,-1.7200,-0.5836,-4.1157,-1.6330
33,-2.7700,5.1400,-3.1800,-0.5836,-4.1157,-1.6330
34,-2.1800,4.3300,-5.0700,-0.6698,-3.7732,-1.5108
35,-1.9600,4.4700,-6.0500,-0.6294,-3.4819,-1.3897
36,-1.5600,4.5700,-6.8600,-0.5629,-3.1700,-1.1661
37,-1.7900,4.4600,-7.4300,-0.5651,-2.8580,-0.8149
38,-1.1700,4.1700,-8.7300,-0.5672,-2.6780,-0.5334
39,-0.9000,3.9800,-9.2100,-0.5563,-2.4893,-0.4211
40,-0.6200,3.6400,-9.6700,-0.6076,-2.2646,-0.3349
41,-0.1100,3.3900,-10.2700,-0.6698,-1.9875,-0.2618
42,-0.1300,3.3400,-10.4300,-0.6698,-1.9875,-0.2618
43,-0.3400,3.0800,-10.4100,-0.7341,-1.6919,-0.1571
44,-0.6900,2.2600,-10.2500,-0.8279,-1.0767,0.1331
45,-0.7100,1.6500,-10.2900,-0.8192,-0.8181,0.2923
46,-0.6600,1.2100,-10.3400,-0.8192,-0.8181,0.2923
47,-0.5700,1.1200,-10.3900,-0.6240,-0.3447,0.4603
48,-0.4100,1.3800,-10.2900,-0.4549,-0.0982,0.5051
49,-0.4000,1.7500,-10.1200,-0.4549,-0.0982,0.5051
50,-0.3500,2.0600,-9.9800,-0.2880,0.1625,0.5792
51,-0.2400,2.2300,-9.7300,-0.1669,0.6545,0.7854
52,-0.1100,2.1100,-9.6200,-0.2476,0.8836,0.8454
53,-0.1800,1.9100,-9.3400,-0.3949,1.1356,0.8552
54,-0.8400,1.7000,-8.4800,-0.3949,1.1356,0.8552
55,-1.1000,1.5400,-7.9400,-0.5334,1.4061,0.8214
56,-1.2400,1.0700,-7.4400,-0.6512,1.6581,0.7930
57,-1.4800,0.8600,-6.9400,-0.7287,2.0333,0.8007
58,-1.7300,0.4700,-5.8400,-0.6196,2.1500,0.8236
59,-1.5500,0.7600,-5.2700,-0.3611,2.2362,0.8847
60,-1.5500,1.2100,-4.7300,-0.0916,2.3049,0.9992
61,-1.4000,1.5500,-3.7600,0.1036,2.3289,1.1563
62,-1.0800,1.4700,-3.5600,0.2509,2.3333,1.3494
63,-1.1000,1.2000,-3.2900,0.3043,2.3867,1.5130
64,-2.2200,0.6800,-2.0900,0.3785,2.5275,1.6690
65,-2.7400,0.0000,-1.3300,0.5007,2.6518,1.7911
66,-2.9400,-0.2400,-0.5700,0.6163,2.6725,1.8326
67,-1.0400,-0.3300,-0.4600,0.7047,2.5504,1.7955
68,-4.4600,-0.3400,0.7900,0.7047,2.5504,1.7955
69,-2.0900,-0.1500,0.6400,0.5018,2.6922,1.7595
70,-2.6200,0.6600,0.7600,0.4243,2.6224,1.4901
71,-1.7100,0.8300,0.8000,0.0927,2.8318,1.2119
72,-2.3100,-0.6600,0.8800,-0.3447,3.0652,0.9861
73,-4.5500,-1.2800,2.2000,-0.3447,3.0652,0.9861
74,-3.4000,-3.6400,2.5000,-0.9054,3.3172,0.6130
75,-3.1000,-5.5300,2.8700,-1.1814,3.2332,0.7309
76,-2.4200,-7.8000,3.0100,-1.2348,3.0652,0.6316
77,-3.0500,-10.3100,3.8200,-1.2348,3.0652,0.6316
78,-3.1300,-10.2500,4.2900,-0.9970,2.9518,0.4549
