lineno,aX,aY,aZ,gX,gY,gZ
0,-1.8900,-0.4100,-7.2500,1.3101,4.1975,1.5675
1,-1.9500,-0.1900,-7.0700,1.3035,4.3131,1.6384
2,-2.0200,-0.1800,-6.9000,1.3035,4.3131,1.6384
3,-2.9300,-1.1800,-6.0800,1.2086,4.4440,1.6930
4,-3.3800,-0.7100,-5.4600,1.2174,4.5935,1.7835
5,-3.7600,0.1800,-4.8300,1.4573,4.7593,1.9548
6,-4.7100,0.4500,-3.3300,1.5773,4.9033,2.1817
7,-4.7400,0.2500,-2.6700,1.5566,4.9066,2.4227
8,-4.2800,-0.1700,-2.2700,1.6101,4.8651,2.6922
9,-3.9200,-1.3000,-2.0500,1.6122,4.7833,2.8809
10,-3.4500,-2.5800,-1.5100,1.5228,4.7048,2.8907
11,-3.4200,-3.0000,-0.9400,1.4541,4.6688,2.7783
12,-3.5300,-3.0200,-0.2900,1.6112,4.6993,2.4696
13,-4.1500,-2.2400,0.7300,1.5621,4.6382,2.3333
14,-4.3100,-1.9800,1.4400,1.4737,4.3601,2.2602
15,-3.3400,-1.8400,1.5000,1.3254,3.9663,2.3278
16,-3.0300,-2.6300,1.1300,0.9338,3.8910,2.4358
17,-1.9900,-4.4700,1.1400,0.9338,3.8910,2.4358
18,-2.9700,-5.5700,1.5900,0.5781,3.9586,2.4664
19,-2.4300,-7.0500,1.7800,1.2305,4.1833,2.3813
20,-3.5300,-7.5000,2.9000,1.5261,4.3371,2.0180
21,-3.8800,-7.3700,3.6000,1.6352,4.2881,1.6013
22,-4.2400,-7.0700,4.3000,1.6352,4.2881,1.6013
23,-5.0000,-7.0800,4.9300,1.5610,4.1615,1.2163
24,-3.3100,-7.3300,5.0100,1.2621,4.0153,0.9185
25,-6.3500,-8.9800,6.2400,0.7341,3.9368,0.3905
26,-5.6200,-9.9700,7.1600,0.6992,3.4601,-0.0251
27,-5.8000,-9.9700,7.4200,0.6283,3.1121,-0.3185
28,-5.8500,-10.1100,8.0400,0.5454,2.7642,-0.7352
29,-6.0300,-10.0100,8.4000,0.5454,2.3246,-1.0483
30,-6.3300,-9.1800,9.0700,0.6261,1.9002,-1.3297
31,-6.6900,-8.3300,9.8800,0.6741,1.4421,-1.5424
32,-7.0200,-7.6800,10.8200,0.6120,0.7865,-1.7824
33,-6.8900,-6.6700,11.2800,0.5116,-0.0382,-2.0409
34,-6.5500,-5.9800,11.0100,0.3709,-0.8290,-2.3027
35,-6.2900,-5.5000,10.5400,0.2465,-1.5217,-2.5591
36,-5.1100,-3.5300,9.5500,0.2465,-1.5217,-2.5591
37,-4.4100,-2.4900,8.8300,0.1505,-2.4915,-2.8351
38,-3.8300,-2.0700,8.2900,-0.2007,-2.6420,-2.9660
39,-3.8000,-1.6500,8.1700,-0.2007,-2.6420,-2.9660
40,-3.9100,-1.1500,7.8300,-0.7352,-2.9191,-3.1350
41,-3.7200,-1.2500,7.2900,-0.8901,-3.3063,-3.1787
42,-3.5300,-0.8900,6.6100,-0.8901,-3.3063,-3.1787
43,-2.9100,-1.5200,5.1200,-1.0341,-4.0164,-3.3074
44,-2.3300,-1.2100,3.7900,-0.9370,-4.3142,-3.3303
45,-1.9400,-1.0900,2.7300,-0.7930,-4.4255,-3.2539
46,-1.1000,-1.2700,1.2000,-0.7930,-4.4255,-3.2539
47,-1.0000,-0.9600,0.5100,-0.5531,-4.4255,-3.0816
48,-1.2700,-0.7300,0.0000,-0.2323,-4.3797,-2.8994
49,-0.7600,0.6200,-1.4400,-0.0316,-4.3906,-2.8220
50,-0.4800,0.9600,-2.2900,-0.0262,-4.5760,-2.8885
51,-0.2000,0.9400,-3.3400,-0.1974,-4.6077,-2.8547
52,-0.1500,0.8500,-4.1600,-0.2422,-4.5084,-2.7336
53,0.9300,0.8700,-5.8600,-0.2640,-4.2466,-2.5864
54,0.9000,0.5100,-6.1600,-0.2705,-3.8288,-2.4336
55,1.1000,0.7200,-6.4500,-0.2705,-3.8288,-2.4336
56,1.4400,0.4800,-7.1000,-0.0873,-3.4481,-2.2329
57,1.3800,0.5400,-7.3800,-0.0011,-3.0674,-2.0104
58,1.4900,0.7000,-7.7700,0.0709,-2.7173,-1.8435
59,1.7000,0.7400,-8.3000,0.1385,-2.4238,-1.7431
60,1.6700,0.9400,-8.5100,0.1734,-2.1369,-1.6570
61,1.6500,1.0600,-8.7200,0.4222,-1.5926,-1.1977
62,1.6900,0.9000,-8.9100,0.4222,-1.5926,-1.1977
63,2.1600,0.1700,-9.5500,0.4800,-1.3297,-0.9490
64,2.3900,-0.0700,-9.9000,0.5323,-1.0592,-0.7189
65,2.4500,-0.4200,-10.0100,0.6861,-0.3436,-0.3982
66,2.0000,-0.4200,-9.6100,0.8814,0.0524,-0.2465
67,1.8900,-0.2300,-9.5000,0.8814,0.0524,-0.2465
68,1.8700,-0.1500,-9.5200,1.0810,0.3622,-0.0905
69,1.8000,0.2100,-9.5000,1.1748,0.6054,0.0425
70,1.6800,0.3300,-9.1900,1.2043,0.8508,0.1724
71,1.6500,0.5300,-9.0100,1.2065,1.1257,0.3262
72,1.6600,0.4200,-8.9300,1.2239,1.3624,0.5432
73,1.7300,-0.3300,-8.7500,1.1148,1.5424,0.7210
74,1.7500,-0.7800,-8.5700,0.9185,1.7377,0.8399
75,1.4600,-1.0000,-8.2200,0.7887,2.0060,0.9207
76,-0.1200,-0.6700,-6.9200,0.7429,2.3093,0.9272
77,-0.7600,-0.5000,-5.9100,0.6621,2.6082,0.8552
78,-1.1900,-0.4100,-4.9000,0.6109,2.8743,0.7941
79,-1.4200,0.0400,-3.5500,0.6043,3.0238,0.7930
80,-1.1100,-0.4700,-2.9700,0.5345,3.0707,0.7865
81,-0.7600,-0.7700,-2.4900,0.2389,3.0761,0.8825
