lineno,aX,aY,aZ,gX,gY,gZ
0,-4.1800,0.6600,-4.9400,1.2785,4.3601,1.2174
1,-4.7000,0.7200,-4.6500,1.2785,4.6818,1.3145
2,-4.5000,1.1900,-4.7800,1.4039,4.8106,1.4781
3,-4.3600,1.4700,-4.9700,1.3788,4.9240,1.6428
4,-4.5500,1.1700,-4.9300,1.2315,5.0222,1.7562
5,-5.1500,0.5700,-4.2000,1.2785,5.1978,1.9613
6,-5.1100,1.0800,-3.7500,1.6373,5.3647,2.2787
7,-4.7600,1.6400,-3.4000,1.8959,5.5338,2.5307
8,-5.1600,1.2300,-2.3400,1.8959,5.5338,2.5307
9,-5.0500,0.7100,-1.7900,1.8130,5.6483,2.6671
10,-4.5900,-0.0900,-1.5000,1.8762,5.5076,2.7194
11,-3.9000,-0.2600,-1.3300,2.1097,5.4367,2.5809
12,-3.8000,0.2000,-1.2400,2.2373,5.5796,2.3660
13,-5.3300,0.0700,-0.2600,2.1871,5.6952,2.1817
14,-3.9700,0.9600,-0.4000,2.1304,5.2534,2.0889
15,-3.9900,0.1600,-0.1300,1.7486,5.0527,2.1348
16,-3.5300,0.2900,0.0000,1.5948,4.9676,2.0998
17,-3.5700,0.0000,0.4500,1.6253,5.0233,2.0802
18,-4.7100,-1.2100,1.9200,1.6253,5.0233,2.0802
19,-5.3200,-1.6100,2.6500,1.8293,5.0407,2.1162
20,-4.8100,-1.9000,3.0400,2.1577,4.9262,2.1468
21,-4.9500,-1.8900,3.3900,2.3049,4.5804,2.0529
22,-4.6900,-1.3800,3.5800,2.3747,4.0459,1.7366
23,-4.5800,-0.9300,3.6800,2.3180,3.7535,1.6450
24,-5.1000,-0.7800,4.0100,2.1849,3.4481,1.5621
25,-4.7500,-0.8000,3.9300,2.1075,3.0772,1.4955
26,-4.5700,-1.3300,4.1400,2.1075,3.0772,1.4955
27,-4.7000,-1.5200,4.4900,1.8031,2.7827,1.3864
28,-4.5400,-1.6800,4.6600,1.5839,2.4991,1.2981
29,-4.2900,-1.8600,4.6700,1.4126,2.1686,1.1923
30,-3.9600,-2.5400,4.6900,1.2457,1.8097,1.0745
31,-3.7500,-2.4200,4.4400,1.0767,1.4148,0.9283
32,-2.2700,-2.2100,3.8000,0.9556,1.0941,0.7647
33,-4.0000,-3.1100,3.9400,0.8105,0.7963,0.5738
34,-2.0700,-2.0300,2.5500,0.5901,0.7287,0.3927
35,-2.5700,-2.1400,2.7200,0.5127,0.4854,0.0960
36,-2.8600,-2.8000,2.8300,0.1734,0.4887,-0.0644
37,-3.3900,-3.7800,3.2800,-0.1025,0.5301,-0.0840
38,-3.9400,-4.0900,3.5200,-0.1265,0.4047,-0.0436
39,-4.0000,-4.3500,3.5700,0.1625,-0.0425,-0.2793
40,-3.9100,-4.0200,3.3800,0.3414,-0.4691,-0.5618
41,-3.5300,-4.1100,2.7800,0.4712,-0.9283,-0.7276
42,-2.8500,-3.9600,2.1200,0.4712,-0.9283,-0.7276
43,-2.7200,-4.3500,1.6700,0.4527,-1.4923,-0.9392
44,-2.7300,-4.6600,1.1300,0.4222,-1.5359,-1.0919
45,-2.7500,-4.3800,0.7300,0.4800,-1.6002,-1.3003
