lineno,aX,aY,aZ,gX,gY,gZ
0,-3.3600,-2.2000,-7.5600,0.8498,3.1230,1.2675
1,-3.8500,-0.9800,-7.2800,0.8498,3.1230,1.2675
2,-3.8300,-0.4700,-7.2300,0.8498,3.1230,1.2675
3,-3.6400,-0.2300,-7.2300,1.3384,3.4928,1.6853
4,-3.3900,-1.3200,-7.0100,1.4257,3.6477,2.3638
5,-3.2400,-1.5100,-6.9900,1.5217,3.7710,2.5460
6,-3.1400,-1.3100,-7.0100,1.6515,3.9106,2.6016
7,-3.1600,-1.1900,-6.9000,1.6133,4.0557,2.5536
8,-3.4500,-0.8500,-6.7400,1.6133,4.0557,2.5536
9,-3.3200,-0.6800,-6.7500,1.4552,4.2477,2.4696
10,-3.4600,-0.7500,-6.3700,1.0996,4.7473,2.3922
11,-4.4000,-0.5100,-5.2800,0.9577,4.9676,2.3540
12,-4.7900,-0.7800,-4.3400,0.8628,5.1389,2.3638
13,-5.0900,-1.1000,-3.4200,0.8628,5.1389,2.3638
14,-7.3100,-2.7800,-0.9000,0.8127,5.2622,2.4227
15,-8.0500,-3.4000,0.5200,0.8039,5.3331,2.4053
16,-9.0000,-3.4100,1.7600,0.8967,5.2611,2.3300
17,-9.7200,-3.7400,2.8000,0.9654,5.0549,2.1413
18,-10.4700,-6.6700,4.3800,0.3709,4.2226,1.4181
19,-10.7800,-8.3000,4.8600,0.1920,3.8561,1.1236
20,-10.8900,-8.9900,5.3900,0.1920,3.8561,1.1236
21,-13.0400,-9.8800,7.4200,0.1876,3.5528,0.7549
22,-13.6300,-10.4400,8.6300,0.2607,3.3238,0.3960
23,-14.5800,-10.5700,9.6600,0.3523,2.3998,-0.3305
24,-14.9500,-10.4400,10.3900,0.3720,1.6668,-0.7690
25,-14.6100,-10.0200,9.9700,0.3720,1.6668,-0.7690
26,-13.9200,-9.3700,9.3500,0.4494,0.3087,-1.5533
27,-13.2600,-8.5600,8.6000,0.6261,-0.2738,-1.7846
28,-12.0400,-7.2900,7.4100,0.7821,-0.7996,-1.9450
29,-11.4100,-6.5600,6.5400,0.9250,-1.3035,-2.0606
30,-10.6900,-5.8100,5.6200,0.9250,-1.3035,-2.0606
31,-8.9500,-4.3900,3.5300,1.0221,-1.7508,-2.1806
