lineno,aX,aY,aZ,gX,gY,gZ
0,-3.7100,0.7400,-3.7500,-1.6799,-2.1642,-0.3763
1,-3.7100,1.0100,-4.1300,-1.5457,-2.0879,-0.4538
2,-3.5000,0.6300,-4.0500,-1.4999,-1.9373,-0.4440
3,-3.1600,0.8400,-4.8500,-1.2828,-1.8042,-0.4963
4,-3.2000,1.0800,-5.0800,-1.0472,-1.6275,-0.5149
5,-3.1600,1.2500,-5.3500,-0.9141,-1.4519,-0.4560
6,-3.0600,0.7200,-5.4200,-0.8268,-1.2774,-0.3916
7,-3.2400,0.5100,-5.4200,-0.7527,-1.1225,-0.3251
8,-3.3200,0.9000,-5.7200,-0.7450,-0.9752,-0.3403
9,-3.2300,0.9200,-6.1900,-0.8290,-0.8552,-0.3949
10,-3.1000,0.9600,-6.3100,-0.8465,-0.7134,-0.3676
11,-2.9800,0.5000,-6.4100,-0.8978,-0.5258,-0.2967
12,-2.8600,0.3600,-6.5600,-0.8978,-0.5258,-0.2967
13,-2.4400,0.2000,-7.0900,-0.8290,-0.1331,-0.2902
14,-2.2000,0.1600,-7.2400,-0.8290,-0.1331,-0.2902
15,-2.1200,0.3000,-7.4000,-0.7265,0.1145,-0.2760
16,-2.4200,0.0000,-7.2500,-0.6250,0.4178,-0.2476
17,-2.4900,0.3800,-7.1300,-0.5661,0.7494,-0.2356
18,-2.5500,0.5900,-7.1400,-0.5138,1.3177,-0.3087
19,-2.5200,0.3600,-7.6300,-0.6534,1.6013,-0.3676
20,-2.2700,0.6600,-7.8800,-0.6501,1.9242,-0.4232
21,-2.1900,1.2700,-8.1500,-0.6501,1.9242,-0.4232
22,-2.5800,1.5500,-7.8700,-0.7712,2.7423,-0.5105
23,-2.6100,2.1100,-8.0500,-0.7647,3.1263,-0.4102
24,-2.4300,2.5000,-8.5200,-0.6261,3.5070,-0.2105
25,-2.3900,2.5700,-8.7700,-0.5770,4.0197,-0.0175
26,-3.0900,4.2400,-9.1100,-0.3567,4.5902,0.2618
27,-3.2300,4.6500,-9.3900,-0.3545,5.2294,0.5531
28,-2.9900,3.4300,-9.2900,-0.3545,5.2294,0.5531
29,-4.4700,3.7900,-9.7500,-0.5040,6.5232,1.1236
30,-4.6600,4.9600,-10.6600,-0.3731,6.9486,1.2763
31,-5.0100,4.2800,-9.9100,-0.3731,6.9486,1.2763
32,-7.4100,6.3100,-8.1900,-0.7189,7.5300,1.2577
33,-8.3500,6.3100,-6.6000,-0.9359,8.1976,1.5163
34,-8.7500,5.4900,-5.7900,-1.0265,8.3296,1.7748
35,-9.6700,2.5200,-4.0400,-1.1934,8.1878,1.9144
36,-12.0900,0.7600,0.5900,-1.1934,8.1878,1.9144
37,-12.4200,-0.2600,2.4400,-0.8268,7.9500,2.0246
38,-12.3800,0.6000,3.7200,-0.4123,7.0708,1.5173
39,-13.0300,0.2700,5.4700,-0.3523,6.5123,1.2774
40,-12.8700,0.8200,6.0200,0.0142,5.9079,1.1956
41,-12.4100,1.4700,6.9500,0.4778,5.3276,1.1923
42,-11.9700,2.2900,6.8800,0.7374,4.7964,1.3417
43,-11.3200,1.5300,6.8200,0.7374,4.7964,1.3417
44,-10.9700,1.0100,7.0200,0.7058,4.2935,1.5217
45,-9.8400,1.3500,6.8900,0.7352,3.7830,1.7388
46,-8.1300,0.6500,6.1100,1.2872,2.4882,2.0180
47,-7.3500,-0.1200,5.8200,1.3232,1.8097,1.9111
48,-6.4400,-0.3000,5.4300,1.4334,1.2457,1.7759
49,-6.2000,-1.5900,5.2200,1.4988,0.8530,1.5937
50,-6.9900,-1.7200,5.6500,1.4573,0.6556,1.4366
51,-5.8400,-1.5900,5.2500,1.5741,0.1767,0.9839
52,-6.4200,-2.1400,5.5200,1.3254,-0.0404,0.6545
53,-6.9300,-1.9700,6.0000,1.3254,-0.0404,0.6545
54,-7.4200,-1.9700,6.4500,1.0025,-0.0371,0.2902
55,-8.1800,-2.9500,6.9300,0.7734,-0.1604,0.0785
56,-9.1200,-3.6300,7.8000,0.4723,-0.3545,-0.1364
57,-9.4100,-3.7000,8.1400,0.2891,-0.7265,-0.4211
58,-9.8300,-2.9600,8.3000,0.0044,-1.8184,-1.2785
59,-10.8400,-3.7700,9.1000,-0.2563,-2.4478,-1.8479
60,-11.5000,-3.9800,8.8900,-0.4232,-3.2529,-2.3006
61,-9.4900,-3.6000,7.6600,-0.4232,-3.2529,-2.3006
62,-9.9000,-2.7500,5.8800,-0.3502,-4.2062,-2.6082
63,-10.1300,-1.5000,4.7500,0.0196,-5.6450,-3.1023
64,-9.9200,-0.6100,3.4800,0.2771,-6.2766,-3.2889
65,-8.2600,0.9700,1.4500,0.3971,-6.8308,-3.5223
66,-7.9700,1.3300,0.1800,0.4232,-7.2344,-3.6848
67,-7.0300,1.6000,-1.3400,0.3185,-7.4700,-3.9084
68,-6.1900,1.6900,-2.6300,0.3185,-7.4700,-3.9084
69,-5.0300,2.7300,-3.5100,0.3731,-7.4984,-4.0830
70,-4.5800,2.9600,-4.0500,0.5890,-7.3064,-4.1342
71,-4.8000,2.4900,-4.1100,0.6490,-6.7184,-4.1452
72,-4.7300,2.9100,-4.3200,0.7079,-6.3955,-4.1081
73,-4.3600,3.3800,-5.0300,0.7483,-6.2090,-4.1419
74,-4.0200,3.9200,-5.5100,0.8487,-6.0116,-4.1233
75,-3.3900,4.0100,-5.6400,0.9261,-5.6941,-3.9608
76,-3.4700,4.1000,-5.5300,0.9261,-5.6941,-3.9608
77,-3.6300,3.9900,-5.5500,1.0810,-5.0975,-3.5681
78,-4.3200,3.9500,-5.4300,1.0810,-5.0975,-3.5681
79,-2.9200,3.7600,-6.4500,1.0177,-4.9513,-3.4503
80,-2.1900,3.2200,-6.8900,1.0210,-4.9022,-3.1078
81,-1.4000,2.9800,-7.3300,1.2348,-4.2379,-2.5089
82,-0.7700,3.6800,-7.7700,1.3799,-3.8528,-2.4064
83,-0.3200,4.1400,-7.9800,1.3799,-3.8528,-2.4064
84,-0.0800,4.6000,-8.1700,1.4977,-3.3739,-2.2526
85,0.4900,5.2100,-8.7000,1.5501,-2.8809,-2.0071
86,0.7100,5.6000,-8.8800,1.2697,-1.7693,-1.4595
87,0.6600,5.8700,-8.9900,1.0210,-1.1650,-1.2065
88,0.3100,5.8000,-8.8500,1.0210,-1.1650,-1.2065
89,-0.4900,6.4500,-8.5400,0.6992,-0.5269,-0.9883
90,-0.7600,6.6400,-8.5600,0.5880,0.0774,-0.6610
91,-1.0200,7.1100,-8.5400,0.6949,0.6610,-0.1811
92,-1.3000,7.8700,-8.9300,0.7843,1.2054,0.3240
93,-1.5400,7.1700,-8.7400,0.1680,2.4173,1.1017
94,-1.8800,7.0200,-8.7300,-0.1200,3.1809,1.5784
95,-2.7100,7.9900,-9.2700,0.0098,3.7994,2.1402
96,-2.5800,7.7800,-9.6500,0.0098,3.7994,2.1402
97,-2.9000,7.8700,-9.9400,-0.0425,4.3219,2.6278
98,-3.9100,8.6300,-10.6100,-0.6174,5.2982,3.3925
99,-4.2700,7.4600,-10.4700,-1.0548,5.7814,3.7645
100,-5.2000,7.6100,-10.6000,-1.2741,6.2494,4.3164
101,-6.4000,7.6700,-10.5000,-0.8770,6.7446,5.0680
102,-9.7000,7.2700,-8.6900,-0.2498,7.2344,5.9112
103,-10.3900,7.4800,-7.7900,-0.2498,7.2344,5.9112
104,-11.1500,7.7600,-7.0400,0.9381,7.7569,7.1035
105,-11.4000,6.9900,-6.3600,0.7625,7.7264,7.2049
106,-11.3000,6.1700,-6.9600,0.7625,7.7264,7.2049
107,-10.7500,5.9500,-6.8600,0.4363,7.5311,7.2486
108,-11.9800,4.9700,-4.6000,-0.0654,7.3937,7.1395
109,-12.9900,4.3500,-3.0900,-0.0033,7.3544,6.9355
110,-12.5600,3.3300,-1.8900,-0.0033,7.3544,6.9355
111,-12.4300,1.4300,-0.6800,-0.0611,7.2082,6.5777
112,-12.8800,-0.2900,1.5200,-0.4178,6.6999,6.0247
113,-12.5900,-0.4000,2.3400,-0.6185,5.4192,4.9033
114,-11.4000,-1.7700,2.7800,-0.7265,4.7277,4.3677
115,-10.4100,-2.5900,2.5100,-0.8683,4.0535,3.9303
116,-9.4100,-1.7400,2.0000,-0.8683,4.0535,3.9303
117,-9.2300,-1.7900,2.2100,-0.6850,3.5016,3.5954
118,-9.9800,-1.2300,1.4200,-0.3687,3.0260,3.0281
119,-7.8200,-1.4000,1.4100,-0.2389,3.1830,2.9060
120,-7.4100,-0.4500,1.7100,0.0753,2.6594,2.5471
121,-7.6100,-0.3700,2.0100,0.0753,2.6594,2.5471
122,-6.6600,-0.4500,1.7500,0.3807,2.3955,2.4129
123,-5.9500,-0.1600,1.6500,0.4309,2.0944,2.2886
124,-5.1700,0.1000,1.2100,0.5781,1.6755,2.2318
125,-4.6400,0.5700,0.6200,0.7439,1.3046,2.1348
126,-4.0700,0.7500,0.1500,0.7385,1.1017,2.0148
127,-3.4200,0.5200,-0.3800,0.6349,0.9108,1.8980
128,-3.3000,-0.2700,-0.2400,-0.0720,0.5836,1.6515
129,-3.1900,-0.4200,-0.1300,-0.0720,0.5836,1.6515
130,-3.3300,-0.6900,0.0700,-0.0720,0.5836,1.6515
131,-4.0300,-0.2600,1.0200,-0.0982,0.4821,1.5108
132,-5.8900,-1.3500,3.5200,-0.0240,0.3818,1.2970
133,-6.4700,-1.0200,3.8800,0.2345,-0.7821,0.1734
134,-6.7500,-0.1500,3.9300,0.1320,-1.4563,-0.3120
135,-7.1100,-0.0600,3.8100,-0.1287,-2.1391,-0.8203
136,-7.2300,-0.2200,3.5400,-0.1287,-2.1391,-0.8203
137,-7.1500,-0.0200,2.9800,-0.2651,-2.7511,-1.2501
138,-6.2500,0.0600,1.9500,-0.5400,-3.8201,-1.8315
139,-5.4000,0.7100,1.0500,-0.6807,-4.1921,-2.0159
140,-4.7400,1.5700,0.2800,-0.7974,-4.3808,-2.0726
141,-4.2900,2.2900,-0.3400,-0.9327,-4.4539,-2.0682
142,-3.7700,3.7800,-0.2500,-1.1094,-4.5455,-1.9995
143,-3.8900,4.0400,0.1600,-1.4148,-4.8171,-1.7933
144,-4.0100,2.4800,0.8400,-1.5239,-5.3200,-1.5544
145,-3.0400,1.0800,0.2100,-0.9534,-5.8163,-1.6744
146,-3.1800,2.5400,-0.3400,-0.6327,-6.0781,-2.0202
147,-3.0500,2.5200,-0.7400,-0.5803,-6.2581,-2.3922
