lineno,aX,aY,aZ,gX,gY,gZ
0,-2.5800,-0.0800,1.7300,-0.7429,-0.2378,-0.2127
1,-2.4700,0.1800,1.2000,-0.4625,-0.1724,-0.2116
2,-2.5700,0.8800,1.0600,-0.4625,-0.1724,-0.2116
3,-2.5300,1.3000,0.8100,0.1811,0.0360,-0.1811
4,-2.5300,1.4900,0.5100,0.4080,0.1309,-0.1025
5,-2.8300,1.9500,0.3900,0.4080,0.1309,-0.1025
6,-2.9700,2.2700,0.2300,0.5629,0.2476,-0.0371
7,-3.1000,2.5900,0.0800,0.7429,0.3742,0.0316
8,-3.5500,2.5900,0.1300,0.8672,0.4865,0.0873
9,-3.9100,2.5300,0.1700,0.8978,0.6992,0.1636
10,-4.0000,2.5500,0.1100,1.0101,0.8999,0.1473
11,-4.1400,3.4400,0.2400,1.0101,0.8999,0.1473
12,-3.8900,4.4000,0.0000,1.2490,0.9992,0.1702
13,-3.7500,5.7700,-0.1200,1.2490,0.9992,0.1702
14,-3.6900,6.9200,-0.2300,1.4301,1.0886,0.2007
15,-3.9000,8.3200,-0.1400,1.2163,1.3886,0.6992
16,-4.1000,8.5600,-0.1200,1.0188,1.4781,1.0177
17,-4.3000,8.1700,-0.1000,1.0188,1.4781,1.0177
18,-4.7500,7.8400,0.0000,0.8552,1.5337,1.3526
19,-4.9700,6.9500,0.0300,0.7014,1.5664,1.6810
20,-4.9200,6.3900,-0.0400,0.7887,1.6548,2.4173
21,-4.9000,6.1200,0.0000,0.9425,1.7671,2.7173
22,-5.0100,6.3400,0.1000,1.0919,1.8904,2.9965
23,-4.9800,6.8900,0.2500,1.2075,1.9886,3.2932
24,-4.6200,7.8900,-0.0300,1.1116,2.1151,3.5725
25,-5.6100,7.2600,0.3200,1.1116,2.1151,3.5725
26,-5.4100,7.0400,0.2400,0.7909,2.3158,3.9695
27,-5.6900,6.5600,0.3400,0.8094,2.3169,4.4582
28,-6.1500,4.1500,0.7100,0.6272,2.1904,5.0778
29,-5.6100,2.7600,0.4800,0.6600,2.1533,5.2044
30,-5.3700,1.4600,0.6100,0.7919,2.2537,5.1847
31,-5.6000,-0.8600,1.2100,0.9141,2.4009,5.0484
32,-5.8100,-1.8000,1.6000,0.9970,2.5144,4.8444
33,-6.0200,-1.8100,1.8800,1.0483,2.5744,4.6142
34,-7.1700,-4.0000,3.1800,0.7789,2.6638,4.4135
35,-6.7400,-5.0300,3.5600,0.7789,2.6638,4.4135
36,-7.7200,-5.8900,4.3100,0.6054,2.6769,4.1572
37,-7.4500,-7.0100,4.8400,0.3578,2.5296,3.3532
38,-7.1700,-8.8800,5.5400,0.2640,2.3758,2.9507
39,-8.1600,-10.8000,6.3400,0.2105,2.2460,2.5569
40,-7.4900,-11.8700,6.5200,0.2105,2.2460,2.5569
41,-7.9500,-12.8600,7.9800,0.3294,1.8359,1.4759
42,-10.2000,-13.7700,9.4700,0.2749,1.6210,0.7985
43,-8.9000,-12.7700,9.3900,0.3709,1.0963,0.0720
44,-8.4900,-10.7000,9.2800,0.3709,1.0963,0.0720
45,-7.9100,-9.6500,8.6200,0.2836,0.6960,-0.5509
46,-7.2900,-8.1600,8.0700,0.1189,0.3403,-1.1006
47,-7.0100,-6.9200,7.7600,0.1276,0.1200,-1.5130
48,-6.9400,-4.8100,7.6500,0.1560,0.0142,-1.8010
49,-6.4500,-3.8900,7.2500,0.1854,-0.0393,-1.9962
50,-6.4100,-3.5200,7.0200,0.1745,-0.2705,-2.1860
51,-5.9900,-2.6200,6.3900,0.1374,-0.4483,-2.3257
52,-5.8300,-2.0400,5.8800,0.1145,-0.6316,-2.4740
53,-5.6300,-1.3900,5.4000,0.0938,-0.7963,-2.6627
54,-4.9700,-0.1000,4.3600,0.0960,-0.9512,-2.8427
55,-4.8100,0.0900,3.8600,0.0600,-1.0876,-2.9747
56,-4.7300,0.3100,3.4600,-0.0196,-1.1661,-3.0892
57,-4.6800,0.4400,3.1100,-0.0305,-1.1945,-3.2136
58,-4.6000,0.7100,2.7600,-0.0305,-1.1945,-3.2136
59,-4.7600,1.2300,2.6400,-0.0153,-1.1956,-3.2867
60,-4.9500,1.6000,2.5200,-0.1429,-1.1857,-3.5867
61,-4.9200,2.2600,2.1200,-0.1560,-1.2392,-3.6576
62,-5.2300,2.9700,1.9100,-0.1560,-1.2392,-3.6576
63,-4.9400,3.2700,1.5400,-0.0807,-1.2523,-3.6739
64,-4.3400,4.7000,0.7400,-0.0011,-1.2599,-3.5888
65,-4.4000,4.6500,0.5200,0.2062,-1.1617,-3.3085
66,-4.6000,4.9900,0.3800,0.2465,-1.0821,-3.2158
67,-4.8100,5.2300,0.3900,0.2629,-1.0341,-3.1350
68,-4.6800,6.0200,0.1300,0.2880,-1.0374,-3.0271
69,-4.8000,6.0800,-0.0700,0.3240,-1.0756,-2.8700
70,-4.6400,6.1500,-0.4100,0.4058,-1.1028,-2.6834
71,-4.1900,7.0100,-1.1500,0.4898,-1.0810,-2.5024
72,-4.2200,7.4100,-1.4800,0.5258,-1.0079,-2.3202
73,-3.9700,8.1600,-1.9000,0.5258,-1.0079,-2.3202
74,-3.5700,8.2100,-2.6200,0.3011,-0.7276,-1.8097
75,-3.4000,8.2200,-2.9200,0.3011,-0.7276,-1.8097
76,-3.3700,8.2100,-3.0800,0.2105,-0.5312,-1.5141
77,-3.4000,8.3700,-3.1700,0.1854,-0.3185,-1.2032
78,-3.2900,8.5400,-3.2200,0.1909,-0.1254,-0.8988
79,-3.1300,8.4900,-3.3500,0.2323,0.0393,-0.5858
80,-2.9600,8.5200,-3.5700,0.1636,0.2989,-0.0131
81,-2.8500,8.4200,-3.7500,0.1636,0.2989,-0.0131
82,-2.7100,8.4900,-4.0100,0.0720,0.4156,0.2422
83,-2.6800,8.2300,-4.2200,-0.0033,0.5258,0.5269
84,-3.0100,7.3300,-4.3400,-0.1309,0.6883,0.8149
85,-3.2100,6.9800,-4.3000,-0.3131,1.0559,1.3788
86,-3.5400,6.6300,-4.1200,-0.3567,1.2577,1.6101
87,-4.0800,5.6400,-3.5200,-0.3349,1.4563,1.8228
88,-4.2000,5.7100,-3.2200,-0.3349,1.4563,1.8228
89,-4.3200,5.6800,-2.8200,-0.2051,1.6472,2.0224
90,-4.6300,5.8400,-2.3500,-0.0818,1.9613,2.2831
91,-5.5100,5.4600,-1.2800,-0.0960,2.0660,2.4053
92,-6.0900,5.3700,-0.6300,-0.1080,2.1391,2.5307
93,-6.5800,5.0200,0.0600,-0.1080,2.1391,2.5307
94,-7.5500,4.7200,1.2400,-0.1036,2.1577,2.6082
95,-7.7500,4.8000,1.6300,-0.0033,2.1228,2.7042
96,-7.2300,4.7400,1.5700,0.1233,2.0159,2.8034
97,-6.4300,3.4800,1.3700,0.1844,1.8261,2.8787
98,-6.1000,3.2200,1.5000,0.1614,1.7050,2.9398
99,-6.0100,2.8600,1.9100,0.2629,1.7475,2.9878
100,-5.7800,3.0200,2.2000,0.3840,1.7551,2.9485
101,-5.8700,3.6800,2.7100,0.4778,1.7715,2.9376
102,-5.8800,3.8200,3.0400,0.5029,1.8271,2.9845
103,-5.6400,3.8900,3.3200,0.5029,1.8271,2.9845
104,-6.0000,2.4700,3.6100,0.5411,1.8762,3.1121
105,-5.4100,1.9700,3.5100,0.5552,1.8370,3.4470
106,-6.3900,1.0400,3.9500,0.5345,1.9330,3.4732
107,-5.9100,1.7000,3.9200,0.5345,1.9330,3.4732
108,-6.6100,1.5400,4.4600,0.6872,1.9886,3.3074
109,-5.6100,2.1700,4.2100,0.5869,1.9144,3.1470
110,-5.7200,2.5700,4.2500,0.3818,1.9373,2.9976
111,-5.1200,2.5000,4.0400,0.3818,1.9373,2.9976
112,-4.7400,2.0900,3.8500,0.0840,1.9024,2.9485
113,-5.0100,2.1900,3.9500,-0.1134,1.9330,3.0271
114,-5.7300,2.0100,4.0700,-0.1364,2.0409,3.1841
115,-7.2400,-1.0000,4.7600,-0.2607,2.1860,3.4678
116,-6.3900,-1.2400,4.3300,-0.5683,2.6049,3.8266
117,-9.9400,-2.4000,6.4300,-0.5214,2.5100,4.0372
118,-9.3900,-1.4100,6.9700,-0.1505,2.3496,3.6968
119,-9.4900,-1.4100,6.9800,-0.1505,2.3496,3.6968
120,-9.3400,-4.0700,6.5100,-0.6076,1.1596,3.0685
121,-9.6100,-5.2100,7.0900,-0.8345,0.6709,2.8591
122,-10.8700,-6.6200,8.3100,-0.9817,0.3076,2.6136
123,-11.1400,-6.7100,8.5700,-1.0690,-0.3251,2.2362
124,-10.3300,-5.1400,7.1000,-1.0690,-0.3251,2.2362
125,-9.8300,-4.2600,5.9100,-1.3886,-1.8402,1.3046
126,-9.3200,-3.9000,5.0600,-1.5468,-2.2722,0.9730
127,-8.8100,-4.4500,4.7300,-1.5719,-2.6060,0.8138
128,-9.5400,-4.5500,5.5700,-1.5719,-2.6060,0.8138
129,-10.0100,-4.5700,6.3400,-1.6810,-2.9267,0.6578
130,-8.5600,-5.2300,6.4500,-1.9886,-3.3990,0.2018
131,-9.5500,-4.0900,6.3600,-2.5384,-4.0873,-0.6349
132,-9.9900,-3.3900,5.2900,-3.0118,-4.4724,-1.3832
133,-11.3700,-7.0600,5.7300,-3.3652,-4.7124,-2.1380
134,-9.1900,-3.9500,3.1200,-3.8365,-4.8553,-2.7663
135,-7.7000,0.0100,1.4000,-0.6196,-5.4280,-2.5504
136,-5.8900,2.2500,-0.1100,0.0873,-5.6647,-2.4282
