lineno,aX,aY,aZ,gX,gY,gZ
0,-3.6000,-4.1600,-4.4900,-1.2795,0.1691,-0.3992
1,-3.5300,-3.7900,-4.7600,-1.1345,0.2662,-0.5203
2,-3.3600,-4.3900,-4.7900,-1.1345,0.2662,-0.5203
3,-3.3300,-4.8400,-4.9000,-1.0014,0.5247,-0.7254
4,-3.1700,-4.8300,-5.0900,-0.7898,0.6774,-0.7985
5,-2.9100,-4.9600,-5.0900,-0.6130,0.8672,-0.9403
6,-2.7600,-5.1100,-4.7800,-0.6130,0.8672,-0.9403
7,-2.7600,-4.3900,-4.8600,-0.4429,1.0745,-1.1661
8,-2.8400,-3.5900,-4.2800,-0.2334,1.2501,-1.3057
9,-2.8300,-3.0600,-4.0700,-0.1429,1.4148,-1.3984
10,-2.7500,-2.7100,-3.8100,-0.0916,1.5479,-1.4923
11,-2.6200,-2.1000,-3.1400,-0.1233,1.6646,-1.6079
12,-2.4400,-1.9400,-2.9300,-0.1833,1.7650,-1.7104
13,-2.1900,-1.7900,-2.6600,-0.2411,1.8457,-1.8042
14,-1.6500,-1.0600,-2.3300,-0.2596,1.9046,-1.8642
15,-1.5300,-0.8800,-2.1200,-0.2236,1.9591,-1.8948
16,-1.5800,-0.7000,-1.7700,-0.1953,2.0202,-1.9013
17,-1.7300,-0.3500,-1.3600,-0.0785,2.2329,-1.8762
18,-2.3000,0.1300,0.0600,-0.0185,2.3431,-1.8828
19,-2.4600,0.4800,0.7400,0.0840,2.3955,-1.8599
20,-2.6600,0.9000,1.3600,0.1974,2.3780,-1.8261
21,-2.6600,1.5300,2.5000,0.2553,2.3027,-1.8119
22,-2.5300,1.7900,2.7600,0.2880,2.1915,-1.8119
23,-2.7100,2.2600,3.1100,0.2945,2.0824,-1.7791
24,-2.7900,2.8700,3.8900,0.2891,1.9689,-1.7257
25,-2.9000,3.3600,4.2400,0.3523,1.8555,-1.6908
26,-2.8300,3.6900,4.4100,0.3523,1.8555,-1.6908
27,-2.8600,4.4100,4.5500,0.3818,1.6962,-1.6482
28,-3.0500,5.1300,4.9200,0.4331,1.5086,-1.5719
29,-2.9400,5.5800,4.8500,0.4309,1.3134,-1.4672
30,-2.7300,6.0100,4.5500,0.4592,1.0865,-1.3297
31,-2.0800,5.7800,3.7300,0.4222,0.8279,-1.1825
32,-1.8400,5.8000,3.2000,0.3207,0.5781,-1.0407
33,-1.4400,5.8000,2.6300,0.3022,0.3883,-0.8978
34,-0.7800,6.6400,1.3600,0.3371,0.2465,-0.7603
35,-0.4500,7.0300,0.7800,0.3872,0.1342,-0.6229
36,-0.0500,7.5200,0.2000,0.3807,0.0425,-0.4712
37,0.2100,8.0700,-0.2400,0.3851,0.0076,-0.2716
38,0.5700,8.4100,-1.0600,0.3447,0.0065,-0.0240
39,0.3900,8.0700,-1.3000,0.1996,0.0207,0.2236
40,0.0500,7.5900,-1.3300,0.0098,0.0545,0.4909
41,-1.2300,6.4000,-0.7800,-0.1385,0.1309,0.7549
42,-1.7200,6.1200,-0.6300,-0.2073,0.2138,0.9894
43,-2.0700,6.1000,-0.6500,-0.1789,0.2367,1.1934
44,-2.2700,5.8200,-0.9000,-0.1156,0.1865,1.3668
45,-2.0000,5.7700,-1.2000,-0.0960,0.1058,1.5119
46,-2.1600,6.0200,-1.3400,-0.0873,0.0611,1.6373
47,-2.0900,5.8400,-1.4800,-0.0436,0.0382,1.7650
48,-2.3100,5.8200,-1.6700,0.0818,0.0262,2.0431
49,-2.3400,6.2300,-1.8100,0.1767,0.0240,2.1904
50,-2.4100,6.0100,-1.6000,0.2203,0.0404,2.3573
51,-2.3100,6.1300,-1.5800,0.3054,0.0349,2.5722
52,-2.0700,5.7100,-1.6000,0.2869,0.0055,2.7914
53,-1.9300,5.1000,-1.5400,0.1811,-0.0175,2.9932
54,-2.1800,3.0100,-1.2800,0.0687,-0.0109,3.1525
55,-2.1900,1.8600,-1.0600,0.0000,0.0065,3.2561
56,-2.2900,0.7300,-0.6300,0.0000,0.0065,3.2561
57,-1.8500,-0.4400,-0.1500,0.0382,0.0120,3.2834
58,-1.3200,-0.9900,0.1200,0.2214,0.0044,3.2627
59,-0.9200,-1.2500,0.3400,0.4189,0.0142,3.2681
60,-0.4900,-1.4500,0.5400,0.6076,0.0076,3.2867
61,-0.7500,-2.9700,1.1700,0.7090,0.0142,3.2834
62,-0.9600,-3.2300,1.6500,0.7210,0.0349,3.2670
63,-1.4800,-3.2800,2.1600,0.8072,0.0764,3.2376
64,-1.9300,-3.2100,2.6800,0.9654,0.1091,3.1776
65,-1.9600,-3.2700,2.7500,1.0799,0.0458,3.1361
66,-1.7600,-4.2500,2.4800,1.1301,-0.0415,3.1263
67,-2.3300,-7.3800,2.3000,0.6250,-0.1680,3.0347
68,-2.6300,-8.7000,2.4200,0.6250,-0.1680,3.0347
69,-3.4500,-9.4000,2.7700,0.3862,-0.1353,2.8263
70,-3.1700,-9.4300,2.6800,0.3392,-0.1462,2.6147
71,-2.0300,-7.9900,1.0400,0.7090,-0.4265,2.0180
72,-1.7300,-7.2500,0.5800,1.0232,-0.4156,1.8250
73,-1.6000,-5.7500,0.2000,1.2774,-0.3567,1.7879
74,-2.7100,-5.8700,0.4600,1.2370,-0.2585,1.7813
75,-3.0200,-6.4600,0.4600,0.8956,-0.2258,1.6919
76,-3.5000,-6.9600,0.4700,0.5258,-0.2476,1.4868
77,-2.9300,-6.7900,-0.6300,0.3000,-0.3414,1.2686
78,-2.5800,-6.7900,-1.2500,0.1385,-0.4058,1.0799
79,-2.4100,-6.4500,-1.7800,0.0469,-0.3665,0.9741
80,-2.4500,-6.0800,-2.0000,0.0469,-0.3665,0.9741
81,-2.2200,-5.3900,-2.5000,0.0807,-0.2083,0.8476
82,-1.9000,-5.3400,-2.8400,0.0262,-0.1767,0.7734
83,-1.8700,-5.6100,-3.1000,0.0262,-0.1767,0.7734
84,-1.7900,-6.2600,-3.3600,-0.1156,-0.1331,0.6610
85,-1.5100,-6.0500,-3.5500,-0.3022,-0.0589,0.5061
86,-1.3200,-6.2500,-3.6200,-0.4549,0.0240,0.3153
87,-1.4100,-6.2700,-3.2400,-0.6240,0.1047,0.0927
88,-1.4800,-6.0800,-3.0500,-0.6970,0.2029,-0.1058
89,-1.4100,-5.9900,-2.8700,-0.6294,0.3109,-0.2640
90,-1.6100,-5.0700,-2.4600,-0.5029,0.3949,-0.4123
91,-1.5900,-4.4100,-2.2700,-0.0807,0.5280,-0.6556
92,-1.6800,-3.8100,-2.0900,0.0927,0.5727,-0.7909
93,-1.6400,-3.1200,-1.9900,0.2258,0.6087,-0.9141
94,-1.6500,-1.9700,-1.7800,0.2989,0.6370,-1.0036
95,-1.4700,-1.6500,-1.7700,0.3054,0.6621,-1.0832
96,-1.3800,-1.4500,-1.7300,0.2367,0.6927,-1.1585
97,-1.0400,-1.4800,-1.9300,0.1516,0.7363,-1.1726
98,-1.5000,-2.0900,-1.7600,0.0654,0.8127,-1.2806
99,-1.8000,-2.3200,-1.6000,0.0295,0.9119,-1.2850
100,-1.5000,-2.1900,-1.7100,0.1025,0.9065,-1.3766
101,-1.2100,-2.0600,-1.8800,0.1865,0.8879,-1.4464
102,-1.2300,-2.0500,-1.8700,0.2782,0.8967,-1.5315
