lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1302734,3,-0.08521,-0.07623,0.65186,0.74963,3.60156,0.84375,1.62109,-0.11133,0.09961,-0.28320,1.43186,-0.00321,-0.22915
1,9766,3,-0.08655,-0.07690,0.65106,0.75018,4.45312,0.55859,2.39453,-0.02148,0.18945,-0.43164,1.42987,-0.00269,-0.23206
2,10742,3,-0.08710,-0.07672,0.64960,0.75140,4.18359,0.49219,2.71094,0.07812,0.34180,-0.58789,1.42597,-0.00214,-0.23265
3,8789,3,-0.08765,-0.07587,0.64752,0.75317,3.96094,0.71094,3.28516,0.43750,0.30273,-0.87109,1.42032,-0.00078,-0.23236
4,10742,3,-0.08740,-0.07416,0.64471,0.75574,3.86328,0.46094,6.26562,0.90430,0.25000,-1.12305,1.41250,0.00061,-0.22976
5,9766,3,-0.08539,-0.07135,0.64105,0.75940,3.55469,-0.33984,7.96484,1.30664,0.37109,-1.21289,1.40206,0.00111,-0.22301
6,9765,3,-0.08173,-0.06714,0.63684,0.76373,3.09766,-1.01562,9.12891,1.83984,0.50977,-1.38281,1.38993,0.00154,-0.21192
7,9766,3,-0.07672,-0.06104,0.63220,0.76862,3.34375,-1.47656,11.74219,2.56641,0.59375,-1.77148,1.37633,0.00318,-0.19636
8,10742,3,-0.06946,-0.05255,0.62653,0.77454,2.75391,-2.61719,12.72656,3.23633,0.67969,-2.16016,1.35980,0.00563,-0.17432
9,9766,3,-0.05957,-0.04156,0.61926,0.78186,1.28125,-3.81641,12.83594,3.94922,0.66992,-2.49414,1.33910,0.00878,-0.14514
10,9765,3,-0.04706,-0.02850,0.61047,0.79010,-0.09766,-4.28125,12.62500,4.69727,0.40234,-2.91016,1.31501,0.01242,-0.10939
11,10743,3,-0.03204,-0.01459,0.60065,0.79871,-2.64062,-5.06250,11.04688,5.27930,0.00000,-3.13281,1.28907,0.01519,-0.06878
12,9765,3,-0.01141,0.00153,0.58795,0.80878,-4.36328,-5.70312,9.76172,5.75586,-0.24414,-3.13672,1.25706,0.01589,-0.01667
13,9766,3,0.01111,0.01691,0.57507,0.81787,-5.51953,-6.54688,8.98438,6.09570,-0.29883,-2.88672,1.22593,0.01488,0.03763
14,9766,3,0.03619,0.03320,0.56171,0.82587,-6.67578,-7.17188,7.68359,6.26562,-0.24609,-2.45312,1.19524,0.01418,0.09725
15,10742,3,0.06201,0.04987,0.54932,0.83185,-8.62109,-7.39844,4.88281,6.14453,-0.14648,-1.83008,1.16842,0.01483,0.15863
16,9765,3,0.08783,0.06671,0.53845,0.83539,-9.59375,-7.42578,2.65234,5.78906,-0.07617,-1.11523,1.14694,0.01688,0.22040
17,9766,3,0.11261,0.08295,0.52997,0.83636,-9.87891,-7.26953,0.60938,5.36914,-0.04102,-0.38477,1.13233,0.01939,0.28000
18,9766,3,0.13568,0.09778,0.52429,0.83496,-9.58594,-6.03125,-3.02344,4.98047,-0.19336,0.21680,1.12496,0.02101,0.33543
19,10742,3,0.15747,0.11084,0.52118,0.83142,-9.09766,-5.84766,-4.37891,4.61133,-0.41992,0.78125,1.12382,0.02017,0.38706
20,9765,3,0.17786,0.12128,0.52020,0.82648,-8.67578,-6.00000,-5.34766,4.24609,-0.53906,1.36328,1.12694,0.01542,0.43368
21,9766,3,0.19867,0.13007,0.52142,0.81958,-7.96484,-6.29297,-5.89453,3.97266,-0.56055,1.79688,1.13471,0.00602,0.47947
22,9766,3,0.21710,0.13660,0.52441,0.81189,-5.46875,-6.12891,-6.85547,3.69141,-0.56055,2.10938,1.14543,-0.00590,0.51878
23,10742,3,0.23633,0.14246,0.52917,0.80237,-5.08203,-6.46484,-7.38281,3.27734,-0.55273,2.43359,1.15990,-0.02152,0.55878
24,9765,3,0.25256,0.14655,0.53479,0.79291,-5.04688,-6.76172,-8.00781,2.69336,-0.52930,2.87305,1.17526,-0.03775,0.59158
25,9766,3,0.26837,0.14905,0.54260,0.78192,-5.20312,-7.23438,-8.53125,2.02930,-0.42969,3.40625,1.19459,-0.05818,0.62167
26,9766,3,0.28137,0.14929,0.55249,0.77026,-5.03906,-7.20703,-9.42578,1.43945,-0.30469,3.87891,1.21741,-0.08101,0.64399
27,10742,3,0.29181,0.14752,0.56470,0.75775,-4.62891,-7.07812,-9.53906,0.95117,-0.28320,4.29883,1.24453,-0.10620,0.65897
28,9766,3,0.30005,0.14380,0.57867,0.74463,-4.28125,-7.10156,-9.73438,0.38086,-0.29102,4.71875,1.27496,-0.13350,0.66716
29,9765,3,0.30652,0.13782,0.59436,0.73059,-3.38281,-7.42969,-10.33984,-0.33594,-0.19531,5.15625,1.30888,-0.16372,0.66876
30,9766,3,0.31055,0.12964,0.61133,0.71631,-3.45312,-7.34375,-10.79297,-1.22852,-0.00586,5.69336,1.34567,-0.19519,0.66243
31,10742,3,0.31146,0.11798,0.63159,0.70013,-3.20703,-7.45703,-10.87891,-2.27344,0.42969,6.27734,1.39073,-0.23025,0.64476
32,9766,3,0.30804,0.10376,0.65363,0.68347,-2.52344,-7.32031,-10.75000,-3.29492,0.92578,6.78320,1.44196,-0.26391,0.61465
33,9765,3,0.29926,0.08630,0.67883,0.66498,-0.42969,-7.20312,-10.95312,-4.16992,1.34180,7.17188,1.50438,-0.29580,0.56872
34,10742,3,0.28613,0.06744,0.70404,0.64642,0.52344,-6.97266,-10.58203,-4.80469,1.49414,7.40625,1.57131,-0.32121,0.51206
35,9766,3,0.26868,0.04553,0.73071,0.62592,1.10547,-7.00000,-10.46875,-5.42773,1.70312,7.68945,1.64737,-0.34231,0.44195
36,9766,3,0.24927,0.02283,0.75568,0.60522,1.06250,-7.63672,-9.46875,-6.01367,2.19141,7.99414,1.72414,-0.35661,0.36698
37,9765,3,0.22400,-0.00391,0.78278,0.58057,1.01562,-8.65625,-7.32031,-6.45508,2.25391,8.16797,1.81446,-0.36315,0.27516
38,10742,3,0.19690,-0.03076,0.80743,0.55530,1.70703,-8.35547,-7.67188,-6.89648,2.08789,8.08008,1.90359,-0.35984,0.18156
39,10743,3,0.16785,-0.05988,0.83014,0.52826,2.51172,-7.98828,-6.77734,-7.11133,1.83594,7.66406,1.99351,-0.34899,0.08302
40,8789,3,0.14001,-0.08881,0.84845,0.50262,4.59375,-8.12109,-6.83984,-7.36328,1.30469,7.07031,2.07373,-0.33299,-0.01052
41,9765,3,0.11078,-0.12164,0.86420,0.47546,5.67578,-8.14453,-6.06641,-7.82227,1.15625,6.51367,2.15303,-0.31220,-0.11046
42,10743,3,0.08289,-0.15540,0.87543,0.45013,7.00781,-7.96484,-4.37109,-8.29688,1.52539,5.98828,2.22203,-0.28902,-0.20748
43,10742,3,0.05396,-0.19006,0.88269,0.42645,8.78125,-7.67969,-2.81250,-8.41016,2.04297,5.27930,2.28160,-0.26028,-0.30427
