lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1403320,3,0.34717,0.18054,0.80078,0.45349,-0.90625,-0.25000,-3.01562,-0.49219,-0.04492,-0.10547,1.95837,-0.40308,0.71635
1,9766,3,0.34613,0.17883,0.80096,0.45459,-1.01172,-0.21875,-3.35156,-0.55664,-0.06055,-0.09961,1.95762,-0.40269,0.71213
2,9766,3,0.34503,0.17688,0.80121,0.45581,-1.12500,-0.18750,-3.63672,-0.64453,-0.06250,-0.08203,1.95678,-0.40240,0.70740
3,9765,3,0.34375,0.17456,0.80151,0.45709,-1.42578,-0.37109,-4.40234,-0.75195,-0.05664,-0.05859,1.95605,-0.40222,0.70181
4,10742,3,0.34229,0.17181,0.80194,0.45850,-1.53906,-0.47656,-4.74219,-0.85352,-0.04492,-0.03516,1.95539,-0.40219,0.69521
5,9766,3,0.34058,0.16864,0.80249,0.45990,-1.73047,-0.69922,-5.07812,-0.98828,-0.00391,0.00781,1.95507,-0.40229,0.68753
6,9766,3,0.33850,0.16498,0.80334,0.46143,-2.03906,-1.04688,-5.43750,-1.12695,0.04492,0.08789,1.95520,-0.40235,0.67837
7,9765,3,0.33606,0.16101,0.80438,0.46271,-2.52734,-1.58984,-5.83984,-1.24023,0.07031,0.15234,1.95623,-0.40242,0.66813
8,10742,3,0.33301,0.15594,0.80585,0.46411,-2.52734,-1.76562,-6.04688,-1.33984,0.07031,0.20703,1.95803,-0.40276,0.65503
9,9766,3,0.32983,0.15076,0.80743,0.46527,-2.52734,-1.97656,-6.30859,-1.46875,0.05078,0.23828,1.96048,-0.40321,0.64150
10,9766,3,0.32642,0.14490,0.80920,0.46649,-2.49609,-1.93750,-6.64062,-1.64648,0.01172,0.21289,1.96324,-0.40400,0.62643
11,13672,3,0.32275,0.13837,0.81097,0.46790,-2.27734,-1.73438,-7.44531,-1.85352,0.00977,0.21094,1.96589,-0.40502,0.60997
12,6835,3,0.31891,0.13135,0.81268,0.46960,-2.39844,-1.49609,-7.75391,-2.07031,0.02148,0.23633,1.96814,-0.40607,0.59252
13,9766,3,0.31433,0.12305,0.81464,0.47168,-2.63672,-1.29297,-8.10547,-2.30859,0.05859,0.28125,1.97066,-0.40719,0.57190
14,9766,3,0.30896,0.11359,0.81671,0.47394,-3.06641,-1.34375,-8.44531,-2.55664,0.15430,0.35742,1.97368,-0.40825,0.54829
15,9765,3,0.30280,0.10333,0.81909,0.47614,-3.48828,-1.60156,-8.61719,-2.83398,0.31641,0.48047,1.97779,-0.40895,0.52217
16,10743,3,0.29559,0.09235,0.82184,0.47815,-4.02344,-1.87109,-8.50391,-3.09961,0.50000,0.63281,1.98342,-0.40887,0.49328
17,9765,3,0.28699,0.08026,0.82520,0.47992,-4.54297,-1.95703,-8.40625,-3.29688,0.64453,0.81641,1.99122,-0.40778,0.46042
18,9766,3,0.27686,0.06708,0.82910,0.48108,-5.47656,-3.08594,-8.08594,-3.44141,0.64062,0.98633,2.00172,-0.40557,0.42349
19,10742,3,0.26666,0.05383,0.83313,0.48157,-6.06641,-3.51172,-8.20312,-3.61328,0.52930,1.15234,2.01346,-0.40332,0.38629
20,9766,3,0.25592,0.03912,0.83740,0.48138,-6.57031,-4.06250,-8.18359,-3.79297,0.31641,1.29492,2.02708,-0.40166,0.34573
21,12695,3,0.24548,0.02325,0.84149,0.48071,-6.68750,-4.59375,-8.21094,-3.93164,-0.02734,1.38281,2.04132,-0.40149,0.30356
22,6836,3,0.23602,0.00629,0.84515,0.47961,-6.08984,-5.56641,-7.60547,-4.02930,-0.41016,1.42383,2.05561,-0.40378,0.26068
23,10742,3,0.22742,-0.01257,0.84827,0.47809,-5.21094,-5.90234,-7.20703,-4.13672,-0.65430,1.45703,2.07027,-0.40916,0.21543
24,9766,3,0.21948,-0.03351,0.85083,0.47632,-4.31250,-6.13281,-6.75000,-4.26367,-0.73828,1.52148,2.08541,-0.41738,0.16711
25,9765,3,0.21222,-0.05438,0.85272,0.47424,-2.82031,-6.66797,-5.41797,-4.40430,-0.70703,1.59570,2.10059,-0.42629,0.11949
26,9766,3,0.20441,-0.07660,0.85437,0.47162,-2.47266,-6.69141,-4.87891,-4.47852,-0.55078,1.68750,2.11772,-0.43512,0.06833
27,10742,3,0.19598,-0.09857,0.85571,0.46869,-2.40234,-6.82031,-4.20703,-4.55273,-0.32031,1.85352,2.13568,-0.44205,0.01661
28,9766,3,0.18634,-0.12054,0.85699,0.46503,-2.66406,-7.12500,-3.75391,-4.63281,-0.11719,2.03906,2.15564,-0.44618,-0.03693
29,13672,3,0.17511,-0.14301,0.85840,0.46045,-3.19922,-7.82812,-3.17188,-4.70898,-0.02148,2.17188,2.17819,-0.44708,-0.09358
30,6836,3,0.16394,-0.16351,0.85962,0.45551,-3.40625,-8.18750,-2.76172,-4.74023,-0.04297,2.28125,2.20028,-0.44537,-0.14653
31,9765,3,0.15137,-0.18585,0.86060,0.44940,-3.49219,-8.53125,-2.17969,-4.71094,-0.15430,2.39062,2.22524,-0.44179,-0.20478
32,9766,3,0.13849,-0.20886,0.86115,0.44226,-3.25000,-8.83594,-1.38672,-4.61914,-0.32617,2.46680,2.25186,-0.43706,-0.26493
33,9765,3,0.12665,-0.23108,0.86127,0.43451,-1.25000,-9.16406,0.33203,-4.53516,-0.46484,2.39258,2.27857,-0.43230,-0.32273
34,10743,3,0.11560,-0.25305,0.86078,0.42621,0.25781,-9.00781,0.83203,-4.47461,-0.40234,2.27148,2.30545,-0.42764,-0.37951
35,12695,3,0.10492,-0.27466,0.85962,0.41791,1.26172,-8.87109,1.66406,-4.38281,-0.08594,2.21680,2.33129,-0.42238,-0.43514
36,6836,3,0.09399,-0.29462,0.85797,0.41016,2.48438,-8.80078,3.19141,-4.27148,0.27539,2.10352,2.35421,-0.41477,-0.48719
37,9765,3,0.08167,-0.31366,0.85590,0.40289,2.82422,-8.44141,3.56250,-4.15430,0.60938,1.98047,2.37427,-0.40342,-0.53783
38,10743,3,0.06738,-0.33246,0.85333,0.39600,2.26562,-8.07812,4.33984,-4.03906,0.75391,1.94141,2.39158,-0.38794,-0.58868
39,9765,3,0.05322,-0.34906,0.85046,0.38989,1.15625,-7.87500,4.99609,-3.87500,0.43750,1.88867,2.40497,-0.37119,-0.63427
40,9766,3,0.03931,-0.36554,0.84723,0.38342,0.04297,-8.10547,5.53516,-3.66016,-0.07812,1.77930,2.41798,-0.35429,-0.67935
41,9766,3,0.02820,-0.38116,0.84381,0.37665,0.73438,-8.28906,6.39844,-3.45508,-0.49219,1.62500,2.43168,-0.34132,-0.72098
42,10742,3,0.01947,-0.39685,0.84009,0.36926,1.73828,-8.62109,7.28125,-3.28711,-0.71484,1.42578,2.44722,-0.33186,-0.76159
43,12695,3,0.01288,-0.41217,0.83612,0.36182,3.83984,-9.70312,9.46484,-3.07422,-0.74609,1.28906,2.46347,-0.32549,-0.80030
44,6836,3,0.00757,-0.42633,0.83203,0.35486,4.37500,-9.40234,10.99219,-2.70898,-0.76562,1.22852,2.47869,-0.32063,-0.83585
45,9766,3,0.00299,-0.43951,0.82806,0.34808,4.69141,-8.77734,11.73828,-2.34180,-0.78125,1.25391,2.49340,-0.31616,-0.86892
46,9765,3,-0.00110,-0.45184,0.82446,0.34082,5.01562,-8.55078,12.41016,-2.00000,-0.71289,1.32422,2.50887,-0.31116,-0.90008
47,10742,3,-0.00446,-0.46173,0.82178,0.33380,6.67188,-8.17188,13.69141,-1.60938,-0.82031,1.30664,2.52332,-0.30568,-0.92550
48,9766,3,-0.00745,-0.47070,0.81970,0.32623,8.03516,-7.99219,14.46094,-1.21680,-0.75000,1.17773,2.53863,-0.29938,-0.94879
