lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1762695,3,0.06403,0.02509,0.50885,0.85809,-2.81250,0.55078,0.66797,0.40430,0.10156,-0.19922,1.06901,-0.02211,0.13586
1,13672,3,0.06555,0.02661,0.50787,0.85852,-3.14062,0.47266,0.67578,0.41016,0.05273,-0.14062,1.06693,-0.02089,0.14007
2,6836,3,0.06708,0.02802,0.50714,0.85883,-3.51562,0.46484,0.60156,0.42773,-0.03516,-0.06836,1.06538,-0.01992,0.14415
3,9766,3,0.06879,0.02911,0.50659,0.85895,-4.26953,0.46484,0.56250,0.44336,-0.07227,0.00977,1.06428,-0.01968,0.14824
4,10742,3,0.07092,0.03003,0.50641,0.85883,-4.62109,0.50391,0.41797,0.46875,-0.12500,0.09375,1.06400,-0.02025,0.15287
5,9766,3,0.07318,0.03076,0.50653,0.85858,-4.97266,0.45703,0.23438,0.48438,-0.17188,0.19922,1.06433,-0.02131,0.15751
6,9765,3,0.07556,0.03125,0.50702,0.85803,-5.53125,0.52344,0.12500,0.49023,-0.24219,0.33594,1.06555,-0.02300,0.16211
7,9766,3,0.07819,0.03143,0.50800,0.85724,-6.39062,0.48438,-0.40234,0.45117,-0.34180,0.50586,1.06778,-0.02555,0.16681
8,9766,3,0.08112,0.03119,0.50964,0.85596,-6.80469,0.23828,-0.65625,0.42773,-0.46484,0.69531,1.07155,-0.02929,0.17158
9,10742,3,0.08411,0.03033,0.51202,0.85431,-6.96094,0.00781,-0.80859,0.44336,-0.61523,0.89844,1.07685,-0.03431,0.17578
10,9765,3,0.08746,0.02881,0.51508,0.85217,-7.13672,-0.18359,-0.98438,0.44531,-0.75977,1.09375,1.08364,-0.04101,0.17987
11,9766,3,0.09131,0.02661,0.51898,0.84949,-7.02344,-0.53125,-1.51172,0.47852,-0.86523,1.30469,1.09227,-0.04958,0.18401
12,10742,3,0.09131,0.02661,0.51898,0.84949,-6.92578,-0.60547,-1.76562,0.52539,-1.03320,1.47070,1.09227,-0.04958,0.18401
13,9766,3,0.10034,0.02045,0.52899,0.84241,-6.88281,-0.67578,-2.13281,0.53125,-1.20117,1.64062,1.11451,-0.07177,0.19237
14,9765,3,0.10565,0.01636,0.53485,0.83813,-6.85938,-0.72266,-3.31250,0.45898,-1.33984,1.83398,1.12753,-0.08570,0.19659
15,9766,3,0.11133,0.01141,0.54150,0.83325,-6.81641,-0.83203,-3.85547,0.34180,-1.48242,2.04102,1.14234,-0.10172,0.20024
16,10742,3,0.11688,0.00555,0.54865,0.82782,-6.78906,-1.07812,-4.29297,0.19727,-1.63477,2.24023,1.15845,-0.11934,0.20242
17,11719,3,0.12238,-0.00146,0.55664,0.82172,-6.62500,-1.31641,-4.73438,0.03711,-1.80078,2.42578,1.17663,-0.13909,0.20281
18,7813,3,0.12732,-0.00922,0.56470,0.81537,-5.47266,-1.63672,-5.20312,-0.10938,-1.98438,2.59766,1.19531,-0.15950,0.20110
19,9765,3,0.13239,-0.01868,0.57373,0.80804,-4.73438,-1.85547,-5.25000,-0.24023,-2.13281,2.73828,1.21669,-0.18312,0.19707
20,10742,3,0.13751,-0.02960,0.58337,0.79993,-3.86328,-2.32422,-5.31641,-0.37500,-2.17383,2.84180,1.24012,-0.20933,0.19076
21,9766,3,0.14215,-0.04108,0.59302,0.79150,-3.03516,-2.85938,-5.19922,-0.42773,-2.22656,2.87891,1.26436,-0.23579,0.18233
22,9766,3,0.14648,-0.05292,0.60254,0.78278,-1.43750,-3.55469,-5.12500,-0.43555,-2.27930,2.87695,1.28926,-0.26236,0.17227
23,10742,3,0.15082,-0.06525,0.61200,0.77356,-1.19141,-3.90234,-5.21484,-0.46875,-2.28125,2.90625,1.31514,-0.28959,0.16084
24,9765,3,0.15509,-0.07764,0.62122,0.76422,-0.88672,-4.04688,-5.39062,-0.53516,-2.25391,2.95898,1.34134,-0.31661,0.14848
25,11719,3,0.15900,-0.09003,0.63031,0.75458,-0.01953,-4.18359,-5.96875,-0.62695,-2.21094,2.99609,1.36846,-0.34296,0.13468
26,7813,3,0.16235,-0.10223,0.63910,0.74481,0.29688,-4.10156,-6.32031,-0.75781,-2.17578,3.04297,1.39606,-0.36806,0.11943
27,9765,3,0.16528,-0.11542,0.64838,0.73413,0.64062,-4.05469,-6.51953,-0.88672,-2.14453,3.05273,1.42675,-0.39391,0.10090
28,9766,3,0.16748,-0.12872,0.65729,0.72345,1.34766,-3.94141,-6.55469,-1.00586,-2.08203,2.96484,1.45801,-0.41852,0.08010
29,10742,3,0.16901,-0.14130,0.66522,0.71338,2.88281,-4.23828,-6.55469,-1.12695,-1.96289,2.85742,1.48779,-0.44058,0.05879
30,9766,3,0.16986,-0.15515,0.67340,0.70251,3.00391,-4.36328,-6.27734,-1.20703,-1.82812,2.75000,1.52065,-0.46318,0.03321
31,10742,3,0.16992,-0.16803,0.68060,0.69263,3.19141,-4.37500,-5.96094,-1.25391,-1.67773,2.66016,1.55143,-0.48254,0.00752
32,9766,3,0.16931,-0.18066,0.68738,0.68280,3.27344,-4.33984,-5.79688,-1.33594,-1.50000,2.57422,1.58247,-0.50005,-0.01955
33,11718,3,0.16797,-0.19269,0.69366,0.67340,3.18750,-4.48828,-5.67578,-1.45117,-1.30664,2.51367,1.61288,-0.51502,-0.04725
34,8789,3,0.16571,-0.20380,0.69934,0.66479,2.82422,-4.41406,-5.56641,-1.56445,-1.14453,2.45508,1.64165,-0.52675,-0.07494
35,9766,3,0.16235,-0.21558,0.70508,0.65576,2.55469,-4.35547,-5.44922,-1.66797,-1.08203,2.40625,1.67250,-0.53714,-0.10619
36,9766,3,0.15826,-0.22693,0.71033,0.64716,2.60547,-4.66406,-4.94922,-1.75391,-1.03125,2.33398,1.70242,-0.54521,-0.13792
37,9765,3,0.15369,-0.23840,0.71521,0.63879,3.15625,-4.78906,-4.44922,-1.79883,-0.96680,2.23047,1.73201,-0.55201,-0.17073
38,9766,3,0.14880,-0.24969,0.71948,0.63074,3.61719,-4.95312,-4.02734,-1.81836,-0.82617,2.11523,1.76053,-0.55756,-0.20363
39,9765,3,0.14362,-0.26050,0.72327,0.62323,3.96875,-4.97266,-3.35938,-1.77734,-0.55664,1.97656,1.78741,-0.56148,-0.23586
40,10743,3,0.13800,-0.27020,0.72656,0.61652,4.38281,-4.84375,-2.52344,-1.72656,-0.27734,1.84961,1.81169,-0.56295,-0.26620
41,11718,3,0.13129,-0.27948,0.72980,0.60999,4.08984,-4.56250,-2.33594,-1.68945,-0.03125,1.76758,1.83544,-0.56163,-0.29707
42,7813,3,0.12427,-0.28711,0.73260,0.60455,3.82422,-4.15234,-2.23828,-1.70898,0.10547,1.69336,1.85535,-0.55764,-0.32434
43,9766,3,0.11646,-0.29425,0.73529,0.59937,3.71484,-3.66016,-2.46484,-1.76758,0.20312,1.58594,1.87414,-0.55150,-0.35131
44,10742,3,0.10779,-0.30145,0.73773,0.59436,3.63281,-3.24219,-2.40234,-1.82227,0.31445,1.48047,1.89208,-0.54378,-0.37904
45,9765,3,0.09912,-0.30811,0.73962,0.59009,3.46484,-3.14453,-2.11719,-1.84375,0.44531,1.40625,1.90726,-0.53547,-0.40489
46,9766,3,0.09003,-0.31445,0.74115,0.58630,3.47656,-3.17188,-1.68750,-1.81641,0.53906,1.31055,1.92053,-0.52609,-0.43004
47,9766,3,0.08063,-0.32037,0.74237,0.58289,3.55469,-3.03906,-1.10547,-1.77148,0.59180,1.19531,1.93208,-0.51575,-0.45420
48,10742,3,0.07129,-0.32587,0.74323,0.57996,3.76172,-2.87891,-0.98047,-1.73828,0.63672,1.10352,1.94164,-0.50515,-0.47690
49,9765,3,0.06189,-0.33099,0.74377,0.57739,3.70312,-2.77734,-0.81250,-1.73047,0.60938,1.00391,1.94959,-0.49417,-0.49851
50,9766,3,0.05273,-0.33600,0.74402,0.57513,3.56641,-2.48438,-0.79688,-1.75391,0.60547,0.91211,1.95628,-0.48358,-0.51923
51,12695,3,0.05273,-0.33600,0.74402,0.57513,3.72266,-2.57812,-0.48047,-1.77539,0.74219,0.83008,1.95628,-0.48358,-0.51923
52,7813,3,0.03510,-0.34552,0.74341,0.57166,4.08203,-2.68359,-0.14844,-1.76562,0.87305,0.75781,1.96557,-0.46362,-0.55797
53,9765,3,0.02515,-0.35010,0.74255,0.57043,4.40625,-2.71094,0.05859,-1.71875,0.96289,0.63867,1.96793,-0.45200,-0.57770
54,9766,3,0.01544,-0.35400,0.74152,0.56976,4.69141,-2.70703,0.30469,-1.65625,1.05273,0.50000,1.96842,-0.44038,-0.59547
55,10742,3,0.00586,-0.35742,0.74011,0.56964,4.87109,-2.78906,0.51172,-1.62695,1.15234,0.35547,1.96701,-0.42889,-0.61186
56,9766,3,-0.00378,-0.36035,0.73828,0.57019,4.85547,-2.49609,0.51953,-1.60742,1.21680,0.19727,1.96341,-0.41734,-0.62702
57,9766,3,-0.01343,-0.36292,0.73596,0.57141,4.83594,-1.98828,0.30078,-1.62305,1.26562,0.06836,1.95770,-0.40603,-0.64118
58,9765,3,-0.02301,-0.36530,0.73315,0.57318,4.38672,-1.78516,0.11719,-1.66406,1.33789,-0.07227,1.95028,-0.39522,-0.65473
59,10742,3,-0.03259,-0.36755,0.72980,0.57550,4.40234,-1.85938,0.13281,-1.65039,1.37305,-0.18555,1.94114,-0.38493,-0.66790
60,9766,3,-0.04211,-0.36969,0.72601,0.57831,4.36719,-2.17188,0.71484,-1.57422,1.43359,-0.28516,1.93055,-0.37519,-0.68065
61,9766,3,-0.05151,-0.37152,0.72192,0.58154,4.32812,-2.33203,1.15234,-1.52344,1.45312,-0.42969,1.91867,-0.36582,-0.69262
62,9765,3,-0.06030,-0.37292,0.71753,0.58521,4.20703,-2.39844,1.27734,-1.48828,1.48047,-0.54297,1.90560,-0.35750,-0.70314
63,12696,3,-0.06964,-0.37421,0.71240,0.58960,4.00391,-2.56641,1.55469,-1.47070,1.54883,-0.63281,1.89020,-0.34908,-0.71387
64,7812,3,-0.07800,-0.37512,0.70740,0.59399,3.98047,-2.64844,1.79297,-1.41016,1.58594,-0.74219,1.87501,-0.34189,-0.72303
65,9766,3,-0.08679,-0.37579,0.70166,0.59906,4.12891,-2.59375,1.90625,-1.30859,1.55078,-0.86719,1.85756,-0.33468,-0.73214
66,10742,3,-0.09534,-0.37616,0.69556,0.60461,3.75391,-2.60547,2.18359,-1.18945,1.54883,-0.97266,1.83878,-0.32811,-0.74041
67,9765,3,-0.10284,-0.37622,0.68958,0.61023,3.79297,-2.70312,2.55859,-1.06836,1.60742,-1.08203,1.82023,-0.32290,-0.74707
68,9766,3,-0.10992,-0.37579,0.68323,0.61633,3.89844,-2.72656,2.70703,-0.97852,1.72070,-1.19922,1.80032,-0.31838,-0.75237
69,9766,3,-0.11676,-0.37476,0.67664,0.62299,3.51172,-2.65625,2.80078,-0.88086,1.83594,-1.29102,1.77893,-0.31406,-0.75622
70,10742,3,-0.12347,-0.37305,0.66974,0.63013,3.22656,-2.58594,2.88281,-0.76953,1.90625,-1.36523,1.75602,-0.30966,-0.75874
71,9766,3,-0.13000,-0.37067,0.66260,0.63776,2.91406,-2.45703,2.84375,-0.67773,1.93555,-1.45312,1.73168,-0.30521,-0.75986
72,9765,3,-0.13617,-0.36780,0.65521,0.64563,2.62891,-2.28906,2.72266,-0.59766,1.94727,-1.52930,1.70650,-0.30102,-0.75983
73,11719,3,-0.14178,-0.36469,0.64789,0.65363,1.77344,-2.16406,2.67578,-0.51953,1.94336,-1.54688,1.68128,-0.29735,-0.75878
74,8789,3,-0.14716,-0.36121,0.64026,0.66180,1.52734,-2.05859,2.69922,-0.42773,1.91016,-1.57812,1.65527,-0.29386,-0.75696
75,9766,3,-0.15247,-0.35718,0.63208,0.67053,1.39844,-1.88281,2.55859,-0.34961,1.86523,-1.61523,1.62744,-0.29033,-0.75416
76,9765,3,-0.15704,-0.35327,0.62427,0.67883,1.06250,-1.74609,2.56641,-0.29492,1.82422,-1.63867,1.60108,-0.28750,-0.75090
77,9766,3,-0.16107,-0.34924,0.61652,0.68701,0.45703,-1.37891,2.42188,-0.25977,1.78711,-1.64453,1.57510,-0.28511,-0.74691
78,10742,3,-0.16486,-0.34521,0.60864,0.69513,0.16406,-1.28516,2.35156,-0.24219,1.75781,-1.62500,1.54917,-0.28302,-0.74276
79,9766,3,-0.16846,-0.34100,0.60065,0.70325,-0.13281,-1.19531,2.27344,-0.23047,1.76562,-1.57617,1.52303,-0.28094,-0.73821
80,9765,3,-0.17200,-0.33685,0.59277,0.71100,-0.58594,-1.07422,2.35938,-0.21289,1.78711,-1.54492,1.49766,-0.27870,-0.73395
81,12696,3,-0.17554,-0.33246,0.58502,0.71863,-0.68359,-1.20312,2.62500,-0.11328,1.80859,-1.50977,1.47247,-0.27592,-0.72948
82,7812,3,-0.17877,-0.32800,0.57770,0.72577,-0.74609,-1.34766,2.78516,0.03711,1.78516,-1.50195,1.44860,-0.27293,-0.72481
83,8789,3,-0.18170,-0.32288,0.57031,0.73315,-1.14453,-1.41797,3.00000,0.19922,1.72852,-1.48242,1.42397,-0.26942,-0.71875
84,10742,3,-0.18402,-0.31732,0.56305,0.74060,-1.85547,-1.39062,2.94531,0.31836,1.59180,-1.46875,1.39934,-0.26590,-0.71128
85,9766,3,-0.18555,-0.31158,0.55591,0.74799,-2.21484,-1.28906,2.73047,0.37109,1.48242,-1.43750,1.37508,-0.26284,-0.70256
86,10742,3,-0.18634,-0.30615,0.54926,0.75494,-2.69922,-1.31641,2.73438,0.42188,1.41602,-1.36914,1.35253,-0.26048,-0.69343
87,9766,3,-0.18677,-0.30090,0.54291,0.76147,-2.94922,-1.33203,2.75000,0.48633,1.32812,-1.27734,1.33121,-0.25832,-0.68429
88,9765,3,-0.18683,-0.29559,0.53699,0.76770,-3.54688,-1.09375,2.64844,0.54102,1.24805,-1.17969,1.31097,-0.25599,-0.67471
89,10743,3,-0.18658,-0.29034,0.53149,0.77356,-3.65625,-1.08984,2.46484,0.58594,1.23047,-1.06250,1.29197,-0.25357,-0.66497
90,9765,3,-0.18616,-0.28510,0.52655,0.77899,-3.89844,-0.96094,2.32422,0.63086,1.23242,-0.91211,1.27440,-0.25075,-0.65519
91,12696,3,-0.18567,-0.27954,0.52216,0.78406,-4.25000,-0.53125,2.05469,0.69141,1.17773,-0.76758,1.25795,-0.24696,-0.64515
92,6835,3,-0.18518,-0.27411,0.51855,0.78845,-4.37500,-0.40234,1.87109,0.73438,1.07227,-0.64648,1.24367,-0.24257,-0.63563
93,9766,3,-0.18439,-0.26849,0.51538,0.79266,-4.36328,-0.16016,1.57812,0.73828,0.93945,-0.57422,1.23025,-0.23782,-0.62554
94,9766,3,-0.18323,-0.26294,0.51270,0.79651,-4.36328,0.03125,1.23047,0.70703,0.81641,-0.50391,1.21819,-0.23309,-0.61519
95,10742,3,-0.18201,-0.25818,0.51050,0.79974,-4.59375,-0.14453,1.12891,0.69141,0.74805,-0.39648,1.20817,-0.22913,-0.60604
96,9766,3,-0.18060,-0.25354,0.50861,0.80273,-4.44531,-0.09375,1.10547,0.71289,0.67383,-0.31055,1.19907,-0.22525,-0.59689
97,10742,3,-0.17920,-0.24921,0.50720,0.80530,-4.25391,0.15625,0.92969,0.71484,0.59570,-0.22070,1.19146,-0.22140,-0.58833
98,9765,3,-0.17767,-0.24500,0.50616,0.80762,-4.22266,0.21094,0.71875,0.70703,0.59766,-0.07422,1.18484,-0.21756,-0.57985
99,9766,3,-0.17767,-0.24500,0.50616,0.80762,-4.30078,0.23438,0.74219,0.71484,0.57031,0.07617,1.18484,-0.21756,-0.57985
100,10742,3,-0.17480,-0.23676,0.50574,0.81091,-4.17578,0.32422,0.60938,0.72852,0.50195,0.21484,1.17594,-0.20869,-0.56403
101,9766,3,-0.17346,-0.23267,0.50647,0.81195,-4.04297,0.27734,0.63281,0.75195,0.46094,0.34961,1.17376,-0.20352,-0.55656
102,9765,3,-0.17212,-0.22858,0.50763,0.81268,-3.64453,0.34375,0.69922,0.78320,0.41016,0.44727,1.17264,-0.19807,-0.54922
103,9766,3,-0.17065,-0.22449,0.50940,0.81305,-3.25391,0.48047,0.60938,0.83203,0.33203,0.49609,1.17297,-0.19235,-0.54181
104,10742,3,-0.16888,-0.22052,0.51154,0.81311,-2.96094,0.50391,0.59766,0.88281,0.26172,0.52148,1.17438,-0.18693,-0.53418
105,8789,3,-0.16675,-0.21674,0.51398,0.81305,-2.72266,0.51562,0.54297,0.93164,0.34766,0.61719,1.17662,-0.18203,-0.52619
106,10742,3,-0.16461,-0.21283,0.51672,0.81281,-2.66797,0.20312,1.06641,1.00391,0.44922,0.74023,1.17951,-0.17677,-0.51811
107,9766,3,-0.16241,-0.20801,0.52008,0.81232,-2.40625,0.35547,0.54297,1.02344,0.38867,0.86133,1.18324,-0.16982,-0.50893
108,10742,3,-0.16022,-0.20288,0.52386,0.81158,-2.28906,0.58984,0.06641,0.98438,0.34180,0.95312,1.18783,-0.16217,-0.49945
109,11719,3,-0.15802,-0.19812,0.52802,0.81055,-2.14062,0.59766,0.01172,0.89062,0.22070,0.99609,1.19360,-0.15491,-0.49045
110,7813,3,-0.15607,-0.19391,0.53235,0.80914,-1.42188,0.61719,-0.42578,0.75000,0.03516,0.99023,1.20037,-0.14817,-0.48258
111,9765,3,-0.15405,-0.19043,0.53680,0.80737,-1.13672,0.60938,-0.38672,0.63867,-0.07031,0.98828,1.20814,-0.14259,-0.47557
