lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1041992,3,-0.16986,0.07776,-0.39429,0.89984,-0.53906,1.43750,4.45312,0.00391,0.04492,-0.02344,-0.82709,0.00599,-0.37577
1,9766,3,-0.16980,0.07800,-0.39435,0.89978,-0.53125,1.24609,5.71484,0.15625,0.07617,-0.00977,-0.82734,0.00645,-0.37587
2,10742,3,-0.16937,0.07812,-0.39435,0.89984,-0.21484,0.70312,6.98047,0.38672,0.09766,-0.01953,-0.82740,0.00702,-0.37518
3,9765,3,-0.16797,0.07788,-0.39447,0.90002,0.47266,-0.73828,8.45703,0.66797,0.11133,-0.05078,-0.82759,0.00767,-0.37238
4,9766,3,-0.16541,0.07727,-0.39478,0.90045,0.33594,-1.55859,9.01172,0.97266,0.14648,-0.06250,-0.82795,0.00856,-0.36709
5,9766,3,-0.16144,0.07617,-0.39539,0.90100,-0.11719,-2.28125,9.12500,1.32227,0.14648,-0.05273,-0.82879,0.00960,-0.35881
6,9765,3,-0.15601,0.07446,-0.39606,0.90179,-0.80469,-2.80469,8.81641,1.68750,0.11523,-0.03125,-0.82953,0.01073,-0.34732
7,10743,3,-0.14929,0.07214,-0.39673,0.90283,-2.24609,-3.71094,7.72656,2.04492,0.01562,0.00977,-0.83004,0.01181,-0.33296
8,9765,3,-0.14032,0.06848,-0.39740,0.90430,-3.00391,-3.96484,6.82422,2.37891,-0.12695,0.07812,-0.83005,0.01233,-0.31332
9,9766,3,-0.13049,0.06390,-0.39764,0.90594,-3.53906,-4.12500,5.78516,2.69727,-0.31250,0.15430,-0.82898,0.01201,-0.29140
10,10742,3,-0.11932,0.05786,-0.39764,0.90790,-4.01562,-4.13672,4.40625,2.96289,-0.58008,0.26758,-0.82699,0.01017,-0.26582
11,9766,3,-0.10724,0.05029,-0.39703,0.91016,-5.20312,-3.67188,1.53906,3.11914,-0.90430,0.41016,-0.82344,0.00639,-0.23736
12,10742,3,-0.09485,0.04108,-0.39563,0.91260,-5.38281,-3.69531,0.08203,3.13672,-1.19141,0.57812,-0.81812,-0.00008,-0.20709
13,11719,3,-0.08246,0.03015,-0.39325,0.91522,-5.23828,-3.80078,-1.08984,3.07812,-1.39648,0.74023,-0.81080,-0.00966,-0.17556
14,6835,3,-0.07123,0.01898,-0.39008,0.91785,-4.69531,-3.47656,-2.86328,2.95508,-1.52344,0.92383,-0.80221,-0.02072,-0.14611
15,10743,3,-0.06012,0.00665,-0.38574,0.92059,-4.40625,-3.45703,-3.78125,2.78125,-1.60742,1.08789,-0.79160,-0.03414,-0.11616
16,9765,3,-0.04938,-0.00647,-0.38019,0.92358,-4.12500,-3.44141,-4.31250,2.60938,-1.63086,1.22852,-0.77886,-0.04951,-0.08650
17,9766,3,-0.04010,-0.01868,-0.37421,0.92627,-3.81641,-3.30859,-4.86328,2.42578,-1.65820,1.35742,-0.76593,-0.06466,-0.06047
18,10742,3,-0.03186,-0.03040,-0.36761,0.92896,-2.99609,-3.00000,-6.01172,2.20312,-1.67578,1.49219,-0.75216,-0.07998,-0.03697
19,9766,3,-0.02417,-0.04254,-0.35992,0.93170,-2.77734,-2.94922,-6.47266,1.98242,-1.66992,1.63477,-0.73659,-0.09682,-0.01448
20,9765,3,-0.01764,-0.05408,-0.35162,0.93439,-2.59766,-2.90625,-6.87891,1.77734,-1.64453,1.80469,-0.72014,-0.11371,0.00510
21,13672,3,-0.01227,-0.06488,-0.34277,0.93707,-2.56250,-2.91797,-7.28516,1.56641,-1.55469,1.99805,-0.70276,-0.13038,0.02167
22,6836,3,-0.00787,-0.07483,-0.33331,0.93982,-1.95312,-2.58984,-8.06641,1.30469,-1.48828,2.20117,-0.68424,-0.14642,0.03547
23,9766,3,-0.00446,-0.08429,-0.32263,0.94275,-1.87109,-2.42188,-8.72266,0.95312,-1.42188,2.46289,-0.66326,-0.16252,0.04662
24,9765,3,-0.00238,-0.09326,-0.31042,0.94598,-1.82812,-2.22656,-9.07422,0.54102,-1.24805,2.76953,-0.63903,-0.17889,0.05429
25,9766,3,-0.00208,-0.10059,-0.29773,0.94934,-1.12500,-1.75000,-9.50391,0.10156,-1.05664,3.04688,-0.61334,-0.19342,0.05705
26,10742,3,-0.00378,-0.10663,-0.28326,0.95306,-0.79297,-1.60547,-9.56250,-0.32031,-0.83203,3.26758,-0.58344,-0.20687,0.05438
27,9766,3,-0.00726,-0.11084,-0.26825,0.95691,-0.35547,-1.21875,-9.45703,-0.67773,-0.62305,3.34570,-0.55173,-0.21775,0.04669
28,9765,3,-0.01245,-0.11353,-0.25250,0.96082,0.44531,-0.98828,-9.48828,-0.96289,-0.46875,3.30273,-0.51788,-0.22638,0.03429
29,13672,3,-0.01917,-0.11493,-0.23627,0.96466,2.26953,-0.21875,-9.19531,-1.15430,-0.33984,3.05664,-0.48247,-0.23290,0.01781
30,6836,3,-0.02606,-0.11530,-0.22241,0.96777,2.99609,0.36719,-9.14844,-1.29102,-0.30078,2.67188,-0.45189,-0.23696,0.00087
31,9766,3,-0.03394,-0.11505,-0.20917,0.97052,3.42578,0.89062,-9.14062,-1.47461,-0.38281,2.36133,-0.42235,-0.23980,-0.01826
32,9766,3,-0.04285,-0.11481,-0.19708,0.97272,3.33203,0.98047,-9.42578,-1.82812,-0.31055,2.26953,-0.39502,-0.24260,-0.03926
33,9765,3,-0.05255,-0.11438,-0.18658,0.97437,3.12500,0.73047,-8.36719,-2.18750,-0.03906,2.26172,-0.37082,-0.24494,-0.06160
34,10742,3,-0.06390,-0.11273,-0.17651,0.97571,3.19922,0.90234,-7.84375,-2.49609,0.28711,2.23047,-0.34715,-0.24500,-0.08764
35,9766,3,-0.07635,-0.10931,-0.16699,0.97693,3.46875,1.05469,-7.39062,-2.75586,0.52734,2.09961,-0.32448,-0.24141,-0.11630
36,9766,3,-0.08960,-0.10449,-0.15826,0.97778,4.10547,1.33594,-6.90234,-3.00977,0.69141,1.92773,-0.30360,-0.23484,-0.14667
