lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1722657,3,-0.04913,-0.05518,-0.06329,0.99524,1.47266,0.30078,-2.32812,-0.13477,-0.12109,0.27930,-0.12169,-0.11631,-0.09156
1,9765,3,-0.04980,-0.05573,-0.06183,0.99530,1.65625,0.23828,-2.51953,-0.22070,-0.10742,0.25000,-0.11861,-0.11735,-0.09302
2,10742,3,-0.05078,-0.05615,-0.06061,0.99530,2.17578,0.29297,-2.96484,-0.32227,-0.10742,0.20312,-0.11601,-0.11820,-0.09508
3,9766,3,-0.05225,-0.05658,-0.05957,0.99524,2.39844,0.37109,-3.26953,-0.42188,-0.18945,0.15039,-0.11371,-0.11913,-0.09811
4,9766,3,-0.05420,-0.05713,-0.05878,0.99518,2.61328,0.48438,-3.80078,-0.50391,-0.33789,0.09570,-0.11183,-0.12036,-0.10207
5,9765,3,-0.05664,-0.05829,-0.05823,0.99500,2.80859,0.71484,-4.08984,-0.61133,-0.50000,0.00586,-0.11032,-0.12290,-0.10693
6,10742,3,-0.05939,-0.06012,-0.05811,0.99475,3.69922,1.07031,-4.61719,-0.72070,-0.63281,-0.12891,-0.10955,-0.12684,-0.11230
7,9766,3,-0.06305,-0.06293,-0.05847,0.99432,4.40234,1.33203,-4.82422,-0.87695,-0.78906,-0.34375,-0.10952,-0.13290,-0.11935
8,9766,3,-0.06714,-0.06628,-0.05969,0.99377,5.25000,1.44141,-5.11719,-1.09375,-1.01562,-0.58398,-0.11105,-0.14021,-0.12711
9,9765,3,-0.07214,-0.07062,-0.06201,0.99298,5.87891,1.64062,-5.57422,-1.40234,-1.19727,-0.83203,-0.11449,-0.14974,-0.13645
10,10742,3,-0.07843,-0.07599,-0.06561,0.99188,7.10156,1.63672,-6.00391,-1.76953,-1.38672,-1.10352,-0.12009,-0.16173,-0.14807
11,9766,3,-0.08643,-0.08234,-0.07056,0.99036,7.80469,1.38672,-6.21875,-2.10156,-1.54492,-1.36328,-0.12784,-0.17618,-0.16279
12,9766,3,-0.09601,-0.08948,-0.07684,0.98834,8.40625,1.27344,-5.69531,-2.40234,-1.50000,-1.62109,-0.13770,-0.19283,-0.18034
13,9765,3,-0.10699,-0.09680,-0.08447,0.98590,9.49609,0.16016,-4.38281,-2.74414,-1.20312,-1.86523,-0.14971,-0.21051,-0.20036
14,10743,3,-0.11938,-0.10333,-0.09357,0.98303,9.48047,-0.34375,-4.06641,-3.10938,-0.86914,-2.09961,-0.16423,-0.22745,-0.22291
15,9765,3,-0.13336,-0.10828,-0.10431,0.97961,9.25391,-1.22656,-3.40625,-3.45312,-0.40039,-2.27539,-0.18176,-0.24232,-0.24842
16,12695,3,-0.14844,-0.11108,-0.11627,0.97577,9.06641,-2.10547,-2.38672,-3.73438,0.02148,-2.42383,-0.20172,-0.25402,-0.27609
17,7813,3,-0.16425,-0.11163,-0.12915,0.97156,7.40234,-4.30469,-0.82031,-3.82617,0.36133,-2.50586,-0.22373,-0.26233,-0.30531
18,9766,3,-0.18176,-0.11023,-0.14392,0.96649,6.07812,-5.32812,0.75000,-3.60352,0.67969,-2.50586,-0.24956,-0.26861,-0.33789
19,9765,3,-0.19794,-0.10730,-0.15851,0.96136,5.53125,-6.33984,3.08984,-3.14062,0.79102,-2.58203,-0.27581,-0.27240,-0.36807
20,12696,3,-0.21216,-0.10364,-0.17328,0.95618,5.26953,-7.03516,4.67969,-2.75977,0.80859,-2.72461,-0.30324,-0.27516,-0.39439
21,6835,3,-0.22357,-0.10028,-0.18756,0.95123,3.54688,-8.16406,6.11328,-2.58984,0.97461,-2.77930,-0.33042,-0.27820,-0.41501
22,10743,3,-0.23413,-0.09656,-0.20306,0.94586,2.43359,-8.70703,7.30078,-2.34961,1.23047,-2.73633,-0.36056,-0.28144,-0.43368
23,9765,3,-0.24371,-0.09186,-0.21918,0.94031,1.49219,-9.00391,8.66797,-1.81641,1.30273,-2.69922,-0.39267,-0.28334,-0.45049
24,9766,3,-0.25079,-0.08704,-0.23425,0.93524,0.13672,-9.16797,10.86719,-1.05664,1.20508,-2.69336,-0.42352,-0.28410,-0.46252
25,10742,3,-0.25482,-0.08282,-0.24915,0.93066,-0.49219,-9.24609,11.96484,-0.32617,1.13281,-2.66211,-0.45476,-0.28498,-0.46815
26,9766,3,-0.25543,-0.08002,-0.26324,0.92682,-0.97656,-9.22266,12.68359,0.27344,1.25586,-2.56250,-0.48492,-0.28674,-0.46647
27,9765,3,-0.25293,-0.07782,-0.27686,0.92377,-1.44531,-8.79297,12.95703,0.81055,1.42773,-2.49023,-0.51481,-0.28777,-0.45826
28,11719,3,-0.24780,-0.07568,-0.28937,0.92151,-2.10156,-7.18750,12.55078,1.35938,1.43750,-2.49805,-0.54321,-0.28680,-0.44501
29,8789,3,-0.23969,-0.07379,-0.30219,0.91968,-2.57812,-6.35547,11.84375,1.85352,1.30664,-2.52539,-0.57308,-0.28440,-0.42558
30,9766,3,-0.22882,-0.07288,-0.31531,0.91809,-3.32812,-5.64844,10.92969,2.34570,1.05859,-2.55664,-0.60411,-0.28183,-0.40017
31,9765,3,-0.21637,-0.07373,-0.32739,0.91681,-4.05469,-5.02344,10.13281,2.78125,0.83203,-2.55664,-0.63298,-0.28054,-0.37111
32,9766,3,-0.20203,-0.07642,-0.33905,0.91565,-5.43359,-4.08594,8.67188,3.01562,0.68945,-2.46680,-0.66115,-0.28060,-0.33746
33,10742,3,-0.18646,-0.08044,-0.35004,0.91443,-5.98047,-4.07031,7.75391,3.05664,0.66211,-2.27344,-0.68824,-0.28137,-0.30089
34,9766,3,-0.17023,-0.08496,-0.36029,0.91327,-6.37109,-3.87891,6.96094,3.11914,0.62500,-2.07227,-0.71405,-0.28153,-0.26294
35,9765,3,-0.15411,-0.08948,-0.36914,0.91217,-6.54688,-3.06641,6.14062,3.32422,0.50977,-1.86523,-0.73705,-0.28067,-0.22575
36,12696,3,-0.13739,-0.09448,-0.37683,0.91113,-6.66016,-3.06250,5.92969,3.61719,0.36328,-1.66211,-0.75789,-0.27935,-0.18748
37,7812,3,-0.12042,-0.10016,-0.38306,0.91034,-6.53125,-3.07812,5.66797,3.97266,0.16602,-1.52930,-0.77572,-0.27819,-0.14877
38,8789,3,-0.10175,-0.10724,-0.38831,0.90961,-6.17578,-3.05469,5.30078,4.23047,0.02734,-1.41992,-0.79211,-0.27766,-0.10607
39,10743,3,-0.08221,-0.11554,-0.39246,0.90875,-6.06250,-3.20312,4.22656,4.26367,0.09570,-1.25977,-0.80678,-0.27811,-0.06112
40,9765,3,-0.08221,-0.11554,-0.39246,0.90875,-5.94922,-3.58594,3.58984,4.22852,0.15234,-1.07617,-0.80678,-0.27811,-0.06112
41,10742,3,-0.04077,-0.13287,-0.39819,0.90668,-5.77734,-3.63281,2.81641,4.24023,0.17188,-0.92383,-0.83226,-0.27696,0.03316
42,11719,3,-0.02032,-0.14087,-0.39960,0.90558,-5.49609,-3.71875,2.63281,4.27734,0.21484,-0.78711,-0.84203,-0.27482,0.07881
