lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1412110,3,0.02924,-0.01923,0.44360,0.89551,-0.10547,0.47266,3.93750,-0.04688,-0.16602,-0.18945,0.91880,-0.06041,0.03538
1,9765,3,0.02924,-0.02002,0.44287,0.89587,-0.27734,0.59375,4.51562,0.00391,-0.24609,-0.22852,0.91715,-0.06181,0.03473
2,10743,3,0.02960,-0.02094,0.44189,0.89636,-0.60547,0.74609,5.20312,0.07812,-0.32227,-0.22656,0.91494,-0.06373,0.03464
3,9765,3,0.03046,-0.02209,0.44086,0.89679,-0.74219,0.81641,6.04688,0.20703,-0.38281,-0.19336,0.91263,-0.06653,0.03523
4,9766,3,0.03192,-0.02338,0.43982,0.89722,-0.69922,0.53906,8.11328,0.40039,-0.43359,-0.17188,0.91027,-0.07008,0.03682
5,10742,3,0.03418,-0.02448,0.43903,0.89746,-0.42969,0.20312,9.03516,0.67773,-0.41406,-0.20117,0.90844,-0.07401,0.03998
6,9766,3,0.03754,-0.02515,0.43817,0.89777,-0.04688,-0.24219,10.00000,1.03711,-0.39648,-0.26758,0.90633,-0.07812,0.04551
7,9765,3,0.04236,-0.02502,0.43719,0.89801,0.21875,-0.71094,10.49609,1.39453,-0.46875,-0.31836,0.90391,-0.08208,0.05441
8,9766,3,0.04883,-0.02423,0.43591,0.89832,0.37109,-1.48047,10.42188,1.75391,-0.54688,-0.40234,0.90068,-0.08621,0.06690
9,10742,3,0.05701,-0.02301,0.43439,0.89862,0.32422,-1.75391,10.12891,2.06250,-0.56250,-0.50391,0.89677,-0.09101,0.08290
10,8789,3,0.06689,-0.02118,0.43237,0.89899,0.19922,-2.09375,9.49609,2.32617,-0.55469,-0.55078,0.89166,-0.09607,0.10261
11,10742,3,0.07764,-0.01886,0.43011,0.89923,-0.61328,-2.60938,7.86328,2.56641,-0.52344,-0.54688,0.88601,-0.10088,0.12435
12,9766,3,0.09033,-0.01569,0.42755,0.89935,-1.04297,-2.89844,6.82031,2.79883,-0.52148,-0.52539,0.87958,-0.10565,0.15046
13,10742,3,0.10358,-0.01202,0.42511,0.89911,-1.38672,-3.17188,5.71094,2.99219,-0.55078,-0.52930,0.87350,-0.10991,0.17804
14,11719,3,0.11761,-0.00806,0.42261,0.89862,-1.61719,-3.33984,4.50391,3.10352,-0.59570,-0.51758,0.86730,-0.11414,0.20739
15,7812,3,0.13214,-0.00397,0.42010,0.89783,-2.23828,-3.15234,1.80469,3.16406,-0.65820,-0.49414,0.86114,-0.11842,0.23782
16,9766,3,0.13214,-0.00397,0.42010,0.89783,-2.47656,-3.08203,0.42188,3.18164,-0.75195,-0.45508,0.86114,-0.11842,0.23782
17,10742,3,0.16370,0.00409,0.41467,0.89514,-2.53125,-3.07812,-0.83203,3.16406,-0.82617,-0.43359,0.84791,-0.12879,0.30356
18,9766,3,0.17957,0.00751,0.41193,0.89331,-2.28125,-2.73438,-3.22266,3.09961,-0.87891,-0.40625,0.84119,-0.13493,0.33631
19,9765,3,0.19543,0.01056,0.40912,0.89124,-2.26562,-2.64844,-4.37500,2.93359,-0.87891,-0.34180,0.83425,-0.14157,0.36892
20,9766,3,0.21063,0.01324,0.40637,0.88898,-2.13672,-2.84375,-5.37109,2.65625,-0.79883,-0.23828,0.82742,-0.14819,0.40014
21,9766,3,0.22473,0.01550,0.40399,0.88660,-2.12500,-2.98047,-6.28906,2.36523,-0.70312,-0.12695,0.82134,-0.15470,0.42902
22,12695,3,0.23676,0.01740,0.40222,0.88422,-2.25391,-2.85156,-7.82422,2.09766,-0.62305,-0.00977,0.81673,-0.16038,0.45372
23,7813,3,0.24805,0.01904,0.40094,0.88165,-2.34766,-2.89453,-8.45312,1.84375,-0.59961,0.09375,0.81315,-0.16610,0.47686
24,9765,3,0.25842,0.02032,0.40021,0.87903,-2.59375,-2.76953,-9.16406,1.57227,-0.62500,0.20898,0.81066,-0.17195,0.49793
25,10742,3,0.26709,0.02087,0.39990,0.87653,-2.65625,-2.79297,-9.75781,1.28711,-0.64648,0.32422,0.80905,-0.17797,0.51519
26,9766,3,0.27472,0.02063,0.40009,0.87408,-2.48047,-2.61328,-10.75391,1.01172,-0.66992,0.40234,0.80824,-0.18481,0.52982
27,9766,3,0.28101,0.01953,0.40063,0.87183,-2.62891,-2.65234,-11.06641,0.74219,-0.69141,0.47070,0.80801,-0.19230,0.54119
28,9765,3,0.28625,0.01776,0.40155,0.86975,-2.89844,-2.67578,-11.43359,0.47266,-0.73828,0.54883,0.80836,-0.20034,0.54999
29,10742,3,0.29034,0.01520,0.40271,0.86792,-3.28906,-2.75391,-12.22656,0.19727,-0.82617,0.63477,0.80903,-0.20899,0.55591
30,9766,3,0.29346,0.01160,0.40417,0.86627,-3.37500,-2.76953,-12.60938,-0.09766,-0.91406,0.73633,0.81003,-0.21886,0.55911
31,9766,3,0.29541,0.00696,0.40588,0.86481,-3.41016,-2.76172,-12.81641,-0.40234,-0.96680,0.81445,0.81137,-0.22980,0.55927
32,9765,3,0.29626,0.00122,0.40796,0.86359,-3.17578,-2.71484,-12.91797,-0.71875,-0.98047,0.87305,0.81324,-0.24198,0.55635
33,10742,3,0.29584,-0.00507,0.41010,0.86273,-2.64062,-2.69141,-12.91797,-1.03125,-0.94922,0.92773,0.81534,-0.25410,0.55046
34,9766,3,0.29388,-0.01263,0.41272,0.86206,-2.48828,-2.58984,-12.76953,-1.34180,-0.88867,0.97461,0.81850,-0.26754,0.54050
35,9766,3,0.29059,-0.02045,0.41541,0.86169,-2.46094,-2.46484,-12.60938,-1.66602,-0.78320,1.06445,0.82223,-0.28034,0.52764
36,12695,3,0.28577,-0.02850,0.41846,0.86163,-2.41016,-2.34766,-12.41797,-1.98828,-0.67773,1.16602,0.82726,-0.29243,0.51137
37,7813,3,0.27942,-0.03680,0.42188,0.86169,-2.67188,-2.43359,-11.89062,-2.27344,-0.58984,1.25977,0.83376,-0.30386,0.49174
38,9765,3,0.27142,-0.04553,0.42584,0.86194,-2.68750,-2.53906,-11.52344,-2.53906,-0.51562,1.36328,0.84209,-0.31483,0.46821
39,9766,3,0.26147,-0.05524,0.43042,0.86218,-2.56250,-2.61719,-11.25781,-2.81250,-0.48633,1.43359,0.85255,-0.32607,0.43978
40,9765,3,0.25049,-0.06506,0.43518,0.86237,-2.30078,-2.91797,-10.95312,-3.08984,-0.46289,1.47266,0.86426,-0.33654,0.40900
41,10743,3,0.23828,-0.07526,0.43988,0.86261,-2.32031,-3.03516,-10.75391,-3.40039,-0.40234,1.53320,0.87672,-0.34634,0.37539
42,9765,3,0.22461,-0.08600,0.44470,0.86279,-2.35156,-3.32031,-10.48828,-3.73438,-0.27734,1.63867,0.89046,-0.35561,0.33827
43,9766,3,0.20935,-0.09705,0.44965,0.86292,-2.53516,-3.53516,-10.07031,-4.05078,-0.15039,1.78906,0.90562,-0.36370,0.29757
44,11719,3,0.19269,-0.10809,0.45477,0.86279,-2.85938,-4.25391,-8.99219,-4.33789,-0.11328,1.93555,0.92239,-0.37016,0.25391
45,8789,3,0.17407,-0.11975,0.46033,0.86224,-2.70703,-4.78516,-8.44141,-4.60547,-0.10547,2.06055,0.94155,-0.37553,0.20561
46,9765,3,0.17407,-0.11975,0.46033,0.86224,-2.55469,-5.33203,-7.61328,-4.80078,-0.06445,2.16016,0.94155,-0.37553,0.20561
47,9766,3,0.13110,-0.14575,0.47247,0.85925,-2.34766,-5.89844,-6.72656,-4.94922,0.04688,2.23633,0.98709,-0.38372,0.09459
48,12695,3,0.10895,-0.15845,0.47827,0.85693,-1.51953,-8.07812,-4.67188,-5.04297,0.22461,2.28906,1.01071,-0.38521,0.03795
49,7813,3,0.08612,-0.17059,0.48389,0.85400,-1.38281,-8.71484,-3.59375,-5.06055,0.39062,2.31445,1.03479,-0.38410,-0.01942
50,9765,3,0.06183,-0.18237,0.48956,0.85046,-1.44922,-8.91016,-2.57422,-5.02344,0.49219,2.34570,1.05985,-0.37979,-0.07911
