lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1091797,3,0.02155,0.03290,-0.12585,0.99127,1.19531,1.36719,1.98438,-0.24023,-0.03906,-0.31641,-0.25135,0.07070,0.03453
1,10742,3,0.02020,0.03296,-0.12732,0.99109,1.38672,1.92578,2.45312,-0.21094,-0.09570,-0.38672,-0.25441,0.07054,0.03174
2,9766,3,0.01898,0.03278,-0.12903,0.99091,1.64844,2.25781,3.14453,-0.13477,-0.11328,-0.49609,-0.25795,0.06991,0.02924
3,9766,3,0.01801,0.03241,-0.13116,0.99066,1.95312,2.41797,4.16797,0.01953,-0.10742,-0.66797,-0.26233,0.06899,0.02724
4,9765,3,0.01752,0.03192,-0.13397,0.99030,2.35938,2.24219,6.12109,0.23242,-0.11133,-0.81836,-0.26805,0.06797,0.02621
5,10742,3,0.01801,0.03131,-0.13763,0.98981,2.04688,1.89062,6.96484,0.48828,-0.07227,-0.91406,-0.27542,0.06699,0.02709
6,9766,3,0.01959,0.03070,-0.14197,0.98920,1.84766,1.23828,7.69531,0.76172,-0.02344,-0.99414,-0.28409,0.06635,0.03012
7,9766,3,0.02246,0.03009,-0.14661,0.98846,1.33984,0.04297,8.18359,1.01953,0.07812,-1.05664,-0.29331,0.06612,0.03567
8,9765,3,0.02673,0.02972,-0.15179,0.98761,0.74219,-0.73438,8.07031,1.20508,0.21875,-1.05469,-0.30354,0.06688,0.04389
9,10742,3,0.03223,0.02972,-0.15710,0.98663,-0.16016,-1.57031,7.65625,1.31836,0.40234,-0.99219,-0.31394,0.06883,0.05440
10,9766,3,0.03864,0.03040,-0.16229,0.98553,-1.08594,-2.48438,7.08203,1.46094,0.50977,-0.89648,-0.32401,0.07251,0.06651
11,9766,3,0.04584,0.03174,-0.16705,0.98438,-3.52344,-4.11328,5.79297,1.66602,0.55273,-0.74414,-0.33309,0.07788,0.07996
12,10742,3,0.05371,0.03320,-0.17102,0.98322,-4.61719,-4.87500,5.14844,1.94141,0.50195,-0.58594,-0.34046,0.08377,0.09474
13,9765,3,0.06287,0.03442,-0.17438,0.98206,-5.55078,-5.39062,4.21484,2.23438,0.30469,-0.41602,-0.34643,0.08966,0.11216
14,9766,3,0.07336,0.03473,-0.17694,0.98090,-6.30859,-5.77734,3.08203,2.44336,0.04688,-0.18359,-0.35067,0.09423,0.13260
15,9766,3,0.08496,0.03363,-0.17865,0.97968,-7.21094,-6.14844,0.66016,2.53320,-0.22461,0.05859,-0.35322,0.09640,0.15580
