lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1342773,3,-0.13391,-0.31897,-0.90497,0.24774,-0.12500,0.09766,-4.24609,-0.69922,0.27148,0.09570,-2.73432,-0.41196,0.59150
1,9766,3,-0.13367,-0.31555,-0.90613,0.24811,-0.41797,0.03516,-4.55469,-0.82617,0.26953,0.08984,-2.73193,-0.41020,0.58384
2,9766,3,-0.13361,-0.31165,-0.90741,0.24823,-0.69922,-0.14062,-4.79297,-0.95508,0.28711,0.10547,-2.72992,-0.40846,0.57521
3,9765,3,-0.13361,-0.30713,-0.90894,0.24835,-1.02734,-0.25391,-4.87891,-1.08398,0.27148,0.11719,-2.72770,-0.40653,0.56522
4,10742,3,-0.13379,-0.30225,-0.91052,0.24847,-1.70312,-0.67188,-5.20312,-1.20508,0.25586,0.15820,-2.72542,-0.40478,0.55441
5,9766,3,-0.13428,-0.29633,-0.91235,0.24854,-2.14844,-0.91797,-5.14062,-1.34766,0.22656,0.22070,-2.72296,-0.40314,0.54132
6,11719,3,-0.13507,-0.29010,-0.91418,0.24878,-2.58984,-1.12891,-5.28125,-1.50586,0.17773,0.31641,-2.72012,-0.40203,0.52744
7,8789,3,-0.13635,-0.28326,-0.91602,0.24915,-2.77344,-1.19531,-5.41797,-1.66992,0.09961,0.39844,-2.71696,-0.40167,0.51210
8,9765,3,-0.13824,-0.27533,-0.91797,0.24969,-3.34766,-1.42969,-5.75781,-1.80078,0.00195,0.48438,-2.71315,-0.40208,0.49418
9,10743,3,-0.14087,-0.26685,-0.91992,0.25043,-3.74609,-1.58203,-5.78906,-1.91797,-0.09766,0.59766,-2.70896,-0.40370,0.47477
10,8789,3,-0.14417,-0.25800,-0.92169,0.25134,-4.00000,-1.71484,-5.92969,-2.09375,-0.19531,0.71875,-2.70436,-0.40653,0.45434
11,10742,3,-0.14819,-0.24847,-0.92334,0.25250,-4.22266,-2.29297,-6.36719,-2.29688,-0.31641,0.85938,-2.69906,-0.41058,0.43214
12,9766,3,-0.15326,-0.23779,-0.92493,0.25403,-4.54688,-2.54297,-6.46875,-2.50195,-0.42773,1.02539,-2.69259,-0.41621,0.40693
13,9765,3,-0.15912,-0.22650,-0.92627,0.25586,-4.78516,-2.73047,-6.64453,-2.69336,-0.58203,1.19727,-2.68514,-0.42317,0.37995
14,9766,3,-0.16608,-0.21411,-0.92731,0.25812,-4.85547,-2.92969,-6.80859,-2.86719,-0.70312,1.37695,-2.67615,-0.43186,0.34995
15,10742,3,-0.17371,-0.20142,-0.92804,0.26074,-5.06250,-3.80859,-6.43359,-3.03125,-0.82617,1.58594,-2.66592,-0.44167,0.31870
16,11719,3,-0.18298,-0.18677,-0.92834,0.26416,-5.12891,-4.16797,-6.35547,-3.29102,-0.87891,1.86719,-2.65267,-0.45385,0.28200
17,7812,3,-0.19226,-0.17230,-0.92816,0.26807,-5.41406,-4.73828,-6.07422,-3.58594,-0.86523,2.17383,-2.63770,-0.46596,0.24509
18,9766,3,-0.20306,-0.15479,-0.92743,0.27332,-5.26172,-4.75781,-5.93750,-3.87500,-0.89844,2.45898,-2.61740,-0.47941,0.19980
19,10742,3,-0.21405,-0.13611,-0.92609,0.27936,-4.24609,-5.09766,-5.40625,-4.24219,-0.89062,2.75781,-2.59361,-0.49212,0.15091
20,9766,3,-0.22559,-0.11566,-0.92401,0.28619,-3.66406,-5.33203,-5.27734,-4.67773,-0.86133,3.01758,-2.56583,-0.50420,0.09680
21,9765,3,-0.23761,-0.09296,-0.92120,0.29370,-2.93750,-5.23828,-5.13672,-5.06836,-0.84766,3.13477,-2.53391,-0.51483,0.03642
22,12696,3,-0.25000,-0.06812,-0.91766,0.30133,-0.39453,-5.48828,-4.70703,-5.32422,-0.79883,3.10742,-2.49911,-0.52344,-0.02962
23,7812,3,-0.26221,-0.04230,-0.91345,0.30829,0.47656,-5.34766,-3.82422,-5.16602,-0.77539,2.90039,-2.46403,-0.52952,-0.09795
24,9766,3,-0.27490,-0.01428,-0.90833,0.31494,1.05859,-5.90234,-1.99219,-4.83789,-0.65430,2.72656,-2.42705,-0.53331,-0.17179
25,10742,3,-0.28601,0.01105,-0.90302,0.32037,0.59766,-6.82031,-0.67969,-4.57422,-0.59570,2.66992,-2.39416,-0.53456,-0.23841
26,8789,3,-0.29645,0.03601,-0.89709,0.32574,-1.03125,-7.98047,-0.25781,-4.43555,-0.61523,2.73633,-2.36136,-0.53331,-0.30395
27,10742,3,-0.30566,0.05884,-0.89087,0.33087,-1.53906,-7.89453,-0.06250,-4.43555,-0.58789,2.85352,-2.33054,-0.53016,-0.36395
