lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1402344,3,0.19849,0.02325,0.27832,0.93945,-0.04688,0.66406,-3.84375,-0.11914,0.22461,-0.16602,0.56259,-0.06684,0.39711
1,9765,3,0.19788,0.02435,0.27771,0.93976,-0.02344,0.86328,-4.22656,-0.28711,0.26562,-0.18555,0.56177,-0.06418,0.39654
2,10742,3,0.19659,0.02533,0.27710,0.94019,0.08594,1.03516,-5.00391,-0.43750,0.29102,-0.17773,0.56096,-0.06136,0.39458
3,9766,3,0.19440,0.02637,0.27655,0.94080,0.00781,1.21094,-5.32422,-0.57812,0.27344,-0.18750,0.56033,-0.05794,0.39085
4,9766,3,0.19165,0.02716,0.27594,0.94147,0.19531,1.33203,-5.79297,-0.72070,0.24805,-0.23047,0.55954,-0.05466,0.38594
5,9765,3,0.18817,0.02771,0.27527,0.94238,0.21875,1.46484,-6.24609,-0.93164,0.23438,-0.28125,0.55851,-0.05139,0.37943
6,10743,3,0.18390,0.02795,0.27435,0.94348,0.01953,1.26562,-7.37891,-1.20703,0.26953,-0.30273,0.55692,-0.04818,0.37123
7,9765,3,0.17847,0.02795,0.27332,0.94482,-0.14062,1.13281,-7.87891,-1.49219,0.27734,-0.29492,0.55502,-0.04475,0.36063
8,9766,3,0.17175,0.02765,0.27234,0.94635,-0.37109,1.09375,-8.45312,-1.80859,0.27539,-0.28320,0.55318,-0.04123,0.34737
9,9765,3,0.16345,0.02698,0.27136,0.94812,-0.56250,0.86719,-9.57422,-2.17578,0.28711,-0.26172,0.55125,-0.03756,0.33081
10,10743,3,0.15356,0.02582,0.27051,0.95001,-0.57031,0.78125,-10.04688,-2.54883,0.29297,-0.22461,0.54947,-0.03403,0.31092
11,9765,3,0.14203,0.02423,0.26984,0.95209,-0.65234,0.61719,-10.53125,-2.90625,0.30469,-0.15625,0.54793,-0.03051,0.28759
12,9766,3,0.12848,0.02209,0.26941,0.95416,-0.69922,0.32812,-10.78516,-3.24219,0.32812,-0.12891,0.54684,-0.02707,0.26010
13,9765,3,0.11407,0.01965,0.26929,0.95605,-0.20703,-0.20312,-11.11719,-3.58594,0.28320,-0.16797,0.54634,-0.02386,0.23083
14,10743,3,0.09662,0.01648,0.26898,0.95813,-0.17578,-0.28906,-11.41016,-3.95508,0.17773,-0.21484,0.54538,-0.02040,0.19530
15,9765,3,0.07825,0.01263,0.26843,0.96002,-0.30469,-0.47266,-11.31250,-4.31445,0.06445,-0.25586,0.54389,-0.01775,0.15770
16,9766,3,0.05817,0.00769,0.26758,0.96173,-0.35938,-0.76172,-11.01172,-4.64062,-0.06641,-0.25977,0.54177,-0.01634,0.11628
17,13672,3,0.03638,0.00177,0.26642,0.96320,-0.78125,-2.64062,-9.66406,-4.92578,-0.13477,-0.20312,0.53914,-0.01597,0.07108
18,6836,3,0.01465,-0.00470,0.26526,0.96405,-1.09375,-3.72656,-8.64062,-5.23633,-0.14844,-0.09375,0.53680,-0.01683,0.02576
19,9765,3,-0.00964,-0.01208,0.26434,0.96429,-1.30078,-4.85156,-7.63672,-5.62891,-0.08398,0.05078,0.53534,-0.01821,-0.02499
20,9766,3,-0.03705,-0.02026,0.26379,0.96368,-1.38672,-7.03125,-6.02344,-6.11914,-0.01562,0.16797,0.53518,-0.01951,-0.08220
21,9766,3,-0.06525,-0.02820,0.26361,0.96204,-1.73828,-7.78125,-5.07422,-6.58203,0.05469,0.35547,0.53630,-0.01986,-0.14089
22,10742,3,-0.09576,-0.03632,0.26385,0.95911,-2.19141,-8.32812,-4.12109,-6.93945,0.07812,0.59375,0.53889,-0.01913,-0.20432
23,12695,3,-0.12799,-0.04462,0.26477,0.95477,-2.67188,-8.74609,-3.07812,-7.12305,-0.04883,0.76562,0.54341,-0.01742,-0.27137
24,6836,3,-0.16058,-0.05310,0.26624,0.94897,-2.11328,-9.69141,-1.68750,-7.31250,-0.12500,0.90039,0.54966,-0.01528,-0.33957
25,10742,3,-0.19470,-0.06238,0.26825,0.94141,-1.97656,-9.54688,-1.12109,-7.58594,-0.55273,0.84570,0.55789,-0.01299,-0.41161
26,9766,3,-0.23071,-0.07343,0.27020,0.93188,-1.31641,-8.85156,-1.48438,-7.29688,-0.87891,0.64453,0.56746,-0.01217,-0.48894
27,9765,3,-0.26459,-0.08600,0.27161,0.92133,-0.60938,-8.96484,0.76172,-6.71289,-1.23828,0.49805,0.57763,-0.01474,-0.56369
28,9766,3,-0.29547,-0.09955,0.27258,0.91022,-0.31250,-10.21875,1.94922,-6.42578,-1.45703,0.53320,0.58855,-0.02014,-0.63387
29,13672,3,-0.32379,-0.11395,0.27362,0.89850,-0.38281,-11.35547,3.16016,-6.02930,-1.29102,0.66211,0.60129,-0.02758,-0.70032
30,6836,3,-0.34875,-0.12695,0.27490,0.88696,0.32031,-12.58984,6.14844,-5.31836,-1.06641,0.72070,0.61446,-0.03346,-0.75988
31,9766,3,-0.37250,-0.13873,0.27643,0.87500,1.56250,-12.89453,8.45312,-4.55078,-0.71875,0.78125,0.62794,-0.03685,-0.81691
32,9765,3,-0.39417,-0.14844,0.27795,0.86328,3.23828,-12.34766,10.27734,-3.75391,-0.42578,0.81445,0.64024,-0.03718,-0.86897
33,10742,3,-0.41180,-0.15515,0.27948,0.85339,3.23047,-11.70703,10.55859,-3.00391,-0.34961,0.82227,0.64993,-0.03463,-0.91085
34,9766,3,-0.42621,-0.15985,0.28125,0.84479,2.84766,-11.00391,10.31641,-2.45508,-0.33984,0.83984,0.65827,-0.03034,-0.94487
35,12695,3,-0.43750,-0.16327,0.28333,0.83765,2.69531,-10.28125,9.60156,-2.12305,-0.22852,0.83008,0.66584,-0.02562,-0.97151
36,6836,3,-0.44720,-0.16589,0.28564,0.83118,3.09766,-9.66406,9.48047,-1.83008,-0.16211,0.73047,0.67305,-0.02029,-0.99433
37,10742,3,-0.45575,-0.16779,0.28778,0.82544,3.49609,-9.05859,9.64453,-1.45508,-0.09570,0.60938,0.67908,-0.01468,-1.01414
38,9766,3,-0.46326,-0.16925,0.28961,0.82025,3.80859,-8.73438,10.15625,-0.96875,-0.09375,0.41992,0.68411,-0.00933,-1.03155
39,9766,3,-0.46857,-0.17023,0.29095,0.81659,4.10938,-8.55859,10.95312,-0.33984,-0.09961,0.20703,0.68764,-0.00535,-1.04379
40,10742,3,-0.47131,-0.17084,0.29193,0.81451,4.17188,-8.82422,11.65234,0.38281,-0.05469,0.02734,0.69010,-0.00312,-1.05026
41,9765,3,-0.47119,-0.17096,0.29279,0.81427,4.17188,-9.20703,11.94922,1.05469,0.06055,-0.12109,0.69179,-0.00250,-1.05007
42,9766,3,-0.46820,-0.17004,0.29327,0.81604,3.67188,-9.42188,11.47266,1.64844,0.20898,-0.26758,0.69169,-0.00290,-1.04283
43,9766,3,-0.46259,-0.16797,0.29340,0.81958,3.28125,-9.37109,10.70703,2.25586,0.23438,-0.46484,0.68974,-0.00389,-1.02909
44,10742,3,-0.45459,-0.16504,0.29303,0.82477,2.64453,-9.41797,10.00391,2.84766,0.16797,-0.68164,0.68597,-0.00582,-1.00957
45,8789,3,-0.44391,-0.16180,0.29242,0.83142,1.83984,-9.69531,9.37109,3.40820,0.10547,-0.82227,0.68146,-0.00944,-0.98417
46,10742,3,-0.43097,-0.15851,0.29156,0.83911,0.44531,-10.11328,8.59375,4.06641,0.05664,-0.88477,0.67644,-0.01470,-0.95411
47,9766,3,-0.41400,-0.15442,0.29077,0.84863,0.11328,-10.17188,8.43359,4.84375,0.00000,-0.89258,0.67070,-0.02133,-0.91519
48,10742,3,-0.39417,-0.14960,0.29034,0.85901,-0.53125,-10.66016,8.05469,5.59961,0.11719,-0.69531,0.66496,-0.02813,-0.87011
49,9766,3,-0.37085,-0.14325,0.29065,0.87030,-1.19922,-10.98828,7.63281,6.18945,0.31836,-0.39258,0.65926,-0.03377,-0.81719
50,9765,3,-0.34491,-0.13464,0.29199,0.88184,-1.44922,-10.00000,5.07422,6.48828,0.51367,-0.16992,0.65387,-0.03605,-0.75789
51,10742,3,-0.34491,-0.13464,0.29199,0.88184,-1.09766,-9.13281,3.28125,6.48438,0.66406,-0.13672,0.65387,-0.03605,-0.75789
52,8789,3,-0.28992,-0.11243,0.29626,0.90308,-0.86719,-8.64453,1.54688,6.40039,0.70312,-0.15820,0.64422,-0.03128,-0.63172
53,10743,3,-0.26099,-0.09967,0.29810,0.91272,-1.47266,-6.25000,-0.70312,6.40039,0.62109,-0.17969,0.63902,-0.02635,-0.56574
54,9765,3,-0.23193,-0.08698,0.29944,0.92139,-1.66406,-5.44531,-1.64453,6.44727,0.37891,-0.22070,0.63390,-0.02138,-0.50021
