lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1592774,3,0.13599,0.02222,0.84308,0.51978,-0.72266,0.69531,-2.62109,-0.04102,0.08984,-0.10352,2.01743,-0.20770,0.18380
1,9765,3,0.13562,0.02246,0.84290,0.52026,-0.86719,0.84375,-3.15625,-0.12305,0.08203,-0.09375,2.01647,-0.20672,0.18390
2,10742,3,0.13501,0.02240,0.84271,0.52069,-0.96875,0.88672,-3.46094,-0.24414,0.07031,-0.07227,2.01571,-0.20567,0.18321
3,9766,3,0.13422,0.02191,0.84253,0.52118,-0.96094,1.01172,-3.88281,-0.37891,0.08789,-0.04883,2.01493,-0.20475,0.18160
4,9766,3,0.13300,0.02081,0.84247,0.52167,-1.09766,1.15625,-4.73438,-0.48438,0.06250,-0.02148,2.01445,-0.20378,0.17844
5,9765,3,0.13159,0.01929,0.84247,0.52209,-1.20312,1.23438,-5.05078,-0.59375,0.04102,-0.05078,2.01421,-0.20297,0.17434
6,10742,3,0.12994,0.01721,0.84247,0.52258,-1.42578,1.25000,-5.63281,-0.77148,0.04102,-0.07422,2.01397,-0.20233,0.16905
7,9766,3,0.12793,0.01447,0.84235,0.52332,-1.76562,1.26562,-6.17578,-0.98047,0.04688,-0.02734,2.01332,-0.20175,0.16226
8,9766,3,0.12543,0.01093,0.84229,0.52411,-2.45312,1.26953,-7.25000,-1.19336,-0.02539,0.01367,2.01283,-0.20120,0.15357
9,9765,3,0.12250,0.00635,0.84235,0.52484,-2.68359,1.53125,-7.76953,-1.43555,-0.13477,0.06641,2.01276,-0.20105,0.14262
10,9766,3,0.11938,0.00061,0.84241,0.52545,-2.91406,1.60938,-8.16016,-1.67773,-0.27344,0.12891,2.01306,-0.20187,0.12947
11,10742,3,0.11621,-0.00641,0.84247,0.52600,-2.89062,1.52734,-8.74219,-1.85547,-0.44336,0.17578,2.01363,-0.20397,0.11407
12,9766,3,0.11298,-0.01501,0.84259,0.52637,-2.81641,1.42578,-8.85938,-1.99023,-0.56836,0.21680,2.01483,-0.20768,0.09583
13,9765,3,0.10999,-0.02466,0.84259,0.52661,-2.69922,1.35156,-8.97266,-2.16797,-0.62500,0.25195,2.01627,-0.21292,0.07608
14,10743,3,0.10699,-0.03497,0.84259,0.52667,-2.60938,1.11719,-9.18750,-2.45312,-0.64453,0.29688,2.01825,-0.21888,0.05511
15,9765,3,0.10345,-0.04675,0.84247,0.52667,-2.85547,0.66406,-10.09766,-2.81641,-0.66602,0.36914,2.02066,-0.22546,0.03099
16,9766,3,0.10345,-0.04675,0.84247,0.52667,-3.07031,0.55859,-10.46484,-3.17188,-0.72070,0.42773,2.02066,-0.22546,0.03099
17,9765,3,0.09412,-0.07416,0.84198,0.52600,-3.31641,0.35938,-10.62500,-3.48438,-0.84570,0.49609,2.02799,-0.23877,-0.02663
18,9766,3,0.08844,-0.09058,0.84149,0.52527,-3.66406,0.09766,-10.61719,-3.79883,-0.99609,0.60352,2.03314,-0.24647,-0.06142
19,10742,3,0.08246,-0.10852,0.84070,0.52405,-4.23438,-1.58203,-10.29297,-4.12305,-1.11523,0.77930,2.03953,-0.25515,-0.09942
20,9766,3,0.07642,-0.12720,0.83978,0.52222,-4.65625,-2.90625,-9.76562,-4.43359,-1.15820,0.99023,2.04745,-0.26427,-0.13909
21,9765,3,0.06921,-0.14911,0.83868,0.51923,-4.81641,-4.27734,-8.85156,-4.64648,-1.17383,1.18945,2.05869,-0.27437,-0.18623
22,10743,3,0.06152,-0.17120,0.83752,0.51526,-4.28906,-7.34375,-6.80469,-4.68359,-1.22461,1.36328,2.07215,-0.28325,-0.23479
23,9765,3,0.05322,-0.19470,0.83612,0.51001,-3.85547,-8.68359,-5.30469,-4.62500,-1.25977,1.51953,2.08864,-0.29174,-0.28722
24,9766,3,0.04510,-0.21771,0.83472,0.50385,-3.50391,-9.80859,-3.97656,-4.54688,-1.31445,1.70117,2.10705,-0.29911,-0.33923
25,10742,3,0.03711,-0.24036,0.83319,0.49658,-3.13672,-10.41016,-3.02344,-4.47461,-1.35156,1.83398,2.12759,-0.30529,-0.39122
26,8789,3,0.02954,-0.26202,0.83173,0.48853,-1.90625,-11.07031,-1.36328,-4.38672,-1.39062,1.86719,2.14959,-0.31011,-0.44162
27,10742,3,0.02173,-0.28461,0.82996,0.47925,-1.71484,-11.03125,-0.53906,-4.21680,-1.48242,1.84180,2.17418,-0.31400,-0.49476
28,9766,3,0.01471,-0.30609,0.82788,0.46979,-1.73047,-11.36719,0.39062,-4.07031,-1.58008,1.89258,2.19874,-0.31725,-0.54555
29,10742,3,0.01471,-0.30609,0.82788,0.46979,-1.94531,-12.34375,2.18359,-3.91797,-1.62500,2.04492,2.19874,-0.31725,-0.54555
30,9766,3,0.00281,-0.34637,0.82343,0.44946,-1.45312,-12.34375,3.24609,-3.75977,-1.62305,2.22266,2.24996,-0.32149,-0.64169
31,9765,3,-0.00299,-0.36615,0.82129,0.43750,-0.64062,-12.19141,4.28516,-3.58789,-1.51758,2.42188,2.27888,-0.32095,-0.69002
32,9766,3,-0.00891,-0.38477,0.81946,0.42468,0.21094,-11.98438,5.31641,-3.38672,-1.37109,2.58203,2.30872,-0.31751,-0.73657
33,9766,3,-0.01495,-0.40125,0.81799,0.41187,1.34375,-11.99609,6.72266,-3.19336,-1.18555,2.79883,2.33721,-0.31106,-0.77888
34,10742,3,-0.02222,-0.41779,0.81683,0.39722,1.63672,-11.82031,7.57031,-2.99414,-0.96289,3.09375,2.36804,-0.30008,-0.82257
35,9765,3,-0.03009,-0.43201,0.81616,0.38251,1.92969,-11.66406,8.34766,-2.76562,-0.75586,3.43359,2.39685,-0.28524,-0.86159
36,9766,3,-0.03888,-0.44440,0.81616,0.36719,2.10938,-11.83594,9.29688,-2.44727,-0.68750,3.72266,2.42466,-0.26603,-0.89704
37,9766,3,-0.04895,-0.45593,0.81696,0.34973,2.53516,-12.82422,10.77734,-2.10156,-0.79688,3.91602,2.45431,-0.24126,-0.93136
38,10742,3,-0.04895,-0.45593,0.81696,0.34973,3.09375,-13.65625,11.64844,-1.63867,-0.83594,4.00000,2.45431,-0.24126,-0.93136
39,10742,3,-0.06769,-0.47327,0.82080,0.31262,3.75000,-14.59766,13.00000,-0.96680,-1.00391,3.95703,2.51377,-0.18586,-0.98557
40,8789,3,-0.07495,-0.47833,0.82397,0.29437,4.69531,-15.19141,13.95312,-0.14648,-1.31641,3.81055,2.54249,-0.15876,-1.00282
