lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1271485,3,-0.13776,-0.28253,-0.92963,0.19238,-1.40625,-0.07812,-2.68359,0.38477,0.10938,-0.16211,-2.83631,-0.37345,0.53199
1,10742,3,-0.13647,-0.28442,-0.92926,0.19208,-1.34375,-0.04297,-3.46484,0.29688,0.03906,-0.15430,-2.83710,-0.37141,0.53641
2,9765,3,-0.13556,-0.28613,-0.92896,0.19171,-1.25000,-0.07422,-3.75391,0.20117,-0.01172,-0.14062,-2.83812,-0.36996,0.54038
3,9766,3,-0.13501,-0.28735,-0.92877,0.19128,-1.20312,-0.20312,-4.08203,0.02539,-0.03906,-0.10742,-2.83923,-0.36904,0.54325
4,10742,3,-0.13483,-0.28802,-0.92871,0.19080,-1.24219,-0.37109,-4.61328,-0.21094,-0.04102,-0.04688,-2.84043,-0.36861,0.54490
5,9766,3,-0.13495,-0.28766,-0.92889,0.19037,-1.35938,-0.63281,-5.57031,-0.49609,-0.09570,0.00781,-2.84122,-0.36850,0.54424
6,10742,3,-0.13556,-0.28613,-0.92932,0.18994,-1.47266,-0.72266,-6.26562,-0.86133,-0.05469,0.10742,-2.84178,-0.36898,0.54101
7,8789,3,-0.13660,-0.28296,-0.93018,0.18970,-1.71094,-0.82422,-6.48828,-1.18945,-0.01172,0.19531,-2.84150,-0.36987,0.53406
8,10742,3,-0.13794,-0.27820,-0.93146,0.18970,-2.40625,-0.61328,-7.40234,-1.46289,-0.07422,0.24805,-2.84023,-0.37096,0.52351
9,9766,3,-0.13965,-0.27191,-0.93304,0.18976,-2.72266,-0.62109,-7.87891,-1.74609,-0.19727,0.33789,-2.83835,-0.37233,0.50960
10,9765,3,-0.14221,-0.26434,-0.93481,0.18988,-3.51172,-0.70703,-8.43750,-2.05273,-0.34180,0.49414,-2.83616,-0.37498,0.49278
11,10743,3,-0.14581,-0.25525,-0.93671,0.19012,-4.39453,-0.77344,-8.80859,-2.40039,-0.51758,0.70898,-2.83344,-0.37926,0.47247
12,9765,3,-0.15082,-0.24457,-0.93866,0.19080,-5.98047,-1.06250,-9.59766,-2.83203,-0.68750,1.00781,-2.82957,-0.38595,0.44831
13,12696,3,-0.15082,-0.24457,-0.93866,0.19080,-6.44141,-1.32422,-9.78516,-3.36719,-0.80273,1.37695,-2.82957,-0.38595,0.44831
14,6836,3,-0.16449,-0.21832,-0.94208,0.19434,-6.81250,-1.48828,-9.81641,-3.91992,-0.99023,1.75195,-2.81549,-0.40583,0.38778
15,9765,3,-0.17395,-0.20074,-0.94360,0.19769,-7.00391,-1.59766,-10.03906,-4.49609,-1.25586,2.12695,-2.80308,-0.41987,0.34644
16,10742,3,-0.18585,-0.17914,-0.94470,0.20227,-6.43359,-2.09375,-9.94922,-5.09180,-1.57031,2.49805,-2.78574,-0.43743,0.29490
17,9766,3,-0.19928,-0.15594,-0.94495,0.20734,-5.67188,-1.98438,-9.87891,-5.63281,-1.86523,2.79688,-2.76536,-0.45706,0.23861
