lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1332031,3,0.32910,-0.23389,-0.50452,0.76318,0.87109,0.24609,-3.52344,-0.50195,-0.13672,-0.27930,-1.17923,-0.02493,0.83093
1,10743,3,0.32733,-0.23291,-0.50647,0.76294,1.49219,0.69141,-4.85547,-0.65820,-0.18359,-0.34570,-1.18254,-0.02383,0.82657
2,9765,3,0.32495,-0.23163,-0.50891,0.76270,1.73047,0.96094,-5.54688,-0.85547,-0.20898,-0.41602,-1.18664,-0.02258,0.82076
3,9766,3,0.32190,-0.22998,-0.51184,0.76257,1.93750,1.24609,-6.12891,-1.11523,-0.17969,-0.49805,-1.19142,-0.02123,0.81325
4,9766,3,0.31812,-0.22754,-0.51526,0.76257,2.18359,1.37500,-6.57422,-1.45117,-0.08789,-0.58789,-1.19660,-0.01921,0.80352
5,10742,3,0.31329,-0.22388,-0.51935,0.76288,2.71094,1.35547,-7.35938,-1.74805,-0.01953,-0.68750,-1.20216,-0.01617,0.79043
6,9765,3,0.30780,-0.21912,-0.52380,0.76349,2.85938,1.31250,-7.61328,-2.03516,0.02539,-0.81055,-1.20758,-0.01213,0.77480
7,9766,3,0.30127,-0.21313,-0.52899,0.76416,2.95312,1.32031,-7.69141,-2.34570,0.07812,-0.93359,-1.21379,-0.00700,0.75594
8,9766,3,0.29395,-0.20599,-0.53473,0.76495,2.92969,1.21094,-7.87109,-2.71484,0.24805,-0.99219,-1.22046,-0.00079,0.73429
9,10742,3,0.28552,-0.19714,-0.54108,0.76605,3.00000,0.23828,-7.48438,-3.09375,0.49805,-1.03125,-1.22734,0.00693,0.70865
10,9765,3,0.27643,-0.18665,-0.54742,0.76752,3.21094,-0.11719,-7.32812,-3.40820,0.73828,-1.11719,-1.23340,0.01614,0.67995
11,9766,3,0.26642,-0.17383,-0.55396,0.76941,3.46484,-0.36328,-7.09375,-3.69141,0.99805,-1.24805,-1.23873,0.02768,0.64695
12,12695,3,0.25647,-0.15967,-0.56036,0.77118,3.51172,-1.32422,-6.39062,-3.96094,1.35547,-1.33594,-1.24373,0.04118,0.61261
13,7813,3,0.24609,-0.14301,-0.56689,0.77307,3.29297,-1.90234,-6.05078,-4.17188,1.73828,-1.36523,-1.24833,0.05794,0.57464
14,9765,3,0.23499,-0.12280,-0.57355,0.77509,3.08203,-2.38281,-5.82422,-4.29297,2.00195,-1.42383,-1.25253,0.07927,0.53137
15,9766,3,0.22485,-0.10199,-0.57935,0.77679,2.83594,-2.47656,-5.91797,-4.35547,2.03516,-1.55664,-1.25609,0.10226,0.48924
16,12695,3,0.22485,-0.10199,-0.57935,0.77679,1.73438,-3.01172,-6.42969,-4.47266,1.86133,-1.71484,-1.25609,0.10226,0.48924
17,7813,3,0.20416,-0.05872,-0.59094,0.77826,1.02734,-3.05078,-6.87500,-4.68359,1.55273,-1.85742,-1.26813,0.15047,0.40236
18,9766,3,0.19177,-0.03674,-0.59753,0.77771,0.47266,-3.00391,-7.31641,-5.01562,1.18750,-1.98633,-1.27918,0.17289,0.35477
19,9765,3,0.17688,-0.01447,-0.60474,0.77637,-0.51953,-3.36328,-7.27734,-5.40625,0.89062,-2.05859,-1.29409,0.19267,0.30225
