lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1202149,2,-0.01282,-0.20264,-0.13446,0.96991,-0.66016,0.79688,-2.75391,-0.43945,0.05469,-0.04492,-0.28218,-0.40772,0.03228
1,9766,2,-0.01465,-0.20215,-0.13507,0.96991,-0.77344,0.98047,-3.09766,-0.54883,0.06445,-0.03125,-0.28263,-0.40723,0.02853
2,10742,2,-0.01697,-0.20154,-0.13580,0.96991,-0.76562,1.21094,-3.59766,-0.69727,0.06055,-0.03906,-0.28312,-0.40664,0.02376
3,11718,2,-0.01990,-0.20081,-0.13660,0.96985,-1.10547,1.69531,-4.71484,-0.89258,0.03906,-0.03711,-0.28349,-0.40601,0.01770
4,7813,2,-0.02362,-0.20007,-0.13751,0.96979,-1.52734,1.82422,-5.16797,-1.08789,0.00391,-0.00195,-0.28378,-0.40559,0.01002
5,9766,2,-0.02856,-0.19922,-0.13867,0.96967,-1.97656,1.87891,-5.58984,-1.29297,-0.08398,0.06055,-0.28406,-0.40528,-0.00016
6,9765,2,-0.03436,-0.19861,-0.13971,0.96948,-2.63672,1.79688,-5.85156,-1.51953,-0.22461,0.15234,-0.28375,-0.40572,-0.01212
7,10742,2,-0.04114,-0.19836,-0.14050,0.96912,-3.60938,0.81250,-5.98828,-1.77344,-0.34961,0.31445,-0.28256,-0.40721,-0.02613
8,9766,2,-0.04987,-0.19861,-0.14099,0.96863,-4.00781,0.09766,-5.62109,-1.99023,-0.46289,0.50195,-0.27987,-0.41020,-0.04428
9,9766,2,-0.05969,-0.19910,-0.14075,0.96796,-4.12500,-0.45312,-5.32031,-2.14648,-0.60156,0.67578,-0.27512,-0.41398,-0.06505
10,10742,2,-0.07068,-0.20007,-0.13983,0.96716,-4.23828,-0.93750,-4.85938,-2.22656,-0.73633,0.85742,-0.26834,-0.41893,-0.08852
11,9765,2,-0.08258,-0.20154,-0.13800,0.96619,-4.32422,-2.01562,-4.03906,-2.26953,-0.85156,1.03320,-0.25905,-0.42491,-0.11435
12,10743,2,-0.09485,-0.20337,-0.13538,0.96503,-4.27344,-2.35547,-3.63281,-2.33008,-0.97070,1.20312,-0.24771,-0.43147,-0.14139
13,8789,2,-0.10773,-0.20569,-0.13190,0.96368,-4.25000,-2.67969,-3.28516,-2.41797,-1.05664,1.37500,-0.23399,-0.43880,-0.17024
14,10742,2,-0.12091,-0.20825,-0.12762,0.96216,-3.82422,-3.61719,-2.24219,-2.45703,-1.16211,1.52148,-0.21815,-0.44626,-0.20034
15,11719,2,-0.13525,-0.21124,-0.12238,0.96027,-3.65625,-3.68750,-1.56641,-2.42969,-1.28906,1.64844,-0.19927,-0.45426,-0.23366
16,7812,2,-0.14868,-0.21442,-0.11676,0.95825,-3.33594,-3.72266,-0.91797,-2.40234,-1.39062,1.77930,-0.17972,-0.46192,-0.26549
17,10742,2,-0.16290,-0.21814,-0.11017,0.95593,-2.85938,-3.87891,-0.19141,-2.35742,-1.50391,1.88672,-0.15717,-0.47003,-0.29988
