lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1222656,3,0.28070,-0.27466,0.07623,0.91650,-1.27734,-0.51562,-2.29297,-0.19336,0.12891,-0.04688,-0.01726,-0.57786,0.59954
1,8789,3,0.28009,-0.27405,0.07599,0.91687,-1.53125,-0.50781,-2.73047,-0.29102,0.16016,0.01758,-0.01691,-0.57652,0.59798
2,10742,3,0.27905,-0.27338,0.07593,0.91742,-1.98438,-0.45312,-3.24609,-0.37891,0.17578,0.08398,-0.01580,-0.57515,0.59523
3,9766,3,0.27734,-0.27277,0.07605,0.91809,-2.27344,-0.38672,-3.72656,-0.47852,0.17188,0.15234,-0.01388,-0.57405,0.59084
4,10742,3,0.27515,-0.27222,0.07635,0.91888,-2.60938,-0.34766,-4.13281,-0.61328,0.17188,0.23047,-0.01128,-0.57317,0.58520
5,8789,3,0.27234,-0.27185,0.07690,0.91980,-2.91016,-0.26953,-4.54688,-0.80664,0.15820,0.32617,-0.00785,-0.57279,0.57803
6,10742,3,0.26868,-0.27167,0.07758,0.92084,-3.78906,-0.24609,-5.46875,-1.03906,0.14062,0.45508,-0.00370,-0.57286,0.56888
7,9766,3,0.26392,-0.27179,0.07843,0.92212,-4.21875,-0.22656,-5.85156,-1.30078,0.09570,0.61523,0.00141,-0.57360,0.55709
8,9765,3,0.25775,-0.27234,0.07959,0.92365,-4.57812,-0.18750,-6.21484,-1.62695,0.08789,0.81250,0.00791,-0.57530,0.54193
9,10743,3,0.25006,-0.27338,0.08112,0.92529,-5.20703,-0.62891,-6.46875,-2.01172,0.10352,1.01758,0.01599,-0.57814,0.52314
10,9765,3,0.24030,-0.27478,0.08307,0.92731,-5.46875,-0.64062,-6.65234,-2.39258,0.02148,1.21680,0.02634,-0.58178,0.49923
11,9766,3,0.22858,-0.27667,0.08539,0.92950,-5.76953,-0.84375,-6.76953,-2.81445,-0.09375,1.50977,0.03873,-0.58636,0.47056
12,9766,3,0.21460,-0.27942,0.08813,0.93170,-6.12109,-1.11328,-6.62500,-3.28320,-0.26367,1.84375,0.05344,-0.59260,0.43645
13,10742,3,0.19861,-0.28320,0.09149,0.93378,-5.72656,-1.37500,-6.62891,-3.85938,-0.45117,2.10742,0.07082,-0.60075,0.39720
14,9765,3,0.17957,-0.28833,0.09534,0.93573,-5.19141,-1.55078,-6.55078,-4.52930,-0.63086,2.38867,0.09154,-0.61114,0.35029
15,9766,3,0.15619,-0.29498,0.09955,0.93738,-4.74609,-1.51172,-6.39062,-5.22656,-0.74805,2.70312,0.11667,-0.62379,0.29256
16,9766,3,0.12952,-0.30255,0.10388,0.93854,-4.49609,-1.52734,-6.14062,-5.89844,-0.85352,3.06836,0.14560,-0.63707,0.22617
17,10742,3,0.09949,-0.31091,0.10852,0.93896,-3.59375,-2.65625,-5.35938,-6.42969,-0.83203,3.45508,0.17929,-0.65035,0.15053
18,9765,3,0.06696,-0.31934,0.11377,0.93842,-3.30469,-3.28906,-4.82422,-6.76367,-0.68359,3.92383,0.21819,-0.66183,0.06724
19,9766,3,0.02930,-0.32788,0.12054,0.93652,-2.67188,-4.22266,-3.75000,-6.87695,-0.50000,4.37109,0.26677,-0.67030,-0.03085
20,9766,3,-0.00879,-0.33502,0.12866,0.93335,-0.61719,-6.60547,-1.05859,-6.84766,-0.33203,4.61914,0.32004,-0.67272,-0.13158
21,10742,3,-0.04858,-0.34100,0.13831,0.92859,0.45703,-7.00391,0.10938,-6.79883,-0.13477,4.64258,0.37850,-0.66853,-0.23739
22,9765,3,-0.08600,-0.34515,0.14777,0.92285,1.22266,-7.41797,1.45312,-6.60547,-0.03516,4.54688,0.43318,-0.65811,-0.33583
23,9766,3,-0.12628,-0.34839,0.15790,0.91528,2.24609,-7.44922,2.58203,-6.08398,-0.02148,4.41406,0.48969,-0.64084,-0.43967
