lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1480469,3,-0.13867,0.23193,-0.72833,0.62970,1.72266,0.94531,2.32812,-0.33594,0.84375,-0.04883,-1.74081,0.09022,-0.54052
1,10742,3,-0.13702,0.23560,-0.72858,0.62842,1.81641,0.90234,3.07812,-0.22461,0.97852,-0.11523,-1.74513,0.09659,-0.54442
2,9766,3,-0.13470,0.23938,-0.72913,0.62683,1.96875,0.88672,3.78906,-0.06250,1.02734,-0.23828,-1.75059,0.10386,-0.54774
3,9765,3,-0.13165,0.24298,-0.73016,0.62488,1.54297,0.32812,4.80078,0.11914,1.06250,-0.35547,-1.75741,0.11164,-0.54993
4,9766,3,-0.12811,0.24591,-0.73181,0.62250,0.80078,-0.09375,5.19922,0.29688,1.11523,-0.42188,-1.76551,0.11894,-0.55054
5,10742,3,-0.12390,0.24829,-0.73401,0.61987,0.14453,-0.57031,5.34766,0.49023,1.11133,-0.49414,-1.77464,0.12626,-0.54949
6,8789,3,-0.11920,0.25000,-0.73657,0.61707,-0.51562,-0.93750,5.33984,0.75195,1.00586,-0.62109,-1.78435,0.13332,-0.54685
7,10742,3,-0.11426,0.25061,-0.73956,0.61414,-2.07031,-1.89453,5.28516,1.04688,0.76172,-0.77539,-1.79435,0.13927,-0.54221
8,9766,3,-0.10889,0.24951,-0.74347,0.61078,-3.05469,-2.39453,5.08594,1.34570,0.47461,-0.85352,-1.80545,0.14339,-0.53436
9,10742,3,-0.10394,0.24652,-0.74780,0.60767,-4.11328,-2.86328,4.84766,1.59961,0.23828,-0.79297,-1.81568,0.14464,-0.52386
10,9766,3,-0.09912,0.24164,-0.75226,0.60486,-4.93359,-3.28125,4.47656,1.78711,0.08398,-0.61523,-1.82472,0.14368,-0.51038
11,9765,3,-0.09424,0.23541,-0.75647,0.60284,-5.86719,-3.67969,3.58594,1.92773,-0.04883,-0.40625,-1.83170,0.14174,-0.49447
12,12696,3,-0.09424,0.23541,-0.75647,0.60284,-6.00781,-3.60547,2.84766,2.08984,-0.24805,-0.21094,-1.83170,0.14174,-0.49447
13,6836,3,-0.08423,0.22021,-0.76312,0.60168,-6.21484,-3.31250,2.03516,2.22852,-0.46484,0.00195,-1.83818,0.13688,-0.45739
14,10742,3,-0.07922,0.21082,-0.76562,0.60260,-6.35938,-3.26172,1.27344,2.28125,-0.69727,0.20117,-1.83749,0.13315,-0.43567
15,9765,3,-0.07434,0.20001,-0.76746,0.60455,-5.83984,-2.70703,-0.58984,2.22852,-0.92969,0.38281,-1.83393,0.12808,-0.41169
16,9766,3,-0.07031,0.18896,-0.76843,0.60730,-5.42578,-2.44141,-1.60938,2.09961,-1.14648,0.54102,-1.82796,0.12176,-0.38832
17,9766,3,-0.06726,0.17755,-0.76868,0.61084,-5.05469,-2.22266,-2.46094,1.92578,-1.36523,0.67578,-1.81968,0.11375,-0.36551
18,10742,3,-0.06549,0.16663,-0.76807,0.61481,-4.48047,-1.83594,-3.84375,1.74219,-1.57617,0.80273,-1.80978,0.10448,-0.34516
19,9766,3,-0.06488,0.15485,-0.76672,0.61963,-4.55859,-1.75000,-4.42578,1.56836,-1.81055,0.94531,-1.79739,0.09254,-0.32491
20,9765,3,-0.06555,0.14349,-0.76459,0.62488,-4.64453,-1.82812,-4.98828,1.41016,-2.03516,1.12891,-1.78348,0.07918,-0.30712
21,9766,3,-0.06750,0.13202,-0.76166,0.63080,-4.67188,-2.05469,-5.43359,1.25781,-2.19336,1.33984,-1.76755,0.06377,-0.29094
22,13672,3,-0.07050,0.12073,-0.75775,0.63739,-4.17578,-2.33984,-6.09375,1.08789,-2.34180,1.55664,-1.74947,0.04708,-0.27665
23,6836,3,-0.07434,0.10986,-0.75305,0.64447,-3.88672,-2.48828,-6.55078,0.88086,-2.46289,1.74219,-1.72982,0.02965,-0.26447
24,9765,3,-0.07922,0.09912,-0.74725,0.65228,-3.67578,-2.61719,-6.92969,0.66797,-2.56250,1.89258,-1.70770,0.01091,-0.25424
25,10742,3,-0.08545,0.08826,-0.74023,0.66101,-3.19141,-2.66016,-7.94922,0.43164,-2.66992,2.06055,-1.68254,-0.00983,-0.24612
26,9766,3,-0.09247,0.07831,-0.73254,0.66986,-3.30859,-2.78125,-8.26172,0.18164,-2.75195,2.27344,-1.65643,-0.03057,-0.24104
27,9766,3,-0.10052,0.06903,-0.72394,0.67902,-3.28125,-2.91406,-8.59766,-0.10156,-2.77930,2.51172,-1.62859,-0.05182,-0.23905
28,9765,3,-0.10956,0.06073,-0.71423,0.68860,-3.28516,-2.97266,-8.93750,-0.39453,-2.75195,2.74609,-1.59852,-0.07293,-0.24058
29,9766,3,-0.11902,0.05377,-0.70380,0.69824,-2.66797,-2.93359,-9.64062,-0.68164,-2.76758,2.95117,-1.56729,-0.09258,-0.24541
30,13672,3,-0.13025,0.04749,-0.69141,0.70905,-2.51172,-2.88672,-9.89062,-0.95508,-2.77734,3.10938,-1.53112,-0.11301,-0.25472
31,6836,3,-0.14136,0.04272,-0.67902,0.71912,-2.30859,-2.77734,-9.95312,-1.19141,-2.84570,3.24219,-1.49586,-0.13089,-0.26673
32,9765,3,-0.15405,0.03845,-0.66516,0.72968,-1.98438,-2.72266,-10.12109,-1.41406,-2.96875,3.36523,-1.45706,-0.14937,-0.28281
33,10743,3,-0.16827,0.03461,-0.64972,0.74048,-1.19531,-2.88672,-10.37891,-1.65820,-3.03906,3.50781,-1.41467,-0.16821,-0.30302
34,9765,3,-0.18335,0.03131,-0.63361,0.75092,-0.94922,-2.83594,-10.19922,-1.92578,-2.97852,3.67773,-1.37096,-0.18641,-0.32638
35,9766,3,-0.19879,0.02899,-0.61694,0.76093,-0.74219,-2.79297,-9.92969,-2.19141,-2.89258,3.84961,-1.32635,-0.20255,-0.35263
36,12695,3,-0.21503,0.02795,-0.59912,0.77069,0.31250,-2.73438,-9.91016,-2.45312,-2.89453,3.94531,-1.27951,-0.21626,-0.38296
37,7813,3,-0.23151,0.02795,-0.58099,0.77979,1.05859,-2.40625,-9.83984,-2.67188,-2.93750,3.96289,-1.23251,-0.22737,-0.41581
38,9765,3,-0.24908,0.02863,-0.56177,0.78839,1.74219,-2.18750,-9.51562,-2.90234,-3.06250,3.94336,-1.18343,-0.23693,-0.45240
39,9766,3,-0.26862,0.02960,-0.54089,0.79651,2.19922,-2.12109,-9.31250,-3.17188,-3.23828,3.93164,-1.13079,-0.24589,-0.49404
40,9765,3,-0.28760,0.03058,-0.52118,0.80292,3.01562,-3.01562,-8.60156,-3.44336,-3.35742,3.97266,-1.08167,-0.25339,-0.53521
41,10743,3,-0.30981,0.03174,-0.49866,0.80890,3.36719,-3.41016,-7.72266,-3.61133,-3.46680,4.04297,-1.02612,-0.26058,-0.58417
42,9765,3,-0.33185,0.03302,-0.47632,0.81360,3.94141,-3.60938,-7.24219,-3.72266,-3.58789,4.12500,-0.97178,-0.26550,-0.63375
43,9766,3,-0.35315,0.03418,-0.45416,0.81720,4.30078,-3.83203,-6.60938,-3.79688,-3.56836,4.27734,-0.91877,-0.26812,-0.68258
44,9766,3,-0.37665,0.03564,-0.42877,0.82037,4.96875,-4.78906,-5.26953,-3.79102,-3.33008,4.49219,-0.85923,-0.26770,-0.73759
45,10742,3,-0.39850,0.03802,-0.40356,0.82275,5.75000,-4.99609,-4.06250,-3.76953,-2.63281,4.76172,-0.80221,-0.26205,-0.79044
46,11718,3,-0.41919,0.04279,-0.37738,0.82465,6.91797,-5.30469,-2.57422,-3.81445,-1.54688,4.87305,-0.74656,-0.24837,-0.84288
47,7813,3,-0.43652,0.05115,-0.35352,0.82574,8.20312,-5.28906,-1.79688,-4.13477,-0.41602,5.06836,-0.70089,-0.22609,-0.88965
48,9766,3,-0.45435,0.06616,-0.32806,0.82556,11.68750,-5.39844,-0.68750,-4.38086,0.40234,4.83203,-0.65964,-0.19001,-0.94100
49,10742,3,-0.46960,0.08411,-0.30670,0.82361,12.55859,-5.41406,0.30078,-4.49219,0.78906,4.26562,-0.63210,-0.15008,-0.98725
50,12695,3,-0.48480,0.10431,-0.28754,0.81940,12.84375,-5.09766,1.16797,-4.31445,0.96289,3.40430,-0.61347,-0.10807,-1.03427
51,6836,3,-0.49860,0.12280,-0.27252,0.81366,12.16016,-4.90625,2.81250,-3.85742,0.95898,2.49609,-0.60336,-0.07198,-1.07712
52,9766,3,-0.51196,0.13995,-0.26050,0.80652,11.79688,-4.75781,3.63281,-3.19922,0.86523,1.64258,-0.59917,-0.04099,-1.11854
53,10742,3,-0.52374,0.15424,-0.25189,0.79907,11.41016,-4.75391,4.22656,-2.63672,0.80859,0.91211,-0.59943,-0.01736,-1.15501
54,9765,3,-0.53320,0.16492,-0.24701,0.79211,11.13281,-5.06641,4.52344,-2.30664,0.92773,0.29883,-0.60312,-0.00215,-1.18427
55,9766,3,-0.54132,0.17334,-0.24512,0.78540,10.55859,-4.86719,4.75781,-2.13281,1.17969,-0.19922,-0.60980,0.00691,-1.20910
56,10742,3,-0.54858,0.18060,-0.24609,0.77838,10.55859,-4.60547,4.81641,-1.99609,1.47266,-0.59766,-0.62032,0.01115,-1.23142
57,9766,3,-0.55518,0.18750,-0.24969,0.77087,10.24609,-4.45703,4.93359,-1.83008,1.65039,-0.99609,-0.63505,0.01183,-1.25218
58,12695,3,-0.56128,0.19403,-0.25562,0.76288,8.98047,-4.36328,4.95312,-1.57031,1.87500,-1.35352,-0.65334,0.00910,-1.27171
59,6836,3,-0.56635,0.19971,-0.26343,0.75500,8.41797,-4.44141,5.64453,-1.15234,2.14453,-1.66406,-0.67379,0.00318,-1.28827
60,10742,3,-0.57019,0.20508,-0.27368,0.74695,8.05078,-4.47656,6.27734,-0.53320,2.33594,-2.05078,-0.69805,-0.00574,-1.30191
61,8789,3,-0.57214,0.20972,-0.28687,0.73920,7.84766,-4.26172,6.85938,0.11523,2.51758,-2.46680,-0.72638,-0.01821,-1.31046
62,10743,3,-0.57166,0.21259,-0.30151,0.73285,7.50000,-4.53125,7.21484,0.61719,2.83203,-2.79492,-0.75513,-0.03315,-1.31176
63,9765,3,-0.56879,0.21460,-0.32025,0.72656,6.84375,-4.73828,7.32812,1.06836,3.23047,-3.09375,-0.79014,-0.05249,-1.30649
64,10742,3,-0.56384,0.21606,-0.34058,0.72070,6.51953,-4.85547,7.14844,1.53125,3.52734,-3.45312,-0.82788,-0.07269,-1.29583
65,9766,3,-0.55682,0.21680,-0.36316,0.71490,6.17578,-4.97656,6.88672,1.94141,3.69727,-3.81250,-0.86961,-0.09459,-1.27950
66,12695,3,-0.55682,0.21680,-0.36316,0.71490,5.28516,-5.48438,6.30859,2.26953,3.82031,-4.05664,-0.86961,-0.09459,-1.27950
67,6836,3,-0.53741,0.21503,-0.41357,0.70282,4.50391,-5.59375,5.65234,2.65234,3.98047,-4.23438,-0.96274,-0.14275,-1.23097
68,10742,3,-0.52484,0.21252,-0.44135,0.69611,3.94922,-5.77344,5.27734,3.16211,4.10938,-4.44922,-1.01511,-0.16819,-1.19838
69,9766,3,-0.50940,0.20862,-0.47144,0.68903,2.69531,-6.26562,4.85938,3.58789,4.13867,-4.59961,-1.07308,-0.19402,-1.15761
