lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1212891,3,0.29297,-0.14307,0.28473,0.90143,-0.89453,-0.17578,-3.19531,-0.17383,-0.04102,-0.30078,0.49435,-0.43873,0.51608
1,8789,3,0.29266,-0.14288,0.28326,0.90204,-1.15625,-0.05859,-3.62500,-0.28516,-0.06250,-0.27539,0.49136,-0.43740,0.51612
2,10742,3,0.29193,-0.14294,0.28180,0.90271,-1.52344,0.03125,-4.28125,-0.39062,-0.05469,-0.22266,0.48850,-0.43634,0.51516
3,9766,3,0.29065,-0.14331,0.28033,0.90356,-1.66797,0.00391,-4.75000,-0.50781,-0.07812,-0.17578,0.48575,-0.43557,0.51289
4,9766,3,0.28882,-0.14386,0.27905,0.90442,-1.85938,-0.04297,-5.17969,-0.65039,-0.09180,-0.09961,0.48362,-0.43502,0.50930
5,10742,3,0.28644,-0.14478,0.27795,0.90540,-2.27344,-0.08203,-5.62500,-0.83984,-0.13086,-0.01172,0.48199,-0.43498,0.50429
6,9765,3,0.28320,-0.14624,0.27704,0.90643,-3.04688,-0.37109,-6.40625,-1.06836,-0.11523,0.12500,0.48097,-0.43570,0.49719
7,9766,3,0.27911,-0.14807,0.27655,0.90759,-3.24609,-0.36328,-6.82031,-1.28906,-0.13281,0.25000,0.48114,-0.43691,0.48789
8,9766,3,0.27374,-0.15051,0.27637,0.90887,-3.57031,-0.33594,-7.12891,-1.51562,-0.15430,0.37891,0.48241,-0.43884,0.47549
9,10742,3,0.26727,-0.15344,0.27661,0.91022,-4.19531,-0.51953,-7.67188,-1.80664,-0.15625,0.52148,0.48501,-0.44139,0.46033
10,9765,3,0.25958,-0.15698,0.27722,0.91162,-4.57422,-0.52344,-7.95703,-2.09180,-0.15430,0.69922,0.48889,-0.44468,0.44215
11,9766,3,0.25049,-0.16107,0.27832,0.91315,-4.94922,-0.61328,-8.16406,-2.37305,-0.14648,0.92773,0.49444,-0.44849,0.42046
12,12695,3,0.23981,-0.16583,0.28009,0.91461,-5.28516,-0.85938,-8.29688,-2.65234,-0.14062,1.18945,0.50223,-0.45303,0.39474
13,6836,3,0.22803,-0.17108,0.28265,0.91589,-5.59375,-1.60547,-8.21875,-2.92773,-0.12305,1.43945,0.51242,-0.45814,0.36600
