lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1191406,3,-0.04419,0.03241,0.10718,0.99274,1.48828,1.73438,0.84375,-0.64453,0.46094,-0.31641,0.21209,0.07389,-0.08110
1,10742,3,-0.04742,0.03387,0.10565,0.99268,0.71484,2.14062,2.42188,-0.60156,0.56836,-0.32227,0.20868,0.07735,-0.08737
2,9766,3,-0.05096,0.03613,0.10400,0.99261,0.37891,2.39453,3.54297,-0.43164,0.60547,-0.32617,0.20491,0.08243,-0.09412
3,10742,3,-0.05389,0.03870,0.10229,0.99255,-0.02734,2.05859,4.58984,-0.21875,0.59375,-0.31445,0.20101,0.08795,-0.09961
4,9766,3,-0.05585,0.04138,0.10059,0.99249,-0.35547,1.60156,5.51953,0.01953,0.56055,-0.31055,0.19717,0.09351,-0.10316
5,9765,3,-0.05670,0.04413,0.09888,0.99249,-0.52734,0.57422,7.12891,0.32422,0.57227,-0.36719,0.19341,0.09897,-0.10453
6,10743,3,-0.05621,0.04694,0.09698,0.99261,-0.44531,-0.09375,7.94141,0.74219,0.58984,-0.48633,0.18940,0.10427,-0.10323
7,9765,3,-0.05389,0.04999,0.09454,0.99280,-0.46484,-0.86719,8.47656,1.15625,0.64062,-0.59961,0.18449,0.10967,-0.09831
8,9766,3,-0.04980,0.05316,0.09155,0.99310,-0.67969,-1.83594,8.73828,1.50586,0.75977,-0.64844,0.17868,0.11497,-0.08991
9,9766,3,-0.04340,0.05725,0.08777,0.99353,-1.68750,-2.87891,8.38281,1.85352,0.81250,-0.63477,0.17154,0.12168,-0.07683
10,10742,3,-0.03558,0.06177,0.08392,0.99390,-2.30859,-3.19531,7.99219,2.30469,0.81055,-0.64453,0.16454,0.12912,-0.06091
11,8789,3,-0.02570,0.06659,0.07990,0.99426,-2.84375,-3.50781,7.68750,2.77148,0.73438,-0.66992,0.15757,0.13694,-0.04085
12,10742,3,-0.01422,0.07104,0.07587,0.99451,-4.49609,-4.76562,6.34375,3.01562,0.70703,-0.52930,0.15100,0.14396,-0.01769
13,9766,3,0.00024,0.07587,0.07166,0.99457,-5.45312,-5.62500,5.31250,3.10547,0.72070,-0.25586,0.14472,0.15144,0.01149
14,10742,3,0.01538,0.08063,0.06848,0.99426,-5.95703,-6.03516,4.18750,3.19336,0.61328,0.00977,0.14089,0.15889,0.04217
15,9765,3,0.03064,0.08496,0.06665,0.99365,-6.30859,-6.10156,2.93750,3.31055,0.41211,0.23047,0.14003,0.16552,0.07329
16,9766,3,0.04688,0.08862,0.06592,0.99280,-6.94141,-5.69531,0.47656,3.37891,0.11914,0.49609,0.14171,0.17061,0.10650
17,12695,3,0.06342,0.09094,0.06628,0.99164,-6.95703,-5.70703,-0.82422,3.39844,-0.18555,0.77930,0.14567,0.17281,0.14037
18,7813,3,0.08002,0.09161,0.06781,0.99023,-6.70703,-5.37891,-1.88672,3.31445,-0.41797,1.01562,0.15176,0.17143,0.17433
