lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1171875,3,0.11279,-0.20538,0.18622,0.95416,1.30078,0.85156,-1.87109,-0.63672,0.49023,-0.44141,0.35012,-0.44886,0.15462
1,10742,3,0.11017,-0.20367,0.18372,0.95532,1.37891,0.91797,-2.11719,-0.74609,0.58594,-0.47070,0.34587,-0.44408,0.15080
2,8789,3,0.10675,-0.20148,0.18097,0.95667,1.39453,1.04297,-2.49219,-0.87695,0.68164,-0.50977,0.34147,-0.43803,0.14554
3,10743,3,0.10297,-0.19904,0.17810,0.95813,1.60547,1.43359,-3.28906,-1.08008,0.77734,-0.59766,0.33694,-0.43135,0.13962
4,9765,3,0.09790,-0.19598,0.17450,0.95996,1.87500,1.87891,-3.87500,-1.37109,0.89258,-0.77344,0.33136,-0.42295,0.13150
5,10742,3,0.09186,-0.19269,0.17017,0.96204,2.29688,2.46484,-4.44141,-1.74805,0.94141,-1.08398,0.32457,-0.41369,0.12170
6,9766,3,0.08447,-0.18921,0.16449,0.96436,2.85156,2.98828,-5.18359,-2.20117,0.94922,-1.44336,0.31542,-0.40360,0.10970
7,9766,3,0.07526,-0.18567,0.15680,0.96710,2.82812,3.07422,-6.41797,-2.67773,1.04297,-1.67969,0.30262,-0.39274,0.09467
8,10742,3,0.06421,-0.18219,0.14734,0.97003,2.16406,2.61719,-6.66406,-3.11523,1.25195,-1.63867,0.28670,-0.38158,0.07645
9,9766,3,0.05066,-0.17816,0.13678,0.97314,1.23828,1.93750,-6.68359,-3.44727,1.34961,-1.36914,0.26930,-0.36891,0.05348
10,11718,3,0.03540,-0.17371,0.12689,0.97595,-0.55859,0.72656,-6.61328,-3.68750,1.31641,-1.08203,0.25379,-0.35548,0.02669
11,7813,3,0.01868,-0.16931,0.11816,0.97827,-0.97656,0.30859,-6.73828,-3.94336,1.22070,-0.83008,0.24105,-0.34233,-0.00369
12,10742,3,-0.00116,-0.16498,0.10974,0.98016,-1.12109,-0.03516,-6.76953,-4.19922,1.13477,-0.63672,0.22975,-0.32907,-0.04068
13,9766,3,-0.02075,-0.16150,0.10284,0.98126,-1.41016,-0.53516,-6.66016,-4.46680,1.04688,-0.44336,0.22136,-0.31802,-0.07793
14,9765,3,-0.04285,-0.15826,0.09625,0.98175,-2.22656,-1.83203,-6.37891,-4.67969,1.03906,-0.23047,0.21415,-0.30732,-0.12052
