lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1301758,3,0.11694,-0.01251,0.24896,0.96136,-3.43750,-0.03906,0.94141,-0.22266,0.89648,-0.22266,0.49765,-0.08238,0.22115
1,10742,3,0.11462,-0.00836,0.24811,0.96185,-4.37500,-0.48438,0.97266,-0.16016,0.88086,-0.12109,0.49687,-0.07303,0.21869
2,9765,3,0.11261,-0.00421,0.24780,0.96222,-5.25000,-0.88672,0.76953,-0.09961,0.79883,-0.02148,0.49715,-0.06396,0.21676
3,9766,3,0.11096,-0.00031,0.24786,0.96240,-6.23438,-1.21875,0.45703,-0.06055,0.66797,0.11719,0.49812,-0.05562,0.21543
4,11719,3,0.10974,0.00293,0.24841,0.96240,-8.08984,-2.05859,-0.27734,0.00781,0.38867,0.26367,0.49994,-0.04890,0.21459
5,8789,3,0.10895,0.00537,0.24963,0.96216,-8.92969,-2.39844,-0.54688,0.11523,0.10547,0.46094,0.50297,-0.04407,0.21418
6,9766,3,0.10895,0.00647,0.25159,0.96167,-9.62500,-2.90234,-0.63281,0.22852,-0.18359,0.71680,0.50719,-0.04239,0.21463
7,9765,3,0.10986,0.00616,0.25433,0.96082,-10.06250,-3.33984,-0.89062,0.31836,-0.45508,1.00781,0.51276,-0.04405,0.21615
8,9766,3,0.11157,0.00452,0.25824,0.95959,-10.29297,-3.96875,-1.38281,0.38086,-0.67773,1.32812,0.52040,-0.04898,0.21846
9,10742,3,0.11407,0.00159,0.26355,0.95789,-10.25781,-4.00000,-1.87109,0.39844,-0.85547,1.67383,0.53063,-0.05712,0.22154
10,9766,3,0.11688,-0.00238,0.27020,0.95569,-10.04297,-4.02344,-2.39062,0.38477,-1.02148,2.00586,0.54344,-0.06776,0.22451
11,9765,3,0.12006,-0.00751,0.27850,0.95288,-9.44141,-3.39453,-4.02344,0.35156,-1.25977,2.28125,0.55943,-0.08127,0.22731
12,9766,3,0.12329,-0.01367,0.28796,0.94958,-9.23828,-3.02734,-4.81250,0.31250,-1.59570,2.51758,0.57768,-0.09712,0.22935
13,10742,3,0.12677,-0.02142,0.29846,0.94574,-8.92578,-2.69141,-5.50781,0.25391,-2.00586,2.76367,0.59789,-0.11645,0.23057
14,8789,3,0.13049,-0.03125,0.30988,0.94128,-8.30469,-2.41406,-5.90625,0.20508,-2.42969,2.99609,0.61981,-0.14016,0.23056
15,10742,3,0.13434,-0.04266,0.32135,0.93640,-5.32812,-2.16016,-6.25000,0.16992,-2.81055,3.08203,0.64188,-0.16702,0.22934
16,12696,3,0.13898,-0.05725,0.33429,0.93042,-3.61719,-2.28516,-6.27344,0.09375,-3.03125,3.06641,0.66691,-0.20079,0.22679
17,6836,3,0.14337,-0.07227,0.34619,0.92432,-2.02344,-2.53516,-6.09766,0.03516,-3.16797,2.97070,0.69031,-0.23502,0.22293
18,10742,3,0.14789,-0.08850,0.35773,0.91779,-0.70312,-2.66406,-5.64062,0.09766,-3.40234,2.75586,0.71344,-0.27158,0.21778
19,9765,3,0.15302,-0.10638,0.36890,0.91058,2.60547,-2.57812,-5.46484,0.16797,-3.63086,2.46484,0.73641,-0.31166,0.21189
20,10743,3,0.15863,-0.12396,0.37799,0.90369,4.23828,-2.36328,-5.08594,0.17773,-3.81055,2.13086,0.75548,-0.35112,0.20699
21,9765,3,0.16498,-0.14227,0.38538,0.89667,5.83203,-2.21484,-4.72266,0.13867,-3.81445,1.81445,0.77139,-0.39229,0.20290
22,9766,3,0.17163,-0.16077,0.39117,0.88977,9.18359,-2.26953,-3.95312,0.08203,-3.62695,1.58984,0.78434,-0.43384,0.19931
23,9765,3,0.17798,-0.17847,0.39551,0.88324,10.57031,-2.28906,-3.30078,-0.04297,-3.23828,1.37695,0.79463,-0.47351,0.19588
24,10743,3,0.18353,-0.19501,0.39893,0.87701,11.98047,-2.06641,-2.83984,-0.17773,-2.70898,1.10742,0.80361,-0.51034,0.19180
