lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1351563,3,0.42834,-0.05420,-0.19910,0.87970,0.38672,0.19141,-4.09766,-0.75781,-0.52734,-0.08789,-0.40920,0.07528,0.89063
1,10742,3,0.42487,-0.05536,-0.20081,0.88098,0.36328,0.12500,-4.42188,-0.91211,-0.59375,-0.03320,-0.41361,0.07315,0.88336
2,9766,3,0.42065,-0.05688,-0.20251,0.88251,0.33203,0.05469,-4.78906,-1.07422,-0.67383,-0.00195,-0.41839,0.07003,0.87473
3,9765,3,0.41577,-0.05859,-0.20416,0.88434,0.25391,0.10938,-5.44141,-1.24805,-0.72461,0.01953,-0.42323,0.06618,0.86474
4,9766,3,0.40979,-0.06055,-0.20593,0.88660,0.13672,0.04297,-5.75781,-1.47852,-0.74023,0.01367,-0.42854,0.06145,0.85254
5,10742,3,0.40295,-0.06244,-0.20776,0.88916,0.00781,-0.03125,-6.08203,-1.73047,-0.75000,0.00195,-0.43393,0.05643,0.83856
6,9766,3,0.39514,-0.06409,-0.20966,0.89209,-0.23047,-0.19141,-6.27734,-2.02344,-0.72852,0.03320,-0.43925,0.05137,0.82246
7,10742,3,0.38629,-0.06537,-0.21155,0.89539,-1.01562,-1.14844,-6.24609,-2.34961,-0.68164,0.12695,-0.44429,0.04640,0.80412
8,8789,3,0.37567,-0.06635,-0.21326,0.89941,-1.48047,-1.67969,-6.13672,-2.65234,-0.67969,0.24219,-0.44875,0.04090,0.78198
9,10742,3,0.36328,-0.06714,-0.21454,0.90417,-1.70703,-2.04297,-6.14453,-2.91211,-0.74414,0.36523,-0.45224,0.03447,0.75615
10,9766,3,0.34973,-0.06787,-0.21533,0.90924,-1.85156,-2.45312,-6.14062,-3.18555,-0.78125,0.51758,-0.45472,0.02720,0.72810
11,9765,3,0.33484,-0.06879,-0.21558,0.91467,-1.85547,-3.57422,-5.87109,-3.43555,-0.85742,0.63672,-0.45619,0.01853,0.69754
12,10743,3,0.31860,-0.06995,-0.21539,0.92041,-1.76562,-3.63281,-6.02734,-3.65234,-1.01953,0.69336,-0.45683,0.00849,0.66451
13,9765,3,0.30090,-0.07147,-0.21497,0.92639,-1.52734,-3.66406,-6.16016,-3.88477,-1.16406,0.73242,-0.45702,-0.00305,0.62883
14,9766,3,0.28229,-0.07349,-0.21454,0.93213,-0.77344,-4.36328,-5.89844,-4.01758,-1.32617,0.73438,-0.45728,-0.01588,0.59182
15,9766,3,0.28229,-0.07349,-0.21454,0.93213,-0.60547,-4.57422,-5.76172,-4.13477,-1.44336,0.75781,-0.45728,-0.01588,0.59182
16,10742,3,0.24176,-0.07904,-0.21393,0.94318,-0.52344,-4.74219,-5.63672,-4.26562,-1.47070,0.79297,-0.45805,-0.04567,0.51250
17,8789,3,0.21948,-0.08246,-0.21356,0.94836,-0.52734,-4.63672,-5.63281,-4.45703,-1.41602,0.85547,-0.45799,-0.06270,0.46948
18,10742,3,0.19781,-0.08539,-0.21289,0.95300,-0.41016,-5.25781,-5.40625,-4.68359,-1.28516,0.95117,-0.45664,-0.07861,0.42760
19,12695,3,0.19781,-0.08539,-0.21289,0.95300,-0.68750,-5.25781,-4.94922,-4.85352,-1.09961,1.09180,-0.45664,-0.07861,0.42760
20,6836,3,0.14954,-0.08936,-0.20978,0.96210,-1.01172,-5.36328,-4.44531,-4.97461,-0.89062,1.28711,-0.44779,-0.10942,0.33333
