lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,981446,3,0.14423,-0.14319,0.40100,0.89325,-1.43750,0.42578,-2.62891,-0.16406,0.01758,-0.12305,0.81411,-0.38060,0.15444
1,10742,3,0.14368,-0.14319,0.40027,0.89368,-1.58203,0.51172,-2.82031,-0.25977,0.00977,-0.07031,0.81258,-0.38002,0.15370
2,9766,3,0.14282,-0.14349,0.39972,0.89404,-1.66797,0.57422,-3.00391,-0.34180,-0.00781,-0.01367,0.81159,-0.37979,0.15203
3,9765,3,0.14148,-0.14404,0.39929,0.89435,-2.12891,0.55078,-3.42578,-0.44531,-0.03320,0.03906,0.81110,-0.37967,0.14916
4,9766,3,0.13977,-0.14490,0.39905,0.89453,-2.24219,0.51172,-3.65625,-0.58203,-0.04102,0.07812,0.81124,-0.37987,0.14525
5,9765,3,0.13745,-0.14618,0.39886,0.89478,-2.32031,0.55859,-4.00781,-0.71680,-0.10547,0.11328,0.81171,-0.38036,0.13978
6,10743,3,0.13464,-0.14783,0.39880,0.89496,-3.16797,0.16406,-4.58203,-0.83008,-0.16797,0.21094,0.81270,-0.38116,0.13300
7,9765,3,0.13129,-0.15015,0.39886,0.89508,-3.72266,-0.05859,-4.74219,-0.91992,-0.24219,0.34766,0.81424,-0.38278,0.12456
8,9766,3,0.12762,-0.15295,0.39929,0.89490,-4.08203,-0.20703,-4.96484,-1.01367,-0.34961,0.48633,0.81692,-0.38514,0.11493
9,9765,3,0.12354,-0.15649,0.40027,0.89447,-4.49609,-0.32812,-5.22656,-1.11914,-0.48242,0.64453,0.82113,-0.38854,0.10361
10,10743,3,0.11932,-0.16064,0.40161,0.89368,-5.14844,-0.87109,-5.64062,-1.24023,-0.61914,0.81641,0.82650,-0.39301,0.09132
11,9765,3,0.11444,-0.16614,0.40369,0.89240,-5.30859,-1.03906,-5.76953,-1.38477,-0.77734,0.98828,0.83421,-0.39944,0.07618
12,9766,3,0.10919,-0.17236,0.40625,0.89069,-5.37891,-1.19531,-5.93750,-1.54297,-0.94531,1.17578,0.84360,-0.40690,0.05934
13,10742,3,0.10345,-0.17987,0.40936,0.88849,-5.30469,-1.28516,-6.05078,-1.73633,-1.10547,1.34961,0.85505,-0.41622,0.03999
14,11719,3,0.09717,-0.18835,0.41290,0.88574,-4.77734,-1.89453,-6.01172,-1.92188,-1.22070,1.54688,0.86848,-0.42677,0.01822
15,7812,3,0.09027,-0.19769,0.41693,0.88257,-4.41016,-2.13281,-5.61328,-2.06250,-1.29883,1.74805,0.88401,-0.43811,-0.00608
16,9766,3,0.08258,-0.20801,0.42157,0.87872,-4.05469,-2.32031,-5.32031,-2.19336,-1.37305,1.95312,0.90233,-0.45027,-0.03360
17,10742,3,0.07373,-0.21960,0.42719,0.87402,-3.47266,-2.81250,-4.94141,-2.36328,-1.43359,2.19922,0.92473,-0.46323,-0.06570
18,9766,3,0.06439,-0.23145,0.43329,0.86865,-3.37500,-3.08984,-4.62891,-2.54688,-1.43555,2.50195,0.94963,-0.47562,-0.09994
19,9765,3,0.05408,-0.24371,0.44012,0.86255,-3.08594,-3.35156,-4.17969,-2.73047,-1.45898,2.78320,0.97789,-0.48705,-0.13762
20,9766,3,0.04266,-0.25647,0.44788,0.85547,-2.55859,-3.51562,-3.83984,-2.84961,-1.43555,3.03516,1.01024,-0.49725,-0.17929
21,10742,3,0.03094,-0.26874,0.45593,0.84790,-1.20312,-4.00000,-2.68359,-2.90430,-1.38477,3.23828,1.04422,-0.50516,-0.22188
22,11719,3,0.01703,-0.28235,0.46552,0.83862,-0.33203,-3.82812,-2.32031,-2.99805,-1.35742,3.31641,1.08502,-0.51143,-0.27204
23,7812,3,0.00391,-0.29456,0.47449,0.82953,0.44922,-3.83984,-1.98828,-3.08594,-1.39258,3.32617,1.12382,-0.51482,-0.31908
24,9766,3,-0.01038,-0.30750,0.48364,0.81940,1.12891,-3.55469,-1.55469,-3.14258,-1.40039,3.32031,1.16523,-0.51656,-0.37002
25,10742,3,-0.02551,-0.32104,0.49286,0.80829,3.47656,-3.75391,-0.60938,-3.18555,-1.41602,3.23438,1.20871,-0.51653,-0.42398
26,9766,3,-0.04010,-0.33411,0.50116,0.79724,4.80078,-3.66016,0.07422,-3.22266,-1.31836,3.15430,1.25001,-0.51500,-0.47604
27,9766,3,-0.05493,-0.34698,0.50879,0.78595,6.48047,-3.69141,1.04688,-3.24414,-1.15039,2.98438,1.29021,-0.51155,-0.52816
28,12695,3,-0.06976,-0.35913,0.51550,0.77490,9.70703,-4.01562,2.78125,-3.14844,-1.00977,2.66602,1.32763,-0.50594,-0.57862
