lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1032227,3,-0.08411,0.14301,0.45441,0.87524,1.92578,0.02734,-2.42578,-0.53516,0.26953,-0.47070,0.95467,0.33286,-0.01826
1,9765,3,-0.08734,0.14288,0.45270,0.87579,2.17969,-0.02344,-2.95312,-0.60352,0.24805,-0.56055,0.94991,0.33562,-0.02502
2,9766,3,-0.09070,0.14252,0.45081,0.87653,2.32031,-0.03125,-3.17578,-0.67578,0.24609,-0.64844,0.94454,0.33799,-0.03234
3,9766,3,-0.09454,0.14185,0.44843,0.87738,2.45703,-0.02734,-3.26562,-0.74609,0.25977,-0.71484,0.93792,0.34024,-0.04105
4,9765,3,-0.09869,0.14105,0.44580,0.87842,2.62500,-0.06641,-3.37500,-0.82812,0.29688,-0.75781,0.93052,0.34246,-0.05058
5,10742,3,-0.10321,0.14020,0.44299,0.87946,2.83203,-0.11719,-3.65625,-0.91992,0.36133,-0.79102,0.92261,0.34483,-0.06095
6,9766,3,-0.10840,0.13928,0.43994,0.88049,2.85547,-0.16016,-3.79297,-1.01562,0.43164,-0.82031,0.91396,0.34762,-0.07275
7,9766,3,-0.11407,0.13849,0.43677,0.88147,2.95703,-0.16797,-3.92578,-1.10938,0.50195,-0.85742,0.90492,0.35098,-0.08544
8,9765,3,-0.12012,0.13776,0.43359,0.88239,3.02734,-0.23438,-4.28516,-1.22266,0.57812,-0.91602,0.89575,0.35466,-0.09882
9,10742,3,-0.12726,0.13708,0.42999,0.88324,2.94922,-0.28516,-4.43750,-1.34375,0.65820,-0.96094,0.88532,0.35928,-0.11445
10,9766,3,-0.13464,0.13647,0.42639,0.88397,2.75000,-0.44922,-4.51172,-1.45312,0.74805,-0.99805,0.87480,0.36410,-0.13057
11,9766,3,-0.14325,0.13593,0.42236,0.88464,2.61328,-0.43750,-4.58203,-1.55469,0.81250,-1.03711,0.86290,0.36988,-0.14924
12,9765,3,-0.15234,0.13544,0.41821,0.88519,2.20312,-0.50391,-4.83203,-1.65039,0.86914,-1.07812,0.85052,0.37599,-0.16897
13,10743,3,-0.16187,0.13501,0.41394,0.88556,2.21875,-0.40234,-4.84766,-1.75781,0.91992,-1.11914,0.83770,0.38238,-0.18966
14,9765,3,-0.17194,0.13458,0.40942,0.88580,2.16797,-0.40625,-4.82031,-1.87500,1.03906,-1.12305,0.82407,0.38897,-0.21168
15,9766,3,-0.18280,0.13422,0.40472,0.88586,1.79297,-0.66406,-4.62891,-2.03711,1.23633,-1.06836,0.80965,0.39604,-0.23546
16,10742,3,-0.19452,0.13428,0.40009,0.88550,1.59375,-0.67969,-4.49609,-2.22656,1.45898,-0.97852,0.79499,0.40437,-0.26078
17,9766,3,-0.20734,0.13501,0.39557,0.88446,1.44922,-0.69141,-4.27344,-2.39453,1.66797,-0.90039,0.78014,0.41465,-0.28799
18,9765,3,-0.22113,0.13635,0.39136,0.88281,1.32031,-0.65625,-3.87891,-2.54883,1.84766,-0.87109,0.76534,0.42665,-0.31692
19,9766,3,-0.23553,0.13818,0.38721,0.88062,1.16406,-1.23438,-3.07812,-2.66211,1.98828,-0.91992,0.75017,0.43983,-0.34713
20,9765,3,-0.25140,0.14056,0.38269,0.87781,1.01953,-1.62891,-2.44922,-2.68945,2.10547,-0.98438,0.73314,0.45472,-0.38068
21,10743,3,-0.26819,0.14325,0.37762,0.87463,0.68359,-2.06641,-1.76172,-2.60742,2.15430,-1.05664,0.71390,0.47026,-0.41685
22,9765,3,-0.28455,0.14618,0.37207,0.87134,0.28125,-2.34766,-1.22266,-2.47070,2.12109,-1.14453,0.69319,0.48531,-0.45296
23,9766,3,-0.30048,0.14923,0.36597,0.86804,-0.60547,-3.10156,-0.56641,-2.28711,2.03711,-1.26172,0.67083,0.49953,-0.48911
24,10742,3,-0.31555,0.15210,0.35931,0.86499,-0.92578,-2.98047,-0.17188,-2.10938,1.88477,-1.45312,0.64714,0.51196,-0.52452
25,9766,3,-0.32941,0.15442,0.35199,0.86237,-1.12109,-2.61719,-0.06250,-2.04883,1.76367,-1.62305,0.62230,0.52160,-0.55852
26,9765,3,-0.34290,0.15613,0.34387,0.86011,-2.10156,-3.05078,0.24219,-2.07422,1.75586,-1.66797,0.59568,0.52869,-0.59291
27,10743,3,-0.35602,0.15729,0.33533,0.85797,-2.63672,-3.22266,0.69531,-2.04688,1.76367,-1.61133,0.56831,0.53360,-0.62735
28,9765,3,-0.36847,0.15839,0.32715,0.85565,-3.21875,-3.32422,1.22656,-1.93750,1.76562,-1.50391,0.54207,0.53766,-0.66045
29,8789,3,-0.38147,0.15979,0.31848,0.85297,-3.76953,-3.37500,1.69922,-1.88672,1.84766,-1.23828,0.51413,0.54166,-0.69537
30,10742,3,-0.39319,0.16174,0.31091,0.85004,-5.00391,-3.87500,2.41406,-1.82031,1.81445,-1.07031,0.48900,0.54624,-0.72694
31,9766,3,-0.40521,0.16443,0.30365,0.84650,-5.18750,-3.63672,2.77344,-1.69922,1.65820,-0.97656,0.46371,0.55209,-0.75935
32,10742,3,-0.41620,0.16705,0.29718,0.84296,-5.33984,-3.48047,3.19531,-1.56836,1.59375,-0.86328,0.44065,0.55742,-0.78925
33,9766,3,-0.42627,0.16949,0.29132,0.83948,-5.72266,-3.56641,3.76172,-1.47070,1.53320,-0.72461,0.41945,0.56205,-0.81697
34,9765,3,-0.43561,0.17212,0.28595,0.83600,-6.17969,-3.71094,4.34375,-1.29688,1.34570,-0.63477,0.39949,0.56674,-0.84294
35,10743,3,-0.44409,0.17468,0.28113,0.83258,-6.41797,-3.56250,4.73828,-1.07422,1.08789,-0.53516,0.38120,0.57114,-0.86683
36,9765,3,-0.45093,0.17664,0.27722,0.82983,-6.58594,-3.47656,5.10938,-0.85742,0.83594,-0.43164,0.36639,0.57420,-0.88622
37,9766,3,-0.45685,0.17822,0.27386,0.82739,-6.45312,-2.90234,5.56250,-0.67383,0.61523,-0.35547,0.35363,0.57653,-0.90312
38,9766,3,-0.46149,0.17926,0.27124,0.82544,-6.23828,-2.72266,5.72656,-0.50781,0.42578,-0.27344,0.34379,0.57791,-0.91645
39,9765,3,-0.46490,0.17981,0.26935,0.82404,-6.08594,-2.57031,6.01953,-0.32812,0.26367,-0.19141,0.33680,0.57848,-0.92623
40,9766,3,-0.46729,0.18011,0.26801,0.82300,-5.81250,-2.45312,6.25781,-0.14844,0.07812,-0.13672,0.33195,0.57874,-0.93312
41,10742,3,-0.46863,0.18005,0.26721,0.82251,-5.16016,-2.20312,6.34766,0.03516,-0.09375,-0.08594,0.32935,0.57837,-0.93696
