lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1272460,3,-0.01227,-0.03522,0.68036,0.73193,0.63281,-0.51953,-2.90234,-0.51953,-0.01367,-0.28516,1.49894,-0.03487,-0.06597
1,9766,3,-0.01410,-0.03699,0.67902,0.73309,0.63281,-0.65625,-3.11719,-0.58789,-0.04297,-0.33398,1.49549,-0.03509,-0.07100
2,9766,3,-0.01599,-0.03900,0.67755,0.73425,0.50391,-0.91797,-3.45312,-0.65234,-0.06641,-0.35156,1.49188,-0.03561,-0.07646
3,9765,3,-0.01801,-0.04132,0.67596,0.73553,0.34375,-1.27734,-3.72266,-0.72266,-0.07812,-0.32812,1.48794,-0.03645,-0.08250
4,9766,3,-0.02026,-0.04395,0.67438,0.73682,0.01953,-1.74219,-4.43359,-0.80664,-0.08984,-0.30469,1.48404,-0.03744,-0.08931
5,10742,3,-0.02271,-0.04681,0.67285,0.73792,-0.06641,-1.59375,-4.73047,-0.91211,-0.11328,-0.30664,1.48049,-0.03855,-0.09673
6,9766,3,-0.02545,-0.05017,0.67133,0.73901,-0.04297,-1.36328,-5.13672,-1.06250,-0.11133,-0.29102,1.47699,-0.03999,-0.10526
7,9765,3,-0.02869,-0.05389,0.66980,0.74005,0.01172,-1.30078,-5.50391,-1.22461,-0.06055,-0.25000,1.47360,-0.04135,-0.11500
8,10743,3,-0.02869,-0.05389,0.66980,0.74005,0.15625,-1.11328,-5.56641,-1.39453,0.01758,-0.21289,1.47360,-0.04135,-0.11500
9,9765,3,-0.03729,-0.06262,0.66681,0.74164,0.34766,-1.01953,-5.62109,-1.56250,0.09180,-0.17578,1.46765,-0.04317,-0.13941
10,9766,3,-0.04297,-0.06744,0.66541,0.74219,0.37891,-0.99609,-5.61719,-1.73438,0.19531,-0.16211,1.46513,-0.04294,-0.15429
