lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,861328,3,0.16309,0.02747,0.75677,0.63239,1.39062,-0.15234,-3.18359,-0.65625,-0.10156,-0.29297,1.72175,-0.21373,0.25642
1,12696,3,0.16144,0.02515,0.75610,0.63373,1.53516,-0.14062,-3.49609,-0.76758,-0.11523,-0.35352,1.71937,-0.21388,0.25093
2,7812,3,0.15961,0.02252,0.75525,0.63531,1.68750,-0.27734,-3.74219,-0.85352,-0.12695,-0.42969,1.71643,-0.21410,0.24479
3,9766,3,0.15747,0.01941,0.75409,0.63733,1.87109,-0.43750,-4.01953,-0.92773,-0.13281,-0.51172,1.71255,-0.21439,0.23761
4,9765,3,0.15497,0.01593,0.75262,0.63971,2.17969,-0.82031,-4.60938,-1.03516,-0.14062,-0.59570,1.70782,-0.21454,0.22949
5,9766,3,0.15228,0.01221,0.75098,0.64246,2.21484,-0.85547,-5.16016,-1.19141,-0.15820,-0.66992,1.70235,-0.21467,0.22081
6,9766,3,0.14923,0.00800,0.74902,0.64551,2.17188,-0.87891,-5.71484,-1.37109,-0.14258,-0.73242,1.69614,-0.21487,0.21101
7,10742,3,0.14575,0.00348,0.74689,0.64874,2.13281,-1.04297,-6.25781,-1.57617,-0.11719,-0.78906,1.68955,-0.21486,0.20022
8,9766,3,0.14130,-0.00208,0.74432,0.65265,2.09375,-1.22656,-6.51172,-1.79688,-0.09375,-0.83203,1.68168,-0.21471,0.18670
9,9765,3,0.13623,-0.00806,0.74176,0.65668,2.01562,-1.42188,-6.67969,-2.01367,-0.06250,-0.87891,1.67381,-0.21431,0.17171
10,10742,3,0.13019,-0.01489,0.73883,0.66101,1.98047,-1.57422,-6.77344,-2.21094,-0.01172,-0.93750,1.66529,-0.21369,0.15421
11,9766,3,0.12341,-0.02222,0.73578,0.66553,2.06250,-2.19922,-6.71875,-2.39648,0.03320,-0.98047,1.65654,-0.21278,0.13502
12,10742,3,0.11591,-0.02997,0.73242,0.67023,2.07812,-2.34766,-6.82031,-2.56250,0.03516,-1.03906,1.64728,-0.21153,0.11426
13,12695,3,0.10760,-0.03833,0.72876,0.67517,2.04688,-2.39844,-6.98828,-2.73828,0.00391,-1.11523,1.63744,-0.21014,0.09158
14,5860,3,0.09906,-0.04706,0.72479,0.68018,1.90234,-2.75391,-7.33984,-2.94141,-0.00195,-1.17383,1.62714,-0.20913,0.06808
15,10742,3,0.08972,-0.05670,0.72034,0.68542,1.98047,-2.77734,-7.49219,-3.15234,0.00781,-1.23242,1.61604,-0.20851,0.04224
16,9766,3,0.07916,-0.06757,0.71515,0.69116,2.01953,-2.80469,-7.64844,-3.34961,0.03125,-1.27539,1.60354,-0.20813,0.01307
17,9765,3,0.06818,-0.07874,0.70972,0.69678,1.90234,-2.82812,-7.83203,-3.53906,0.04688,-1.31055,1.59098,-0.20798,-0.01712
18,10742,3,0.05719,-0.08978,0.70416,0.70203,1.62500,-3.04688,-8.10547,-3.74805,0.07227,-1.34766,1.57876,-0.20810,-0.04718
19,9766,3,0.04425,-0.10248,0.69763,0.70770,1.65625,-3.09375,-8.30469,-3.98633,0.14648,-1.38281,1.56506,-0.20829,-0.08222
20,9766,3,0.03088,-0.11536,0.69080,0.71313,1.54297,-3.18750,-8.33594,-4.25586,0.28906,-1.37695,1.55136,-0.20871,-0.11816
