lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1512695,3,0.18726,-0.19965,0.32562,0.90503,-1.39844,-0.16406,-2.57422,-0.86523,-0.08398,0.03711,0.62836,-0.50443,0.24097
1,9766,3,0.18378,-0.20123,0.32495,0.90564,-1.62891,-0.06250,-2.81250,-1.02148,-0.04102,0.07812,0.62861,-0.50511,0.23302
2,9766,3,0.17957,-0.20306,0.32428,0.90631,-1.90625,-0.33203,-2.94141,-1.17578,0.01367,0.15430,0.62926,-0.50581,0.22337
3,9765,3,0.17462,-0.20496,0.32379,0.90698,-2.51953,-0.57422,-3.53516,-1.34375,0.05078,0.24219,0.63076,-0.50623,0.21202
4,10742,3,0.16846,-0.20703,0.32349,0.90778,-2.86328,-0.64844,-3.90234,-1.53711,0.08984,0.33984,0.63331,-0.50624,0.19785
5,9766,3,0.16156,-0.20929,0.32349,0.90857,-3.28516,-0.66797,-4.19141,-1.73242,0.08789,0.44336,0.63694,-0.50615,0.18184
6,9766,3,0.15350,-0.21179,0.32373,0.90924,-3.53516,-0.70312,-4.44531,-1.93555,0.02734,0.54688,0.64186,-0.50586,0.16308
7,9765,3,0.14435,-0.21497,0.32416,0.90985,-3.73438,-0.75391,-4.96875,-2.10742,-0.01953,0.67578,0.64787,-0.50611,0.14146
8,10742,3,0.14435,-0.21497,0.32416,0.90985,-3.62109,-0.67188,-4.86719,-2.20508,-0.04102,0.79102,0.64787,-0.50611,0.14146
9,9766,3,0.12415,-0.22266,0.32593,0.91040,-3.35156,-0.60938,-4.68359,-2.22070,0.01758,0.91797,0.66350,-0.50787,0.09272
10,9766,3,0.11365,-0.22662,0.32733,0.91028,-3.09375,-0.65625,-4.43359,-2.22070,0.12891,1.08398,0.67295,-0.50862,0.06707
11,9765,3,0.10181,-0.23065,0.32953,0.90985,-2.58594,-1.14453,-4.13281,-2.29102,0.28125,1.26172,0.68507,-0.50845,0.03807
12,10743,3,0.08978,-0.23401,0.33246,0.90924,-2.44922,-1.08594,-4.10156,-2.38477,0.47266,1.43750,0.69882,-0.50660,0.00877
13,9765,3,0.07690,-0.23676,0.33612,0.90833,-2.30078,-0.86719,-3.88281,-2.53516,0.70117,1.59180,0.71454,-0.50271,-0.02220
14,9766,3,0.06354,-0.23865,0.34021,0.90735,-2.70703,-1.25000,-3.32031,-2.77930,1.05469,1.82617,0.73103,-0.49644,-0.05357
15,9765,3,0.04749,-0.23975,0.34534,0.90613,-3.26562,-1.42969,-2.72656,-3.01758,1.53906,2.15234,0.75059,-0.48618,-0.09007
16,10743,3,0.02966,-0.23926,0.35126,0.90472,-3.55469,-1.51562,-1.86719,-3.17383,2.04688,2.54102,0.77160,-0.47097,-0.12874
17,11718,3,0.00970,-0.23688,0.35846,0.90295,-3.85547,-1.65234,-1.21094,-3.37305,2.47266,2.95898,0.79477,-0.44973,-0.16992
18,7813,3,-0.01172,-0.23273,0.36682,0.90063,-5.33594,-2.99219,0.14844,-3.55859,3.02148,3.54883,0.81925,-0.42312,-0.21199
19,10742,3,-0.03583,-0.22650,0.37714,0.89734,-5.76953,-3.88281,0.80469,-3.74805,3.35742,4.14844,0.84665,-0.38921,-0.25696
20,9766,3,-0.06409,-0.21783,0.39020,0.89227,-5.71484,-4.44922,1.59375,-3.87305,3.71484,4.71875,0.87850,-0.34557,-0.30704
21,9765,3,-0.09253,-0.20801,0.40436,0.88580,-5.08594,-6.20703,4.17578,-3.86328,4.15039,5.25781,0.91031,-0.29808,-0.35488
22,9766,3,-0.12299,-0.19586,0.42053,0.87732,-4.06641,-6.82031,5.64062,-3.59961,4.40039,5.64648,0.94373,-0.24259,-0.40280
23,10742,3,-0.15356,-0.18146,0.43787,0.86707,-2.94141,-6.97266,7.00391,-3.17578,4.37500,5.83398,0.97656,-0.18117,-0.44701
24,9766,3,-0.18280,-0.16534,0.45593,0.85522,-1.82812,-6.64453,7.58984,-2.77344,4.06055,5.75391,1.00842,-0.11638,-0.48542
25,11718,3,-0.18280,-0.16534,0.45593,0.85522,0.30859,-5.44141,6.55078,-2.53125,3.54492,5.41992,1.00842,-0.11638,-0.48542
26,7813,3,-0.23285,-0.13373,0.49072,0.82892,1.35156,-4.83203,5.83203,-2.49805,2.94922,4.94336,1.06713,0.00683,-0.54367
27,10742,3,-0.25549,-0.11981,0.50708,0.81439,2.25000,-4.33984,5.32812,-2.52539,2.41211,4.39844,1.09509,0.06401,-0.56896
28,9766,3,-0.27533,-0.10919,0.52112,0.80048,2.94141,-3.95312,5.29297,-2.52148,1.83594,3.79492,1.11986,0.11238,-0.59207
29,9765,3,-0.29333,-0.10144,0.53326,0.78693,4.37500,-3.76562,5.65625,-2.34766,1.31055,3.10938,1.14224,0.15381,-0.61467
30,10743,3,-0.30859,-0.09674,0.54309,0.77490,5.59766,-3.75000,6.96094,-2.04297,0.75977,2.30273,1.16115,0.18633,-0.63553
31,9765,3,-0.32117,-0.09448,0.55084,0.76453,6.67578,-3.83203,7.14844,-1.74414,0.11914,1.45312,1.17689,0.21092,-0.65437
32,9766,3,-0.33051,-0.09503,0.55646,0.75641,8.31250,-4.23438,7.15234,-1.44141,-0.36719,0.65625,1.18947,0.22596,-0.67068
