lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1079101,3,0.02075,-0.23584,-0.14551,0.96063,2.99609,0.07031,-1.07812,-0.36133,-0.41992,-0.78711,-0.32938,-0.46347,0.12159
1,9766,3,0.01959,-0.23724,-0.14935,0.95972,4.39062,-0.19922,-0.91797,-0.36133,-0.53320,-1.03516,-0.33770,-0.46621,0.12173
2,10742,3,0.01862,-0.23914,-0.15411,0.95850,5.12500,-0.51172,-0.77734,-0.33984,-0.61914,-1.33008,-0.34831,-0.46977,0.12299
3,9766,3,0.01794,-0.24152,-0.16034,0.95691,5.80469,-0.87891,-0.57031,-0.28906,-0.68555,-1.66016,-0.36250,-0.47400,0.12597
4,9765,3,0.01794,-0.24152,-0.16034,0.95691,6.80078,-1.30078,-0.57812,-0.24219,-0.75586,-1.99023,-0.36250,-0.47400,0.12597
5,10742,3,0.01801,-0.24731,-0.17731,0.95239,7.17578,-1.16406,-0.81641,-0.22266,-0.81836,-2.32812,-0.40224,-0.48330,0.13822
6,9766,3,0.01880,-0.25067,-0.18817,0.94940,7.58984,-1.12891,-1.08984,-0.26562,-0.77148,-2.66211,-0.42818,-0.48807,0.14777
7,9766,3,0.02002,-0.25397,-0.20056,0.94598,7.97266,-1.14453,-1.39062,-0.33594,-0.56055,-2.90820,-0.45791,-0.49208,0.15923
8,11718,3,0.02136,-0.25641,-0.21368,0.94238,8.10156,-1.35547,-1.67188,-0.41211,-0.16016,-3.01758,-0.48918,-0.49402,0.17103
9,8789,3,0.02295,-0.25739,-0.22839,0.93866,7.84766,-1.45703,-1.92578,-0.49609,0.36719,-2.97070,-0.52355,-0.49235,0.18333
10,9766,3,0.02490,-0.25598,-0.24359,0.93518,7.32031,-1.44922,-2.23828,-0.56445,0.99805,-2.81445,-0.55803,-0.48547,0.19489
11,9766,3,0.02692,-0.25177,-0.25775,0.93243,6.64844,-1.38281,-2.35547,-0.66406,1.61719,-2.66016,-0.58863,-0.47310,0.20360
12,9765,3,0.02911,-0.24445,-0.27130,0.93048,4.92578,-0.87109,-3.34375,-0.80859,2.20117,-2.47656,-0.61603,-0.45460,0.20946
13,10742,3,0.03143,-0.23413,-0.28406,0.92926,4.01953,-0.76562,-3.66016,-0.90039,2.68750,-2.30078,-0.63988,-0.43044,0.21223
