lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,39736328,3,-0.01440,0.13348,-0.55206,0.82294,0.69141,1.26172,0.73047,-0.39258,-1.32227,-1.18164,-1.19991,0.20523,-0.17566
1,10742,3,-0.02026,0.12891,-0.55634,0.82068,0.74219,0.88672,1.43750,-0.53711,-1.13477,-1.10742,-1.20877,0.19017,-0.18091
2,8790,3,-0.02631,0.12506,-0.56055,0.81824,0.64062,0.56641,1.92578,-0.69336,-0.98047,-0.89062,-1.21784,0.17607,-0.18721
3,10742,3,-0.03247,0.12225,-0.56409,0.81598,0.67578,-0.12109,2.87500,-0.63281,-0.72461,-0.70703,-1.22574,0.16361,-0.19472
4,9765,3,-0.03809,0.12054,-0.56677,0.81409,0.42969,-0.35156,3.67969,-0.36523,-0.28906,-0.51562,-1.23199,0.15371,-0.20241
5,10743,3,-0.04193,0.11975,-0.56885,0.81262,0.13672,-0.56250,4.28516,0.00586,0.13281,-0.33203,-1.23690,0.14745,-0.20812
6,9765,3,-0.04309,0.11987,-0.57037,0.81140,-0.03906,-0.66406,4.39844,0.29883,0.27734,-0.19141,-1.24084,0.14590,-0.21046
7,9766,3,-0.04205,0.12018,-0.57159,0.81061,-0.37109,-0.74609,3.90234,0.51172,0.46875,-0.09570,-1.24384,0.14729,-0.20934
8,9765,3,-0.03949,0.12048,-0.57245,0.81006,-0.63672,-0.47266,3.70312,0.68555,0.66992,-0.04492,-1.24595,0.15056,-0.20568
9,9766,3,-0.03546,0.12109,-0.57318,0.80963,-0.82031,-0.34375,3.23438,0.83008,0.70898,-0.00391,-1.24778,0.15607,-0.19999
10,9766,3,-0.03040,0.12170,-0.57385,0.80933,-1.17969,0.04688,2.23047,1.02148,0.74414,0.00391,-1.24931,0.16282,-0.19259
11,10742,3,-0.02448,0.12195,-0.57446,0.80902,-1.60547,0.11328,2.07812,1.29297,0.96289,0.00781,-1.25058,0.17002,-0.18337
12,9765,3,-0.01733,0.12207,-0.57520,0.80865,-2.02734,-0.04297,1.57422,1.45703,1.01172,0.03125,-1.25196,0.17843,-0.17203
13,9766,3,-0.00897,0.12213,-0.57599,0.80823,-2.15625,-0.24219,0.95312,1.61133,1.04883,0.04688,-1.25334,0.18819,-0.15865
14,10742,3,-0.00018,0.12189,-0.57678,0.80780,-2.67188,-0.30859,0.75391,1.95312,1.19531,-0.00391,-1.25449,0.19799,-0.14420
15,9766,3,0.01086,0.12122,-0.57776,0.80707,-2.71875,-0.37891,0.98047,2.27539,1.38672,-0.08594,-1.25584,0.20975,-0.12561
16,9766,3,0.02313,0.12030,-0.57910,0.80603,-2.62891,-0.77344,0.67578,2.32227,1.46680,-0.08398,-1.25774,0.22254,-0.10481
17,9765,3,0.03589,0.11945,-0.58051,0.80469,-2.54297,-1.13281,-0.26562,2.25000,1.44922,0.01562,-1.25978,0.23607,-0.08332
18,10742,3,0.04962,0.11865,-0.58167,0.80322,-2.66406,-1.35156,-1.47656,2.07227,1.42188,0.20703,-1.26112,0.25095,-0.06024
19,9766,3,0.06281,0.11804,-0.58209,0.80206,-2.56250,-1.52344,-2.17969,1.95508,1.30664,0.44141,-1.26067,0.26558,-0.03802
20,9766,3,0.07501,0.11755,-0.58148,0.80151,-2.43750,-1.44922,-2.57812,1.93164,1.14258,0.57422,-1.25765,0.27930,-0.01713
21,9765,3,0.08643,0.11664,-0.58008,0.80151,-2.50391,-1.41406,-3.23047,1.84961,0.88477,0.66797,-1.25245,0.29135,0.00337
22,10742,3,0.09772,0.11487,-0.57812,0.80188,-2.21875,-1.69531,-3.77344,1.66797,0.61523,0.74609,-1.24551,0.30177,0.02503
23,9766,3,0.10736,0.11243,-0.57587,0.80261,-1.99219,-1.80469,-3.97266,1.33398,0.38477,0.82422,-1.23773,0.30902,0.04500
24,9766,3,0.11530,0.10968,-0.57324,0.80377,-1.87109,-1.80859,-4.14062,0.98242,0.28711,0.92773,-1.22913,0.31362,0.06269
25,10742,3,0.12134,0.10724,-0.57013,0.80542,-1.69531,-1.60547,-4.27734,0.69531,0.30078,1.06250,-1.21967,0.31636,0.07708
26,9765,3,0.12616,0.10541,-0.56628,0.80762,-1.67188,-1.62891,-4.22266,0.45898,0.30859,1.21289,-1.20873,0.31852,0.08899
27,9766,3,0.12976,0.10431,-0.56201,0.81018,-1.45703,-1.57031,-4.28516,0.29102,0.23047,1.33203,-1.19708,0.32033,0.09816
28,9766,3,0.13275,0.10352,-0.55670,0.81348,-0.67188,-1.49609,-4.57422,0.07227,0.08594,1.42188,-1.18301,0.32174,0.10637
29,10742,3,0.13477,0.10272,-0.55084,0.81720,-0.28906,-1.42578,-4.75781,-0.28125,-0.09766,1.46680,-1.16782,0.32190,0.11314
30,9766,3,0.13501,0.10199,-0.54486,0.82129,0.00000,-1.32031,-5.13281,-0.75586,-0.34961,1.52930,-1.15263,0.32008,0.11681
31,9765,3,0.13306,0.10150,-0.53864,0.82574,0.42188,-1.35156,-5.57031,-1.24609,-0.64844,1.61719,-1.13740,0.31621,0.11642
32,9766,3,0.12830,0.10107,-0.53168,0.83105,1.13281,-1.49609,-5.56250,-1.63086,-0.90234,1.68359,-1.12092,0.30933,0.11126
