lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1583984,3,0.09760,-0.02496,-0.20831,0.97284,-0.46094,0.35547,-1.46484,-0.22266,-0.22070,-0.22461,-0.42269,-0.00791,0.20167
1,9766,3,0.09668,-0.02563,-0.20966,0.97266,-0.47656,0.44922,-1.70312,-0.36523,-0.23828,-0.21484,-0.42554,-0.00933,0.20016
2,9765,3,0.09503,-0.02637,-0.21094,0.97253,-0.52734,0.62500,-2.23828,-0.52734,-0.27930,-0.18750,-0.42828,-0.01119,0.19725
3,9766,3,0.09259,-0.02704,-0.21216,0.97247,-0.62891,0.71094,-2.74609,-0.71484,-0.37109,-0.12891,-0.43088,-0.01330,0.19276
4,9766,3,0.08923,-0.02789,-0.21320,0.97253,-0.77344,0.73438,-3.28906,-1.02148,-0.46289,-0.00781,-0.43312,-0.01621,0.18656
5,10742,3,0.08472,-0.02893,-0.21387,0.97278,-1.15234,0.62109,-4.22266,-1.41992,-0.56250,0.12109,-0.43461,-0.02005,0.17816
6,9765,3,0.07794,-0.03021,-0.21405,0.97327,-1.16797,0.77734,-5.16016,-2.04297,-0.77539,0.20117,-0.43508,-0.02544,0.16545
7,9766,3,0.06885,-0.03162,-0.21381,0.97394,-1.11328,0.83594,-6.37109,-2.91992,-1.04102,0.25000,-0.43459,-0.03215,0.14824
8,10742,3,0.05573,-0.03345,-0.21344,0.97479,-1.27734,0.92188,-7.24219,-4.00000,-1.21484,0.37500,-0.43367,-0.04143,0.12334
9,9766,3,0.03754,-0.03534,-0.21283,0.97571,-1.31641,0.23438,-7.80469,-5.01758,-1.42773,0.46875,-0.43188,-0.05301,0.08854
10,9766,3,0.01477,-0.03699,-0.21185,0.97650,-1.36719,-0.03516,-8.01172,-5.97852,-1.56250,0.64453,-0.42875,-0.06602,0.04463
11,9765,3,-0.01404,-0.03851,-0.21021,0.97681,-1.78125,-0.14062,-7.85547,-6.73633,-1.67383,0.94336,-0.42347,-0.08123,-0.01127
12,10742,3,-0.04718,-0.03967,-0.20740,0.97632,-1.70312,-1.72656,-7.80859,-7.33594,-1.83398,1.35742,-0.41493,-0.09719,-0.07610
13,9766,3,-0.08466,-0.04065,-0.20251,0.97479,-2.05859,-2.04297,-7.35547,-7.98828,-1.82031,1.77344,-0.40111,-0.11378,-0.15010
14,9766,3,-0.12219,-0.04102,-0.19592,0.97211,-2.54297,-2.75781,-6.66406,-8.13672,-2.18750,1.92383,-0.38327,-0.12797,-0.22522
15,9765,3,-0.16473,-0.04169,-0.18701,0.96753,-2.17578,-2.84375,-6.26953,-8.51953,-2.13672,2.86719,-0.35943,-0.14277,-0.31131
16,10742,3,-0.20813,-0.04236,-0.17505,0.96136,-1.98828,-5.71484,-4.29297,-8.54492,-1.86523,3.08984,-0.32870,-0.15493,-0.40066
17,10743,3,-0.25171,-0.04132,-0.16022,0.95355,-1.80469,-7.02344,-3.24219,-8.79492,-2.00391,3.28516,-0.29260,-0.16014,-0.49252
18,8789,3,-0.29285,-0.03955,-0.14508,0.94427,-1.31641,-8.71094,-1.04297,-8.30078,-1.92383,3.25391,-0.25690,-0.16035,-0.58069
19,9765,3,-0.33612,-0.03772,-0.12793,0.93231,-0.05078,-10.50781,3.77734,-7.72266,-1.68164,3.19531,-0.21756,-0.15698,-0.67486
20,10742,3,-0.37549,-0.03546,-0.11108,0.91949,1.30078,-11.21484,6.09375,-7.04297,-1.44922,3.14453,-0.18062,-0.14918,-0.76186
21,9766,3,-0.41095,-0.03247,-0.09467,0.90613,3.14062,-10.74219,8.66406,-5.69922,-1.13281,2.86328,-0.14677,-0.13708,-0.84147
22,10742,3,-0.44067,-0.02905,-0.07941,0.89368,4.28516,-9.47266,10.45312,-3.50781,-0.96484,2.39453,-0.11747,-0.12222,-0.90903
23,9766,3,-0.46234,-0.02600,-0.06580,0.88385,5.16016,-6.75391,11.98438,-0.93945,-0.87891,1.79492,-0.09293,-0.10701,-0.95893
24,9766,3,-0.47198,-0.02454,-0.05548,0.87952,4.91797,-5.80859,11.16797,0.79102,-0.85156,1.18750,-0.07484,-0.09568,-0.98147
25,9765,3,-0.47278,-0.02472,-0.04675,0.87958,4.84375,-5.48438,8.69141,1.51953,-0.94141,0.66602,-0.05914,-0.08781,-0.98380
26,9766,3,-0.46783,-0.02673,-0.04034,0.88245,4.37500,-4.13281,4.26953,1.89844,-0.60352,0.22461,-0.04638,-0.08504,-0.97299
27,10742,3,-0.46051,-0.02936,-0.03644,0.88641,3.75781,-3.55859,4.25391,1.97461,-0.30078,0.03711,-0.03771,-0.08571,-0.95667
28,9766,3,-0.45197,-0.03137,-0.03461,0.89081,3.24219,-3.20703,2.25781,1.91602,-0.09766,0.09766,-0.03343,-0.08729,-0.93759
29,9765,3,-0.44336,-0.03235,-0.03369,0.89514,2.23828,-2.58984,2.14844,1.68750,0.45117,0.23828,-0.03176,-0.08790,-0.91836
30,9766,3,-0.43561,-0.03143,-0.03314,0.89899,1.30469,-2.11719,1.93750,1.71680,0.64648,-0.09766,-0.03233,-0.08549,-0.90105
31,10742,3,-0.42761,-0.02899,-0.03387,0.90289,1.61328,-1.48828,1.98828,2.01367,0.49414,-0.30859,-0.03650,-0.08141,-0.88313
32,9766,3,-0.41888,-0.02704,-0.03589,0.90692,1.59766,-1.41406,2.64453,2.29297,0.45898,-0.30859,-0.04259,-0.07919,-0.86368
33,9765,3,-0.40906,-0.02582,-0.03809,0.91138,1.33594,-1.58594,3.36328,2.58008,0.51953,-0.29297,-0.04846,-0.07829,-0.84187
34,10742,3,-0.39771,-0.02460,-0.04022,0.91632,1.87891,-1.51953,4.06250,3.00195,0.58008,-0.40430,-0.05433,-0.07714,-0.81688
35,11719,3,-0.38470,-0.02332,-0.04266,0.92175,2.34766,-1.32422,4.20312,3.76758,0.72852,-0.73438,-0.06092,-0.07588,-0.78845
36,7813,3,-0.36932,-0.02209,-0.04614,0.92786,2.66406,-1.20703,4.46875,4.50586,0.84375,-1.11328,-0.06956,-0.07516,-0.75501
37,9765,3,-0.34973,-0.02100,-0.05151,0.93518,2.66406,-1.58984,3.23047,4.96484,0.77734,-1.38281,-0.08199,-0.07538,-0.71265
38,10743,3,-0.32635,-0.02057,-0.05859,0.94324,2.83984,-1.89453,1.34766,5.00586,0.52344,-1.54688,-0.09755,-0.07712,-0.66244
39,9765,3,-0.30212,-0.02130,-0.06622,0.95074,2.67578,-2.02344,0.16016,4.90430,0.29688,-1.73633,-0.11366,-0.08060,-0.61078
40,9766,3,-0.27808,-0.02344,-0.07422,0.95740,2.46875,-1.78125,-0.41797,4.96094,0.19727,-1.99609,-0.12993,-0.08626,-0.55973
41,12695,3,-0.25403,-0.02661,-0.08295,0.96326,2.12109,-0.95312,-1.02344,5.14062,0.25586,-2.32812,-0.14746,-0.09355,-0.50878
42,7813,3,-0.23047,-0.03015,-0.09259,0.96820,1.85938,-0.80859,-0.94141,5.23047,0.35156,-2.64258,-0.16702,-0.10124,-0.45890
43,9765,3,-0.20471,-0.03387,-0.10425,0.97266,1.62891,-1.01562,-1.46875,5.03711,0.56445,-2.82812,-0.19122,-0.10879,-0.40443
44,9766,3,-0.17810,-0.03717,-0.11761,0.97626,1.21484,-1.03516,-1.89062,4.77148,0.86133,-2.88086,-0.21959,-0.11472,-0.34823
45,9765,3,-0.15259,-0.03912,-0.13159,0.97870,1.19922,-1.02734,-1.91016,4.54297,1.41992,-2.92383,-0.24993,-0.11701,-0.29461
46,10743,3,-0.12854,-0.03882,-0.14569,0.98016,1.07031,-1.19922,-2.05078,4.19141,1.74805,-2.76367,-0.28111,-0.11380,-0.24468
47,11718,3,-0.10541,-0.03601,-0.15985,0.98083,1.15625,-1.36719,-2.58203,3.91797,1.63477,-2.74023,-0.31274,-0.10453,-0.19762
