lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1493164,3,0.04956,0.17529,-0.15228,0.97144,-0.91406,-0.48828,1.33984,-0.03906,0.07617,-0.97656,-0.30255,0.36360,0.04592
1,10742,3,0.04877,0.17590,-0.15710,0.97058,-1.35547,-1.33594,1.64844,-0.31836,0.23633,-0.76562,-0.31317,0.36481,0.04218
2,9765,3,0.04724,0.17700,-0.16119,0.96979,-1.91406,-3.39062,3.02734,-0.55469,0.60742,-0.35156,-0.32255,0.36669,0.03703
3,9766,3,0.04498,0.17950,-0.16339,0.96906,-1.80078,-3.41016,3.69141,-0.43359,1.10547,0.16797,-0.32833,0.37105,0.03061
4,9766,3,0.04321,0.18408,-0.16321,0.96832,-1.33984,-2.78125,4.22266,0.15625,1.55664,0.48242,-0.32907,0.37965,0.02541
5,12695,3,0.04395,0.19031,-0.16132,0.96741,-0.57031,-0.36719,3.53906,0.82812,1.85156,0.47461,-0.32538,0.39236,0.02557
6,7813,3,0.04816,0.19812,-0.15912,0.96600,-0.41406,0.64062,2.07031,1.36719,1.85938,0.25586,-0.31972,0.40942,0.03270
7,9765,3,0.05530,0.20605,-0.15796,0.96411,-0.58594,1.14453,0.88672,1.83984,1.60742,0.04688,-0.31487,0.42772,0.04566
8,10742,3,0.06500,0.21344,-0.15845,0.96185,-0.96875,1.17969,0.19531,2.29297,1.33008,0.01953,-0.31209,0.44579,0.06367
9,9766,3,0.07605,0.21875,-0.15997,0.95953,-1.90625,0.49609,0.35156,2.70508,1.21289,0.18750,-0.31050,0.46023,0.08489
10,9766,3,0.08929,0.22284,-0.16180,0.95715,-2.21094,-0.03906,0.26953,2.89844,1.15625,0.43555,-0.30810,0.47293,0.11124
11,9765,3,0.10388,0.22607,-0.16284,0.95477,-2.30078,-0.52734,-0.37500,2.82227,1.04688,0.67383,-0.30288,0.48423,0.14141
12,10742,3,0.11841,0.22858,-0.16284,0.95245,-2.37500,-0.66797,-1.55078,2.50977,0.93945,0.88672,-0.29509,0.49383,0.17248
13,9766,3,0.13330,0.23071,-0.16156,0.95020,-2.03125,-1.17188,-1.72656,2.42773,0.89258,1.04297,-0.28394,0.50240,0.20543
14,10742,3,0.14722,0.23242,-0.15912,0.94812,-2.27344,-0.81641,-1.94531,2.42383,0.83008,1.12695,-0.27052,0.50934,0.23726
15,11719,3,0.16052,0.23376,-0.15619,0.94617,-2.33203,-0.69141,-2.16016,2.40625,0.77344,1.19727,-0.25615,0.51494,0.26832
16,7812,3,0.17352,0.23468,-0.15295,0.94415,-1.64453,-0.13672,-2.67969,2.33203,0.74609,1.16797,-0.24119,0.51925,0.29916
17,9766,3,0.18652,0.23535,-0.14954,0.94202,-1.57422,-0.27344,-3.15234,1.99805,0.71680,1.13672,-0.22575,0.52270,0.33033
18,9766,3,0.19934,0.23615,-0.14575,0.93982,-1.55078,-0.51562,-3.47266,1.68359,0.59570,1.21094,-0.20943,0.52588,0.36145
19,9765,3,0.20953,0.23669,-0.14185,0.93805,-1.48828,-0.74609,-3.23047,1.47852,0.43750,1.29492,-0.19443,0.52766,0.38685
20,10743,3,0.21912,0.23663,-0.13715,0.93658,-1.36719,-1.36328,-3.03125,1.22266,0.32422,1.42188,-0.17824,0.52747,0.41139
21,9765,3,0.22723,0.23602,-0.13202,0.93555,-1.03516,-1.99609,-2.85156,0.87109,0.26367,1.54492,-0.16226,0.52546,0.43282
22,9766,3,0.23407,0.23499,-0.12598,0.93494,-0.80078,-2.38281,-2.76172,0.50977,0.16797,1.61133,-0.14533,0.52172,0.45177
23,10742,3,0.23932,0.23370,-0.11914,0.93481,-0.33984,-2.27734,-2.95312,0.35352,0.00781,1.60547,-0.12789,0.51666,0.46741
24,9766,3,0.24323,0.23193,-0.11200,0.93512,-0.39453,-1.92578,-2.96484,0.36914,-0.15430,1.55859,-0.11097,0.51012,0.47996
25,12695,3,0.24677,0.22943,-0.10504,0.93567,-0.42969,-1.64453,-3.06641,0.41406,-0.30469,1.52344,-0.09520,0.50198,0.49129
26,6836,3,0.25006,0.22638,-0.09888,0.93622,-0.50781,-1.44141,-3.44922,0.35742,-0.48242,1.52344,-0.08173,0.49304,0.50143
27,10742,3,0.25342,0.22235,-0.09259,0.93689,-0.47656,-1.54297,-3.60156,0.14062,-0.64844,1.61133,-0.06867,0.48202,0.51145
28,9766,3,0.25616,0.21747,-0.08600,0.93793,-0.36328,-1.59766,-3.60938,-0.26367,-0.73047,1.76172,-0.05597,0.46900,0.51986
29,9765,3,0.25739,0.21210,-0.07892,0.93945,-0.22266,-1.70703,-3.59375,-0.81250,-0.77148,1.96289,-0.04353,0.45462,0.52475
30,9766,3,0.25653,0.20618,-0.07025,0.94165,0.44141,-1.62891,-3.35156,-1.16016,-0.80273,2.15625,-0.02930,0.43825,0.52542
31,10742,3,0.25378,0.20032,-0.06079,0.94434,0.79297,-1.29297,-2.92188,-1.31836,-0.85938,2.25977,-0.01440,0.42157,0.52200
32,9766,3,0.24982,0.19391,-0.05011,0.94739,1.32422,-1.12500,-2.55078,-1.36133,-0.93164,2.21875,0.00211,0.40327,0.51607
33,9765,3,0.24536,0.18713,-0.03925,0.95038,2.49609,-0.71875,-1.86719,-1.31641,-0.99219,2.03906,0.01859,0.38436,0.50893
34,10743,3,0.24084,0.18030,-0.02911,0.95325,2.75000,-0.76172,-1.80859,-1.34961,-1.02539,1.80664,0.03357,0.36585,0.50117
35,9765,3,0.23602,0.17334,-0.01996,0.95593,2.73438,-0.87891,-1.98047,-1.45703,-1.04492,1.65430,0.04647,0.34781,0.49229
36,9766,3,0.23065,0.16638,-0.01160,0.95862,2.53906,-1.00781,-2.25781,-1.67383,-1.02148,1.65625,0.05767,0.33033,0.48186
37,12695,3,0.22473,0.15997,-0.00397,0.96118,2.08203,-1.47266,-2.19922,-1.92383,-0.92188,1.82812,0.06764,0.31447,0.47009
38,6836,3,0.21741,0.15332,0.00482,0.96393,1.89062,-1.55469,-2.32812,-2.20312,-0.86133,2.05859,0.07955,0.29788,0.45560
39,10742,3,0.20892,0.14679,0.01489,0.96674,1.92578,-1.51562,-2.55469,-2.50586,-0.88477,2.23242,0.09396,0.28129,0.43899
40,9766,3,0.19879,0.13989,0.02655,0.96967,2.01953,-1.36719,-2.59375,-2.85156,-0.92188,2.30078,0.11117,0.26378,0.41918
41,9765,3,0.18732,0.13281,0.03864,0.97253,2.62891,-1.33203,-2.33594,-3.24219,-0.99609,2.25195,0.12915,0.24633,0.39656
42,10743,3,0.17426,0.12549,0.05078,0.97534,3.15625,-1.19531,-2.22266,-3.49219,-1.09766,2.11719,0.14716,0.22909,0.37055
43,8789,3,0.15936,0.11755,0.06268,0.97821,3.55859,-1.02344,-1.78906,-3.37695,-1.19336,1.88867,0.16449,0.21157,0.34049
44,10742,3,0.14478,0.10968,0.07312,0.98065,3.82422,-1.48438,-0.78906,-3.18359,-1.29883,1.59961,0.17952,0.19518,0.31077
45,12695,3,0.12939,0.10071,0.08301,0.98297,3.42188,-1.62500,-0.37891,-3.01172,-1.32227,1.33984,0.19347,0.17743,0.27903
46,6836,3,0.11584,0.09229,0.09070,0.98480,3.07422,-1.67578,-0.12500,-3.11719,-1.31641,1.12500,0.20407,0.16145,0.25076
47,10742,3,0.10187,0.08368,0.09741,0.98645,3.03125,-1.75391,-0.44141,-3.64258,-1.24609,0.99414,0.21309,0.14577,0.22142
48,9766,3,0.08569,0.07483,0.10364,0.98810,3.26953,-2.00000,-1.06250,-4.36133,-1.09961,0.92969,0.22130,0.13048,0.18754
49,10742,3,0.06665,0.06647,0.10950,0.98950,3.25000,-1.96875,-1.09766,-4.63477,-1.06250,0.94531,0.22912,0.11722,0.14801
50,9766,3,0.04541,0.05835,0.11523,0.99060,2.98828,-1.77734,-0.62109,-4.11328,-1.08203,0.95703,0.23711,0.10533,0.10418
51,12695,3,0.02490,0.05042,0.12091,0.99109,2.18750,-2.29297,1.29297,-3.29492,-1.04688,0.93750,0.24571,0.09404,0.06186
52,6836,3,0.00793,0.04303,0.12628,0.99103,2.10938,-2.40625,1.60547,-2.50391,-0.98828,0.79102,0.25460,0.08338,0.02669
53,10742,3,-0.00568,0.03607,0.13123,0.99066,2.23828,-2.16406,1.37500,-2.34570,-0.91992,0.48633,0.26333,0.07303,-0.00178
54,9766,3,-0.01746,0.02948,0.13507,0.99023,2.41016,-2.11328,0.48828,-2.78906,-0.85156,0.25586,0.27029,0.06314,-0.02666
55,9765,3,-0.02954,0.02338,0.13739,0.98981,2.31641,-2.09375,-1.06641,-3.33594,-0.90430,0.15625,0.27443,0.05442,-0.05216
56,10743,3,-0.04413,0.01697,0.13892,0.98920,2.01172,-2.17969,-1.62891,-4.02148,-0.94727,0.25391,0.27714,0.04584,-0.08277
57,9765,3,-0.06183,0.00983,0.14056,0.98810,1.87891,-2.08984,-1.81641,-4.47461,-0.92969,0.46484,0.28041,0.03681,-0.11979
58,9766,3,-0.08215,0.00226,0.14288,0.98633,2.55859,-1.59766,0.11328,-4.47266,-0.77344,0.47070,0.28546,0.02793,-0.16219
59,12695,3,-0.10364,-0.00494,0.14563,0.98389,3.16016,-1.71094,0.42969,-4.56445,-0.51367,0.30078,0.29177,0.02046,-0.20689
60,6836,3,-0.12433,-0.01093,0.14771,0.98114,3.50000,-1.71094,0.37891,-4.81055,-0.27344,0.01953,0.29692,0.01529,-0.24981
61,10742,3,-0.14691,-0.01617,0.14856,0.97778,3.50391,-1.35156,0.30469,-4.99023,-0.10742,-0.29688,0.29977,0.01202,-0.29645
62,9766,3,-0.17267,-0.02124,0.14758,0.97363,3.78125,-1.05078,-0.36719,-5.06641,-0.06445,-0.60742,0.29917,0.00961,-0.34959
63,12695,3,-0.17267,-0.02124,0.14758,0.97363,3.98828,-1.02734,0.03516,-4.92578,0.01953,-0.89062,0.29917,0.00961,-0.34959
64,6836,3,-0.21924,-0.02991,0.14105,0.96497,3.91016,-0.75781,1.00391,-4.43750,0.08203,-1.15430,0.28935,0.00413,-0.44621
65,10742,3,-0.24176,-0.03412,0.13538,0.96027,4.10156,-0.65625,1.82812,-3.60156,0.15430,-1.51758,0.28013,-0.00007,-0.49329
66,9766,3,-0.26166,-0.03809,0.12787,0.95587,4.15234,-0.91016,3.25781,-3.00977,0.34570,-1.91406,0.26758,-0.00590,-0.53518
67,9766,3,-0.27728,-0.04126,0.11877,0.95251,4.46484,-1.33594,2.81641,-2.70117,0.44141,-2.24023,0.25183,-0.01273,-0.56817
