lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,24821289,3,-0.12897,-0.00763,-0.41638,0.89996,0.32812,0.60547,1.35156,-0.36133,-0.09180,-0.33008,-0.85266,-0.12143,-0.22946
1,9766,3,-0.13049,-0.00757,-0.41693,0.89948,0.55078,0.78906,1.78125,-0.36523,-0.18750,-0.42969,-0.85376,-0.12274,-0.23226
2,10742,3,-0.13239,-0.00781,-0.41791,0.89874,0.94922,0.85156,2.01562,-0.38086,-0.34766,-0.55664,-0.85570,-0.12502,-0.23543
3,9766,3,-0.13464,-0.00873,-0.41931,0.89777,1.82812,0.69141,3.14453,-0.50195,-0.43359,-0.66016,-0.85842,-0.12894,-0.23866
4,9765,3,-0.13739,-0.01007,-0.42114,0.89648,2.19531,0.57031,3.64844,-0.49219,-0.42188,-0.82227,-0.86198,-0.13418,-0.24237
5,9766,3,-0.14050,-0.01154,-0.42346,0.89484,2.51562,0.79297,4.23828,-0.13281,-0.37305,-1.11914,-0.86661,-0.14011,-0.24659
6,10742,3,-0.14270,-0.01349,-0.42694,0.89282,2.91406,1.03906,5.05859,0.56055,-0.27734,-1.53906,-0.87378,-0.14646,-0.24849
7,9766,3,-0.14233,-0.01654,-0.43207,0.89038,2.12109,0.69141,5.89453,1.21094,-0.19727,-1.83398,-0.88474,-0.15305,-0.24443
8,9765,3,-0.13879,-0.02075,-0.43848,0.88770,1.48438,0.19922,5.68750,2.00586,-0.18945,-1.99023,-0.89890,-0.15924,-0.23326
9,9766,3,-0.13177,-0.02661,-0.44611,0.88483,1.03906,-0.09375,5.23438,2.84961,-0.23828,-2.14648,-0.91616,-0.16542,-0.21398
10,10742,3,-0.12128,-0.03442,-0.45398,0.88202,-0.28516,-0.20703,3.50391,3.14453,-0.19336,-2.16406,-0.93459,-0.17169,-0.18650
11,12695,3,-0.10809,-0.04358,-0.46216,0.87909,-1.03125,-0.80078,2.50000,2.77734,0.19336,-1.97461,-0.95441,-0.17747,-0.15275
12,6836,3,-0.09497,-0.05139,-0.46960,0.87622,-1.63672,-1.12109,1.60938,2.42578,0.77930,-1.78125,-0.97308,-0.18024,-0.12041
13,9766,3,-0.08185,-0.05634,-0.47687,0.87335,-1.87500,-0.79297,0.98828,2.66211,1.26367,-1.65625,-0.99149,-0.17739,-0.09078
14,10742,3,-0.06775,-0.05872,-0.48334,0.87079,-2.32422,-0.11328,0.41797,2.97852,1.69922,-1.62305,-1.00818,-0.16856,-0.06216
15,9766,3,-0.05109,-0.05969,-0.48956,0.86841,-2.76562,-1.03125,-0.77734,2.79688,2.02344,-1.49609,-1.02430,-0.15431,-0.03065
16,10742,3,-0.03302,-0.05914,-0.49536,0.86603,-3.04688,-1.53516,-2.19531,2.57227,1.91016,-1.30859,-1.03924,-0.13557,0.00141
17,8789,3,-0.01599,-0.05750,-0.50024,0.86383,-3.11719,-1.39453,-3.85938,2.29102,1.36719,-1.07422,-1.05156,-0.11559,0.03010
18,10742,3,-0.00110,-0.05664,-0.50409,0.86182,-3.90625,-1.50000,-6.05469,1.61133,0.95703,-0.71094,-1.06126,-0.09889,0.05551
19,9766,3,0.01056,-0.05658,-0.50671,0.86017,-4.35547,-1.73438,-5.71875,1.03125,0.74805,-0.24609,-1.06801,-0.08675,0.07587
20,9765,3,0.01868,-0.05621,-0.50769,0.85950,-4.53516,-1.76172,-5.36719,0.75977,0.52734,0.22656,-1.07057,-0.07775,0.08957
21,12696,3,0.02393,-0.05579,-0.50677,0.85992,-4.44141,-1.64844,-4.90625,0.60742,0.27539,0.68359,-1.06859,-0.07176,0.09810
22,7812,3,0.02777,-0.05585,-0.50397,0.86145,-4.25000,-1.74609,-4.89844,0.45703,-0.04492,0.99805,-1.06224,-0.06828,0.10457
23,9766,3,0.03033,-0.05682,-0.49927,0.86401,-4.01172,-1.95703,-5.16797,0.28516,-0.45117,1.17969,-1.05167,-0.06796,0.10964
24,9765,3,0.03101,-0.05902,-0.49384,0.86700,-3.69922,-2.24609,-5.54297,0.07227,-0.83398,1.31836,-1.03956,-0.07178,0.11258
25,10743,3,0.02991,-0.06244,-0.48779,0.87018,-2.66797,-2.82812,-5.87891,-0.21484,-1.18359,1.46289,-1.02637,-0.07958,0.11357
26,9765,3,0.02991,-0.06244,-0.48779,0.87018,-2.24609,-2.96875,-6.06250,-0.61523,-1.42969,1.70312,-1.02637,-0.07958,0.11357
27,9766,3,0.02130,-0.07178,-0.47394,0.87738,-1.80469,-3.01953,-5.93359,-0.99805,-1.54297,2.03906,-0.99617,-0.10596,0.10621
