lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1083007,3,-0.28931,0.20404,-0.34888,0.86774,1.18750,0.71875,-0.60156,-0.26562,-0.13086,-0.33594,-0.82133,0.15283,-0.71028
1,9766,3,-0.29089,0.20349,-0.34973,0.86694,1.34766,0.85547,-0.93750,-0.38086,-0.19336,-0.41602,-0.82281,0.14993,-0.71298
2,9766,3,-0.29303,0.20276,-0.35077,0.86603,1.57422,0.91797,-0.99219,-0.60352,-0.19727,-0.49805,-0.82447,0.14613,-0.71653
3,10742,3,-0.29602,0.20209,-0.35193,0.86469,2.14062,1.18750,-0.88281,-0.79102,-0.16797,-0.63867,-0.82658,0.14160,-0.72186
4,9765,3,-0.29602,0.20209,-0.35193,0.86469,2.39453,1.40234,-0.80469,-0.97266,-0.12305,-0.86914,-0.82658,0.14160,-0.72186
5,10743,3,-0.30475,0.20148,-0.35553,0.86029,2.59766,1.62500,-0.59766,-1.14648,-0.06445,-1.12891,-0.83430,0.13034,-0.73872
6,8789,3,-0.31049,0.20135,-0.35852,0.85706,2.94922,1.78906,-0.56641,-1.32031,-0.00977,-1.44336,-0.84079,0.12282,-0.75009
7,10742,3,-0.31689,0.20142,-0.36255,0.85297,3.62891,1.95703,-0.33594,-1.42578,0.05078,-1.79688,-0.84962,0.11407,-0.76308
8,9766,3,-0.32452,0.20135,-0.36816,0.84772,3.77344,1.88281,-0.11719,-1.46289,0.11719,-2.17773,-0.86156,0.10261,-0.77841
9,10742,3,-0.33264,0.20111,-0.37537,0.84143,3.44922,1.73438,0.09766,-1.53125,0.14648,-2.51172,-0.87652,0.08883,-0.79460
10,11718,3,-0.34113,0.20050,-0.38397,0.83423,3.29297,1.19922,0.20703,-1.63086,0.15820,-2.73242,-0.89392,0.07263,-0.81115
11,7813,3,-0.34961,0.19971,-0.39307,0.82666,3.11328,-0.18750,0.89844,-1.60742,0.28906,-2.86328,-0.91201,0.05537,-0.82737
12,9766,3,-0.35870,0.19885,-0.40338,0.81799,2.77344,-0.71875,1.39844,-1.54297,0.45898,-2.94336,-0.93243,0.03594,-0.84461
13,9765,3,-0.36755,0.19830,-0.41467,0.80847,2.26172,-1.22266,1.63281,-1.52148,0.63672,-2.95508,-0.95511,0.01582,-0.86158
14,10742,3,-0.37524,0.19818,-0.42566,0.79919,1.53906,-2.66797,2.20312,-1.37891,0.88281,-2.85547,-0.97753,-0.00268,-0.87652
15,9766,3,-0.38251,0.19879,-0.43756,0.78912,0.97656,-3.23438,2.62500,-1.09766,1.11719,-2.67773,-1.00254,-0.02100,-0.89120
16,9766,3,-0.38800,0.20013,-0.44922,0.77948,0.43750,-3.89062,2.94141,-0.77539,1.33008,-2.39844,-1.02788,-0.03660,-0.90306
17,9765,3,-0.39136,0.20203,-0.46039,0.77075,0.04297,-4.65625,3.34766,-0.41797,1.57617,-2.01953,-1.05291,-0.04895,-0.91122
18,12696,3,-0.39258,0.20465,-0.47107,0.76294,-0.80859,-5.47656,3.80859,-0.05273,1.78320,-1.61914,-1.07788,-0.05762,-0.91599
19,7812,3,-0.39136,0.20789,-0.48071,0.75665,-1.04688,-5.74609,3.85547,0.37695,1.95508,-1.23633,-1.10151,-0.06171,-0.91676
20,9766,3,-0.38776,0.21167,-0.48987,0.75159,-1.12500,-5.76172,4.00781,0.93164,2.16406,-0.87109,-1.12489,-0.06176,-0.91366
21,9765,3,-0.38123,0.21582,-0.49860,0.74799,-1.50000,-5.47266,3.82812,1.51562,2.33398,-0.57422,-1.14800,-0.05733,-0.90563
22,10743,3,-0.37146,0.21991,-0.50714,0.74597,-1.71875,-5.12109,3.02344,1.95703,2.35742,-0.33984,-1.17086,-0.04869,-0.89174
23,9765,3,-0.35956,0.22333,-0.51501,0.74536,-1.88672,-4.69922,1.91797,2.21680,2.26953,-0.16797,-1.19178,-0.03745,-0.87353
24,9766,3,-0.34607,0.22601,-0.52234,0.74585,-1.99219,-4.10547,1.02344,2.31445,2.20117,-0.02539,-1.21082,-0.02439,-0.85198
25,9765,3,-0.33173,0.22821,-0.52911,0.74695,-2.15625,-2.83594,-0.22656,2.37500,2.15430,0.08398,-1.22819,-0.01012,-0.82875
26,12696,3,-0.31726,0.23016,-0.53516,0.74835,-2.03906,-2.26562,-0.85938,2.42773,2.08203,0.11133,-1.24369,0.00492,-0.80548
27,7812,3,-0.30292,0.23169,-0.54065,0.74988,-2.12109,-1.87891,-1.40625,2.53320,1.95312,0.11328,-1.25756,0.01993,-0.78232
28,9766,3,-0.28815,0.23267,-0.54602,0.75146,-2.39844,-1.82812,-1.88281,2.84570,1.72266,0.16211,-1.27067,0.03502,-0.75813
29,10742,3,-0.27197,0.23230,-0.55145,0.75366,-3.69922,-2.09766,-1.53516,3.41406,1.44531,0.34375,-1.28256,0.05021,-0.73014
30,9766,3,-0.25562,0.22998,-0.55615,0.75665,-4.10156,-2.37109,-1.14844,4.19141,1.31055,0.79492,-1.29095,0.06375,-0.69959
31,9765,3,-0.23645,0.22522,-0.56006,0.76141,-4.53906,-2.82031,-0.88672,4.98438,1.15039,1.43359,-1.29523,0.07819,-0.66136
32,9766,3,-0.21387,0.21814,-0.56226,0.76849,-4.83203,-3.35156,-1.17969,5.64062,0.91602,2.09180,-1.29343,0.09492,-0.61454
33,10742,3,-0.21387,0.21814,-0.56226,0.76849,-4.69141,-3.63281,-2.04297,5.87891,0.67188,2.63086,-1.29343,0.09492,-0.61454
34,9766,3,-0.16168,0.19806,-0.55939,0.78851,-4.38281,-4.04297,-2.96875,5.73047,0.52734,3.10742,-1.26785,0.13184,-0.50147
35,9765,3,-0.13409,0.18628,-0.55396,0.80029,-3.28125,-3.39453,-4.68359,5.17773,0.47266,3.49414,-1.24456,0.15015,-0.43984
36,9766,3,-0.10773,0.17529,-0.54578,0.81226,-2.57422,-2.93750,-5.37500,4.32422,0.56055,3.78711,-1.21571,0.16797,-0.38072
37,10742,3,-0.08392,0.16632,-0.53522,0.82391,-1.70312,-2.26562,-5.83203,3.37109,0.84766,3.94922,-1.18291,0.18529,-0.32767
38,9766,3,-0.06299,0.16046,-0.52252,0.83502,-0.80469,-1.39062,-6.35547,2.49609,1.15625,3.98438,-1.14732,0.20355,-0.28237
39,9765,3,-0.04547,0.15820,-0.50885,0.84497,0.22656,1.41406,-6.71484,1.96094,1.38477,3.87891,-1.11180,0.22292,-0.24637
40,10743,3,-0.02930,0.15875,-0.49371,0.85449,0.48047,2.37109,-6.73828,1.66602,1.49219,3.59375,-1.07438,0.24482,-0.21484
41,9765,3,-0.01477,0.16095,-0.47894,0.86285,0.66406,2.99609,-6.92188,1.25000,1.41992,3.19141,-1.03866,0.26675,-0.18734
42,9766,3,-0.00238,0.16394,-0.46558,0.86969,0.62891,3.26562,-7.48047,0.49609,1.11914,2.78711,-1.00680,0.28685,-0.16421
43,9765,3,0.00684,0.16742,-0.45319,0.87555,0.10156,3.55469,-8.23047,-0.38477,0.68555,2.46484,-0.97782,0.30401,-0.14701
44,10743,3,0.01135,0.17114,-0.44153,0.88074,-0.01172,3.41016,-8.08594,-1.07227,0.12305,2.16211,-0.95154,0.31674,-0.13843
45,8789,3,0.01105,0.17438,-0.43073,0.88544,-0.16016,2.82422,-7.71875,-1.52734,-0.51172,1.90039,-0.92813,0.32394,-0.13825
46,10742,3,0.00677,0.17609,-0.42096,0.88977,-0.53516,0.66016,-7.27344,-2.03711,-1.09375,1.77930,-0.90747,0.32475,-0.14421
47,9766,3,-0.00128,0.17615,-0.41113,0.89441,-0.92188,-0.15234,-6.96484,-2.75195,-1.54297,1.84375,-0.88685,0.31944,-0.15560
48,9765,3,-0.01343,0.17511,-0.40057,0.89929,-0.78516,-0.66016,-6.61328,-3.42773,-1.95898,2.05469,-0.86519,0.30908,-0.17348
49,10742,3,-0.02875,0.17358,-0.38922,0.90417,-0.10547,-0.87109,-6.10938,-3.91211,-2.43359,2.22461,-0.84242,0.29582,-0.19688
50,9766,3,-0.04846,0.17096,-0.37543,0.90967,1.60938,-0.99609,-5.35547,-4.95117,-2.60938,2.19727,-0.81476,0.27822,-0.22714
51,10742,3,-0.07184,0.16821,-0.36066,0.91461,2.80859,-1.25000,-4.96484,-6.53125,-2.61719,1.94141,-0.78582,0.25875,-0.26451
52,10742,3,-0.10083,0.16730,-0.34534,0.91791,4.81250,-0.65625,-4.90234,-7.80273,-2.74023,1.17969,-0.75790,0.23979,-0.31469
53,8789,3,-0.13586,0.16797,-0.33105,0.91852,7.83984,0.23438,-4.03906,-8.30859,-2.79688,0.17969,-0.73427,0.22040,-0.37876
54,9766,3,-0.17749,0.16895,-0.31885,0.91559,8.05078,0.41016,-3.68359,-8.24805,-2.79492,-0.60938,-0.71629,0.19746,-0.45707
55,10742,3,-0.22089,0.16901,-0.30988,0.90918,7.91797,0.85938,-2.79297,-7.70898,-2.88867,-1.10352,-0.70445,0.17126,-0.53975
56,9766,3,-0.26184,0.16736,-0.30377,0.90063,8.64062,1.08594,-2.97656,-7.52344,-2.88477,-1.69336,-0.69627,0.14286,-0.61778
57,9765,3,-0.30029,0.16412,-0.29987,0.89050,7.95312,0.13281,-2.68750,-7.41211,-2.75781,-2.16406,-0.69013,0.11244,-0.69094
58,9766,3,-0.30029,0.16412,-0.29987,0.89050,8.87891,-0.95312,-2.59375,-7.15430,-2.56445,-2.53320,-0.69013,0.11244,-0.69094
59,10742,3,-0.37823,0.15460,-0.29773,0.86279,9.41016,-2.46094,-1.91797,-7.08594,-2.16406,-2.92969,-0.68316,0.04157,-0.84108
60,9766,3,-0.41406,0.14978,-0.29938,0.84644,8.47656,-6.39062,0.03125,-6.97656,-1.60938,-3.04297,-0.68268,0.00564,-0.91192
61,9766,3,-0.44751,0.14624,-0.30267,0.82874,8.25391,-6.78125,1.61328,-6.37695,-0.98047,-2.94727,-0.68513,-0.02851,-0.98008
62,9765,3,-0.47931,0.14423,-0.30725,0.80939,8.19531,-6.75000,3.22656,-5.63281,-0.37305,-2.98438,-0.69032,-0.06110,-1.04734
63,10742,3,-0.50714,0.14355,-0.31335,0.78992,8.28125,-6.84375,5.14453,-4.44922,0.25000,-3.10547,-0.69887,-0.09117,-1.10825
64,9766,3,-0.52979,0.14349,-0.32184,0.77148,7.96094,-5.82422,8.24609,-2.97656,0.82617,-3.22461,-0.71193,-0.11989,-1.15888
65,9766,3,-0.54492,0.14319,-0.33258,0.75629,7.04297,-5.74609,8.33984,-1.95703,0.76367,-3.80664,-0.72913,-0.14640,-1.19278
66,9765,3,-0.55548,0.14069,-0.34644,0.74274,6.51562,-5.40625,7.21484,-0.70117,0.55273,-4.29492,-0.74984,-0.17681,-1.21456
67,10742,3,-0.56165,0.13458,-0.36169,0.73187,5.99609,-4.78516,6.96484,-0.07031,1.22656,-3.74023,-0.76982,-0.21085,-1.22342
68,9766,3,-0.56409,0.12701,-0.37915,0.72241,4.12109,-6.13672,6.21484,0.01953,1.99805,-2.83008,-0.79336,-0.24674,-1.22210
69,9766,3,-0.56311,0.12360,-0.39581,0.71484,3.36719,-6.14453,5.44922,0.13867,2.62891,-2.26172,-0.82133,-0.27242,-1.21523
70,9765,3,-0.55969,0.12457,-0.41168,0.70831,2.94922,-5.94922,5.14062,0.58789,3.19531,-2.15430,-0.85381,-0.28835,-1.20556
71,10742,3,-0.55396,0.12787,-0.42719,0.70306,1.12500,-5.45312,4.91406,1.18555,3.59570,-2.13867,-0.88915,-0.29787,-1.19194
72,9766,3,-0.54462,0.13202,-0.44513,0.69843,-0.21094,-5.85156,4.91016,1.73438,3.88867,-1.87305,-0.93178,-0.30516,-1.17024
73,10742,3,-0.53217,0.13641,-0.46356,0.69519,-1.35938,-6.39844,4.90625,2.22266,4.11719,-1.35938,-0.97711,-0.30859,-1.14172
74,11719,3,-0.51697,0.14136,-0.48102,0.69379,-1.83594,-6.63672,4.14844,2.46289,4.30859,-0.78125,-1.02222,-0.30596,-1.10826
75,7813,3,-0.50018,0.14722,-0.49640,0.69409,-2.71484,-5.92188,2.76562,2.65430,4.53516,-0.23242,-1.06441,-0.29653,-1.07341
76,9765,3,-0.48053,0.15485,-0.51093,0.69574,-2.94141,-5.54688,1.73047,2.88867,4.57812,0.17773,-1.10709,-0.27918,-1.03565
77,9766,3,-0.45813,0.16388,-0.52448,0.69873,-2.66797,-5.12109,0.60547,3.25977,4.49219,0.50195,-1.14909,-0.25426,-0.99556
78,10742,3,-0.43573,0.17206,-0.53564,0.70258,-2.87109,-4.35156,-1.08594,3.52148,4.36133,0.76172,-1.18466,-0.22697,-0.95717
79,9766,3,-0.41040,0.18005,-0.54608,0.70776,-2.60547,-4.07812,-2.52734,3.45508,4.02344,0.94922,-1.21829,-0.19458,-0.91498
80,11718,3,-0.38550,0.18707,-0.55463,0.71332,-2.24609,-3.96094,-4.10156,3.12305,3.54883,1.06055,-1.24617,-0.16142,-0.87481
81,7813,3,-0.36334,0.19293,-0.56085,0.71844,-2.10156,-3.60156,-5.23438,2.74219,3.08789,1.16602,-1.26719,-0.13072,-0.84036
82,10742,3,-0.34241,0.19855,-0.56549,0.72357,-3.26172,-2.78516,-5.41016,2.43945,2.71289,1.33789,-1.28386,-0.10010,-0.80913
83,9766,3,-0.32245,0.20410,-0.56848,0.72882,-3.22266,-2.50000,-5.24219,2.20117,2.39648,1.54492,-1.29639,-0.06916,-0.78068
84,9765,3,-0.30524,0.20905,-0.56958,0.73395,-2.98828,-2.07422,-5.23828,1.96484,2.21875,1.84375,-1.30368,-0.04087,-0.75706
85,9766,3,-0.28937,0.21399,-0.56891,0.73944,-3.32031,-1.72266,-4.69141,1.67969,2.17383,2.28125,-1.30664,-0.01278,-0.73624
86,10742,3,-0.27411,0.21985,-0.56622,0.74561,-2.87109,-1.42578,-4.47266,1.24219,2.07031,2.65234,-1.30554,0.01743,-0.71792
87,9766,3,-0.25970,0.22705,-0.56134,0.75226,-2.19922,-0.81641,-4.44922,0.73828,2.05469,2.81250,-1.30050,0.05006,-0.70292
88,12695,3,-0.24725,0.23535,-0.55481,0.75873,-1.33984,0.40234,-4.03906,0.42383,2.03906,3.00977,-1.29269,0.08287,-0.69259
89,6836,3,-0.23627,0.24475,-0.54706,0.76483,0.71094,1.41016,-3.02734,0.23047,1.86914,2.72461,-1.28332,0.11615,-0.68605
90,10742,3,-0.22626,0.25458,-0.53876,0.77057,0.33984,2.42969,-2.90234,0.44727,1.54883,2.05859,-1.27329,0.14909,-0.68151
91,9766,3,-0.21686,0.26331,-0.53143,0.77539,-0.01953,2.78125,-2.86719,0.60938,1.09180,1.35938,-1.26473,0.17879,-0.67658
92,9765,3,-0.20898,0.26886,-0.52679,0.77881,0.00000,2.60156,-2.60547,0.69336,0.57422,0.84180,-1.25926,0.19992,-0.67021
93,10743,3,-0.20276,0.27148,-0.52423,0.78125,0.27734,2.33984,-2.24609,0.71680,0.12500,0.56445,-1.25564,0.21322,-0.66289
