lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1253907,3,-0.10950,-0.01929,-0.46497,0.87830,0.80469,0.87891,-0.34375,-0.76953,-0.00391,-0.32422,-0.96168,-0.13613,-0.17696
1,9765,3,-0.11255,-0.01794,-0.46625,0.87726,0.87109,1.17188,-0.36719,-1.10156,0.07227,-0.49805,-0.96442,-0.13687,-0.18348
2,9766,3,-0.11646,-0.01587,-0.46820,0.87579,2.13672,1.91016,-0.35156,-1.58008,0.24414,-0.75195,-0.96864,-0.13727,-0.19209
3,9766,3,-0.12201,-0.01233,-0.47125,0.87341,2.86328,2.17969,-0.13672,-2.10352,0.43555,-1.08789,-0.97547,-0.13696,-0.20485
4,10742,3,-0.12927,-0.00702,-0.47565,0.87006,3.53125,2.80469,0.00781,-2.51758,0.57812,-1.43945,-0.98544,-0.13561,-0.22212
5,9765,3,-0.13812,-0.00006,-0.48163,0.86542,4.04297,2.54688,0.09375,-2.32422,0.59180,-2.00195,-0.99931,-0.13355,-0.24356
6,9766,3,-0.14716,0.00708,-0.48950,0.85950,3.78516,2.60547,0.99219,-1.79102,0.35547,-2.58984,-1.01774,-0.13227,-0.26527
7,9766,3,-0.15448,0.01221,-0.49921,0.85254,3.23047,1.18359,1.53125,-1.11523,-0.15039,-3.11133,-1.04045,-0.13381,-0.28178
8,10742,3,-0.16077,0.01416,-0.51166,0.84387,2.28125,-0.70703,2.79297,-0.17188,-0.57031,-3.31836,-1.06927,-0.14109,-0.29287
9,9765,3,-0.16467,0.01166,-0.52521,0.83478,-0.10547,-4.83594,7.22266,1.05859,-0.53516,-3.03516,-1.10023,-0.15413,-0.29489
10,9766,3,-0.16443,0.00549,-0.53815,0.82660,-1.28125,-7.07031,9.70703,2.50586,-0.11133,-2.26953,-1.12989,-0.16870,-0.28563
11,10742,3,-0.15796,-0.00281,-0.54901,0.82074,-2.41406,-8.73438,11.85156,4.08398,0.68164,-1.20312,-1.15535,-0.17901,-0.26340
12,9766,3,-0.14374,-0.01196,-0.55621,0.81842,-2.85156,-10.06641,12.90625,5.54688,1.51172,-0.14258,-1.17315,-0.18046,-0.22759
13,9766,3,-0.11993,-0.02173,-0.55951,0.81982,-2.22266,-10.32812,9.87500,6.52344,2.13086,0.72852,-1.18266,-0.17066,-0.17578
14,9765,3,-0.09125,-0.03064,-0.55859,0.82385,-1.71484,-9.87891,7.19922,7.09180,2.64258,1.37500,-1.18261,-0.15302,-0.11776
15,10742,3,-0.05768,-0.03906,-0.55420,0.82947,-0.71484,-9.57812,4.80859,7.60938,3.02734,1.72070,-1.17462,-0.12909,-0.05285
16,9766,3,-0.01880,-0.04736,-0.54669,0.83582,0.15234,-9.18750,3.06641,8.00586,3.24805,1.71875,-1.15950,-0.09989,0.02046
17,9766,3,0.02301,-0.05554,-0.53729,0.84125,0.83984,-7.96094,-0.67188,8.07812,3.28711,1.58594,-1.14016,-0.06878,0.09879
18,9765,3,0.06476,-0.06348,-0.52740,0.84473,0.93750,-7.49219,-2.57812,7.68750,3.19531,1.39648,-1.11973,-0.03895,0.17744
19,9766,3,0.10620,-0.07104,-0.51715,0.84631,1.06250,-7.05469,-4.34375,7.08594,2.98828,1.20312,-1.09837,-0.01041,0.25604
