lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1082032,3,-0.39600,0.27582,-0.40973,0.77411,-0.05469,-0.85547,1.12500,0.55078,0.43164,0.08203,-1.03001,0.10270,-1.00385
1,9765,3,-0.39331,0.27649,-0.41107,0.77454,-0.07031,-1.03125,1.24609,0.68555,0.47461,0.16602,-1.03330,0.10513,-0.99951
2,9766,3,-0.38971,0.27728,-0.41241,0.77533,-0.26172,-1.25391,1.46875,0.80664,0.51367,0.20703,-1.03671,0.10874,-0.99358
3,9765,3,-0.38556,0.27808,-0.41382,0.77643,-0.41406,-1.22266,1.45312,0.87891,0.62109,0.19727,-1.04012,0.11294,-0.98654
4,10743,3,-0.38074,0.27899,-0.41541,0.77759,-0.63672,-1.03906,1.38281,0.90234,0.69727,0.21680,-1.04409,0.11783,-0.97849
5,8789,3,-0.37561,0.28009,-0.41711,0.77875,-0.73438,-1.08594,1.31250,0.92773,0.74414,0.28320,-1.04847,0.12321,-0.97012
6,10742,3,-0.37036,0.28143,-0.41882,0.77991,-1.14062,-1.29688,1.71094,1.02930,0.83789,0.36719,-1.05307,0.12910,-0.96181
7,9765,3,-0.36414,0.28320,-0.42053,0.78125,-1.41406,-1.32031,1.90625,1.20703,0.93555,0.45312,-1.05817,0.13667,-0.95230
8,10743,3,-0.35730,0.28510,-0.42224,0.78284,-1.44141,-1.46484,1.90625,1.37500,1.00000,0.52930,-1.06328,0.14513,-0.94181
9,9765,3,-0.34937,0.28711,-0.42395,0.78473,-1.53125,-1.73828,1.85938,1.52539,1.10352,0.75195,-1.06849,0.15500,-0.92954
10,9766,3,-0.34052,0.28925,-0.42542,0.78699,-1.73047,-1.29297,1.33594,1.59375,1.12500,0.91797,-1.07325,0.16632,-0.91580
11,10742,3,-0.33063,0.29181,-0.42639,0.78973,-1.59766,-1.01172,0.80469,1.71680,1.13086,1.03320,-1.07731,0.17993,-0.90068
12,8789,3,-0.32025,0.29437,-0.42688,0.79285,-1.41797,-0.79297,0.24219,1.83789,1.05664,1.07812,-1.08020,0.19458,-0.88467
13,10742,3,-0.30963,0.29651,-0.42706,0.79614,-1.46094,0.26953,-1.32031,1.89258,0.89062,1.08594,-1.08191,0.20918,-0.86778
14,9766,3,-0.29816,0.29816,-0.42706,0.79987,-1.47266,0.77344,-2.32031,1.80469,0.69336,0.97656,-1.08246,0.22419,-0.84873
15,10742,3,-0.28735,0.29895,-0.42694,0.80365,-1.49219,1.25391,-3.43359,1.56250,0.39258,0.81836,-1.08160,0.23734,-0.82975
16,11719,3,-0.27808,0.29883,-0.42670,0.80707,-1.32422,1.42578,-4.57812,1.09961,0.08984,0.73828,-1.07961,0.24755,-0.81243
17,7812,3,-0.27808,0.29883,-0.42670,0.80707,-1.32812,1.59375,-5.50000,0.61719,-0.18555,0.71094,-1.07961,0.24755,-0.81243
18,10743,3,-0.26678,0.29700,-0.42413,0.81287,-1.08984,1.51562,-5.56250,0.30859,-0.40820,0.67188,-1.07028,0.25943,-0.78861
19,9765,3,-0.26447,0.29572,-0.42151,0.81543,-0.93750,1.46875,-5.44531,0.09570,-0.63086,0.64453,-1.06283,0.26232,-0.78203
20,9766,3,-0.26379,0.29401,-0.41846,0.81787,-1.39844,1.28516,-6.28125,-0.18164,-0.98438,0.60547,-1.05418,0.26316,-0.77776
21,9765,3,-0.26477,0.29163,-0.41473,0.82025,-1.40625,1.11328,-6.75781,-0.65234,-1.44141,0.56836,-1.04371,0.26178,-0.77558
22,9766,3,-0.26807,0.28833,-0.41016,0.82263,-1.63672,1.09375,-6.75781,-1.04688,-1.89844,0.57031,-1.03075,0.25733,-0.77633
23,10742,3,-0.27423,0.28387,-0.40436,0.82507,-1.52344,0.90234,-6.50391,-1.39258,-2.34570,0.55078,-1.01437,0.24922,-0.78075
24,9766,3,-0.28284,0.27832,-0.39734,0.82745,-0.66797,0.89453,-5.81250,-1.75586,-2.75195,0.54688,-0.99478,0.23807,-0.78841
25,9766,3,-0.28284,0.27832,-0.39734,0.82745,0.57812,1.10547,-5.80469,-2.21484,-3.17188,0.45898,-0.99478,0.23807,-0.78841
26,10742,3,-0.30664,0.26410,-0.38031,0.83160,1.64844,1.37500,-6.02734,-3.09375,-3.45508,0.20703,-0.94746,0.20751,-0.81320
27,9765,3,-0.32367,0.25574,-0.37024,0.83234,3.33203,1.89062,-5.01953,-3.97656,-3.57617,-0.07812,-0.92024,0.18713,-0.83470
28,11719,3,-0.34448,0.24780,-0.35986,0.83093,4.87500,1.80469,-3.93750,-4.58984,-3.46094,-0.42969,-0.89353,0.16462,-0.86501
29,7813,3,-0.36804,0.24060,-0.34979,0.82721,5.76562,1.91406,-2.51172,-4.99219,-3.11133,-0.97852,-0.86857,0.14105,-0.90275
