lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1273438,2,0.02356,0.08282,-0.11963,0.98907,0.12500,0.87109,-1.71875,-0.61133,-0.36914,-0.48242,-0.23841,0.17030,0.02718
1,9765,2,0.02075,0.08154,-0.12146,0.98901,0.17188,0.96484,-1.84375,-0.66992,-0.36914,-0.52539,-0.24259,0.16712,0.02154
2,9766,2,0.01715,0.08014,-0.12366,0.98895,0.05469,1.15234,-1.73438,-0.61328,-0.30273,-0.54492,-0.24762,0.16347,0.01429
3,9766,2,0.01361,0.07898,-0.12592,0.98883,-0.55078,1.33594,-2.12500,-0.60742,-0.27539,-0.54688,-0.25274,0.16030,0.00712
4,10742,2,0.01013,0.07794,-0.12830,0.98865,-0.95703,1.64453,-2.69922,-0.64453,-0.33398,-0.53125,-0.25809,0.15735,0.00003
5,9765,2,0.00659,0.07684,-0.13062,0.98840,-1.18750,2.05078,-3.38281,-0.72852,-0.49219,-0.53516,-0.26332,0.15424,-0.00713
6,9766,2,0.00275,0.07532,-0.13287,0.98828,-1.48828,2.46484,-4.07812,-0.91602,-0.79297,-0.53516,-0.26841,0.15016,-0.01475
7,10742,2,-0.00208,0.07257,-0.13513,0.98816,-1.59766,2.86719,-5.46484,-1.24219,-1.17969,-0.56055,-0.27354,0.14335,-0.02396
8,9766,2,-0.00208,0.07257,-0.13513,0.98816,-1.41406,2.89062,-6.00391,-1.74219,-1.58594,-0.63281,-0.27354,0.14335,-0.02396
9,9766,2,-0.01666,0.06274,-0.13947,0.98810,-1.28516,2.74219,-6.05469,-2.30273,-1.92188,-0.73828,-0.28348,0.11963,-0.05081
10,10742,2,-0.02844,0.05518,-0.14197,0.98792,-0.81641,2.45312,-5.86328,-2.76953,-2.18555,-0.85547,-0.28911,0.10112,-0.07230
11,9765,2,-0.04285,0.04657,-0.14478,0.98743,-0.55859,2.44531,-5.58203,-3.16016,-2.36328,-0.99609,-0.29509,0.07965,-0.09857
12,9766,2,-0.05908,0.03741,-0.14795,0.98651,-0.17969,2.31250,-5.44922,-3.42969,-2.53320,-1.09766,-0.30134,0.05637,-0.12820
13,9766,2,-0.07758,0.02734,-0.15161,0.98499,-0.04688,2.01953,-5.52734,-3.71094,-2.68359,-1.17383,-0.30791,0.03035,-0.16190
14,9765,2,-0.09625,0.01727,-0.15533,0.98303,0.30859,0.85156,-6.46094,-4.13086,-2.88672,-1.20117,-0.31384,0.00406,-0.19585
15,10742,2,-0.11853,0.00562,-0.15942,0.98004,0.39453,0.32422,-7.32422,-4.71484,-3.23047,-1.16797,-0.31933,-0.02679,-0.23640
16,9766,2,-0.14191,-0.00616,-0.16296,0.97632,0.73438,-0.23438,-8.69141,-5.94141,-3.50195,-1.08203,-0.32259,-0.05833,-0.27918
17,9766,2,-0.17139,-0.01947,-0.16614,0.97089,0.19141,-0.84766,-8.99609,-7.67578,-4.04102,-0.74219,-0.32295,-0.09490,-0.33398
18,9765,2,-0.20819,-0.03326,-0.16772,0.96301,0.25781,-1.57031,-11.00391,-8.34570,-4.67383,-1.28711,-0.31731,-0.13431,-0.40430
19,10742,2,-0.25000,-0.04858,-0.16913,0.95215,0.67969,-1.07422,-10.13281,-8.55078,-5.22656,-1.54297,-0.30736,-0.17801,-0.48589
20,9766,2,-0.29388,-0.06677,-0.17133,0.93799,1.09375,-2.56250,-10.03516,-8.59961,-5.41992,-1.52930,-0.29386,-0.22793,-0.57337
21,9766,2,-0.33533,-0.08551,-0.17316,0.92212,1.27344,-5.72266,-8.57812,-8.32617,-5.33203,-1.17773,-0.27588,-0.27736,-0.65882
22,9765,2,-0.37823,-0.10529,-0.17365,0.90314,0.20312,-7.76562,-7.62891,-7.99219,-5.09180,-0.65234,-0.24973,-0.32736,-0.75176
23,10743,2,-0.41986,-0.12396,-0.17181,0.88251,-0.73438,-9.71875,-6.32031,-7.35352,-4.89062,-0.07031,-0.21541,-0.37157,-0.84750
24,9765,2,-0.45819,-0.14050,-0.16724,0.86157,-1.01562,-10.97266,-5.06641,-6.68750,-4.93945,0.59570,-0.17445,-0.40648,-0.94150
25,9766,2,-0.49231,-0.15515,-0.15948,0.84149,-0.03906,-12.50000,-2.46875,-6.53320,-5.15820,1.46289,-0.12766,-0.43141,-1.03069
26,10742,2,-0.52295,-0.16785,-0.14819,0.82245,1.98047,-13.99219,-0.12500,-6.54297,-5.07812,2.51367,-0.07567,-0.44568,-1.11556
27,9766,2,-0.55548,-0.17902,-0.13153,0.80133,3.04688,-15.28125,2.92969,-5.45312,-4.39062,3.17969,-0.01322,-0.44783,-1.20928
28,9765,2,-0.58447,-0.18604,-0.11224,0.78180,3.69141,-12.50391,7.50000,-4.09961,-3.39648,3.66406,0.04630,-0.43574,-1.29418
29,10742,2,-0.60907,-0.18860,-0.09094,0.76495,4.57031,-11.07422,6.71484,-3.34961,-2.79102,3.54883,0.09899,-0.41079,-1.36550
30,9766,2,-0.62695,-0.18781,-0.07202,0.75269,5.64062,-8.97266,5.18359,-2.64453,-2.61523,2.93555,0.13738,-0.38224,-1.41565
31,9766,2,-0.64252,-0.18665,-0.05347,0.74127,5.94531,-6.71484,4.22656,-1.89648,-2.36133,2.19727,0.17196,-0.35268,-1.45902
32,9765,2,-0.65399,-0.18695,-0.03784,0.73206,5.66406,-4.23828,3.25781,-1.29297,-1.97656,1.48438,0.20121,-0.32913,-1.49180
