lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1202148,2,-0.11920,0.10785,0.30005,0.94031,0.39844,0.71484,-1.08594,-0.11719,-0.05469,-0.20898,0.59442,0.27791,-0.16658
1,10742,2,-0.11963,0.10736,0.29907,0.94061,0.42188,0.80859,-1.19922,-0.17188,-0.07812,-0.21680,0.59222,0.27705,-0.16799
2,9766,2,-0.12030,0.10669,0.29822,0.94086,0.45312,0.89453,-1.43750,-0.22461,-0.13086,-0.24414,0.59023,0.27600,-0.16996
3,9765,2,-0.12122,0.10577,0.29730,0.94116,0.51172,1.07031,-1.73438,-0.24805,-0.25195,-0.32031,0.58804,0.27460,-0.17255
4,9766,2,-0.12219,0.10437,0.29620,0.94153,0.48828,1.90625,-2.69141,-0.30664,-0.45117,-0.43945,0.58548,0.27226,-0.17560
5,10742,2,-0.12317,0.10205,0.29480,0.94208,0.53516,2.25000,-3.19922,-0.46875,-0.68164,-0.55664,0.58231,0.26810,-0.17923
6,9766,2,-0.12439,0.09845,0.29297,0.94287,0.65625,2.41406,-3.66016,-0.79102,-0.88281,-0.64844,0.57824,0.26151,-0.18415
7,9766,2,-0.12646,0.09357,0.29095,0.94373,0.65234,2.02344,-4.35547,-1.23828,-1.03906,-0.69336,0.57370,0.25288,-0.19146
8,13671,2,-0.13025,0.08691,0.28882,0.94452,0.46875,1.79688,-4.58594,-1.75391,-1.16211,-0.71094,0.56876,0.24176,-0.20309
9,6836,2,-0.13574,0.07947,0.28693,0.94495,0.08203,1.70703,-4.88281,-2.25586,-1.32812,-0.66406,0.56425,0.23011,-0.21838
10,9766,2,-0.14368,0.07025,0.28534,0.94501,0.07422,1.67969,-5.55859,-2.91016,-1.54688,-0.60742,0.56036,0.21645,-0.23926
11,9766,2,-0.15460,0.05872,0.28418,0.94440,0.25391,1.26562,-6.36328,-3.61914,-1.76758,-0.57812,0.55762,0.20011,-0.26707
12,10742,2,-0.15460,0.05872,0.28418,0.94440,0.32031,1.22266,-6.41406,-4.39062,-1.93750,-0.62891,0.55762,0.20011,-0.26707
13,9765,2,-0.18427,0.03076,0.28308,0.94073,-0.06641,1.22266,-6.21484,-4.77930,-2.12305,-0.66797,0.55655,0.16292,-0.34021
14,12696,2,-0.20300,0.01410,0.28253,0.93744,0.37891,0.91797,-6.60938,-4.91016,-2.34375,-0.70312,0.55774,0.14161,-0.38590
15,6836,2,-0.22156,-0.00305,0.28186,0.93353,0.35156,0.68750,-6.49219,-4.94531,-2.56641,-0.72656,0.56023,0.11948,-0.43163
16,10742,2,-0.24103,-0.02234,0.28107,0.92865,0.41797,0.47266,-6.37109,-4.75391,-2.82422,-0.72070,0.56471,0.09414,-0.48056
17,9765,2,-0.26050,-0.04352,0.28027,0.92285,0.71094,0.26953,-6.33594,-4.46875,-3.23047,-0.81055,0.57182,0.06575,-0.53090
18,9766,2,-0.27777,-0.06555,0.27954,0.91675,1.56250,-1.51562,-7.17578,-4.54102,-3.82422,-1.03125,0.58150,0.03511,-0.57790
19,10742,2,-0.29266,-0.08862,0.27863,0.91040,2.07031,-2.85938,-6.62891,-5.03320,-4.27930,-1.08984,0.59344,0.00172,-0.62154
20,9766,2,-0.29266,-0.08862,0.27863,0.91040,2.60547,-4.35938,-5.64062,-6.12695,-4.21484,-0.80469,0.59344,0.00172,-0.62154
21,9766,2,-0.32593,-0.14227,0.27643,0.89282,3.05078,-6.34375,-3.97266,-7.29883,-3.57617,-0.31836,0.62851,-0.07392,-0.72408
22,9765,2,-0.35071,-0.17078,0.27527,0.87866,3.33594,-8.04297,0.25391,-7.83789,-2.73242,0.15820,0.65231,-0.10724,-0.79583
23,10742,2,-0.37939,-0.19519,0.27374,0.86200,3.77734,-7.69531,1.67969,-7.59961,-1.95898,0.39258,0.67543,-0.12915,-0.87465
24,12696,2,-0.40979,-0.21545,0.27155,0.84375,3.89844,-6.40234,3.34766,-6.60938,-1.20703,0.41016,0.69609,-0.14150,-0.95566
25,6836,2,-0.43646,-0.23004,0.26880,0.82727,4.57031,-5.26953,4.26953,-5.28711,-0.52148,0.39258,0.71089,-0.14649,-1.02542
26,9765,2,-0.46008,-0.24060,0.26538,0.81238,4.56250,-4.78906,4.25000,-4.24414,0.13867,0.28906,0.72048,-0.14726,-1.08616
27,10742,2,-0.48053,-0.24719,0.26117,0.79987,4.38672,-4.64453,3.89062,-3.64453,0.57617,0.16211,0.72389,-0.14495,-1.13692
28,9766,2,-0.49689,-0.25031,0.25635,0.79041,4.49609,-4.72656,3.30859,-3.27734,0.71289,-0.02148,0.72158,-0.14140,-1.17587
29,9766,2,-0.51141,-0.25201,0.25061,0.78241,5.14062,-4.37109,2.13281,-3.25391,0.15234,-0.52930,0.71576,-0.13846,-1.20971
30,10742,2,-0.52435,-0.25513,0.24426,0.77478,5.05469,-4.07812,1.58203,-3.01953,-0.38867,-1.48438,0.71076,-0.13963,-1.24183
31,8789,2,-0.53503,-0.26202,0.23663,0.76752,4.82812,-3.87891,1.98438,-2.52539,-0.33984,-1.98242,0.70876,-0.14956,-1.27298
32,13672,2,-0.54266,-0.27106,0.22754,0.76172,4.58984,-4.98047,4.23438,-2.15625,-0.06445,-1.92969,0.70742,-0.16677,-1.29973
33,6836,2,-0.54858,-0.27966,0.21753,0.75732,3.39844,-5.76953,4.95312,-1.79297,0.49805,-1.75977,0.70427,-0.18599,-1.32231
34,10742,2,-0.55322,-0.28705,0.20837,0.75378,2.69922,-6.75781,5.89844,-1.41211,1.32227,-1.45703,0.70105,-0.20358,-1.34093
35,9766,2,-0.55804,-0.28979,0.19702,0.75220,2.32031,-7.44531,6.87891,-0.97070,2.21680,-1.14062,0.68778,-0.21779,-1.35484
36,9765,2,-0.56238,-0.28796,0.18536,0.75262,1.51172,-8.51172,7.83203,-0.38477,2.75391,-0.92383,0.66718,-0.22691,-1.36237
37,10742,2,-0.56567,-0.28210,0.17346,0.75519,0.95312,-8.59766,7.99219,0.50977,3.10547,-0.70703,0.63995,-0.23192,-1.36294
38,8789,2,-0.56635,-0.27423,0.16339,0.75989,0.08594,-8.42188,8.03125,1.55273,3.30469,-0.44727,0.61203,-0.23380,-1.35515
39,10743,2,-0.56360,-0.26398,0.15509,0.76721,-1.08594,-7.95312,7.01562,2.61523,3.23633,-0.20312,0.58274,-0.23232,-1.33711
