lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1083008,3,0.15875,-0.06628,-0.33160,0.92761,0.20703,1.36719,-1.11328,-0.12891,-0.54492,-0.60742,-0.68973,-0.01769,0.34535
1,10742,3,0.15747,-0.06775,-0.33472,0.92657,0.25781,1.72656,-1.64844,-0.22461,-0.81445,-0.77344,-0.69681,-0.02013,0.34400
2,8789,3,0.15576,-0.07007,-0.33868,0.92529,0.41016,2.00781,-2.38281,-0.65039,-1.06836,-0.95508,-0.70594,-0.02416,0.34245
3,10742,3,0.15247,-0.07300,-0.34363,0.92377,0.62500,2.12500,-4.15234,-1.44727,-1.27930,-1.10938,-0.71739,-0.03009,0.33843
4,9766,3,0.14575,-0.07593,-0.34998,0.92224,0.66016,1.79688,-5.26562,-2.73047,-1.39453,-1.22070,-0.73169,-0.03804,0.32806
5,10742,3,0.13434,-0.07751,-0.35718,0.92108,0.41406,1.67969,-5.81641,-4.16016,-1.40625,-1.30078,-0.74713,-0.04685,0.30802
6,8789,3,0.11639,-0.07697,-0.36536,0.92035,0.32812,1.72266,-6.25000,-5.37305,-1.40039,-1.37109,-0.76362,-0.05665,0.27435
7,10742,3,0.09235,-0.07391,-0.37415,0.91980,0.60156,1.17188,-5.81250,-6.18945,-1.31250,-1.42578,-0.78031,-0.06692,0.22765
8,10742,3,0.06360,-0.06860,-0.38336,0.91888,0.92188,1.18359,-5.33984,-6.55664,-1.26367,-1.51953,-0.79713,-0.07739,0.17081
9,8789,3,0.03320,-0.06201,-0.39233,0.91711,1.33594,1.41797,-5.29688,-6.77930,-1.30078,-1.68164,-0.81331,-0.08781,0.11021
10,10743,3,-0.00012,-0.05432,-0.40210,0.91400,1.70703,0.68750,-5.59375,-6.84570,-1.49023,-1.81445,-0.83108,-0.09956,0.04369
11,9765,3,-0.03436,-0.04675,-0.41211,0.90930,2.18750,0.38281,-6.46875,-7.14648,-1.70312,-2.07031,-0.84968,-0.11359,-0.02411
12,9766,3,-0.06873,-0.03992,-0.42212,0.90302,1.41016,0.19141,-6.12891,-7.34180,-1.79102,-2.21094,-0.86858,-0.13049,-0.09133
13,10742,3,-0.10504,-0.03308,-0.43268,0.89478,0.82422,0.09375,-5.47656,-6.72656,-1.99414,-2.29102,-0.88857,-0.15067,-0.16189
