lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,6563476,3,-0.00702,0.06720,-0.28552,0.95599,-0.54297,0.57422,-1.51562,1.03906,-0.18359,-0.65430,-0.58373,0.12480,-0.05222
1,10743,3,-0.00165,0.06482,-0.28918,0.95508,-0.93359,0.69141,-2.35547,0.72266,-0.28711,-0.54102,-0.59055,0.12317,-0.04096
2,9765,3,0.00208,0.06238,-0.29224,0.95428,-1.03906,0.80469,-2.55469,0.47070,-0.37891,-0.43555,-0.59631,0.12056,-0.03274
3,9766,3,0.00433,0.05994,-0.29468,0.95374,-1.18750,1.17188,-3.06250,0.16406,-0.57227,-0.37695,-0.60093,0.11714,-0.02725
4,9765,3,0.00507,0.05713,-0.29663,0.95325,-1.66406,1.55469,-4.78516,-0.43750,-0.82422,-0.35352,-0.60473,0.11216,-0.02439
5,10743,3,0.00330,0.05408,-0.29816,0.95300,-1.45703,1.31250,-5.48438,-1.27930,-1.10742,-0.37305,-0.60780,0.10523,-0.02611
6,9765,3,-0.00226,0.05078,-0.29950,0.95276,-1.12891,1.28125,-6.29688,-2.04492,-1.48438,-0.50195,-0.61081,0.09555,-0.03489
7,9766,3,-0.01233,0.04706,-0.30096,0.95239,-1.22266,1.75391,-7.01562,-2.83594,-1.93750,-0.69922,-0.61430,0.08231,-0.05201
8,9766,3,-0.02673,0.04248,-0.30298,0.95166,-1.35938,1.23438,-8.01172,-4.06445,-2.39062,-0.85742,-0.61893,0.06470,-0.07686
9,10742,3,-0.04657,0.03729,-0.30542,0.95038,-1.39453,1.08203,-8.83203,-5.36523,-2.92383,-0.99219,-0.62426,0.04245,-0.11162
10,9765,3,-0.07306,0.03168,-0.30798,0.94806,-1.07422,0.85156,-9.54297,-6.63867,-3.31641,-0.98242,-0.62940,0.01506,-0.15872
11,9766,3,-0.10498,0.02594,-0.31012,0.94452,-0.76953,-0.62891,-9.69922,-7.55078,-3.41602,-0.79102,-0.63274,-0.01611,-0.21611
12,10742,3,-0.14581,0.02026,-0.31128,0.93884,-0.90625,-1.41406,-9.69531,-8.16016,-3.48047,-0.59570,-0.63257,-0.05275,-0.29089
13,11719,3,-0.18799,0.01569,-0.31067,0.93158,-0.82812,-2.11328,-9.53125,-8.52344,-3.63477,-0.39648,-0.62736,-0.08770,-0.36978
14,7812,3,-0.23004,0.01178,-0.30853,0.92291,-0.57422,-2.73438,-9.48438,-8.82422,-3.64844,-0.18750,-0.61763,-0.12050,-0.45007
15,9766,3,-0.27582,0.00787,-0.30463,0.91162,-0.39453,-4.83594,-8.60156,-8.94727,-3.55078,0.13867,-0.60224,-0.15430,-0.53960
16,10742,3,-0.32312,0.00476,-0.29865,0.89801,-1.00000,-5.66406,-7.97266,-8.99414,-3.47461,0.58203,-0.58098,-0.18550,-0.63519
17,9766,3,-0.36865,0.00287,-0.29047,0.88300,-1.16406,-6.19922,-7.60547,-9.08398,-3.43945,1.08008,-0.55476,-0.21066,-0.73082
18,9765,3,-0.41077,0.00220,-0.28027,0.86755,-0.90625,-7.71484,-6.79688,-9.00000,-3.39844,1.60547,-0.52494,-0.22844,-0.82279
19,12696,3,-0.45599,0.00269,-0.26624,0.84924,-0.94922,-8.25391,-5.44922,-8.77734,-3.34961,2.16016,-0.48715,-0.24055,-0.92547
20,7812,3,-0.49640,0.00433,-0.25037,0.83124,-0.90234,-8.86328,-4.26172,-8.47852,-3.38086,2.93164,-0.44816,-0.24375,-1.02087
21,9766,3,-0.53613,0.00739,-0.23059,0.81195,-0.79297,-9.36328,-2.33984,-8.37109,-4.70117,2.58203,-0.40438,-0.23750,-1.11826
22,9766,3,-0.57574,0.00800,-0.20697,0.79095,1.33984,-8.82422,-0.35938,-6.24805,-5.79883,1.16406,-0.35281,-0.22764,-1.21768
23,12695,3,-0.57574,0.00800,-0.20697,0.79095,3.00781,-9.75391,3.67578,-5.03320,-5.39062,2.06445,-0.35281,-0.22764,-1.21768
24,7812,3,-0.63483,-0.01099,-0.16119,0.75562,3.72266,-11.76172,7.25781,-4.78711,-4.71289,3.49805,-0.23771,-0.22310,-1.37074
25,9766,3,-0.65710,-0.01733,-0.13477,0.74146,5.59375,-11.19922,9.97266,-4.02734,-4.23242,3.64062,-0.18182,-0.20423,-1.43163
26,9766,3,-0.67700,-0.01929,-0.10602,0.72803,6.85547,-10.23828,11.14062,-2.65820,-3.28516,3.01953,-0.13056,-0.17249,-1.48689
27,10742,3,-0.69128,-0.01996,-0.08124,0.71777,7.54688,-9.46875,11.67578,-1.24414,-2.33203,2.36133,-0.09004,-0.14143,-1.52682
28,9765,3,-0.69958,-0.01990,-0.06183,0.71161,8.64453,-8.58984,11.43750,0.01172,-1.56641,1.69922,-0.06059,-0.11508,-1.55026
29,9766,3,-0.70251,-0.01953,-0.04785,0.70978,9.86719,-6.73438,9.06250,1.16602,-0.79883,0.93555,-0.04068,-0.09510,-1.55857
30,10742,3,-0.70081,-0.01923,-0.03894,0.71204,9.57812,-6.56641,8.06641,2.23438,-0.07422,0.23633,-0.02861,-0.08205,-1.55372
