lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,2536133,3,0.19720,0.15082,-0.33478,0.90900,-0.10547,0.59766,-1.50781,0.27930,-0.03906,0.18945,-0.64471,0.41833,0.28571
1,9765,3,0.19867,0.15021,-0.33411,0.90906,-0.10547,0.68359,-1.50000,0.24609,-0.12109,0.15625,-0.64264,0.41789,0.28940
2,10742,3,0.19983,0.14923,-0.33362,0.90912,0.00391,0.69141,-1.34375,0.16211,-0.19336,0.12695,-0.64115,0.41662,0.29259
3,9766,3,0.20062,0.14807,-0.33331,0.90924,0.21875,0.90234,-1.22266,0.08398,-0.25586,0.08398,-0.64022,0.41480,0.29504
4,9766,3,0.20087,0.14673,-0.33319,0.90942,0.34766,1.04297,-1.11719,0.01172,-0.29883,0.02344,-0.63995,0.41234,0.29638
5,10742,3,0.20068,0.14532,-0.33325,0.90967,0.51562,1.18750,-1.08594,-0.09375,-0.31055,-0.06641,-0.64025,0.40952,0.29679
6,8789,3,0.20001,0.14404,-0.33368,0.90991,0.64453,1.33984,-1.06250,-0.23438,-0.32031,-0.16211,-0.64152,0.40672,0.29594
7,10742,3,0.19873,0.14307,-0.33441,0.91010,0.92578,1.32422,-0.84766,-0.32227,-0.30859,-0.25586,-0.64370,0.40422,0.29354
8,9766,3,0.19672,0.14227,-0.33551,0.91022,1.01953,1.28125,-0.67969,-0.39258,-0.25977,-0.32812,-0.64699,0.40172,0.28938
9,10742,3,0.19434,0.14191,-0.33691,0.91028,1.07031,1.12891,-0.65625,-0.49219,-0.22070,-0.39648,-0.65103,0.39986,0.28409
10,8789,3,0.19165,0.14191,-0.33850,0.91022,1.17969,1.10547,-0.64453,-0.53125,-0.18359,-0.47266,-0.65561,0.39857,0.27790
11,10742,3,0.18872,0.14227,-0.34033,0.91010,1.09375,0.85547,-0.46875,-0.55469,-0.14453,-0.55273,-0.66077,0.39785,0.27088
12,9766,3,0.18561,0.14294,-0.34247,0.90985,1.05469,0.80859,-0.56641,-0.59570,-0.14258,-0.63086,-0.66668,0.39764,0.26317
13,9765,3,0.18231,0.14386,-0.34491,0.90948,0.94141,0.87891,-0.76562,-0.63672,-0.18945,-0.71289,-0.67333,0.39783,0.25480
14,10743,3,0.17883,0.14478,-0.34760,0.90900,0.82812,1.10938,-1.09766,-0.64062,-0.25000,-0.79102,-0.68064,0.39793,0.24596
15,9765,3,0.17487,0.14557,-0.35089,0.90833,0.78125,1.28125,-1.19531,-0.65234,-0.31055,-0.86523,-0.68955,0.39758,0.23594
16,9766,3,0.17084,0.14618,-0.35443,0.90765,0.81250,1.44531,-1.33594,-0.71094,-0.40430,-0.97070,-0.69898,0.39679,0.22581
17,9765,3,0.16644,0.14655,-0.35846,0.90686,0.87891,1.61328,-1.47266,-0.81055,-0.47070,-1.10938,-0.70966,0.39531,0.21490
18,10743,3,0.16144,0.14679,-0.36292,0.90588,1.08594,1.67578,-1.69531,-0.95703,-0.51172,-1.24219,-0.72157,0.39320,0.20270
19,9765,3,0.15564,0.14716,-0.36810,0.90479,1.14062,1.64844,-1.95703,-1.20312,-0.55273,-1.36719,-0.73536,0.39073,0.18854
20,9766,3,0.14886,0.14777,-0.37354,0.90356,1.07031,1.60547,-2.25781,-1.43359,-0.62109,-1.47461,-0.75010,0.38792,0.17222
21,9766,3,0.14075,0.14862,-0.37939,0.90228,1.03906,0.96484,-2.21875,-1.58398,-0.67188,-1.54883,-0.76626,0.38441,0.15294
22,10742,3,0.13147,0.14966,-0.38562,0.90088,0.92188,0.24219,-1.88281,-1.71680,-0.61719,-1.50781,-0.78363,0.38014,0.13117
23,9765,3,0.12170,0.15094,-0.39166,0.89948,0.61719,-0.32031,-1.69141,-1.92969,-0.52539,-1.39062,-0.80072,0.37562,0.10846
24,12696,3,0.12170,0.15094,-0.39166,0.89948,0.11719,-0.57031,-1.80078,-2.13867,-0.51562,-1.28320,-0.80072,0.37562,0.10846
25,6836,3,0.10046,0.15515,-0.40173,0.89691,-0.22656,-0.19141,-2.13672,-2.25391,-0.58789,-1.23438,-0.83116,0.36723,0.05956
26,10742,3,0.08820,0.15778,-0.40601,0.89581,-0.39062,0.33594,-2.39062,-2.42969,-0.76172,-1.28711,-0.84521,0.36216,0.03198
27,9765,3,0.07526,0.16010,-0.41010,0.89471,-0.49219,0.74609,-2.84375,-2.73242,-1.00000,-1.39844,-0.85891,0.35566,0.00358
28,9766,3,0.06073,0.16199,-0.41431,0.89355,0.07422,1.14062,-3.17188,-2.89648,-1.29297,-1.59766,-0.87310,0.34671,-0.02732
29,10742,3,0.04443,0.16315,-0.41907,0.89209,0.46094,1.26172,-2.66016,-2.86328,-1.46680,-1.84766,-0.88861,0.33452,-0.06087
30,9766,3,0.02722,0.16339,-0.42462,0.89008,0.66797,0.78125,-2.03125,-2.94141,-1.47266,-1.94141,-0.90561,0.31939,-0.09526
31,9765,3,0.00977,0.16327,-0.43079,0.88751,0.74219,0.25781,-1.92578,-3.12305,-1.41797,-1.91016,-0.92357,0.30283,-0.12957
